INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
176	Mµt khúc Thành Thß½ng	TalentSkillTianShan2_2	Mµt	#{WUDAO_20220402_176}	#{WUDAO_20220402_554}	3	6	9	12	15	3
177	Phi Tinh Di®p DÕ	TalentSkillXiaoYao2_3	Mµt	#{WUDAO_20220402_177}	#{WUDAO_20220402_555}	10;10;5;100;10;12					1
178	LÕc Anh Kiªm·th¥n uy	TalentSkillXiaoYao_9	Mµt	#{WUDAO_20220402_178}	#{WUDAO_20220402_556}	20	40	60	80	100	1
179	Tª Nguy®t Hành Không	TalentSkillXiaoYao_7	Mµt	#{WUDAO_20220402_179}	#{WUDAO_20220402_557}	120	140	160	180	200	3
180	Mµt lóng tay Th¤u xuân hàn	TalentSkillXiaoYao_16	Mµt	#{WUDAO_20220402_180}	#{WUDAO_20220402_558}	0.6	1.2	1.8	2.4	3	1
181	Lång Tiêu Lãm Nguy®t	TalentSkillXiaoYao2_7	Mµt	#{WUDAO_20220402_181}	#{WUDAO_20220402_559}	17	19	21	23	25	2
182	Hoàn Hoa Xuyên Vân	TalentSkillXiaoYao_14	Mµt	#{WUDAO_20220402_182}	#{WUDAO_20220402_560}	0.5	1	1.5	2	2.5	3
183	Th¶i Di nhß thoi ðßa	TalentSkillXiaoYao_10	Mµt	#{WUDAO_20220402_183}	#{WUDAO_20220402_561}	4	8	12	16	20	1
184	Hµi Ti¬n Tinh Lam	TalentSkillXiaoYao_6	Mµt	#{WUDAO_20220402_184}	#{WUDAO_20220402_562}	2	4	6	8	10	3
185	Sß¾ng ð¥m ðìa	TalentSkillXiaoYao_3	Mµt	#{WUDAO_20220402_185}	#{WUDAO_20220402_563}	5	10	15	20	25	1
186	ÐÕp Lãng TrÕc Tâm	TalentSkillXiaoYao_12	Mµt	#{WUDAO_20220402_186}	#{WUDAO_20220402_564}	1	2	3	4	5	2
187	Xuyên Lâm Tá Hi®p	TalentSkillXiaoYao_4	Mµt	#{WUDAO_20220402_187}	#{WUDAO_20220402_565}	1	2	3	4	5	3
188	Khi Yên Kh¯n Vû	TalentSkillXiaoYao2_6	Mµt	#{WUDAO_20220402_188}	#{WUDAO_20220402_566}	10;10;4;7;30;3;0.2					1
189	LÕc Anh Kiªm·th¥n uy	TalentSkillXiaoYao_9	Mµt	#{WUDAO_20220402_189}	#{WUDAO_20220402_567}	20	40	60	80	100	1
190	C¯t Trùng ThÑc Hàn	TalentSkillXiaoYao_5	Mµt	#{WUDAO_20220402_190}	#{WUDAO_20220402_568}	5	10	15	20	25	3
191	Toái Tr¥n Nê	TalentSkillXiaoYao_11	Mµt	#{WUDAO_20220402_191}	#{WUDAO_20220402_569}	10	20	30	40	50	1
192	Võng Tßþng Thúc Mµng	TalentSkillXiaoYao_13	Mµt	#{WUDAO_20220402_192}	#{WUDAO_20220402_570}	2	4	6	8	10	2
193	Hoa nªn Thôi DÕ	TalentSkillXiaoYao2_2	Mµt	#{WUDAO_20220402_193}	#{WUDAO_20220402_571}	2	4	6	8	10	3
194	Tàn Xuân Ðãi Hi¬u	TalentSkillXiaoYao_2	Mµt	#{WUDAO_20220402_194}	#{WUDAO_20220402_572}	15	30	45	60	75	1
195	Oán Thanh Thß½ng	TalentSkillXiaoYao2_1	Mµt	#{WUDAO_20220402_195}	#{WUDAO_20220402_573}	6	12	18	24	30	3
196	Lãng phong tøc th¶i xßa còn lßu lÕi Trøc	TalentSkillXiaoYao_8	Mµt	#{WUDAO_20220402_196}	#{WUDAO_20220402_574}	2	4	6	8	10	1
197	Yên Phi Mµt	TalentSkillXiaoYao_15	Mµt	#{WUDAO_20220402_197}	#{WUDAO_20220402_575}	10	20	30	40	50	2
198	Che l¤p m£t tr¶i Thôn Thiên	TalentSkillXiaoYao_1	Mµt	#{WUDAO_20220402_198}	#{WUDAO_20220402_576}	0.3	0.6	0.9	1.2	1.5	3
199	Phøc H± Quy«n·Phá Bích	TalentSkillShaoLin_8	Nh¸	#{WUDAO_20220402_199}	#{WUDAO_20220402_577}	4	8	12	16	20	1
200	Phøc H± Quy«n·th¤u xß½ng	TalentSkillShaoLin_8	Nh¸	#{WUDAO_20220402_200}	#{WUDAO_20220402_578}	1	2	3	4	5	3
201	Kim cß½ng B¤t Ðµ	TalentSkillShaoLin2_16	Nh¸	#{WUDAO_20220402_201}	#{WUDAO_20220402_579}	3	6	9	12	15	1
202	Quan Chiªu Bàn Nhßþc	TalentSkillShaoLin_5	Nh¸	#{WUDAO_20220402_202}	#{WUDAO_20220402_580}	2	4	6	8	10	2
203	L­ Tri®u ph§t quang	TalentSkillShaoLin3_2	Nh¸	#{WUDAO_20220402_203}	#{WUDAO_20220402_581}	200	400	600	800	1000	3
204	Thiên cân trøy	TalentSkillShaoLin2_13	Nh¸	#{WUDAO_20220402_204}	#{WUDAO_20220402_582}	1	2	3	4	5	1
205	Tiêu Chß¾ng Ph§t Âm	TalentSkillShaoLin2_15	Nh¸	#{WUDAO_20220402_205}	#{WUDAO_20220402_583}	1	2	3	4	5	3
206	Gió cu¯n Hành Vân	TalentSkill_5	Nh¸	#{WUDAO_20220402_206}	#{WUDAO_20220402_584}	5;5	10;10	15;15	20;20	25;25	1
207	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	TalentSkill_1	Nh¸	#{WUDAO_20220402_207}	#{WUDAO_20220402_585}	9;0.5	18;1	27;1.5	36;2	45;2.5	2
208	Câu T¸ch không tiªng ðµng	TalentSkill_2	Nh¸	#{WUDAO_20220402_208}	#{WUDAO_20220402_586}	1	2	3	4	5	3
209	Phøc H± Quy«n·Phá Bích	TalentSkillShaoLin_8	Nh¸	#{WUDAO_20220402_209}	#{WUDAO_20220402_587}	4	8	12	16	20	1
210	Phòng thü kiên c¯	TalentSkillShaoLin2_9	Nh¸	#{WUDAO_20220402_210}	#{WUDAO_20220402_588}	1	2	3	4	5	3
211	ÐoÕn Uª Giäi Nghi®p	TalentSkillShaoLin2_16	Nh¸	#{WUDAO_20220402_211}	#{WUDAO_20220402_589}	3	6	9	12	15	1
212	ÐoÕn Tâm t¦y tüy	TalentSkillShaoLin2_10	Nh¸	#{WUDAO_20220402_212}	#{WUDAO_20220402_590}	2	4	6	8	10	2
213	Xä Sinh Ngµ Ngã	TalentSkillShaoLin2_11	Nh¸	#{WUDAO_20220402_213}	#{WUDAO_20220402_591}	3	6	9	12	15	3
214	Giáng Ma Tr¤n Khu	TalentSkillShaoLin2_16	Nh¸	#{WUDAO_20220402_214}	#{WUDAO_20220402_592}	10	20	30	40	50	1
215	Thi«n tâm nh§p ð¸nh	TalentSkillShaoLin2_12	Nh¸	#{WUDAO_20220402_215}	#{WUDAO_20220402_593}	4	8	12	16	20	3
216	Gió cu¯n Hành Vân	TalentSkill_5	Nh¸	#{WUDAO_20220402_216}	#{WUDAO_20220402_594}	5;5	10;10	15;15	20;20	25;25	1
217	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	TalentSkill_1	Nh¸	#{WUDAO_20220402_217}	#{WUDAO_20220402_595}	9;0.5	18;1	27;1.5	36;2	45;2.5	2
218	Câu T¸ch không tiªng ðµng	TalentSkill_2	Nh¸	#{WUDAO_20220402_218}	#{WUDAO_20220402_596}	1	2	3	4	5	3
219	T°i Tâm Chß·ng·Phá Bích	TalentSkillMingJiao_3	Nh¸	#{WUDAO_20220402_219}	#{WUDAO_20220402_597}	4	8	12	16	20	1
220	T°i Tâm Chß·ng·th¤u xß½ng	TalentSkillMingJiao_3	Nh¸	#{WUDAO_20220402_220}	#{WUDAO_20220402_598}	1	2	3	4	5	3
221	Viêm Long Ho£c Tâm	TalentSkillMingJiao2_14	Nh¸	#{WUDAO_20220402_221}	#{WUDAO_20220402_599}	3	6	9	12	15	1
222	Huy«n Nguy®t C¥m Sß½ng	TalentSkillMingJiao3_1	Nh¸	#{WUDAO_20220402_222}	#{WUDAO_20220402_600}	3	6	9	12	15	2
223	Thánh Hoä Trß¶ng Minh	TalentSkillMingJiao2_15	Nh¸	#{WUDAO_20220402_223}	#{WUDAO_20220402_601}	200	400	600	800	1000	3
224	Xích Di­m Áp Ðïnh	TalentSkillMingJiao2_11	Nh¸	#{WUDAO_20220402_224}	#{WUDAO_20220402_602}	1	2	3	4	5	1
225	ChÕy tr¶i không khöi n¡ng	TalentSkillMingJiao2_11	Nh¸	#{WUDAO_20220402_225}	#{WUDAO_20220402_603}	1	2	3	4	5	3
226	Gió cu¯n Hành Vân	TalentSkill_5	Nh¸	#{WUDAO_20220402_226}	#{WUDAO_20220402_604}	5;5	10;10	15;15	20;20	25;25	1
227	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	TalentSkill_1	Nh¸	#{WUDAO_20220402_227}	#{WUDAO_20220402_605}	9;0.5	18;1	27;1.5	36;2	45;2.5	2
228	Câu T¸ch không tiªng ðµng	TalentSkill_2	Nh¸	#{WUDAO_20220402_228}	#{WUDAO_20220402_606}	1	2	3	4	5	3
229	T°i Tâm Chß·ng·Phá Bích	TalentSkillMingJiao_3	Nh¸	#{WUDAO_20220402_229}	#{WUDAO_20220402_607}	4	8	12	16	20	1
230	Phòng thü kiên c¯	TalentSkillMingJiao2_10	Nh¸	#{WUDAO_20220402_230}	#{WUDAO_20220402_608}	1	2	3	4	5	3
231	Th¤u C¯t Phong Tâm	TalentSkillMingJiao2_14	Nh¸	#{WUDAO_20220402_231}	#{WUDAO_20220402_609}	12	24	36	48	60	1
232	Li®t Hoä ð¯t ngß¶i	TalentSkillMingJiao_5	Nh¸	#{WUDAO_20220402_232}	#{WUDAO_20220402_610}	7	14	21	28	35	2
233	Ph® trång tròn	TalentSkillMingJiao2_14	Nh¸	#{WUDAO_20220402_233}	#{WUDAO_20220402_611}	10	20	30	40	50	3
234	Thôi Tâm änh lßu ni®m	TalentSkillMingJiao2_11	Nh¸	#{WUDAO_20220402_234}	#{WUDAO_20220402_612}	4	8	12	16	20	1
235	Siêu phàm nh§p thánh	TalentSkillMingJiao_3	Nh¸	#{WUDAO_20220402_235}	#{WUDAO_20220402_613}	2	4	6	8	10	3
236	Gió cu¯n Hành Vân	TalentSkill_5	Nh¸	#{WUDAO_20220402_236}	#{WUDAO_20220402_614}	5;5	10;10	15;15	20;20	25;25	1
237	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	TalentSkill_1	Nh¸	#{WUDAO_20220402_237}	#{WUDAO_20220402_615}	9;0.5	18;1	27;1.5	36;2	45;2.5	2
238	Câu T¸ch không tiªng ðµng	TalentSkill_2	Nh¸	#{WUDAO_20220402_238}	#{WUDAO_20220402_616}	1	2	3	4	5	3
239	Bàn Long Kích·Phá Bích	TalentSkillGaiBang_8	Nh¸	#{WUDAO_20220402_239}	#{WUDAO_20220402_617}	4	8	12	16	20	1
240	Bàn Long Kích·th¤u xß½ng	TalentSkillGaiBang_8	Nh¸	#{WUDAO_20220402_240}	#{WUDAO_20220402_618}	1	2	3	4	5	3
241	Bàn tay cá trong ch§u	TalentSkillGaiBang2_1	Nh¸	#{WUDAO_20220402_241}	#{WUDAO_20220402_619}	3	6	9	12	15	1
242	Tuý Lý T¥m Hoan	TalentSkillGaiBang2_14	Nh¸	#{WUDAO_20220402_242}	#{WUDAO_20220402_620}	6	12	18	24	30	2
243	Hoa Tuý cä sänh ðß¶ng	TalentSkillGaiBang2_10	Nh¸	#{WUDAO_20220402_243}	#{WUDAO_20220402_621}	2	4	6	8	10	3
244	Trß¶ng Ca Hàm TØu	TalentSkillGaiBang_14	Nh¸	#{WUDAO_20220402_244}	#{WUDAO_20220402_622}	1	2	3	4	5	1
245	Không Tôn Yêu Nguy®t	TalentSkillGaiBang2_6	Nh¸	#{WUDAO_20220402_245}	#{WUDAO_20220402_623}	4	8	12	16	20	3
246	Gió cu¯n Hành Vân	TalentSkill_5	Nh¸	#{WUDAO_20220402_246}	#{WUDAO_20220402_624}	5;5	10;10	15;15	20;20	25;25	1
247	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	TalentSkill_1	Nh¸	#{WUDAO_20220402_247}	#{WUDAO_20220402_625}	9;0.5	18;1	27;1.5	36;2	45;2.5	2
248	Câu T¸ch không tiªng ðµng	TalentSkill_2	Nh¸	#{WUDAO_20220402_248}	#{WUDAO_20220402_626}	1	2	3	4	5	3
249	Bàn Long Kích·Phá Bích	TalentSkillGaiBang_8	Nh¸	#{WUDAO_20220402_249}	#{WUDAO_20220402_627}	4	8	12	16	20	1
250	Phòng thü kiên c¯	TalentSkillGaiBang2_7	Nh¸	#{WUDAO_20220402_250}	#{WUDAO_20220402_628}	1	2	3	4	5	3
251	Kinh H°ng Tuy®t MÕch	TalentSkillGaiBang2_1	Nh¸	#{WUDAO_20220402_251}	#{WUDAO_20220402_629}	12	24	36	48	60	1
252	Th¯ng †m Thiên Ðàn	TalentSkillGaiBang2_10	Nh¸	#{WUDAO_20220402_252}	#{WUDAO_20220402_630}	7	14	21	28	35	2
253	Châu Dao Liêm Nhi­u	TalentSkillGaiBang2_12	Nh¸	#{WUDAO_20220402_253}	#{WUDAO_20220402_631}	6	12	18	24	30	3
254	ÐoÕn Trßþng Câu Lang	TalentSkillGaiBang_14	Nh¸	#{WUDAO_20220402_254}	#{WUDAO_20220402_632}	4	8	12	16	20	1
255	ToÕ Quan Vân Quy¬n	TalentSkillGaiBang2_13	Nh¸	#{WUDAO_20220402_255}	#{WUDAO_20220402_633}	7	14	21	28	35	3
256	Gió cu¯n Hành Vân	TalentSkill_5	Nh¸	#{WUDAO_20220402_256}	#{WUDAO_20220402_634}	5;5	10;10	15;15	20;20	25;25	1
257	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	TalentSkill_1	Nh¸	#{WUDAO_20220402_257}	#{WUDAO_20220402_635}	9;0.5	18;1	27;1.5	36;2	45;2.5	2
258	Câu T¸ch không tiªng ðµng	TalentSkill_2	Nh¸	#{WUDAO_20220402_258}	#{WUDAO_20220402_636}	1	2	3	4	5	3
259	Bát Quái Chß·ng·Tr® MÕch	TalentSkillWuDang_2	Nh¸	#{WUDAO_20220402_259}	#{WUDAO_20220402_637}	4	8	12	16	20	1
260	Bát Quái Chß·ng·công tâm	TalentSkillWuDang_2	Nh¸	#{WUDAO_20220402_260}	#{WUDAO_20220402_638}	1	2	3	4	5	3
261	Cô s½n Bª	TalentSkillWuDang2_11	Nh¸	#{WUDAO_20220402_261}	#{WUDAO_20220402_639}	4	8	12	16	20	1
262	Kiªm chï Lßu Vân	TalentSkillWuDang2_13	Nh¸	#{WUDAO_20220402_262}	#{WUDAO_20220402_640}	4	8	12	16	20	2
263	M£c Tßþng Giai Quy	TalentSkillWuDang2_14	Nh¸	#{WUDAO_20220402_263}	#{WUDAO_20220402_641}	0.4	0.8	1.2	1.6	2	3
264	C¯ Bµ Nan Li	TalentSkillWuDang2_9	Nh¸	#{WUDAO_20220402_264}	#{WUDAO_20220402_642}	1	2	3	4	5	1
265	T§t Quang Ti®m †n	TalentSkillWuDang2_15	Nh¸	#{WUDAO_20220402_265}	#{WUDAO_20220402_643}	5	10	15	20	25	3
266	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_266}	#{WUDAO_20220402_644}	4	8	12	16	20	1
267	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_267}	#{WUDAO_20220402_645}	2	4	6	8	10	2
268	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_268}	#{WUDAO_20220402_646}	6	12	18	24	30	3
269	Bát Quái Chß·ng·Tr® MÕch	TalentSkillWuDang_2	Nh¸	#{WUDAO_20220402_269}	#{WUDAO_20220402_647}	4	8	12	16	20	1
270	Phòng thü kiên c¯	TalentSkillWuDang2_8	Nh¸	#{WUDAO_20220402_270}	#{WUDAO_20220402_648}	1	2	3	4	5	3
271	ÐoÕn MÕch Ti®t Nguyên	TalentSkillWuDang_3	Nh¸	#{WUDAO_20220402_271}	#{WUDAO_20220402_649}	6	12	18	24	30	1
272	Nhu® không th¬ Ðang	TalentSkillWuDang_12	Nh¸	#{WUDAO_20220402_272}	#{WUDAO_20220402_650}	7	14	21	28	35	2
273	Thanh Phong biªn hóa	TalentSkillWuDang_5	Nh¸	#{WUDAO_20220402_273}	#{WUDAO_20220402_651}	1	2	3	4	5	3
274	Khoänh kh¡c ngàn nåm	TalentSkillWuDang2_9	Nh¸	#{WUDAO_20220402_274}	#{WUDAO_20220402_652}	4	8	12	16	20	1
275	LÕc Nguy®t Phi Tinh	TalentSkillWuDang2_16	Nh¸	#{WUDAO_20220402_275}	#{WUDAO_20220402_653}	1	2	3	4	5	3
276	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_276}	#{WUDAO_20220402_654}	4	8	12	16	20	1
277	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_277}	#{WUDAO_20220402_655}	2	4	6	8	10	2
278	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_278}	#{WUDAO_20220402_656}	6	12	18	24	30	3
279	Bái Nguy®t·Tr® MÕch	TalentSkillEmei_1	Nh¸	#{WUDAO_20220402_279}	#{WUDAO_20220402_657}	4	8	12	16	20	1
280	Bái Nguy®t·công tâm	TalentSkillEmei_4	Nh¸	#{WUDAO_20220402_280}	#{WUDAO_20220402_658}	20	40	60	80	100	3
281	Huyên Phong Nh¤t Tuý	TalentSkillEmei2_11	Nh¸	#{WUDAO_20220402_281}	#{WUDAO_20220402_659}	7	14	21	28	35	1
282	Thß¾c ÐÕp Chi	TalentSkillEmei2_1	Nh¸	#{WUDAO_20220402_282}	#{WUDAO_20220402_660}	2	4	6	8	10	2
283	Di®u Thü H°i Xuân	TalentSkillEmei2_14	Nh¸	#{WUDAO_20220402_283}	#{WUDAO_20220402_661}	10	11	12	13	15	3
284	S½ Ð°ng Các\u0020hÕ Nguy®t	TalentSkillEmei2_9	Nh¸	#{WUDAO_20220402_284}	#{WUDAO_20220402_662}	1	2	3	4	5	1
285	Linh Nguy®t Tây Tr¥m	TalentSkillEmei_16	Nh¸	#{WUDAO_20220402_285}	#{WUDAO_20220402_663}	5	10	15	20	25	3
286	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_286}	#{WUDAO_20220402_664}	4	8	12	16	20	1
287	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_287}	#{WUDAO_20220402_665}	2	4	6	8	10	2
288	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_288}	#{WUDAO_20220402_666}	6	12	18	24	30	3
289	Bái Nguy®t·Tr® MÕch	TalentSkillEmei_1	Nh¸	#{WUDAO_20220402_289}	#{WUDAO_20220402_667}	4	8	12	16	20	1
290	Phòng thü kiên c¯	TalentSkillEmei2_8	Nh¸	#{WUDAO_20220402_290}	#{WUDAO_20220402_668}	1	2	3	4	5	3
291	TÑ Di®n S· Ca	TalentSkillEmei2_11	Nh¸	#{WUDAO_20220402_291}	#{WUDAO_20220402_669}	15	30	45	60	75	1
292	Nh¤t C¯ Khuynh Thành	TalentSkillEmei_13	Nh¸	#{WUDAO_20220402_292}	#{WUDAO_20220402_670}	10	20	30	40	50	2
293	Nguy®t LÕc Hàn Giang	TalentSkillEmei2_15	Nh¸	#{WUDAO_20220402_293}	#{WUDAO_20220402_671}	2	4	6	8	10	3
294	Khúc Át Hành Vân	TalentSkillEmei2_9	Nh¸	#{WUDAO_20220402_294}	#{WUDAO_20220402_672}	4	8	12	16	20	1
295	Dß âm còn vång vÆng bên tai	TalentSkillEmei2_16	Nh¸	#{WUDAO_20220402_295}	#{WUDAO_20220402_673}	2	4	6	8	10	3
296	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_296}	#{WUDAO_20220402_674}	4	8	12	16	20	1
297	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_297}	#{WUDAO_20220402_675}	2	4	6	8	10	2
298	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_298}	#{WUDAO_20220402_676}	6	12	18	24	30	3
299	Lam Sa Thü·Tr® MÕch	TalentSkillXingXiu_6	Nh¸	#{WUDAO_20220402_299}	#{WUDAO_20220402_677}	4	8	12	16	20	1
300	Lam Sa Thü·công tâm	TalentSkillXingXiu_6	Nh¸	#{WUDAO_20220402_300}	#{WUDAO_20220402_678}	1	2	3	4	5	3
301	Bång U Phong H°n	TalentSkillXingXiu_12	Nh¸	#{WUDAO_20220402_301}	#{WUDAO_20220402_679}	7	14	21	28	35	1
302	L¤y mÕng Truy H°n	TalentSkillXingXiu_13	Nh¸	#{WUDAO_20220402_302}	#{WUDAO_20220402_680}	2	4	6	8	10	2
303	Phø C¯t Chi Thß	TalentSkillXingXiu2_11	Nh¸	#{WUDAO_20220402_303}	#{WUDAO_20220402_681}	10	20	30	40	50	3
304	Tri«n Ph÷c Chi Oán	TalentSkillXingXiu2_7	Nh¸	#{WUDAO_20220402_304}	#{WUDAO_20220402_682}	1	2	3	4	5	1
305	Ngñ Thü Minh Tinh	TalentSkillXingXiu2_14	Nh¸	#{WUDAO_20220402_305}	#{WUDAO_20220402_683}	0.6	1.2	1.8	2.4	3	3
306	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_306}	#{WUDAO_20220402_684}	4	8	12	16	20	1
307	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_307}	#{WUDAO_20220402_685}	2	4	6	8	10	2
308	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_308}	#{WUDAO_20220402_686}	6	12	18	24	30	3
309	Lam Sa Thü·Tr® MÕch	TalentSkillXingXiu_6	Nh¸	#{WUDAO_20220402_309}	#{WUDAO_20220402_687}	4	8	12	16	20	1
310	Phòng thü kiên c¯	TalentSkillXingXiu2_6	Nh¸	#{WUDAO_20220402_310}	#{WUDAO_20220402_688}	1	2	3	4	5	3
311	Thâm U Thñc MÕch	TalentSkillXingXiu_12	Nh¸	#{WUDAO_20220402_311}	#{WUDAO_20220402_689}	15	30	45	60	75	1
312	Ách Minh Tiêu C¯t	TalentSkillXingXiu_13	Nh¸	#{WUDAO_20220402_312}	#{WUDAO_20220402_690}	10	20	30	40	50	2
313	Thi«m Ðµc Toái Tâm	TalentSkillXingXiu2_12	Nh¸	#{WUDAO_20220402_313}	#{WUDAO_20220402_691}	1	2	3	4	5	3
314	Ph® Tâm Nhiªp Phách	TalentSkillXingXiu2_7	Nh¸	#{WUDAO_20220402_314}	#{WUDAO_20220402_692}	4	8	12	16	20	1
315	Nguy®t Doanh Vô Bi	TalentSkillXingXiu2_13	Nh¸	#{WUDAO_20220402_315}	#{WUDAO_20220402_693}	2	4	6	8	10	3
316	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_316}	#{WUDAO_20220402_694}	4	8	12	16	20	1
317	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_317}	#{WUDAO_20220402_695}	2	4	6	8	10	2
318	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_318}	#{WUDAO_20220402_696}	6	12	18	24	30	3
319	Chính Dß½ng Thü·Tr® MÕch	TalentSkillTianLong2_1	Nh¸	#{WUDAO_20220402_319}	#{WUDAO_20220402_697}	4	8	12	16	20	1
320	Chính Dß½ng Thü·công tâm	TalentSkillTianLong2_1	Nh¸	#{WUDAO_20220402_320}	#{WUDAO_20220402_698}	1	2	3	4	5	3
321	Trång sáng Phong Tâm	TalentSkillTianLong_4	Nh¸	#{WUDAO_20220402_321}	#{WUDAO_20220402_699}	12	24	36	48	60	1
322	Huyªt Nhi­m Lan Thß½ng	TalentSkillTianLong_9	Nh¸	#{WUDAO_20220402_322}	#{WUDAO_20220402_700}	7	14	21	28	35	2
323	Ð¥u ngón tay th¥n hôn	TalentSkillTianLong2_3	Nh¸	#{WUDAO_20220402_323}	#{WUDAO_20220402_701}	10	20	30	40	50	3
324	Ng°i yên t§p t­nh	TalentSkillTianLong2_11	Nh¸	#{WUDAO_20220402_324}	#{WUDAO_20220402_702}	4	8	12	16	20	1
325	Phù Quang Cän Nguy®t	TalentSkillTianLong2_16	Nh¸	#{WUDAO_20220402_325}	#{WUDAO_20220402_703}	20	40	60	80	100	3
326	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_326}	#{WUDAO_20220402_704}	4	8	12	16	20	1
327	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_327}	#{WUDAO_20220402_705}	2	4	6	8	10	2
328	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_328}	#{WUDAO_20220402_706}	6	12	18	24	30	3
329	Chính Dß½ng Thü·Tr® MÕch	TalentSkillTianLong2_1	Nh¸	#{WUDAO_20220402_329}	#{WUDAO_20220402_707}	4	8	12	16	20	1
330	Phòng thü kiên c¯	TalentSkillTianLong2_10	Nh¸	#{WUDAO_20220402_330}	#{WUDAO_20220402_708}	1	2	3	4	5	3
331	DÕ vû MÕn Thiên	TalentSkillTianLong_4	Nh¸	#{WUDAO_20220402_331}	#{WUDAO_20220402_709}	3	6	9	12	15	1
332	Phá V÷ng Quyªt	TalentSkillTianLong_9	Nh¸	#{WUDAO_20220402_332}	#{WUDAO_20220402_710}	2	4	6	8	10	2
333	Giang Nguy®t Bi Nhân	TalentSkillTianLong3_1	Nh¸	#{WUDAO_20220402_333}	#{WUDAO_20220402_711}	2	4	6	8	10	3
334	Cu°ng phong Hoãn Ðµ	TalentSkillTianLong2_11	Nh¸	#{WUDAO_20220402_334}	#{WUDAO_20220402_712}	1	2	3	4	5	1
335	Trong nháy m¡t canh ba	TalentSkillTianLong2_3	Nh¸	#{WUDAO_20220402_335}	#{WUDAO_20220402_713}	2	4	6	8	10	3
336	Duy Ngã tñ tÕi	TalentSkill_6	Nh¸	#{WUDAO_20220402_336}	#{WUDAO_20220402_714}	4	8	12	16	20	1
337	Ngßng chiªu sáng Tuyªt	TalentSkill_3	Nh¸	#{WUDAO_20220402_337}	#{WUDAO_20220402_715}	2	4	6	8	10	2
338	Khí ð¸nh th¥n nhàn	TalentSkill_4	Nh¸	#{WUDAO_20220402_338}	#{WUDAO_20220402_716}	6	12	18	24	30	3
339	NhÕn Nam Phi·Phá Bích	TalentSkillTianShan2_1	Nh¸	#{WUDAO_20220402_339}	#{WUDAO_20220402_717}	4	8	12	16	20	1
340	NhÕn Nam Phi·th¤u xß½ng	TalentSkillTianShan2_1	Nh¸	#{WUDAO_20220402_340}	#{WUDAO_20220402_718}	1	2	3	4	5	3
341	Ngàn d§m ðóng bång	TalentSkillTianShan2_11	Nh¸	#{WUDAO_20220402_341}	#{WUDAO_20220402_719}	3	6	9	12	15	1
342	Phøng Trøc ngàn d§m	TalentSkillTianShan2_14	Nh¸	#{WUDAO_20220402_342}	#{WUDAO_20220402_720}	20	40	60	80	100	2
343	T¥m Phong Cän Nguy®t	TalentSkillTianShan2_12	Nh¸	#{WUDAO_20220402_343}	#{WUDAO_20220402_721}	200	400	600	800	1000	3
344	Sß½ng Linh Chi C¯c	TalentSkillTianShan2_7	Nh¸	#{WUDAO_20220402_344}	#{WUDAO_20220402_722}	1	2	3	4	5	1
345	Nhß NhÕn Nhß Ca	TalentSkillTianShan2_1	Nh¸	#{WUDAO_20220402_345}	#{WUDAO_20220402_723}	40	80	120	160	200	3
