INT	STRING	STRING	STRING	INT	STRING	INT	INT	STRING
228	ErjimimaJiesuo	ErjimimaJiesuo\ErjimimaJiesuo.layout.xml	ErjimimaJiesuo\ErjimimaJiesuo.lua	1	yxaq	0	0	二级密码解锁
229	PetStudyNewSkill	PetStudyNewSkill\PetStudyNewSkill.layout.xml	PetStudyNewSkill\PetStudyNewSkill.lua	3	20	19	20	新版宠物普通技能学习界面
230	JinBiJiaoZi	JinBiJiaoZi\JinBiJiaoZi.layout.xml	JinBiJiaoZi\JinBiJiaoZi.lua	2	jz	19	20	金币兑换交子
231	FangChenMiRefuse	FangChenMiRefuse\FangChenMiRefuse.layout.xml	FangChenMiRefuse\FangChenMiRefuse.lua	0		0	0	未填实名拒绝登陆界面
236	TargetPet2	TargetPet2/TargetPet2.layout.xml	TargetPet2/TargetPet2.lua	1	17	19	20	通过Context查看宠物界面
237	NewMessageBall	NewMessageBall\NewMessageBall.layout.xml	NewMessageBall\NewMessageBall.lua	0		0	0	新消息球
238	NewMessageBall2	NewMessageBall2\NewMessageBall2.layout.xml	NewMessageBall2\NewMessageBall2.lua	0		0	0	新消息球
239	NewMsgBallHistory	NewMsgBallHistory\NewMsgBallHistory.layout.xml	NewMsgBallHistory\NewMsgBallHistory.lua	1	xxq	19	20	消息球历史记录
240	CampaignTrack	CampaignTrack\CampaignTrack.layout.xml	CampaignTrack\CampaignTrack.lua	0	20	19	20	活动追踪
241	MissionTrack	MissionTrack\MissionTrack.layout.xml	MissionTrack\MissionTrack.lua	0	20	19	20	任务追踪
242	TrustFriendList	TrustFriendList\TrustFriendList.layout.xml	TrustFriendList\TrustFriendList.lua	1	xrhb	19	20	信任伙伴界面
243	Compensate	Compensate\Compensate.layout.xml	Compensate\Compensate.lua	1		19	20	道具补偿归还界面
244	TodayGameList	TodayGameList/TodayGameList.layout.xml	TodayGameList/TodayGameList.lua	1	74	0	0	
245	AnqiUp	AnqiUp\AnqiUp.layout.xml	AnqiUp\AnqiUp.lua	3		0	0	暗器升级
247	PetPropagateCheck	PetPropagateCheck/PetPropagateCheck.layout.xml	PetPropagateCheck/PetPropagateCheck.lua	3	19	0	0	查询上一次珍兽繁殖等级
248	ConfraternityFirstMan	ConfraternityFirstMan/ConfraternityFirstMan.layout.xml	ConfraternityFirstMan/ConfraternityFirstMan.lua	3	5	0	0	第一继承人
249	YuanbaoBangdingExchange	YuanbaoBangdingExchange\YuanbaoBangdingExchange.layout.xml	YuanbaoBangdingExchange\YuanbaoBangdingExchange.lua	3	bdyb	19	20	元宝绑定
251	SalaryTaskList	SalaryTaskList\SalaryTaskList.layout.xml	SalaryTaskList\SalaryTaskList.lua	1	#N/A	0	0	工资任务
252	PetEquipStrengthen	PetEquipStrengthen\PetEquipStrengthen.layout.xml	PetEquipStrengthen\PetEquipStrengthen.lua	3	#N/A	19	20	珍兽装备强化
253	PetIdentify	PetIdentify/PetIdentify.layout.xml	PetIdentify/PetIdentify.lua	3	#N/A	19	20	珍兽装备资质鉴定
254	PetEquipSuitUp	PetEquipSuitUp/PetEquipSuitUp.layout.xml	PetEquipSuitUp/PetEquipSuitUp.lua	3	cwzb	0	0	珍兽装备升星界面
255	PetEquipSuitDepart	PetEquipSuitDepart/PetEquipSuitDepart.layout.xml	PetEquipSuitDepart/PetEquipSuitDepart.lua	3	cwzb	0	0	珍兽装备拆解界面
256	Wuhun	Wuhun/Wuhun.layout.xml	Wuhun/Wuhun.lua	3	whjs	34	20	武魂
257	WuhunExtraPropertyUp	WuhunExtraPropertyUp/WuhunExtraPropertyUp.layout.xml	WuhunExtraPropertyUp/WuhunExtraPropertyUp.lua	3	whkzsx	19	20	武魂扩展属性升级
258	WuhunMagicUp	WuhunMagicUp/WuhunMagicUp.layout.xml	WuhunMagicUp/WuhunMagicUp.lua	3	whhcdj	19	20	提升武魂灵力&扩展武魂属性&延长武魂寿命
259	WuhunSkillStudy	WuhunSkillStudy/WuhunSkillStudy.layout.xml	WuhunSkillStudy/WuhunSkillStudy.lua	3	whjn	19	20	武魂领悟技能、重洗技能
260	WuhunSkillUp	WuhunSkillUp/WuhunSkillUp.layout.xml	WuhunSkillUp/WuhunSkillUp.lua	3	whjn	19	20	武魂技能升级
261	WuhunExtraPropertyDel	WuhunExtraPropertyDel/WuhunExtraPropertyDel.layout.xml	WuhunExtraPropertyDel/WuhunExtraPropertyDel.lua	3	whkzsx	19	20	武魂删除扩展属性
262	PhoenixPlainWarSingle	PhoenixPlainWarSingle/PhoenixPlainWarSingle.layout.xml	PhoenixPlainWarSingle/PhoenixPlainWarSingle.lua	0	#N/A	0	0	
263	PhoenixPlainWarMulti	PhoenixPlainWarMulti/PhoenixPlainWarMulti.layout.xml	PhoenixPlainWarMulti/PhoenixPlainWarMulti.lua	1	#N/A	0	0	
264	Xiulian	Xiulian\Xiulian.layout.xml	Xiulian\Xiulian.lua	3	xljs	19	20	修炼
265	XiulianStudy	XiulianStudy\XiulianStudy.layout.xml	XiulianStudy\XiulianStudy.lua	3	xljs	19	20	修炼升级
266	PetHuanhua	PetHuanhua/PetHuanhua.layout.xml	PetHuanhua/PetHuanhua.lua	3		19	20	珍兽幻化
267	PetLingXingUp	PetLingXingUp/PetLingXingUp.layout.xml	PetLingXingUp/PetLingXingUp.lua	3		19	20	幻化珍兽灵性提升
268	TargetWuhun	TargetWuhun\TargetWuhun.layout.xml	TargetWuhun\TargetWuhun.lua	3	whjs	19	20	查看其他人武魂界面
269	WuhunRH	WuhunRH\WuhunRH.layout.xml	WuhunRH\WuhunRH.lua	3	whjs	19	20	武魂润魂石合成
270	WuhunQuest	WuhunQuest/WuhunQuest.layout.xml	WuhunQuest/WuhunQuest.lua	0	61	0	0	#N/A
271	PetShelizi_Msg	PetShelizi_Msg\PetShelizi_Msg.layout.xml	PetShelizi_Msg\PetShelizi_Msg.lua	0	#N/A	0	0	珍兽舍利子手动升级
272	Pethuantong	Pethuantong/Pethuantong.layout.xml	Pethuantong/Pethuantong.lua	3	#N/A	19	20	珍兽还童界面
273	PetLongzi	PetLongzi\PetLongzi.layout.xml	PetLongzi\PetLongzi.lua	0	#N/A	19	20	珍兽笼子
274	PetPropagateSingle	PetPropagateSingle/PetPropagateSingle.layout.xml	PetPropagateSingle/PetPropagateSingle.lua	2	#N/A	19	20	单人珍兽繁殖界面
275	ChannelSetFenping	ChannelSetFenping\ChannelSetFenping.layout.xml	ChannelSetFenping\ChannelSetFenping.lua	1	33	19	20	创建设置分屏频道
276	DressPaint	DressPaint\DressPaint.layout.xml	DressPaint\DressPaint.lua	3	szssx	19	20	时装染色
277	DressWash	DressWash\DressWash.layout.xml	DressWash\DressWash.lua	3	szssx	19	20	时装还原
279	ZhengyouMessage	ZhengyouMessage/ZhengyouMessage.layout.xml	ZhengyouMessage/ZhengyouMessage.lua	1		0	0	
280	Dress_Stiletto	Dress_Stiletto/Dress_Stiletto.layout.xml	Dress_Stiletto/Dress_Stiletto.lua	3	55	19	20	时装打孔
281	Dress_Enchase	Dress_Enchase/Dress_Enchase.layout.xml	Dress_Enchase/Dress_Enchase.lua	3	55	19	20	时装镶嵌
282	Dress_SplitGem	Dress_SplitGem/Dress_SplitGem.layout.xml	Dress_SplitGem/Dress_SplitGem.lua	3	55	19	20	时装配饰摘除
283	Dress_Materalcompose	Dress_Materalcompose/Dress_Materalcompose.layout.xml	Dress_Materalcompose/Dress_Materalcompose.lua	3	55	19	20	时装配饰摘除
284	DressEnchase_Fitting	DressEnchase_Fitting\DressEnchase_Fitting.layout.xml	DressEnchase_Fitting\DressEnchase_Fitting.lua	1	#N/A	19	20	时装镶嵌试衣间
285	TeamPT	TeamPT/TeamPT.layout.xml	TeamPT/TeamPT.lua	1		19	20	组队平台主界面
286	TeamPTFind	TeamPTFind/TeamPTFind.layout.xml	TeamPTFind/TeamPTFind.lua	1		19	20	组队平台找队伍界面
287	TeamPTZhaomu	TeamPTZhaomu/TeamPTZhaomu.layout.xml	TeamPTZhaomu/TeamPTZhaomu.lua	1		19	20	组队平台招募队员界面
288	SelectHeadFrame	SelectHeadFrame\SelectHeadFrame.layout.xml	SelectHeadFrame\SelectHeadFrame.lua	3	gbfx	19	20	DIY头像选择界面
289	TargetFrameDIY	TargetFrameDIY/TargetFrameDIY.layout.xml	TargetFrameDIY/TargetFrameDIY.lua	0		0	0	选中角色头像、属性
290	DWHecheng	DWHecheng/DWHecheng.layout.xml	DWHecheng/DWHecheng.lua	3	#N/A	19	20	雕纹合成
291	DWQianghua	DWQianghua/DWQianghua.layout.xml	DWQianghua/DWQianghua.lua	3	#N/A	19	20	雕纹强化
292	DWShike	DWShike/DWShike.layout.xml	DWShike/DWShike.lua	3	#N/A	19	20	雕纹蚀刻
293	DWChaichu	DWChaichu/DWChaichu.layout.xml	DWChaichu/DWChaichu.lua	3	#N/A	19	20	雕纹拆除
294	ProtectGoodsDel	ProtectGoodsDel/ProtectGoodsDel.layout.xml	ProtectGoodsDel/ProtectGoodsDel.lua	2	36	0	0	贵重物品销毁界面
296	HardwareNeedAdjust	HardwareNeedAdjust\HardwareNeedAdjust.layout.xml	HardwareNeedAdjust\HardwareNeedAdjust.lua	1		0	0	硬件密保需要校准
297	FreshmanWatch	FreshmanWatch\FreshmanWatch.layout.xml	FreshmanWatch\FreshmanWatch.lua	0		19	20	新手按时开奖倒计时界面
298	YbMarket	YbMarket\YbMarket.layout.xml	YbMarket\YbMarket.lua	1		0	0	元宝交易市场
299	FreshManIntro	FreshManIntro\FreshManIntro.layout.xml	FreshManIntro\FreshManIntro.lua	1		19	20	新手教程界面
300	HuaShanGRMatchSingle	HuaShanGRMatchSingle/HuaShanGRMatchSingle.layout.xml	HuaShanGRMatchSingle/HuaShanGRMatchSingle.lua	0	#N/A	0	0	
301	HuaShanGRMatchMulti	HuaShanGRMatchMulti/HuaShanGRMatchMulti.layout.xml	HuaShanGRMatchMulti/HuaShanGRMatchMulti.lua	1	#N/A	0	0	
302	FreshmanWatchMin	FreshmanWatchMin\FreshmanWatchMin.layout.xml	FreshmanWatchMin\FreshmanWatchMin.lua	0		19	20	新手按时开奖倒计时最小化
303	MsgBall_Connect	MsgBall_Connect\MsgBall_Connect.layout.xml	MsgBall_Connect\MsgBall_Connect.lua	1		0	0	解决消息包阻塞界面1
304	MsgBall_Connect_Msg	MsgBall_Connect_Msg\MsgBall_Connect_Msg.layout.xml	MsgBall_Connect_Msg\MsgBall_Connect_Msg.lua	1		0	0	解决消息包阻塞界面2
305	Huoyuezhiduixian	Huoyuezhiduixian/Huoyuezhiduixian.layout.xml	Huoyuezhiduixian/Huoyuezhiduixian.lua	1		0	0	商会金票兑现
306	YbMarketSale	YbMarketSale\YbMarketSale.layout.xml	YbMarketSale\YbMarketSale.lua	3		0	0	元宝交易管理界面
307	YbMarketUpItem	YbMarketUpItem\YbMarketUpItem.layout.xml	YbMarketUpItem\YbMarketUpItem.lua	3		0	0	元宝交易物品上架界面
308	YbMarketUpPet	YbMarketUpPet\YbMarketUpPet.layout.xml	YbMarketUpPet\YbMarketUpPet.lua	3		0	0	元宝交易珍兽上架界面
309	YB_Modify	YB_Modify\YB_Modify.layout.xml	YB_Modify\YB_Modify.lua	1		0	0	元宝市场修改价格
311	LoginTimer	LoginTimer/LoginTimer.layout.xml	LoginTimer/LoginTimer.lua	0	#N/A	0	0	登录流程倒计时界面
312	BugFeedBack	BugFeedBack/BugFeedBack.layout.xml	BugFeedBack/BugFeedBack.lua	1	#N/A	0	0	bug反馈界面
313	WorldCup	WorldCup\WorldCup.layout.xml	WorldCup\WorldCup.lua	1		0	0	2010南非世界杯
314	ViewSetup_Setup	ViewSetup_Setup/ViewSetup_Setup.layout.xml	ViewSetup_Setup/ViewSetup_Setup.lua	1	50	19	20	视频配置向导
315	SelectBetterServer	SelectBetterServer/SelectBetterServer.layout.xml	SelectBetterServer/SelectBetterServer.lua	1		0	0	登录排队
316	OnlyChangyoujia_Logon	OnlyChangyoujia_Logon/OnlyChangyoujia_Logon.layout.xml	OnlyChangyoujia_Logon/OnlyChangyoujia_Logon.lua	1		0	0	畅游加验证
318	Logon_FZKCheckFail	Logon_FZKCheckFail/Logon_FZKCheckFail.layout.xml	Logon_FZKCheckFail/Logon_FZKCheckFail.lua	1		0	0	防撞库安全验证
319	AutoAttackSkill	AutoAttackSkill/AutoAttackSkill.layout.xml	AutoAttackSkill/AutoAttackSkill.lua	2	42	32	33	自动战斗技能界面
320	EquipBaoshiyi	EquipBaoshiyi/EquipBaoshiyi.layout.xml	EquipBaoshiyi/EquipBaoshiyi.lua	3		19	20	宝石转移
321	EquipNewStrengthen	EquipNewStrengthen/EquipNewStrengthen.layout.xml	EquipNewStrengthen/EquipNewStrengthen.lua	3		19	20	装备强化转移
322	Award	Award/Award.layout.xml	Award/Award.lua	1		19	20	大理龚彩云领奖界面
323	ShenQiRepair	ShenQiRepair/ShenQiRepair.layout.xml	ShenQiRepair/ShenQiRepair.lua	3		19	20	神器修理
324	XinShouNew	XinShouNew/XinShouNew.layout.xml	XinShouNew/XinShouNew.lua	1	24	19	20	七日活跃
325	AccusationStudio	AccusationStudio/AccusationStudio.layout.xml	AccusationStudio/AccusationStudio.lua	1		19	20	举报
326	TopChongZhi	TopChongZhi/TopChongZhi.layout.xml	TopChongZhi/TopChongZhi.lua	1		19	20	累计充值超值增
327	MysteryShop	MysteryShop/MysteryShop.layout.xml	MysteryShop/MysteryShop.lua	3		19	20	神秘商店
329	PlayerResearch2	PlayerResearch2/PlayerResearch2.layout.xml	PlayerResearch2/PlayerResearch2.lua	0		19	20	问卷调查
331	MainMenuBar_4	MainMenuBar_4/MainMenuBar_4.layout.xml	MainMenuBar_4/MainMenuBar_4.lua	0	#N/A	0	0	#N/A
333	CampaignItemTip	CampaignItemTip/CampaignItemTip.layout.xml	CampaignItemTip/CampaignItemTip.lua	0	#N/A	0	0	展示道具
334	Gemcompose	Gemcompose/Gemcompose.layout.xml	Gemcompose/Gemcompose.lua	3		19	20	宝石熔炼
335	CaiLiaoCompound	CaiLiaoCompound/CaiLiaoCompound.layout.xml	CaiLiaoCompound/CaiLiaoCompound.lua	3		19	20	材料批量合成
337	YueKa	YueKa/YueKa.layout.xml	YueKa/YueKa.lua	3		19	20	月卡
340	HerosReturns	HerosReturns/HerosReturns.layout.xml	HerosReturns/HerosReturns.lua	0		19	20	回流主界面入口
341	HerosReturns_Awards	HerosReturns_Awards/HerosReturns_Awards.layout.xml	HerosReturns_Awards/HerosReturns_Awards.lua	3		19	20	回流奖励界面
342	HerosReturns_Mission	HerosReturns_Mission/HerosReturns_Mission.layout.xml	HerosReturns_Mission/HerosReturns_Mission.lua	3		19	20	回流七日界面
343	HerosReturns_Shop	HerosReturns_Shop/HerosReturns_Shop.layout.xml	HerosReturns_Shop/HerosReturns_Shop.lua	3		19	20	回流商店
344	Valentine	Valentine/Valentine.layout.xml	Valentine/Valentine.lua	0		19	20	情人节QTE对诗（情人节交互活动：2018/4/20 by hanle）
345	ValentineLetter	ValentineLetter/ValentineLetter.layout.xml	ValentineLetter/ValentineLetter.lua	3		19	20	三生卷轴
346	ValentineConfirm	ValentineConfirm/ValentineConfirm.layout.xml	ValentineConfirm/ValentineConfirm.lua	0		19	20	情人节互动完成确认界面（情人节交互活动：2018/4/20 by hanle）
347	HeXinChun	HeXinChun/HeXinChun.layout.xml	HeXinChun/HeXinChun.lua	3		19	20	天禧春华贺新春界面
348	RunHunShiCompound	RunHunShiCompound/RunHunShiCompound.layout.xml	RunHunShiCompound/RunHunShiCompound.lua	3		19	20	润魂石合成优化
349	SaoDang	SaoDang/SaoDang.layout.xml	SaoDang/SaoDang.lua	0	#N/A	0	0	扫荡快捷入口
350	SweepAll	SweepAll/SweepAll.layout.xml	SweepAll/SweepAll.lua	2		19	20	扫荡主页面
351	SweepPage	SweepPage/SweepPage.layout.xml	SweepPage/SweepPage.lua	2		19	20	扫荡页
352	ValentineRoseEnter	ValentineRoseEnter/ValentineRoseEnter.layout.xml	ValentineRoseEnter/ValentineRoseEnter.lua	0	#N/A	0	0	情人节排行榜快捷入口
353	ValentineRoseTopList	ValentineRoseTopList/ValentineRoseTopList.layout.xml	ValentineRoseTopList/ValentineRoseTopList.lua	2		19	20	情人节排行榜
354	ZhanJiangHu	ZhanJiangHu/ZhanJiangHu.layout.xml	ZhanJiangHu/ZhanJiangHu.lua	3		19	20	天禧春华战江湖界面
355	ValentineRosePrizePreview	ValentineRosePrizePreview/ValentineRosePrizePreview.layout.xml	ValentineRosePrizePreview/ValentineRosePrizePreview.lua	1		19	20	情人节展示界面
356	LandReward	LandReward/LandReward.layout.xml	LandReward/LandReward.lua	3		19	20	累计登陆界面
357	ChunfenItem	ChunfenItem/ChunfenItem.layout.xml	ChunfenItem/ChunfenItem.lua	3		19	20	一年之计在于春抽奖低级转盘
358	ChunfenWatch	ChunfenWatch/ChunfenWatch.layout.xml	ChunfenWatch/ChunfenWatch.lua	0		19	20	一年之计在于春抽奖倒计时
359	ChunfenItemNew	ChunfenItemNew/ChunfenItemNew.layout.xml	ChunfenItemNew/ChunfenItemNew.lua	3		19	20	一年之计在于春抽奖高级转盘
360	StoryBustTips	StoryBustTips/StoryBustTips.layout.xml	StoryBustTips/StoryBustTips.lua	0	#N/A	0	0	NPC谈话界面
363	RongYu_Shop	RongYu_Shop/RongYu_Shop.layout.xml	RongYu_Shop/RongYu_Shop.lua	2		19	20	荣誉商店界面
364	RongYuTitle	RongYuTitle/RongYuTitle.layout.xml	RongYuTitle/RongYuTitle.lua	1		19	20	荣誉称号界面
365	SongliaoWarCountDown	SongliaoWarCountDown/SongliaoWarCountDown.layout.xml	SongliaoWarCountDown/SongliaoWarCountDown.lua	0		19	20	宋辽大战倒计时
366	SongliaoWarDaojishi	SongliaoWarDaojishi/SongliaoWarDaojishi.layout.xml	SongliaoWarDaojishi/SongliaoWarDaojishi.lua	0		19	20	宋辽大战休息室倒计时
367	SongliaoWarDaojishi_Mini	SongliaoWarDaojishi_Mini/SongliaoWarDaojishi_Mini.layout.xml	SongliaoWarDaojishi_Mini/SongliaoWarDaojishi_Mini.lua	0		19	20	宋辽大战休息室倒计时缩小
368	SongliaoWarOver	SongliaoWarOver/SongliaoWarOver.layout.xml	SongliaoWarOver/SongliaoWarOver.lua	0		19	20	宋辽大战结束界面
369	SongliaoWarReport	SongliaoWarReport/SongliaoWarReport.layout.xml	SongliaoWarReport/SongliaoWarReport.lua	0		19	20	宋辽大战结算界面
370	SongliaoWarSingle	SongliaoWarSingle/SongliaoWarSingle.layout.xml	SongliaoWarSingle/SongliaoWarSingle.lua	0		19	20	宋辽大战战况界面
371	SongliaoWarSingle_Mini	SongliaoWarSingle_Mini/SongliaoWarSingle_Mini.layout.xml	SongliaoWarSingle_Mini/SongliaoWarSingle_Mini.lua	0		19	20	宋辽大战战况缩小
372	ChunfenItemGet	ChunfenItemGet/ChunfenItemGet.layout.xml	ChunfenItemGet/ChunfenItemGet.lua	3		19	20	一年之计在于春领奖界面
373	ZLHeroicPosts	ZLHeroicPosts/ZLHeroicPosts.layout.xml	ZLHeroicPosts/ZLHeroicPosts.lua	3		19	20	资料片英雄帖界面
374	ZLMysteriousLetter1	ZLMysteriousLetter1/ZLMysteriousLetter1.layout.xml	ZLMysteriousLetter1/ZLMysteriousLetter1.lua	3		19	20	资料片神秘人信件1界面
375	ZLSecretLetter	ZLSecretLetter/ZLSecretLetter.layout.xml	ZLSecretLetter/ZLSecretLetter.lua	3		19	20	资料片密函界面
376	ZLMysteriousLetter2	ZLMysteriousLetter2/ZLMysteriousLetter2.layout.xml	ZLMysteriousLetter2/ZLMysteriousLetter2.lua	3		19	20	资料片神秘人信件2界面
377	ZLLetter_Guide	ZLLetter_Guide/ZLLetter_Guide.layout.xml	ZLLetter_Guide/ZLLetter_Guide.lua	2		19	20	资料片信件整合界面
379	WuhunTupuActive	WuhunTupuActive/WuhunTupuActive.layout.xml	WuhunTupuActive/WuhunTupuActive.lua	3		19	20	武魂图谱激活界面
381	WuhunTupuStudy	WuhunTupuStudy/WuhunTupuStudy.layout.xml	WuhunTupuStudy/WuhunTupuStudy.lua	3		19	20	武魂图谱升级
382	WuhunTupuJinjie	WuhunTupuJinjie/WuhunTupuJinjie.layout.xml	WuhunTupuJinjie/WuhunTupuJinjie.lua	3		19	20	武魂图谱进阶
383	WuhunJian	WuhunJian/WuhunJian.layout.xml	WuhunJian/WuhunJian.lua	3		19	20	武魂图鉴
384	ChunfenItemGift	ChunfenItemGift/ChunfenItemGift.layout.xml	ChunfenItemGift/ChunfenItemGift.lua	1		19	20	一年之计在于春宝石礼盒界面
385	HerosMemory	HerosMemory/HerosMemory.layout.xml	HerosMemory/HerosMemory.lua	3		19	20	四月怀旧应景界面
386	HerosMemory_SixChoices	HerosMemory_SixChoices/HerosMemory_SixChoices.layout.xml	HerosMemory_SixChoices/HerosMemory_SixChoices.lua	1		19	20	四月怀旧应景变身界面
387	ZLHeroMeeting	ZLHeroMeeting/ZLHeroMeeting.layout.xml	ZLHeroMeeting/ZLHeroMeeting.lua	3		19	20	英雄大会界面
388	ZLHeroMeeting_Join	ZLHeroMeeting_Join/ZLHeroMeeting_Join.layout.xml	ZLHeroMeeting_Join/ZLHeroMeeting_Join.lua	3		19	20	英雄大会参与界面
389	ZLHeroMeeting_Manifesto	ZLHeroMeeting_Manifesto/ZLHeroMeeting_Manifesto.layout.xml	ZLHeroMeeting_Manifesto/ZLHeroMeeting_Manifesto.lua	1		19	20	英雄大会修改宣言界面
390	ZLHeroMeeting_Vote	ZLHeroMeeting_Vote/ZLHeroMeeting_Vote.layout.xml	ZLHeroMeeting_Vote/ZLHeroMeeting_Vote.lua	3		19	20	英雄大会投票界面
391	ZhouHuoYue	ZhouHuoYue/ZhouHuoYue.layout.xml	ZhouHuoYue/ZhouHuoYue.lua	1		19	20	周活跃界面
392	ZhouHuoYue_Quick	ZhouHuoYue_Quick/ZhouHuoYue_Quick.layout.xml	ZhouHuoYue_Quick/ZhouHuoYue_Quick.lua	0		19	20	周活跃界面快捷入口
393	DressJian	DressJian/DressJian.layout.xml	DressJian/DressJian.lua	1		19	20	移植经典版时装染色功能界面
394	SafeCenter_MobilePhone	SafeCenter_MobilePhone\SafeCenter_MobilePhone.layout.xml	SafeCenter_MobilePhone\SafeCenter_MobilePhone.lua	1		19	20	手机认证界面
395	PlayerQuicklyEnter	PlayerQuicklyEnter\PlayerQuicklyEnter.layout.xml	PlayerQuicklyEnter\PlayerQuicklyEnter.lua	0	#N/A	0	0	快捷入口
396	Jiaochang_PK_List	Jiaochang_PK_List\Jiaochang_PK_List.layout.xml	Jiaochang_PK_List\Jiaochang_PK_List.lua	1		19	20	校场观战
397	FreshManGuide	FreshManGuide\FreshManGuide.layout.xml	FreshManGuide\FreshManGuide.lua	0	#N/A	0	0	快捷入口
398	MonopolyGame	MonopolyGame\MonopolyGame.layout.xml	MonopolyGame\MonopolyGame.lua	3		19	20	祭车神
399	BigBank	BigBank/BigBank.layout.xml	BigBank/BigBank.lua	2	52	19	20	银行一体化界面
400	PetBankList	PetBankList/PetBankList.layout.xml	PetBankList/PetBankList.lua	1		19	20	珍兽银行
401	PetBankMain	PetBankMain/PetBankMain.layout.xml	PetBankMain/PetBankMain.lua	2		19	20	珍兽银行
404	ShowAgreement	ShowAgreement/ShowAgreement.layout.xml	ShowAgreement/ShowAgreement.lua	1		19	20	秀场
405	DiWangQi	DiWangQi/DiWangQi.layout.xml	DiWangQi/DiWangQi.lua	3		19	20	帝王器界面
406	DuanWuCXN	DuanWuCXN/DuanWuCXN.layout.xml	DuanWuCXN/DuanWuCXN.lua	1		19	20	猜香囊
407	YiMin_ReadMe	YiMin_ReadMe/YiMin_ReadMe.layout.xml	YiMin_ReadMe/YiMin_ReadMe.lua	1		19	20	服务器移民需知界面
408	DiGong_Shop	DiGong_Shop/DiGong_Shop.layout.xml	DiGong_Shop/DiGong_Shop.lua	1		19	20	地宫商店界面
409	QinHuangTime	QinHuangTime/QinHuangTime.layout.xml	QinHuangTime/QinHuangTime.lua	0		19	20	地宫信息界面
410	QinHuangTime2	QinHuangTime2/QinHuangTime2.layout.xml	QinHuangTime2/QinHuangTime2.lua	0		19	20	地宫信息2界面
411	QinHuangTime3	QinHuangTime3/QinHuangTime3.layout.xml	QinHuangTime3/QinHuangTime3.lua	0		19	20	地宫信息3界面
412	QinHuangTime_Mini	QinHuangTime_Mini/QinHuangTime_Mini.layout.xml	QinHuangTime_Mini/QinHuangTime_Mini.lua	0		19	20	地宫信息mini界面
413	ShowNoticeBall	ShowNoticeBall/ShowNoticeBall.layout.xml	ShowNoticeBall/ShowNoticeBall.lua	0		0	0	秀场通知消息球
414	ShowNotice	ShowNotice/ShowNotice.layout.xml	ShowNotice/ShowNotice.lua	3		19	20	秀场列表界面
415	QinChiDao	QinChiDao/QinChiDao.layout.xml	QinChiDao/QinChiDao.lua	1		19	20	秦驰道活动界面
416	XiaRi_SongBing	XiaRi_SongBing/XiaRi_SongBing.layout.xml	XiaRi_SongBing/XiaRi_SongBing.lua	1		19	20	夏日送冰活动界面
417	XiaRi_HanBing	XiaRi_HanBing/XiaRi_HanBing.layout.xml	XiaRi_HanBing/XiaRi_HanBing.lua	1		19	20	夏日寒冰活动界面
418	SeventhFestivalEnter	SeventhFestivalEnter/SeventhFestivalEnter.layout.xml	SeventhFestivalEnter/SeventhFestivalEnter.lua	0		19	20	七夕花榜入口
419	SeventhFestivalReceive	SeventhFestivalReceive/SeventhFestivalReceive.layout.xml	SeventhFestivalReceive/SeventhFestivalReceive.lua	2		19	20	七夕花榜累计收花榜
420	SeventhFestivalTopList	SeventhFestivalTopList/SeventhFestivalTopList.layout.xml	SeventhFestivalTopList/SeventhFestivalTopList.lua	2		19	20	七夕花榜
421	SeventhFestivalTopListPreview	SeventhFestivalTopListPreview/SeventhFestivalTopListPreview.layout.xml	SeventhFestivalTopListPreview/SeventhFestivalTopListPreview.lua	1		19	20	七夕花榜奖励预览
422	QiXi_QueQiang	QiXi_QueQiang/QiXi_QueQiang.layout.xml	QiXi_QueQiang/QiXi_QueQiang.lua	2		19	20	七夕鹊桥
423	ZhongQiu_TuanYuanFan	ZhongQiu_TuanYuanFan/ZhongQiu_TuanYuanFan.layout.xml	ZhongQiu_TuanYuanFan/ZhongQiu_TuanYuanFan.lua	2		19	20	中秋团圆饭
424	FeedYuTu	FeedYuTu/FeedYuTu.layout.xml	FeedYuTu/FeedYuTu.lua	3		19	20	喂食玉兔界面
425	Kaiyanxi	Kaiyanxi/Kaiyanxi.layout.xml	Kaiyanxi/Kaiyanxi.lua	3		19	20	开宴席界面
426	Mingcaitijiao	Mingcaitijiao/Mingcaitijiao.layout.xml	Mingcaitijiao/Mingcaitijiao.lua	3		19	20	开宴席名菜提交界面
427	Jianglixuanze	Jianglixuanze/Jianglixuanze.layout.xml	Jianglixuanze/Jianglixuanze.lua	3		19	20	开宴席奖励领取界面
429	TalentGuideLetter	TalentGuideLetter/TalentGuideLetter.layout.xml	TalentGuideLetter/TalentGuideLetter.lua	2		19	20	天赋引导任务信件界面
430	Talent_Shop	Talent_Shop/Talent_Shop.layout.xml	Talent_Shop/Talent_Shop.lua	3		19	20	天赋修炼任务商店
431	Talent_Studyup	Talent_Studyup/Talent_Studyup.layout.xml	Talent_Studyup/Talent_Studyup.lua	1		19	20	天赋修炼升级界面
432	Talent_Preview	Talent_Preview/Talent_Preview.layout.xml	Talent_Preview/Talent_Preview.lua	1		19	20	天赋修炼预览
433	Talent_Share	Talent_Share/Talent_Share.layout.xml	Talent_Share/Talent_Share.lua	1		19	20	天赋修炼分享
