INT	INT	INT	INT	INT	INT	INT	INT	
1398	-1	1521	-1	-1	-1	1	1398	
1399	-1	1522	-1	-1	-1	1	1399	
1409	-1	1524	-1	-1	-1	1	1409	
1419	-1	1524	-1	-1	-1	2	1409	
1420	-1	1524	-1	-1	-1	3	1409	
1421	-1	1524	-1	-1	-1	4	1409	
1422	-1	1524	-1	-1	-1	5	1409	
1423	-1	1524	-1	-1	-1	6	1409	
1424	-1	1524	-1	-1	-1	7	1409	
1425	-1	1524	-1	-1	-1	8	1409	
1426	-1	1524	-1	-1	-1	9	1409	
1438	-1	1528	-1	-1	-1	1	1438	
1439	-1	1529	-1	-1	-1	1	1439	
1444	-1	1528	-1	-1	-1	2	1438	
1445	-1	1528	-1	-1	-1	3	1438	
1446	-1	1528	-1	-1	-1	4	1438	
1447	-1	1528	-1	-1	-1	5	1438	
1448	-1	1528	-1	-1	-1	6	1438	
1449	-1	1528	-1	-1	-1	7	1438	
1450	-1	1528	-1	-1	-1	8	1438	
1451	-1	1528	-1	-1	-1	9	1438	
1482	-1	1540	-1	-1	-1	1	1482	
1505	-1	1547	-1	-1	-1	1	1505	
1506	-1	1548	-1	-1	-1	1	1506	
1522	-1	1555	-1	-1	-1	9	1513	
1524	-1	1558	-1	-1	-1	1	1524	
1527	-1	1558	-1	-1	-1	2	1524	
1528	-1	1558	-1	-1	-1	3	1524	
1529	-1	1558	-1	-1	-1	4	1524	
1530	-1	1558	-1	-1	-1	5	1524	
1531	-1	1558	-1	-1	-1	6	1524	
1532	-1	1558	-1	-1	-1	7	1524	
1533	-1	1558	-1	-1	-1	8	1524	
1534	-1	1558	-1	-1	-1	9	1524	
1535	-1	1561	-1	-1	-1	1	1535	
1538	-1	1564	-1	-1	-1	1	1538	
1539	-1	1565	-1	-1	-1	1	1539	
1540	-1	1566	-1	-1	-1	1	1540	
1541	-1	1567	-1	-1	-1	1	1541	
1542	-1	1568	-1	-1	-1	1	1542	
1543	-1	1569	-1	-1	-1	1	1543	
1544	-1	1570	-1	-1	-1	1	1544	
1545	-1	1571	-1	-1	-1	1	1545	
1546	-1	1572	-1	-1	-1	1	1546	
1547	-1	1573	-1	-1	-1	1	1547	
1548	-1	1574	-1	-1	-1	1	1548	
1549	-1	1575	-1	-1	-1	1	1549	
1550	-1	1576	-1	-1	-1	1	1550	
1551	-1	1561	-1	-1	-1	2	1535	
1552	-1	1561	-1	-1	-1	3	1535	
1553	-1	1561	-1	-1	-1	4	1535	
1554	-1	1561	-1	-1	-1	5	1535	
1555	-1	1561	-1	-1	-1	6	1535	
1556	-1	1561	-1	-1	-1	7	1535	
1557	-1	1561	-1	-1	-1	8	1535	
1558	-1	1561	-1	-1	-1	9	1535	
1559	-1	1577	-1	-1	-1	1	1559	
1560	-1	1577	-1	-1	-1	2	1559	
1561	-1	1577	-1	-1	-1	3	1559	
1562	-1	1577	-1	-1	-1	4	1559	
1563	-1	1577	-1	-1	-1	5	1559	
1564	-1	1577	-1	-1	-1	6	1559	
1565	-1	1577	-1	-1	-1	7	1559	
1566	-1	1577	-1	-1	-1	8	1559	
1567	-1	1577	-1	-1	-1	9	1559	
1568	-1	1578	-1	-1	-1	1	1568	
1569	-1	1579	-1	-1	-1	1	1569	
1570	-1	1580	-1	-1	-1	1	1570	
1571	-1	1581	-1	-1	-1	1	1571	
1572	-1	1582	-1	-1	-1	1	1572	
1575	-1	1585	-1	-1	-1	1	1575	
1576	-1	1581	-1	-1	-1	2	1571	
1577	-1	1581	-1	-1	-1	3	1571	
1578	-1	1581	-1	-1	-1	4	1571	
1579	-1	1581	-1	-1	-1	5	1571	
1580	-1	1581	-1	-1	-1	6	1571	
1581	-1	1581	-1	-1	-1	7	1571	
1582	-1	1581	-1	-1	-1	8	1571	
1583	-1	1581	-1	-1	-1	9	1571	
1584	-1	1586	-1	-1	-1	1	1584	
1585	-1	1587	-1	-1	-1	1	1585	
1586	-1	1588	-1	-1	-1	1	1586	
1587	-1	1589	-1	-1	-1	1	1587	
1588	-1	1590	-1	-1	-1	1	1588	
1589	-1	1591	-1	-1	-1	1	1589	
1590	-1	1589	-1	-1	-1	2	1587	
1591	-1	1589	-1	-1	-1	3	1587	
1592	-1	1589	-1	-1	-1	4	1587	
1593	-1	1589	-1	-1	-1	5	1587	
1594	-1	1589	-1	-1	-1	6	1587	
1595	-1	1589	-1	-1	-1	7	1587	
1596	-1	1589	-1	-1	-1	8	1587	
1597	-1	1589	-1	-1	-1	9	1587	
1598	-1	1592	-1	-1	-1	1	1598	
1599	-1	1593	-1	-1	-1	1	1599	
1600	-1	1594	-1	-1	-1	1	1600	
1601	-1	1592	-1	-1	-1	2	1598	
1602	-1	1592	-1	-1	-1	3	1598	
1603	-1	1592	-1	-1	-1	4	1598	
1604	-1	1592	-1	-1	-1	5	1598	
1605	-1	1592	-1	-1	-1	6	1598	
1606	-1	1592	-1	-1	-1	7	1598	
1607	-1	1592	-1	-1	-1	8	1598	
1608	-1	1592	-1	-1	-1	9	1598	
1609	-1	1593	-1	-1	-1	2	1599	
1610	-1	1593	-1	-1	-1	3	1599	
1611	-1	1593	-1	-1	-1	4	1599	
1612	-1	1593	-1	-1	-1	5	1599	
1613	-1	1593	-1	-1	-1	6	1599	
1614	-1	1593	-1	-1	-1	7	1599	
1615	-1	1593	-1	-1	-1	8	1599	
1616	-1	1593	-1	-1	-1	9	1599	
1617	-1	1595	-1	-1	-1	1	1617	
1618	-1	1596	-1	-1	-1	1	1618	
1619	-1	1597	-1	-1	-1	1	1619	
1621	-1	1599	-1	-1	-1	1	1621	
1622	-1	1594	-1	-1	-1	2	1600	
1623	-1	1594	-1	-1	-1	3	1600	
1624	-1	1594	-1	-1	-1	4	1600	
1625	-1	1594	-1	-1	-1	5	1600	
1626	-1	1594	-1	-1	-1	6	1600	
1627	-1	1594	-1	-1	-1	7	1600	
1628	-1	1594	-1	-1	-1	8	1600	
1629	-1	1594	-1	-1	-1	9	1600	
1631	-1	1601	-1	-1	-1	1	1631	
1633	-1	1603	-1	-1	-1	1	1633	
1634	-1	1604	-1	-1	-1	1	1634	
1635	-1	1599	-1	-1	-1	2	1621	
1636	-1	1599	-1	-1	-1	3	1621	
1637	-1	1599	-1	-1	-1	4	1621	
1638	-1	1599	-1	-1	-1	5	1621	
1639	-1	1599	-1	-1	-1	6	1621	
1640	-1	1599	-1	-1	-1	7	1621	
1641	-1	1599	-1	-1	-1	8	1621	
1642	-1	1599	-1	-1	-1	9	1621	
1643	-1	1605	-1	-1	-1	1	1643	
1644	-1	1606	-1	-1	-1	1	1644	
1655	-1	1617	-1	-1	-1	1	1655	
1659	-1	1621	-1	-1	-1	1	1659	
1660	-1	1604	-1	-1	-1	2	1634	
1661	-1	1604	-1	-1	-1	3	1634	
1662	-1	1604	-1	-1	-1	4	1634	
1663	-1	1604	-1	-1	-1	5	1634	
1664	-1	1604	-1	-1	-1	6	1634	
1665	-1	1604	-1	-1	-1	7	1634	
1666	-1	1604	-1	-1	-1	8	1634	
1667	-1	1604	-1	-1	-1	9	1634	
1670	-1	1624	-1	-1	-1	1	1670	
1671	-1	1625	-1	-1	-1	1	1671	
1672	-1	1626	-1	-1	-1	1	1672	
1673	-1	1621	-1	-1	-1	2	1659	
1674	-1	1621	-1	-1	-1	3	1659	
1675	-1	1621	-1	-1	-1	4	1659	
1676	-1	1621	-1	-1	-1	5	1659	
1677	-1	1621	-1	-1	-1	6	1659	
1678	-1	1621	-1	-1	-1	7	1659	
1679	-1	1621	-1	-1	-1	8	1659	
1680	-1	1621	-1	-1	-1	9	1659	
1681	-1	1627	-1	-1	-1	1	1681	
1682	-1	1628	-1	-1	-1	1	1682	
1683	-1	1628	-1	-1	-1	2	1682	
1684	-1	1628	-1	-1	-1	3	1682	
1685	-1	1628	-1	-1	-1	4	1682	
1686	-1	1628	-1	-1	-1	5	1682	
1687	-1	1628	-1	-1	-1	6	1682	
1688	-1	1628	-1	-1	-1	7	1682	
1689	-1	1628	-1	-1	-1	8	1682	
1690	-1	1628	-1	-1	-1	9	1682	
1691	-1	1629	-1	-1	-1	1	1691	
1692	-1	1630	-1	-1	-1	1	1692	
1693	-1	1631	-1	-1	-1	1	1693	
1694	-1	1625	-1	-1	-1	2	1671	
1695	-1	1625	-1	-1	-1	3	1671	
1696	-1	1625	-1	-1	-1	4	1671	
1697	-1	1625	-1	-1	-1	5	1671	
1698	-1	1625	-1	-1	-1	6	1671	
1699	-1	1625	-1	-1	-1	7	1671	
1700	-1	1625	-1	-1	-1	8	1671	
1701	-1	1625	-1	-1	-1	9	1671	
1705	-1	1635	-1	-1	-1	1	1705	
1706	-1	1636	-1	-1	-1	1	1706	
1707	-1	1637	-1	-1	-1	1	1707	
1708	-1	1588	-1	-1	-1	2	1586	
1709	-1	1588	-1	-1	-1	3	1586	
1710	-1	1588	-1	-1	-1	4	1586	
1711	-1	1588	-1	-1	-1	5	1586	
1712	-1	1588	-1	-1	-1	6	1586	
1713	-1	1588	-1	-1	-1	7	1586	
1714	-1	1588	-1	-1	-1	8	1586	
1715	-1	1588	-1	-1	-1	9	1586	
1716	-1	1638	-1	-1	-1	1	1716	
1717	-1	1597	-1	-1	-1	2	1619	
1718	-1	1597	-1	-1	-1	3	1619	
1719	-1	1597	-1	-1	-1	4	1619	
1720	-1	1597	-1	-1	-1	5	1619	
1721	-1	1597	-1	-1	-1	6	1619	
1722	-1	1597	-1	-1	-1	7	1619	
1723	-1	1597	-1	-1	-1	8	1619	
1724	-1	1597	-1	-1	-1	9	1619	
1725	-1	1639	-1	-1	-1	1	1725	
1726	-1	1640	-1	-1	-1	1	1726	
1727	-1	1641	-1	-1	-1	1	1727	
1728	-1	1642	-1	-1	-1	1	1728	
1729	-1	1643	-1	-1	-1	1	1729	
1730	-1	1642	-1	-1	-1	2	1728	
1731	-1	1642	-1	-1	-1	3	1728	
1732	-1	1642	-1	-1	-1	4	1728	
1733	-1	1642	-1	-1	-1	5	1728	
1734	-1	1642	-1	-1	-1	6	1728	
1735	-1	1642	-1	-1	-1	7	1728	
1736	-1	1642	-1	-1	-1	8	1728	
1737	-1	1642	-1	-1	-1	9	1728	
1738	-1	1631	-1	-1	-1	2	1693	
1739	-1	1631	-1	-1	-1	3	1693	
1740	-1	1631	-1	-1	-1	4	1693	
1741	-1	1631	-1	-1	-1	5	1693	
1742	-1	1631	-1	-1	-1	6	1693	
1743	-1	1631	-1	-1	-1	7	1693	
1744	-1	1631	-1	-1	-1	8	1693	
1745	-1	1631	-1	-1	-1	9	1693	
1746	-1	1644	-1	-1	-1	1	1746	
1747	-1	1644	-1	-1	-1	2	1746	
1748	-1	1644	-1	-1	-1	3	1746	
1749	-1	1644	-1	-1	-1	4	1746	
1750	-1	1644	-1	-1	-1	5	1746	
1751	-1	1644	-1	-1	-1	6	1746	
1752	-1	1644	-1	-1	-1	7	1746	
1753	-1	1644	-1	-1	-1	8	1746	
1754	-1	1644	-1	-1	-1	9	1746	
1761	-1	1651	-1	-1	-1	1	1761	
1767	-1	1657	-1	-1	-1	1	1767	
1768	-1	1639	-1	-1	-1	2	1725	
1769	-1	1639	-1	-1	-1	3	1725	
1770	-1	1639	-1	-1	-1	4	1725	
1771	-1	1639	-1	-1	-1	5	1725	
1772	-1	1639	-1	-1	-1	6	1725	
1773	-1	1639	-1	-1	-1	7	1725	
1774	-1	1639	-1	-1	-1	8	1725	
1775	-1	1639	-1	-1	-1	9	1725	
1776	-1	1658	-1	-1	-1	1	1776	
1779	-1	1661	-1	-1	-1	1	1779	
1780	-1	1657	-1	-1	-1	2	1767	
1781	-1	1657	-1	-1	-1	3	1767	
1782	-1	1657	-1	-1	-1	4	1767	
1783	-1	1657	-1	-1	-1	5	1767	
1784	-1	1657	-1	-1	-1	6	1767	
1785	-1	1657	-1	-1	-1	7	1767	
1786	-1	1657	-1	-1	-1	8	1767	
1787	-1	1657	-1	-1	-1	9	1767	
1788	-1	1662	-1	-1	-1	1	1788	
1790	-1	1664	-1	-1	-1	1	1790	
1799	-1	1665	-1	-1	-1	1	1799	
1801	-1	1667	-1	-1	-1	1	1801	
1807	-1	1661	-1	-1	-1	2	1779	
1808	-1	1661	-1	-1	-1	3	1779	
1809	-1	1661	-1	-1	-1	4	1779	
1810	-1	1661	-1	-1	-1	5	1779	
1811	-1	1661	-1	-1	-1	6	1779	
1812	-1	1661	-1	-1	-1	7	1779	
1813	-1	1661	-1	-1	-1	8	1779	
1814	-1	1661	-1	-1	-1	9	1779	
1815	-1	1673	-1	-1	-1	1	1815	
1817	-1	1675	-1	-1	-1	1	1817	
1820	-1	1678	-1	-1	-1	1	1820	
1823	-1	1681	-1	-1	-1	1	1823	
1826	-1	1684	-1	-1	-1	1	1826	
1828	-1	1686	-1	-1	-1	1	1828	
1829	-1	1687	-1	-1	-1	1	1829	
1830	-1	1688	-1	-1	-1	1	1830	
1839	-1	1689	-1	-1	-1	1	1839	
1857	-1	1707	-1	-1	-1	1	1857	
1858	-1	1708	-1	-1	-1	1	1858	
1859	-1	1681	-1	-1	-1	2	1823	
1860	-1	1681	-1	-1	-1	3	1823	
1861	-1	1681	-1	-1	-1	4	1823	
1862	-1	1681	-1	-1	-1	5	1823	
1863	-1	1681	-1	-1	-1	6	1823	
1864	-1	1681	-1	-1	-1	7	1823	
1865	-1	1681	-1	-1	-1	8	1823	
1866	-1	1681	-1	-1	-1	9	1823	
1867	-1	1709	-1	-1	-1	1	1867	
1869	-1	1709	-1	-1	-1	2	1867	
1870	-1	1709	-1	-1	-1	3	1867	
1871	-1	1709	-1	-1	-1	4	1867	
1872	-1	1709	-1	-1	-1	5	1867	
1873	-1	1709	-1	-1	-1	6	1867	
1874	-1	1709	-1	-1	-1	7	1867	
1875	-1	1709	-1	-1	-1	8	1867	
1876	-1	1709	-1	-1	-1	9	1867	
1877	-1	1711	-1	-1	-1	1	1877	
1880	-1	1714	-1	-1	-1	1	1880	
1881	-1	1715	-1	-1	-1	1	1881	
1882	-1	1716	-1	-1	-1	1	1882	
1899	-1	1725	-1	-1	-1	1	1899	
1902	-1	1728	-1	-1	-1	1	1902	
1903	-1	1729	-1	-1	-1	1	1903	
1927	-1	1737	-1	-1	-1	1	1927	
1928	-1	1738	-1	-1	-1	1	1928	
1929	-1	1739	-1	-1	-1	1	1929	
1945	-1	1747	-1	-1	-1	1	1945	
1948	-1	1750	-1	-1	-1	1	1948	
1960	-1	1754	-1	-1	-1	1	1960	
1961	-1	1755	-1	-1	-1	1	1961	
1976	-1	1762	-1	-1	-1	1	1976	
1991	-1	1769	-1	-1	-1	1	1991	
1992	-1	1770	-1	-1	-1	1	1992	
1993	-1	1771	-1	-1	-1	1	1993	
1995	-1	1773	-1	-1	-1	1	1995	
2012	-1	1782	-1	-1	-1	1	2012	
2015	-1	1785	-1	-1	-1	1	2015	
2017	-1	1787	-1	-1	-1	1	2017	
2027	-1	1789	-1	-1	-1	1	2027	
