INT	INT	STRING	STRING	STRING	INT	FLOAT	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT
43	7	Linh Tñu Công	Là loÕi th¥n công ðßþc tu t§p lÕi t× các ðµng tác cüa chim ðÕi bàng, xu¤t chiêu ðµc ác, không mµt chút nhân tình. Sau khi tu luy®n có th¬ nâng cao tï l® chính xác cüa ð® tØ phái Thiên S½n. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_11	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
44	7	Ti¬u Vô Tß¾ng Công	Th¥n Du Thái Hß có ngu°n g¯c t× ðÕo giáo, ý ni®m thanh t¸nh, lúc xu¤t và lúc thu h°i ð«u không ð¬ lÕi d¤u tích. Sau khi tu luy®n có th¬ nâng cao tï l® né tránh cüa ð® tØ phái Thiên S½n. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_12	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
45	7	Quy tÑc công	Ti«m tâm ti«m tÑc có ngu°n g¯c t× ðÕo giáo, chuyên v« nín th·, khiªn h½i th· cüa chính mình giäm xu¯ng mÑc th¤p nh¤t. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Thiên S½n. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_13	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
46	7	Thiên S½n Dung Tuyªt Công	Nµi công tâm pháp bí truy«n cüa phái Thiên S½n. Sau khi tu luy®n có th¬ nâng cao ngoÕi công lñc phòng ngñ cüa ð® tØ phái Thiên S½n. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_14	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
47	7	Thiên S½n Chiªt Mai Thü	Bí truy«n C¥m Nã Thü Pháp cüa phái Thiên S½n, sau khi tu luy®n có th¬ nâng cao ngoÕi công công kích cüa ð® tØ phái Thiên S½n. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_15	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
48	7	Thiên S½n Løc Dß½ng Chß·ng	Th¥n công tuy®t h÷c cüa phái Tiêu Dao, ðã ðßþc làm sáng danh thông qua Linh Tñu Cung, uy lñc cüa phái này ðã l×ng danh thiên hÕ, chï có ngß¶i ngoài không biªt mà thôi. Sau khi tu luy®n có th¬ nâng cao khí lên thßþng hÕn cüa ð® tØ phái Thiên S½n. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa3_16	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
49	8	Bách Hoa Kinh	Nghe nói có ngu°n g¯c · Thành Ðß¶ng, sØ døng tråm hoa làm ðß¶ng dçn l¯i, sØ døng nµi lñc ð¬ b¯ tr§n, khiªn ð¸ch thü r½i vào trong tr§n không l¯i thoát. Sau khi tu luy®n có th¬ nâng cao tï l® chính xác cüa ð® tØ phái Tiêu Dao. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_1	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
50	8	Ðµn Giáp Thiên Thß	Th¶i kÏ tam qu¯c Tã Ni«m Tiên Nhân ðã ghi nh§n lÕi kÏ môn ðµn giáp, v¾i phép thu§t tråm biªn vÕn hóa. Sau khi tu luy®n có th¬ nâng cao tï l® né tránh cüa ð® tØ phái Tiêu Dao. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_2	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
51	8	Thái Bình Yªu Thu§t	Th¶i kÏ tam qu¯c Nam Hoa Lão Tiên ðã ghi nh§n lÕi vi®c g÷i gió g÷i mßa, 1 phép thu§t khiªn møc tiêu b¸ l¶ m¶ chÆng biªt gì. Sau khi tu luy®n có th¬ nâng cao lñc sinh mÕng cüa ð® tØ phái Tiêu Dao. #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_3	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
52	8	Ðoän Ca Hành	T± sß cüa phái Tiêu Dao trong âm nhÕc ca t× ðã lãnh ngµ ra võ công tâm pháp. Sau khi tu luy®n có th¬ nâng cao nµi công lñc phòng ngñ cüa ð® tØ phái Tiêu Dao. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_4	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
53	8	Ðan Thanh Dçn	T± sß cüa phái Tiêu Dao ðã lãnh ngµ ra võ công tâm pháp t× nhæng bÑc tranh. Sau khi tu luy®n có th¬ nâng cao nµi công lñc công kích cüa ð® tØ phái Tiêu Dao. #r#c54FF00C¤p h÷c t§p 10#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_5	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
54	8	Kinh Ðào Chß·ng Pháp	Nhæng nåm g¥n ðây loÕi th¥n công l×ng danh thiên hÕ, không có mµt ai nào biªt ðßþc lai l¸ch cüa nó. Sau khi tu luy®n có th¬ nâng cao khí lên thßþng hÕn cüa ð® tØ phái Tiêu Dao, #r#c54FF00C¤p h÷c t§p 20#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_6	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
55	0	D¸ch Cân Kinh	ÐÕt Ma t± sß S· Trß¾c, Thiªu Lâm thÑ nh¤t tuy®t h÷c, gì bình thß¶ng võ công TÕi D¸ch Cân Kinh Thôi Ðµng dß¾i Quân Nång Hoá møc Vi th¥n kÏ. Tu t§p lúc sau có th¬ ð« cao Thi¬u Lâm Ð® TØ Ðích hi¬u ý mµt kích Su¤t. #r#c54FF00H÷c T§p c¤p b§c 35	XinFa4_7	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
56	1	CØu Dß½ng Thiên Thß	LoÕi sách chân kinh này ðßþc c¤t chÑa trong quy¬n kinh thÑ 4 Lång Gia Kinh cüa ÐÕt Ma, g¥n mß¶i m¤y nåm nay ðßþc Minh Giáo s· hæu. Sau khi tu luy®n có th¬ nâng cao tï l® hµi tâm nh¤t kích cüa ð® tØ phái Minh Giáo. #r#c54FF00C¤p h÷c t§p 35#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_8	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
57	2	Ðä C¦u B±ng Pháp	Võ công Cái Bang do t± sß gia cüa Cái Bang sáng l§p, cái tên tuy nghe không ðßþc hay, nhßng chiêu thÑc thiên biªn vÕn hóa. Sau khi tu luy®n có th¬ nâng cao tï l® hµi tâm nh¤t kích cüa ð® tØ phái Cái Bang. #r#c54FF00C¤p h÷c t§p 35#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_9	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
58	3	Tiên Thiên Công	Phß½ng pháp luy®n khí b¢ng hô h¤p ðßþc ðÕo giáo cüa Xích T°ng TØ sáng l§p, có th¬ tø t§p tam bäo nguyên khí, nguyên th¥n, nguyên tinh . Sau khi tu luy®n có th¬ nâng cao tï l® hµi tâm nh¤t kích cüa ð® tØ phái Võ Ðang. #r#c54FF00C¤p h÷c t§p 35#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_10	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
59	4	CØu Âm Thiên Thß	Lßng danh thiên hÕ cüa võ h÷c chi bäo, nghe nói có ngu°n g¯c t× ÐÕo Tàng, nµi dung bác ðÕi tinh thâm,bao hàm nµi công và ngoÕi công. Sau khi tu luy®n có th¬ nâng cao tï l® hµi tâm nh¤t kích cüa ð® tØ phái Nga Mi. #r#c54FF00C¤p h÷c t§p 35#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_11	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
60	5	Hóa Công ÐÕi Pháp	B¡c Minh Th¥n Công cüa phái Tiêu Dao là loÕi võ công bá ðÕo nh¤t, có th¬ làm nµi lñc cüa ð¯i thü tiêu tan. Sau khi tu luy®n có th¬ nâng cao tï l® hµi tâm nh¤t kích cüa ð® tØ phái Tinh Túc. #r#c54FF00C¤p h÷c t§p 35#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_12	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
61	6	Løc MÕch Th¥n Kiªm	Ð® nh¤t kiªm pháp cüa Thiên Long Tñ uy lñc vô cùng, v§n døng nµi lñc thâm h§u tÕo thành kiªm khí vô hình gây sát thß½ng cho møc tiêu. Sau khi tu luy®n có th¬ nâng cao tï l® h°i tâm nh¤t kích cüa ð® tØ phái Thiên Long. #r#c54FF00C¤p h÷c t§p 35#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_13	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
62	7	Sinh TØ Phù	Tr¤n cung chi bäo cüa Linh Tñu Cung sØ døng lñc lßþng cüa Thiên S½n Løc Dß½ng ð¬ hóa thüy thành bång, làm cho møc tiêu b¸ phong töa kinh mÕch. Sau khi tu luy®n có th¬ nâng cao tï l® h°i tâm nh¤t kích cüa ð® tØ phái Thiên S½n. #r#c54FF00C¤p h÷c t§p 35#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_14	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
63	8	B¡c Minh Th¥n Công	Th¥n công tuy®t thª cüa phái Tiêu Dao chü yªu là tích lûy nµi lñc. Sau khi tu luy®n có th¬ nâng cao tï l® h°i tâm nh¤t kích cüa ð® tØ phái Tiêu Dao. #r#c54FF00C¤p h÷c t§p 35#r#c54FF00C¤p cao nh¤t 119#r#c54FF00C¤p h÷c t§p cao nh¤t không th¬ cao h½n 5 c¤p so v¾i c¤p nhân v§t	XinFa4_15	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
64	10	Lang hoàn Ng÷c Giän	Trß¾c ðây trang chü Vß½ng D§t Chi Thü Lang Hoàn Phúc Ð¸a Nµi các phái võ h÷c tinh túy, dung nh§p C¥m KÛ, Tu SoÕn Tam Täi Nhi Thành. Tu t§p lúc sau có th¬ tång lên MÕn Ðà S½n Trang ð® tØ Ðích M®nh Trung Su¤t. #r#c54FF00H÷c T§p c¤p b§c 10	XinFa5_1	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
65	10	Tàn Phä Thông Khäo	Thßþng c± C¥m Khúc Tàn Phä, Do MÕn Ðà S½n Trang nhi«u thª h® thu nÕp khäo ðính, Dî Minh Lý Tri Nghîa, Nghiên T§p C¥m ÐÕo. Tu t§p lúc sau có th¬ tång lên MÕn Ðà S½n Trang ð® tØ Ðích Thi¬m T¸ Su¤t. #r#c54FF00H÷c T§p c¤p b§c 20	XinFa5_2	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
66	10	Hoa Lu§t mß¶i bäy Quy¬n	Tß½ng truy«n Vi Nam B¡c Tri«u th¶i kì mµt v¸ trang chü S· Trß¾c, ghi lÕi Li­u bách hoa Do b¡t ð¥u sinh Chí thßa th¾t Chi Lu§t, C§p Tá tiªng ðàn Sß¾ng Tñ tiªc h§n ngßÞng mµ loÕi tình cäm. Tu t§p lúc sau có th¬ tång lên MÕn Ðà S½n Trang ð® tØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 20	XinFa5_3	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
67	10	V¤n Tình Sao	Nghe nói Vi Th¸nh Ðß¶ng Th¶i mµt v¸ ðµt phá tiªng lòng Chi Cänh Ðích trang chü S· Tác, Ký Hæu Dî C¥m V¤n Tình phß½ng pháp, Vi ð¶i sau MÕn Ðà S½n Trang ð® tØ Nghiên T§p tiªng lòng Chi khuê bi¬u. Tu t§p lúc sau có th¬ tång lên MÕn Ðà S½n Trang ð® tØ Ðích nµi công lñc phòng ngñ. #r#c54FF00H÷c T§p c¤p b§c 10	XinFa5_4	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
68	10	Lang Gia Cñu Ði¬n	Lang Gia Vß½ng Th¸ S· Tàng chÑa nhi«u ði¬n t¸ch, Nµi Hæu Chª C¥m, Thì Hoa Chß Pháp. H§u Nhân y quan Nam Ðµ Chi Do, Cñu Ði¬n tr¢n tr÷c Nam HÕ, Hi®n n¤p trong MÕn Ðà S½n Trang. Tu t§p lúc sau có th¬ tång lên MÕn Ðà S½n Trang ð® tØ Ðích nµi công lñc công kích. #r#c54FF00H÷c T§p c¤p b§c 10	XinFa5_5	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
69	10	C¥m Phú	MÕn Ðà S½n Trang chí bäo mµt trong, Vi Kê Khang tñ tay viªt viªt, có th¬ nói Ki C¥m Ngh® góp lÕi Chi Tác. Tu t§p lúc sau có th¬ tång lên MÕn Ðà S½n Trang ð® tØ Ðích Khí hÕn mÑc cao nh¤t. #r#c54FF00H÷c T§p c¤p b§c 20	XinFa5_6	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
70	10	Th¸ Hoa Løc	Vi Giang Nam Quan Th¸ gia truy«n bí pháp, Løc có hoa Thäo ð£c tính, ðào tÕo quy t¡c chi tiªt, cûng có Trích Hi®p t½ bông thu§t. Quan Th¸ Gia Biªn H§u Tän Vu giang h°, Hi®n Vi MÕn Ðà S½n Trang t¤t cä. Tu t§p lúc sau có th¬ tång lên MÕn Ðà S½n Trang ð® tØ Ðích hi¬u ý mµt kích Su¤t. #r#c54FF00H÷c T§p c¤p b§c 35	XinFa5_7	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
71	10	Ðµn Dân Ði¬n Bí	Ghi lÕi Trß¾c Mµ Dung l¸ch ðÕi ti«n b¯i Võ H÷c Tâm Ð¡c Ðích bí t¸ch, Ð¡c Ki tinh túy, T§p Ki ðÕi thành. Ðß¶ng l¾n Quy Nh¤t, ðång phong tÕo cñc. Tu t§p lúc sau có th¬ tång lên Mµ Dung Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 80	FightSkillaoyi_3	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
72	0	Huy«n Cß½ng Ði¬n Bí	Ghi lÕi Trß¾c Thiªu Lâm l¸ch ðÕi ti«n b¯i Võ H÷c Tâm Ð¡c Ðích bí t¸ch, Ð¡c Ki tinh túy, T§p Ki ðÕi thành. Ðß¶ng l¾n Quy Nh¤t, ðång phong tÕo cñc. Tu t§p lúc sau có th¬ tång lên Thi¬u Lâm Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 80	FightSkillaoyi_6	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
73	1	Thiên Th¥n Ði¬n Bí	Ghi lÕi Trß¾c Minh Giáo l¸ch ðÕi ti«n b¯i Võ H÷c Tâm Ð¡c Ðích bí t¸ch, Ð¡c Ki tinh túy, T§p Ki ðÕi thành. Ðß¶ng l¾n Quy Nh¤t, ðång phong tÕo cñc. Tu t§p lúc sau có th¬ tång lên Minh Giáo Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 80	FightSkillaoyi_4	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
74	2	Ð¸a Vçn Ði¬n Bí	Ghi lÕi Trß¾c Cái Bang l¸ch ðÕi ti«n b¯i Võ H÷c Tâm Ð¡c Ðích bí t¸ch, Ð¡c Ki tinh túy, T§p Ki ðÕi thành. Ðß¶ng l¾n Quy Nh¤t, ðång phong tÕo cñc. Tu t§p lúc sau có th¬ tång lên Cái Bang Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 80	FightSkillaoyi_2	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
75	3	Trø Khung Ði¬n Bí	Ghi lÕi Trß¾c Võ Ðang l¸ch ðÕi ti«n b¯i Võ H÷c Tâm Ð¡c Ðích bí t¸ch, Ð¡c Ki tinh túy, T§p Ki ðÕi thành. Ðß¶ng l¾n Quy Nh¤t, ðång phong tÕo cñc. Tu t§p lúc sau có th¬ tång lên Võ Ðang Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 80	FightSkillaoyi_8	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
76	4	H²n Mang Ði¬n Bí	Ghi lÕi Trß¾c Nga Mi l¸ch ðÕi ti«n b¯i Võ H÷c Tâm Ð¡c Ðích bí t¸ch, Ð¡c Ki tinh túy, T§p Ki ðÕi thành. Ðß¶ng l¾n Quy Nh¤t, ðång phong tÕo cñc. Tu t§p lúc sau có th¬ tång lên Nga Mi Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 80	FightSkillaoyi_1	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
77	5	Hoang Lûy Ði¬n Bí	Ghi lÕi Trß¾c Tinh Túc l¸ch ðÕi ti«n b¯i Võ H÷c Tâm Ð¡c Ðích bí t¸ch, Ð¡c Ki tinh túy, T§p Ki ðÕi thành. Ðß¶ng l¾n Quy Nh¤t, ðång phong tÕo cñc. Tu t§p lúc sau có th¬ tång lên Tinh Túc Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 80	FightSkillaoyi_10	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
78	6	Hoàng S¥m Ði¬n Bí	Ghi lÕi Trß¾c Thiên Long l¸ch ðÕi ti«n b¯i Võ H÷c Tâm Ð¡c Ðích bí t¸ch, Ð¡c Ki tinh túy, T§p Ki ðÕi thành. Ðß¶ng l¾n Quy Nh¤t, ðång phong tÕo cñc. Tu t§p lúc sau có th¬ tång lên Thiên Long Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 80	FightSkillaoyi_5	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
79	7	H°ng Tinh Ði¬n Bí	Ghi lÕi Trß¾c Thiên S½n l¸ch ðÕi ti«n b¯i Võ H÷c Tâm Ð¡c Ðích bí t¸ch, Ð¡c Ki tinh túy, T§p Ki ðÕi thành. Ðß¶ng l¾n Quy Nh¤t, ðång phong tÕo cñc. Tu t§p lúc sau có th¬ tång lên Thiên S½n Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 80	FightSkillaoyi_7	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
80	8	Vû Cñc Ði¬n Bí	Ghi lÕi Trß¾c tiêu dao l¸ch ðÕi ti«n b¯i Võ H÷c Tâm Ð¡c Ðích bí t¸ch, Ð¡c Ki tinh túy, T§p Ki ðÕi thành. Ðß¶ng l¾n Quy Nh¤t, ðång phong tÕo cñc. Tu t§p lúc sau có th¬ tång lên Tiêu Dao Ð® TØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 80	FightSkillaoyi_9	0	6	0	80	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
81	11	Không c¯ kÜ Tâm Kinh	Không c¯ kÜ Tâm Kinh Nãi c¯c chü S½n QuÖ sáng chª«vô t§n Quyªt»Chi nh§p môn công pháp. T§p thiên hÕ võ h÷c tinh túy, thông hi¬u ðÕo lí, lâm vào Dî Døng. Bách Vô C¤m K¸, tñ tÕi nhß gió. Tu t§p lúc sau Khä tång lên Ác Nhân C¯c ð® tØ Ðích M®nh Trung Su¤t. #r#c54FF00H÷c T§p c¤p b§c 10	XinFa5_8	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
82	11	Ðoàn C¯t Thông MÕch Quyªt	Thü t× xßa T¸ch, Phø Nghiên dßþc lý. ÐoÕn C¯t Nhi Sinh Tu®, thông kinh MÕch Nhi Khai Huy®t. Tu t§p lúc sau có th¬ tång lên Ác Nhân C¯c ð® tØ Ðích Thi¬m T¸ Su¤t. #r#c54FF00H÷c T§p c¤p b§c 20	XinFa5_9	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
83	11	Thiên nhân Tam V¤n	Ngøy T¤n M² Tiên Sß Dî Tam Huy«n Vi Chiªu Nghî Xu¤t Tam V¤n. ThØ Quy¬n nhi«u l¥n phiêu linh, còn sót lÕi Tàn Chß½ng. S½n QuÖ ÐÕo Trung Thü Ngµ, biên soÕn Xu¤t võ h÷c Tâm Kinh Lßþng Thiên, còn ðây là thÑ nh¤t. Tu t§p lúc sau Khä tång lên Ác Nhân C¯c ð® tØ Ðích sinh m®nh lñc. #r#c54FF00H÷c T§p c¤p b§c 20	XinFa5_10	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
84	11	Hành ºa l­ pháp	Ác Nhân C¯c thành l§p Chi S½, Bách ºa Vån T¤n tiªn ðªn. S½n QuÖ cùng v¾i chuy®n trò, Bi®n Thi®n ÐÕo ºa. B¯n mß½i chín ngày sau, «Hành ºa l­ pháp»xu¤t thª. Tu t§p lúc sau Khä tång lên Ác Nhân C¯c ð® tØ Ðích nµi công lñc phòng ngñ. #r#c54FF00H÷c T§p c¤p b§c 10	XinFa5_11	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
85	11	ÐÕi công LßÞng Nghi	S½n QuÖ Nghiên«Tam V¤n», S· Trß¾c võ h÷c Tâm Kinh Chi thÑ hai. Dî Thanh Tr÷c rõ ràng vÕn v§t, ðµng tînh H² Vi Thiên Quan là vi®c chính Chï, công pháp r¤t mÕnh vô cùng. Tu t§p lúc sau có th¬ tång lên Ác Nhân C¯c ð® tØ Ðích nµi công lñc công kích. #r#c54FF00H÷c T§p c¤p b§c 10	XinFa5_12	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
86	11	M£c Tßþng Quyªt	Lòng có Minh Kính, M£c Tßþng thanh minh. Ác Nhân C¯c Nghiên thª gian M£c Tßþng S· SoÕn võ h÷c công pháp. Tu t§p lúc sau có th¬ tång lên Ác Nhân C¯c ð® tØ Ðích Khí hÕn mÑc cao nh¤t. #r#c54FF00H÷c T§p c¤p b§c 20	XinFa5_13	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
87	11	Vô t§n Quyªt	C¯c chü S½n QuÖ Dî Trung Nguyên Các Tôn các phái võ công chiêu thÑc Vi C¯t, Tây HÕ võ h÷c Tâm Kinh Vi Nhøc, không ng×ng tu luy®n Ma Hþp S· Thành Ðích mµt bµ bí t¸ch. Tu t§p lúc sau Khä tång lên Ác Nhân C¯c ð® tØ Ðích hi¬u ý mµt kích Su¤t. #r#c54FF00H÷c T§p c¤p b§c 35	XinFa5_14	8	0.05	0	35	45	0.05	60	0.1	75	0.1	90	0.15	105	0.2	120	0.25	135	0.3	150	0.35	175	0.4	200	0.45
