INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT							
4068	99	2200	RideHeader2_12							0	0	0	1	0		ToÕ KÜ: Huy«n Quân. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4069	99	2200	RideHeader2_10							0	0	0	1	0		ToÕ KÜ: Løc Ngô. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4070	99	2200	RideHeader2_13							0	0	0	1	0		ToÕ KÜ: Mµc Ngßu Lßu Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4071	99	2200	RideHeader2_14							0	0	0	1	0		ToÕ KÜ: Phù Vån KÜ Sî. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4072	99	2200	RideHeader2_11							0	0	0	1	0		ToÕ KÜ: Ðà Ði¬u. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4073	99	2200	Ride2_12							0	0	0	1	0		T÷a kÜ: Tuyªt Vû. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4074	99	2200	RideHeader2_7							0	0	0	1	0		T÷a kÜ: R°ng bay. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4075	99	2200	RideHeader2_16							0	0	0	1	0		T÷a kÜ: Ngß¶i kh±ng l°. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4076	99	2200	Ride2_3							0	0	0	1	0		ToÕ KÜ: Tuyªt Khiªu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4077	99	2200	Ride2_4							0	0	0	1	0		ToÕ KÜ: TØ Ði®n. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4078	99	2200	Ride2_16							0	0	0	1	0		T÷a kÜ: Minh Vû. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4079	99	2200	RideHeader2_8							0	0	0	1	0		ToÕ KÜ: Nhß Ý Hùng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4080	99	2200	Ride2_5							0	0	0	1	0		ToÕ KÜ: Bích ThuÖ Kim Tinh Thú. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4081	99	2200	Ride2_6							0	0	0	1	0		ToÕ KÜ: Niên Thú. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4082	99	2200	Ride2_7							0	0	0	1	0		ToÕ KÜ: Hoa Xa. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4083	99	2200	Ride2_8							0	0	0	1	0		ToÕ KÜ: Hoàn Chuy¬n Mµc Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4084	99	2200	RideHeader3_1							0	0	0	1	0		ToÕ KÜ: BÕch Vân. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4085	99	2200	RideHeader3_2							0	0	0	1	0		ToÕ KÜ: H¡c Th±. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4086	99	2200	RideHeader3_3							0	0	0	1	0		ToÕ KÜ: Cñ Viên. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4087	99	2200	RideHeader3_5							0	0	0	1	0		ToÕ KÜ: Lßu Li Phøng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4088	99	2200	RideHeader3_8							0	0	0	1	0		ToÕ KÜ: Ngân Nguy®t Lang. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4089	99	2200	RideHeader3_12							0	0	0	1	0		ToÕ KÜ: Li®t Di®m Sß. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4090	99	2200	RideHeader3_7							0	0	0	1	0		ToÕ KÜ: Nhß Ý H±. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4091	99	2200	RideHeader3_10							0	0	0	1	0		ToÕ KÜ: Long Huyªt Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4092	99	2200	RideHeader3_4							0	0	0	1	0		ToÕ KÜ: Vø Änh Ðiêu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4093	99	2200	RideHeader3_6							0	0	0	1	0		ToÕ KÜ: ThuÜ Liên HÕc. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4094	99	2200	RideHeader3_9							0	0	0	1	0		ToÕ KÜ: Th¤t Thái Lµc. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4095	99	2200	RideHeader3_11							0	0	0	1	0		ToÕ KÜ: Thanh Mao Ngßu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4096	99	2200	RideHeader3_13							0	0	0	1	0		Sí Bàng: Hoan Vû. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4097	99	2200	RideHeader3_14							0	0	0	1	0		ToÕ KÜ: Thi¬m Ði®n Ðiêu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4098	99	2200	RideHeader3_15							0	0	0	1	0		ToÕ KÜ: Ði®p Vû. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4099	99	2200	RideHeader2_10							0	0	0	1	0		ToÕ KÜ: Løc Ngô. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4100	99	2200	RideHeader3_16							0	0	0	1	0		ToÕ KÜ: Ba Thiên H±. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4101	99	2200	RideHeader4_4							0	0	0	1	0		ToÕ KÜ: Phi Long . Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4102	99	2200	RideHeader4_1							0	0	0	1	0		ToÕ KÜ: Dß½ng Dß½ng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4103	99	2200	RideHeader4_2							0	0	0	1	0		ToÕ KÜ: Tuyªt Dß½ng Dß½ng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4104	99	2200	RideHeader4_3							0	0	0	1	0		ToÕ KÜ: U Quang Dß½ng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4105	99	2200	RideHeader4_5							0	0	0	1	0		ToÕ KÜ: Hoä Di®m Ðiêu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4106	99	2200	RideHeader4_6							0	0	0	1	0		ToÕ KÜ: Hùng Miêu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4107	99	2200	RideHeader4_7							0	0	0	1	0		ToÕ KÜ: Lôi Nhçn Thú. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4108	99	2200	RideHeader4_8							0	0	0	1	0		ToÕ KÜ: Xích M¸ ¿ng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4109	99	2200	RideHeader4_9							0	0	0	1	0		ToÕ KÜ: Ám M¸ ¿ng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4110	99	2200	RideHeader4_10							0	0	0	1	0		ToÕ KÜ: TØ M¸ ¿ng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4111	99	2200	RideHeader5_1							0	0	0	1	0		ToÕ KÜ: Giang Nam Toä Giáp Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4112	99	2200	RideHeader5_2							0	0	0	1	0		ToÕ KÜ: ÐÕi MÕc Kim Qua Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4113	99	2200	RideHeader5_12							0	0	0	1	0		ToÕ KÜ: Xích Lân BÕch TrÕch. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4114	99	2200	RideHeader5_13							0	0	0	1	0		ToÕ KÜ: Thanh Lân BÕch TrÕch. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4115	99	2200	RideHeader6_14							0	0	0	1	0		ToÕ KÜ: Thiên Hà Linh Thß¾c. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4116	99	2200	RideHeader6_16							0	0	0	1	0		ToÕ KÜ: H¡c Thiên Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4117	99	2200	RideHeader8_8							0	0	0	1	0		ToÕ KÜ: Vân Tiêu Vû Dñc. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4118	99	2200	RideHeader9_5							0	0	0	1	0		ToÕ KÜ: Mµng Linh Tiên Câu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4119	99	2200	RideHeader4_11							0	0	0	1	0		T÷a kÜ: Tuy®t ð¸a. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4120	99	2200	RideHeader9_11							0	0	0	1	0		ToÕ KÜ: Ham Bäo Hùng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4121	99	2200	RideHeader4_12							0	0	0	1	0		T÷a kÜ: Nhiªp Cänh. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4122	99	2200	RideHeader4_12							0	0	0	1	0		T÷a kÜ: Nhiªp Cänh·Ði¬n Tàng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4123	99	2200	RideHeader4_13							0	0	0	1	0		T÷a kÜ: Løc hþp Dß. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4124	99	2200	RideHeader4_14							0	0	0	1	0		T÷a kÜ: Ðµ Tình. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4125	99	2200	RideHeader5_13							0	0	0	1	0		T÷a kÜ: Lång Tiêu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4126	99	2200	CircularTaskTool90_3							0	0	0	1	0		T÷a kÜ: ThuÏ Vân Dñc. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4127	99	2200	RideHeader4_15							0	0	0	1	0		T÷a kÜ: H°ng Hùng Vß½ng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +20%.	99	0	1	1							
4128	99	2200	RideHeader1_9							0	0	0	1	0		ToÕ KÜ: Løc Hành Ðiêu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4129	99	2200	RideHeader1_13							0	0	0	1	0		ToÕ KÜ: H±. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4130	99	2200	RideHeader1_1							0	0	0	1	0		ToÕ KÜ: Hoàng Phiêu Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4131	99	2200	RideHeader1_11							0	0	0	1	0		ToÕ KÜ: LÕc Ðà. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4132	99	2200	RideHeader2_2							0	0	0	1	0		ToÕ KÜ: HÕc. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4133	99	2200	RideHeader1_16							0	0	0	1	0		ToÕ KÜ: Thanh Phøng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4134	99	2200	RideHeader1_3							0	0	0	1	0		ToÕ KÜ: Mao Ngßu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4135	99	2200	RideHeader1_5							0	0	0	1	0		ToÕ KÜ: Lµc. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4136	99	2200	RideHeader1_9							0	0	0	1	0		ToÕ KÜ: Ðiêu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4137	99	2200	RideHeader1_7							0	0	0	1	0		ToÕ KÜ: Khôi Lang. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4138	99	2200	RideHeader1_14							0	0	0	1	0		ToÕ KÜ: BÕch H±. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4139	99	2200	RideHeader1_2							0	0	0	1	0		ToÕ KÜ: Thanh BÕch Thông Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4140	99	2200	RideHeader1_12							0	0	0	1	0		ToÕ KÜ: BÕch LÕc Ðà. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4141	99	2200	RideHeader2_1							0	0	0	1	0		ToÕ KÜ: Kim Dñc HÕc. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4142	99	2200	RideHeader1_15							0	0	0	1	0		ToÕ KÜ: H°ng BÕch Phøng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4143	99	2200	RideHeader1_4							0	0	0	1	0		ToÕ KÜ: BÕch Mao Ngßu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4144	99	2200	RideHeader1_6							0	0	0	1	0		ToÕ KÜ: BÕch Lµc. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4145	99	2200	RideHeader1_10							0	0	0	1	0		ToÕ KÜ: BÕch Ðiêu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4146	99	2200	RideHeader1_8							0	0	0	1	0		ToÕ KÜ: BÕch Lang. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4147	99	2200	RideHeader2_3							0	0	0	1	0		ToÕ KÜ: Sß TØ. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4148	99	2200	RideHeader2_4							0	0	0	1	0		ToÕ KÜ: BÕch Sß. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4149	99	2200	RideHeader2_6							0	0	0	1	0		T÷a kÜ: Tßþng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4150	99	2200	RideHeader2_15							0	0	0	1	0		ToÕ KÜ: Tê Ngßu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4151	99	2200	RideHeader2_12							0	0	0	1	0		ToÕ KÜ: Huy«n Quân. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4152	99	2200	RideHeader2_10							0	0	0	1	0		ToÕ KÜ: Løc Ngô. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4153	99	2200	RideHeader2_13							0	0	0	1	0		ToÕ KÜ: Mµc Ngßu Lßu Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4154	99	2200	RideHeader2_9							0	0	0	1	0		ToÕ KÜ: Hùng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4155	99	2200	RideHeader2_14							0	0	0	1	0		ToÕ KÜ: Phù Vån KÜ Sî. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4156	99	2200	RideHeader2_11							0	0	0	1	0		ToÕ KÜ: Ðà Ði¬u. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4157	99	2200	Ride2_15							0	0	0	1	0		ToÕ KÜ: Hà Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4158	99	2200	Ride2_11							0	0	0	1	0		ToÕ KÜ: Mã Xa. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4159	99	2200	Ride2_13							0	0	0	1	0		ToÕ KÜ: Thiên Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4160	99	2200	Ride2_9							0	0	0	1	0		ToÕ KÜ: Th¯ TØ. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4161	99	2200	Ride2_14							0	0	0	1	0		ToÕ KÜ: Vû Sß. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4162	99	2200	Ride2_10							0	0	0	1	0		ToÕ KÜ: Thu¥n Lµc. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4163	99	2200	RideHeader2_6							0	0	0	1	0		T÷a kÜ: Tßþng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4164	99	2200	RideHeader1_3							0	0	0	1	0		ToÕ KÜ: Mao Ngßu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4165	99	2200	RideHeader2_12							0	0	0	1	0		ToÕ KÜ: Huy«n Quân. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4166	99	2200	RideHeader2_10							0	0	0	1	0		ToÕ KÜ: Løc Ngô. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4167	99	2200	RideHeader2_13							0	0	0	1	0		ToÕ KÜ: Mµc Ngßu Lßu Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4168	99	2200	RideHeader2_14							0	0	0	1	0		ToÕ KÜ: Phù Vån KÜ Sî. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4169	99	2200	RideHeader2_11							0	0	0	1	0		ToÕ KÜ: Ðà Ði¬u. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4170	99	2200	Ride2_12							0	0	0	1	0		T÷a kÜ: Tuyªt Vû. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4171	99	2200	RideHeader2_7							0	0	0	1	0		T÷a kÜ: R°ng bay. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4172	99	2200	RideHeader2_16							0	0	0	1	0		T÷a kÜ: Ngß¶i kh±ng l°. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4173	99	2200	Ride2_3							0	0	0	1	0		ToÕ KÜ: Tuyªt Khiªu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4174	99	2200	Ride2_4							0	0	0	1	0		ToÕ KÜ: TØ Ði®n. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4175	99	2200	Ride2_16							0	0	0	1	0		T÷a kÜ: Minh Vû. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4176	99	2200	RideHeader2_8							0	0	0	1	0		ToÕ KÜ: Nhß Ý Hùng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4177	99	2200	Ride2_5							0	0	0	1	0		ToÕ KÜ: Bích ThuÖ Kim Tinh Thú. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4178	99	2200	Ride2_6							0	0	0	1	0		ToÕ KÜ: Niên Thú. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4179	99	2200	Ride2_7							0	0	0	1	0		ToÕ KÜ: Hoa Xa. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4180	99	2200	Ride2_8							0	0	0	1	0		ToÕ KÜ: Hoàn Chuy¬n Mµc Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4181	99	2200	RideHeader3_1							0	0	0	1	0		ToÕ KÜ: BÕch Vân. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4182	99	2200	RideHeader3_2							0	0	0	1	0		ToÕ KÜ: H¡c Th±. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4183	99	2200	RideHeader3_3							0	0	0	1	0		ToÕ KÜ: Cñ Viên. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4184	99	2200	RideHeader3_5							0	0	0	1	0		ToÕ KÜ: Lßu Li Phøng. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4185	99	2200	RideHeader3_8							0	0	0	1	0		ToÕ KÜ: Ngân Nguy®t Lang. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4186	99	2200	RideHeader3_12							0	0	0	1	0		ToÕ KÜ: Li®t Di®m Sß. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4187	99	2200	RideHeader3_7							0	0	0	1	0		ToÕ KÜ: Nhß Ý H±. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4188	99	2200	RideHeader3_10							0	0	0	1	0		ToÕ KÜ: Long Huyªt Mã. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4189	99	2200	RideHeader3_4							0	0	0	1	0		ToÕ KÜ: Vø Änh Ðiêu. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4190	99	2200	RideHeader3_6							0	0	0	1	0		ToÕ KÜ: ThuÜ Liên HÕc. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
4191	99	2200	RideHeader3_9							0	0	0	1	0		ToÕ KÜ: Th¤t Thái Lµc. Nhçm Dî kích hoÕt Ðích t÷a kÜ Trung cao nh¤t di ðµng t¯c ðµ +40%.	99	0	1	1							
