INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT
430	1	0-1300	0-1400	0	0	凤凰陵墓	凤凰古城随机刷新			    所有#G等级≥40级#W的玩家以#G凤凰古城争夺战的胜利者#W为队长组成#G3人#W的队伍就可以在#G凤凰古城#W挑战#Y摸金校尉#W及最终BOSS#Y搬山道人#W。击败#Y搬山道人#W就可能获得#Y武魂#W、#Y神兵符#W、#Y80门派坐骑#W等珍贵宝物。击败#Y搬山道人#W后可获得#Y活跃值#W。	1	凤凰古城随机刷新	40
431	1	0-2230	0-2330	0	0	凤凰陵墓	凤凰古城随机刷新			    所有#G等级≥40级#W的玩家以#G凤凰古城争夺战的胜利者#W为队长组成#G3人#W的队伍就可以在#G凤凰古城#W挑战#Y摸金校尉#W及最终BOSS#Y搬山道人#W。击败#Y搬山道人#W就可能获得#Y武魂#W、#Y神兵符#W、#Y80门派坐骑#W等珍贵宝物。击败#Y搬山道人#W后可获得#Y活跃值#W。	1	凤凰古城随机刷新	40
468	2	6-2000	6-2200	0	0	凤凰古城争夺战	束河古镇李野（150，152）		Huodong_3_8	    所有#G等级≥75级#W、#G心法等级都≥45级#W并加入了帮会的玩家在#G帮会等级不低于3级#W，并且帮会#G不处于低维护状态#W下都可以找#G束河古镇#R李野#{_INFOAIM150,152,260,李野}#W参与凤凰古城争夺战，为自己的帮会与同盟争夺荣誉！	1	去#G束河古镇#R李野#{_INFOAIM150,152,260,李野}#W处参与凤凰古城争夺战	75
503	2	3-2000	3-2200	0	0	凤凰古城争夺战	束河古镇李野（150，152）		Huodong_3_8	    所有#G等级≥75级#W、#G心法等级都≥45级#W并加入了帮会的玩家在#G帮会等级不低于3级#W，并且帮会#G不处于低维护状态#W下都可以找#G束河古镇#R李野#{_INFOAIM150,152,260,李野}#W参与凤凰古城争夺战，为自己的帮会与同盟争夺荣誉！	1	去#G束河古镇#R李野#{_INFOAIM150,152,260,李野}#W处参与凤凰古城争夺战	75
599	1	0-1045	0-1115	0	0	藏经阁	西湖、洱海、雁南			    一群恶僧与伪官兵突袭少林，武林绝学危在旦夕。少林云游武僧在#G西湖#W、#G洱海#W、#G雁南#W集合，准备回寺援助。所有#G等级≥40级#W的玩家组成#G3人以上#W的队伍可以与武僧协同战斗，保护中原绝学不失。更有机会获得珍贵的#Y贝叶经残片#W。击败#Y蒙面恶僧#W后可获得#Y活跃值#W。	1	在西湖、洱海、雁南与少林云游武僧一起保护藏经阁	40
1017	2	1-2100	1-2200	0	0	兵行四象	苏州种师道（193，144）		Huodong_12_11	    雁门关外，四象现世，乃决天下王师之所在。是故宋辽两军相峙，互为犄角，并招募天下豪杰入局，欲切磋以沙场百战之法，一定乾坤。#r    参与活动将可获得四象荣誉、江南锁甲马、大漠金戈马、四象封赏、兵行四象称号等丰厚奖励。	1	前往#G苏州#R种师道#{_INFOAIM193,144,1,-1}#W处参与活动	60
1018	2	3-2100	3-2200	0	0	兵行四象	苏州种师道（193，144）		Huodong_12_11	    雁门关外，四象现世，乃决天下王师之所在。是故宋辽两军相峙，互为犄角，并招募天下豪杰入局，欲切磋以沙场百战之法，一定乾坤。#r    参与活动将可获得四象荣誉、江南锁甲马、大漠金戈马、四象封赏、兵行四象称号等丰厚奖励。	1	前往#G苏州#R种师道#{_INFOAIM193,144,1,-1}#W处参与活动	60
1019	2	5-2100	5-2200	0	0	兵行四象	苏州种师道（193，144）		Huodong_12_11	    雁门关外，四象现世，乃决天下王师之所在。是故宋辽两军相峙，互为犄角，并招募天下豪杰入局，欲切磋以沙场百战之法，一定乾坤。#r    参与活动将可获得四象荣誉、江南锁甲马、大漠金戈马、四象封赏、兵行四象称号等丰厚奖励。	1	前往#G苏州#R种师道#{_INFOAIM193,144,1,-1}#W处参与活动	60
1072	2	2-2120	2-2200	0	0	剑会群雄	大理周叔彬、苏州周仲青、洛阳周尚		Huodong_13_9	    #Y剑会群雄#W新赛季期间，所有等级满#G60#W级的侠士，可前往#G大理#{_INFOAIM97,209,2,周叔彬}#R周叔彬#W、#G苏州#{_INFOAIM193,133,1,周仲青}#R周仲青#W、#G洛阳#{_INFOAIM166,108,0,周尚}#R周尚#W处，组建战队并与同战队成员组成#G6#W人队伍参加#Y剑会群雄#W。	0	在#G大理#{_INFOAIM97,209,2,周叔彬}#R周叔彬#W、#G苏州#{_INFOAIM193,133,1,周仲青}#R周仲青#W、#G洛阳#{_INFOAIM166,108,0,周尚}#R周尚#W处，参加#Y剑会群雄#W。	60
1073	2	4-2120	4-2200	0	0	剑会群雄	大理周叔彬、苏州周仲青、洛阳周尚		Huodong_13_9	    #Y剑会群雄#W新赛季期间，所有等级满#G60#W级的侠士，可前往#G大理#{_INFOAIM97,209,2,周叔彬}#R周叔彬#W、#G苏州#{_INFOAIM193,133,1,周仲青}#R周仲青#W、#G洛阳#{_INFOAIM166,108,0,周尚}#R周尚#W处，组建战队并与同战队成员组成#G6#W人队伍参加#Y剑会群雄#W。	0	在#G大理#{_INFOAIM97,209,2,周叔彬}#R周叔彬#W、#G苏州#{_INFOAIM193,133,1,周仲青}#R周仲青#W、#G洛阳#{_INFOAIM166,108,0,周尚}#R周尚#W处，参加#Y剑会群雄#W。	60
1074	2	6-2120	6-2200	0	0	剑会群雄	大理周叔彬、苏州周仲青、洛阳周尚		Huodong_13_9	    #Y剑会群雄#W新赛季期间，所有等级满#G60#W级的侠士，可前往#G大理#{_INFOAIM97,209,2,周叔彬}#R周叔彬#W、#G苏州#{_INFOAIM193,133,1,周仲青}#R周仲青#W、#G洛阳#{_INFOAIM166,108,0,周尚}#R周尚#W处，组建战队并与同战队成员组成#G6#W人队伍参加#Y剑会群雄#W。	0	在#G大理#{_INFOAIM97,209,2,周叔彬}#R周叔彬#W、#G苏州#{_INFOAIM193,133,1,周仲青}#R周仲青#W、#G洛阳#{_INFOAIM166,108,0,周尚}#R周尚#W处，参加#Y剑会群雄#W。	60
1104	2	5-1900	5-2400	0	0	雁门论武	洛阳孟闯（59，95）		Huodong_14_11	    为了交流武学，携手并进，武林各大门派联合举办#Y雁门论武#W活动，由#G洛阳#{_INFOAIM59,95,0,孟闯}#R孟闯#W负责报名事宜。	0	#G洛阳#{_INFOAIM59,95,0,孟闯}#R孟闯#W参与#Y雁门论武#W	60
1108	2	2-1900	2-2400	0	0	雁门论武	洛阳孟闯（59，95）		Huodong_14_11	    为了交流武学，携手并进，武林各大门派联合举办#Y雁门论武#W活动，由#G洛阳#{_INFOAIM59,95,0,孟闯}#R孟闯#W负责报名事宜。	0	#G洛阳#{_INFOAIM59,95,0,孟闯}#R孟闯#W参与#Y雁门论武#W	60
1116	2	1-1500	1-1600	0	0	兽魂之乱	玄武岛、玄武岛·镜		PetSoulEquip1_12	    巫术又起，大量兽魂再次失控！#G玄武岛#W与#G玄武岛·镜#W即将遍布兽魂的心魔。#r    #G玄武岛#W会在随机位置出现#R荒兽兽魂心魔#W和#R灵兽兽魂心魔#W，少侠可击败它们以获取#Y荒兽魂玉#W和#Y灵兽魂玉#W。#G玄武岛·镜#W会在随机位置出现#R神兽兽魂心魔#W和#R荒兽兽魂心魔#W，玩家可击败它们以获取#Y神兽魂玉#W和#Y荒兽魂玉#W。#r    每日击败#R兽魂心魔#W可获得的奖励次数有上限。	1	在#G玄武岛#W、#G玄武岛·镜#W平息#Y兽魂之乱#W	85
1117	2	1-2100	1-2200	0	0	兽魂之乱	玄武岛、玄武岛·镜		PetSoulEquip1_12	    巫术又起，大量兽魂再次失控！#G玄武岛#W与#G玄武岛·镜#W即将遍布兽魂的心魔。#r    #G玄武岛#W会在随机位置出现#R荒兽兽魂心魔#W和#R灵兽兽魂心魔#W，少侠可击败它们以获取#Y荒兽魂玉#W和#Y灵兽魂玉#W。#G玄武岛·镜#W会在随机位置出现#R神兽兽魂心魔#W和#R荒兽兽魂心魔#W，玩家可击败它们以获取#Y神兽魂玉#W和#Y荒兽魂玉#W。#r    每日击败#R兽魂心魔#W可获得的奖励次数有上限。	1	在#G玄武岛#W、#G玄武岛·镜#W平息#Y兽魂之乱#W	85
1118	4	0105-0000	0105-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1119	4	0106-0000	0106-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1120	4	0119-0000	0119-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1121	4	0120-0000	0120-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1122	4	0202-0000	0202-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1123	4	0203-0000	0203-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1124	4	0216-0000	0216-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1125	4	0217-0000	0217-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1126	4	0301-0000	0301-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1127	4	0302-0000	0302-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1128	4	0315-0000	0315-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1129	4	0316-0000	0316-1930	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1130	4	0112-1800	0112-2400	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
1131	4	0113-1800	0113-2400	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
1132	4	0126-1800	0126-2400	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
1133	4	0127-1800	0127-2400	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
1134	4	0209-1800	0209-2400	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
1135	4	0210-1800	0210-2400	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
1136	4	0223-1800	0223-2400	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
1137	4	0224-1800	0224-2400	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
1138	4	0308-1800	0308-2400	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
1139	4	0309-1800	0309-2400	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
1140	4	0329-1630	0329-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1141	4	0330-1630	0330-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1142	4	0412-1630	0412-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1143	4	0413-1630	0413-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1144	4	0426-1630	0426-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1145	4	0427-1630	0427-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1146	4	0510-1630	0510-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1147	4	0511-1630	0511-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1148	4	0524-1630	0524-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1149	4	0525-1630	0525-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1150	4	0607-1630	0607-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1151	4	0608-1630	0608-2359	0	0	冠绝师门·问鼎	各门派报名人		Huodong_14_14	    #Y冠绝师门·问鼎#W活动即将开启。所有等级达#G60#W级的侠士，在#Y雁门论武#W中击败亲传弟子均有机会报名参与#Y冠绝师门·问鼎#W活动，报名会截止于通关#Y雁门论武#W亲传难度最快的前#G16#W名侠士，通过提交#Y师门书柬#W进行报名可获得额外交子奖励。并在#G周六19:00#W通过#G1v1#W淘汰赛的方式竞选最强者荣登门派第一人之位。	0	在门派#R报名人#W处参与	60
1152	4	0322-1000	0322-2200	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
1153	4	0323-1000	0323-2200	0	0	冠绝师门·举贤	各门派举荐人		Huodong_14_13	    #Y冠绝师门·举贤#W活动即将开启。所有等级达#G60#W级的侠士，若意属大弟子之位，请于活动周的#G周五18:00#W至#G24:00#W前往本派#R举荐人#W处报名参与，并召同门使用#Y举贤重笔#W签下#Y录英集#W以示拥护。活动周的#G周六10:00#W至#G22:00#W将开启投票，投票排名第#G1#W位者，可荣登#G大弟子之位#W。仅#G同门派#W、#G60#W级以上的少侠才能进行投票，投票可获得经验奖励。	0	在门派#R举荐人#W处参与	60
