INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
207	695	32	506	507	508	509	510	44	Vû Di Ðông B¡c	Lînh Nam	20400009	20400015	20400023	20102004	20102005	255	38
208	696	33	506	507	508	509	510	45	Mai Lînh Ðông B¡c	Lînh Nam	20400006	20400011	20400025	20102004	20102005	269	37
209	697	26	526	527	528	529	530	46	ThÕch Lâm Chính Tây	ThÕch Thành	20400009	20400015	20400017	20102004	20102005	44	178
210	698	27	526	527	528	529	530	47	Ng÷c Khê Chính B¡c	ThÕch Thành	20400006	20400011	20400019	20102004	20102005	178	37
211	699	22	501	502	503	504	505	48	Trß¶ng BÕch S½n chính nam	Tái ngoÕi	20400004	20400013	20400020	20102004	20102005	216	282
212	700	23	501	502	503	504	505	49	Hoàng Long Phü Ðông Nam	Tái ngoÕi	20400009	20400014	20400022	20102004	20102005	253	285
213	701	34	516	517	518	519	520	50	Nam Häi tây nam	CØa bi¬n	20400009	20400014	20400024	20102004	20102005	107	228
214	702	35	516	517	518	519	520	51	QuÏnh Châu Chính Ðông	CØa bi¬n	20400004	20400013	20400027	20102004	20102005	243	150
215	703	28	531	532	533	534	535	52	Nam Chiªu Ðông Nam	Miêu Vñc	20400009	20400014	20400026	20102004	20102005	273	241
216	704	29	531	532	533	534	535	53	Miêu Cß½ng Ðông B¡c	Miêu Vñc	20400004	20400013	20400019	20102004	20102005	250	45
