INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
208	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
209	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
210	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
211	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
212	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
213	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
214	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	0	LÕc Dß½ng	20	139	182
215	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	20	230	129
216	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	1	Tô Châu	20	111	160
217	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	20	239	128
218	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	2	ÐÕi Lý	20	241	136
219	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	186	Lâu Lan	75	285	130
220	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
221	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
222	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
223	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
224	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
225	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
226	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
227	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
228	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
229	Kiªm Các	7	Long C±	399	280	81	-1	-1	-1	-1	400	T¥n Hoàng Ð¸a Cung T¥ng 1	10	227	224
230	LÕc Dß½ng	0	Vân Hàm Nhi	148	182	155	118	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
231	Tô Châu	1	Vân Tß Nhi	155	87	144	-1	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
232	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
233	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
234	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
235	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
236	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
237	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
238	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
239	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
240	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
241	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	0	LÕc Dß½ng	10	182	155
242	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	1	Tô Châu	10	87	144
243	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
244	Ti«n trang	181	Chu Hoa Vinh	1	64	61	-1	-1	-1	-1	0	LÕc Dß½ng	10	205	172
245	Tô Châu	1	Lâm Tri«u Hùng	150	178	129	-1	-1	-1	-1	194	Hàn Ng÷c C¯c	0	26	26
246	Hàn Ng÷c C¯c	194	Lâm Tri«u Hùng	0	26	26	-1	-1	-1	-1	1	Tô Châu	0	178	129
247	LÕc Dß½ng	0	Vß½ng Tích Tân	142	269	88	-1	-1	-1	-1	418	LÕc Dß½ng Ð® Nh¤t Hßu TÑc Th¤t	0	32	12
248	LÕc Dß½ng	0	Vß½ng Tích Tân	142	269	88	-1	-1	-1	-1	419	LÕc Dß½ng Ð® Nh¸ Hßu TÑc Th¤t	0	32	12
249	ÐÕi Lý	2	Trß½ng D¸ch Qu¯c	156	274	95	-1	-1	-1	-1	193	ÐÕi Lý Hßu TÑc Th¤t	0	32	12
250	Tô Châu	1	Trß½ng D¸ch Qu¯c	143	174	147	-1	-1	-1	-1	518	Tô Châu Hßu TÑc Th¤t	0	32	12
251	LÕc Dß½ng Ð® Nh¤t Hßu TÑc Th¤t	418	H° Ti¬u Tiên	0	32	12	-1	-1	-1	-1	0	LÕc Dß½ng	0	269	88
252	LÕc Dß½ng Ð® Nh¸ Hßu TÑc Th¤t	419	H° Ti¬u Tiên	0	32	12	-1	-1	-1	-1	0	LÕc Dß½ng	0	269	88
253	ÐÕi Lý Hßu TÑc Th¤t	193	H° Ti¬u Tiên	0	32	12	-1	-1	-1	-1	2	ÐÕi Lý	0	274	95
254	Tô Châu Hßu TÑc Th¤t	518	H° Ti¬u Tiên	0	32	12	-1	-1	-1	-1	1	Tô Châu	0	174	147
255	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
256	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
257	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
258	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
259	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
260	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
261	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
262	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
263	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
264	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	186	Lâu Lan	75	285	130
265	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	186	Lâu Lan	75	285	130
266	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	186	Lâu Lan	75	285	130
267	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	186	Lâu Lan	75	285	130
268	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	186	Lâu Lan	75	285	130
269	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	186	Lâu Lan	75	285	130
270	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	186	Lâu Lan	75	285	130
271	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	186	Lâu Lan	75	285	130
272	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	186	Lâu Lan	75	285	130
273	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
274	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
275	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
276	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
277	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
278	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
279	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
280	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
281	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
282	Thúc Hà C± Tr¤n	420	Lí Minh Dß½ng	30	25	288	-1	-1	-1	-1	25	Thß½ng S½n	20	164	55
283	ÐÕi Lý	2	ÉêÇé	94	255	126	-1	-1	-1	-1	62	H§u Hoa Viên	7	100	97
284	LÕc Dß½ng	0	Kim Løc Gia	50	205	172	-1	-1	-1	-1	181	Ti«n trang	10	65	62
285	LÕc Dß½ng	0	Vân Hàm Nhi	148	182	155	-1	-1	-1	-1	158	Thánh Thú S½n	21	233	225
286	ÐÕi Lý	2	Tri®u Thiên Sß	139	160	156	-1	-1	-1	-1	50	Ti¬u Mµc Nhân HÕng	9	82	76
287	Huy«n Vû Ðäo	39	Truy«n t¯ng Ði¬m	0	290	60	-1	-1	-1	-1	158	Thánh Thú S½n	21	235	230
288	ÐÕi Lý	2	Häi Phong TØ	28	163	136	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
289	ÐÕi Lý	2	Ðàm Ðài TØ Vû	26	163	129	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
290	ÐÕi Lý	2	Tu® D¸ch	25	156	132	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
291	ÐÕi Lý	2	Trình Thanh Sß½ng	62	163	139	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
292	ÐÕi Lý	2	Phá Tham	95	163	132	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
293	ÐÕi Lý	2	Lµ Tam Nß½ng	64	156	139	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
294	ÐÕi Lý	2	Trß½ng HoÕch	30	156	129	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
295	ÐÕi Lý	2	ThÕch Bäo	29	163	143	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
296	ÐÕi Lý	2	Giän Ninh	27	156	136	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
297	Huy«n Vû Ðäo	39	Vân Quyªt Quyªt	260	107	87	893053	-1	-1	-1	40	Huy«n Võ Ðäo k¨ nÑt	40	243	147
298	LÕc Dß½ng	0	Uông HÕn	184	230	129	128	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
299	LÕc Dß½ng	0	Ngô ÐÑc Xß½ng	86	139	182	82	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
300	Tô Châu	1	Ð£ng M§u	152	239	128	1081	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
301	Tô Châu	1	Lý Th×a Phong	25	111	160	1028	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
302	ÐÕi Lý	2	Thôi Phùng CØu	0	241	136	2026	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
303	Thiªu Lâm Tñ	9	Tu® Luân	11	93	132	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
304	Cái Bang T±ng Ðà	10	Trß½ng Toàn Tß¶ng	5	95	120	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
305	Quang Minh Ði®n	11	Phß½ng Th¤t Ph§t	0	102	167	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
306	Võ Ðang S½n	12	MÕc Thái Xung	4	101	136	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
307	Thiên Long Tñ	13	Phá Sân	21	99	120	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
308	Lång Ba Ðµng	14	Lý Khôi L²i	11	69	142	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
309	Nga Mi S½n	15	Dß½ng TÑ Nß½ng	10	86	142	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
310	Tinh Túc Häi	16	Thiên Lang TØ	10	99	150	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
311	Thiên S½n	17	Ô Lão ÐÕi	7	90	120	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
312	Lâu Lan	186	Ngäi Ni Ngoã Nhî	0	285	130	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
313	Thúc Hà C± Tr¤n	420	T× Hà Khách	2	202	211	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
314	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	0	LÕc Dß½ng	10	139	182
315	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	0	LÕc Dß½ng-CØu Châu thß½ng hµi	10	230	129
316	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	1	Tô Châu	10	111	160
317	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	1	Tô Châu-thþ rèn Phô	10	239	128
318	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	2	ÐÕi Lý	10	241	136
319	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	16	Môn phái-Tinh Túc	10	99	150
320	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	14	Môn phái-tiêu dao	10	69	142
321	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	9	Môn phái-Thiªu Lâm	10	93	132
322	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	17	Môn phái-Thiên S½n	10	90	120
323	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	13	Môn phái-Thiên Long	10	99	120
324	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	15	Môn phái-Nga Mi	10	86	142
325	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	12	Môn phái-Võ Ðang	10	101	136
326	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	11	Môn phái-Minh Giáo	10	102	167
327	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	10	Môn phái-Cái Bang	10	95	120
328	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
329	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	39	Huy«n Vû Ðäo	10	109	25
330	Huy«n Vû Ðäo	39	Quy Giai	247	82	30	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
331	ÐÕi Lý	2	Vß½ng Khê Vân	180	156	143	-1	-1	-1	-1	1283	Môn phái-MÕn Ðà S½n Trang	10	139	162
332	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	420	Thúc Hà C± Tr¤n	20	202	211
333	MÕn Ðà S½n Trang	1283	U Thäo	9	143	159	-1	-1	-1	-1	186	Lâu Lan	75	285	130
334	NhÕn Nam Chính Nam	100000	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
335	NhÕn B¡c Chính Tây	100001	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
336	Tây H° Chính Tây	100002	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
337	Long Tuy«n Chính B¡c	100003	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
338	Thß½ng S½n Chính Tây	100004	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
339	Nh¸ Häi Chính Tây	100005	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
340	Thäo Nguyên Chính Tây	100006	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
341	Liêu Tây Tây B¡c	100007	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
342	Võ Di Chính Tây	100008	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
343	Mai Lînh Tây B¡c	100009	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
344	ThÕch Lâm Chính Nam	100010	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
345	Ng÷c Khê Tây Nam	100011	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
346	Trß¶ng BÕch S½n Tây B¡c	100012	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
347	Hoàng Long Phü Tây B¡c	100013	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
348	Nam Häi Chính B¡c	100014	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
349	QuÏnh Châu Chính Tây	100015	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
350	Nam Chiªu Tây Nam	100016	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
351	Miêu Cß½ng Chính Ðông	100017	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
352	NhÕn Nam Chính Nam	100018	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
353	NhÕn B¡c Chính Tây	100019	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
354	Tây H° Chính Tây	100020	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
355	Long Tuy«n Chính B¡c	100021	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
356	Thß½ng S½n Chính Tây	100022	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
357	Nh¸ Häi Chính Tây	100023	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
358	Thäo Nguyên Chính Tây	100024	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
359	Liêu Tây Tây B¡c	100025	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
360	Võ Di Chính Tây	100026	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
361	Mai Lînh Tây B¡c	100027	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
362	ThÕch Lâm Chính Nam	100028	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
363	Ng÷c Khê Tây Nam	100029	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
364	Trß¶ng BÕch S½n Tây B¡c	100030	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
365	Hoàng Long Phü Tây B¡c	100031	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
366	Nam Häi Chính B¡c	100032	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
367	QuÏnh Châu Chính Tây	100033	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
368	Nam Chiªu Tây Nam	100034	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
369	Miêu Cß½ng Chính Ðông	100035	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
370	NhÕn Nam Chính Nam	100036	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
371	NhÕn B¡c Chính Tây	100037	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
372	Tây H° Chính Tây	100038	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
373	Long Tuy«n Chính B¡c	100039	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
374	Thß½ng S½n Chính Tây	100040	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
375	Nh¸ Häi Chính Tây	100041	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
376	Thäo Nguyên Chính Tây	100042	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
377	Liêu Tây Tây B¡c	100043	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
378	Võ Di Chính Tây	100044	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
379	Mai Lînh Tây B¡c	100045	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
380	ThÕch Lâm Chính Nam	100046	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
381	Ng÷c Khê Tây Nam	100047	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
382	Trß¶ng BÕch S½n Tây B¡c	100048	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
383	Hoàng Long Phü Tây B¡c	100049	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
384	Nam Häi Chính B¡c	100050	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
385	QuÏnh Châu Chính Tây	100051	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
386	Nam Chiªu Tây Nam	100052	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
387	Miêu Cß½ng Chính Ðông	100053	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	2	ÐÕi Lý	10	181	120
388	NhÕn Nam Chính Nam	100000	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
389	NhÕn B¡c Chính Tây	100001	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
390	Tây H° Chính Tây	100002	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
391	Long Tuy«n Chính B¡c	100003	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
392	Thß½ng S½n Chính Tây	100004	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
393	Nh¸ Häi Chính Tây	100005	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
394	Thäo Nguyên Chính Tây	100006	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
395	Liêu Tây Tây B¡c	100007	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
396	Võ Di Chính Tây	100008	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
397	Mai Lînh Tây B¡c	100009	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
398	ThÕch Lâm Chính Nam	100010	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
399	Ng÷c Khê Tây Nam	100011	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
400	Trß¶ng BÕch S½n Tây B¡c	100012	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
401	Hoàng Long Phü Tây B¡c	100013	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
402	Nam Häi Chính B¡c	100014	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
403	QuÏnh Châu Chính Tây	100015	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
404	Nam Chiªu Tây Nam	100016	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
405	Miêu Cß½ng Chính Ðông	100017	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
406	NhÕn Nam Chính Nam	100018	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
407	NhÕn B¡c Chính Tây	100019	Tr¸nh Vô Danh	2	99	54	-1	-1	-1	-1	0	LÕc Dß½ng	10	144	98
