INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT
309	Thiên Long Tñ	13	99	120	Môn phái-Thiªu Lâm	9	11	93	1	0	10
310	Thiên Long Tñ	13	99	120	Môn phái-Thiên S½n	17	90	120	1	0	10
311	Thiên Long Tñ	13	99	120	Môn phái-Thiên Long	13	21	99	1	0	10
312	Thiên Long Tñ	13	99	120	Môn phái-Nga Mi	15	86	142	1	0	10
313	Thiên Long Tñ	13	99	120	Môn phái-Võ Ðang	12	101	136	1	0	10
314	Thiên Long Tñ	13	99	120	Môn phái-Minh Giáo	11	102	167	1	0	10
315	Thiên Long Tñ	13	99	120	Môn phái-Cái Bang	10	95	120	1	0	10
316	Lång Ba Ðµng	14	69	142	LÕc Dß½ng	0	235	322	1	0	10
317	Lång Ba Ðµng	14	69	142	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
318	Lång Ba Ðµng	14	69	142	Tô Châu	1	204	256	1	0	10
319	Lång Ba Ðµng	14	69	142	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
320	Lång Ba Ðµng	14	69	142	ÐÕi Lý	2	253	121	1	0	10
321	Lång Ba Ðµng	14	69	142	Môn phái-Tinh Túc	16	99	150	1	0	10
322	Lång Ba Ðµng	14	69	142	Môn phái-tiêu dao	14	69	142	1	0	10
323	Lång Ba Ðµng	14	69	142	Môn phái-Thiªu Lâm	9	11	93	1	0	10
324	Lång Ba Ðµng	14	69	142	Môn phái-Thiên S½n	17	90	120	1	0	10
325	Lång Ba Ðµng	14	69	142	Môn phái-Thiên Long	13	21	99	1	0	10
326	Lång Ba Ðµng	14	69	142	Môn phái-Nga Mi	15	86	142	1	0	10
327	Lång Ba Ðµng	14	69	142	Môn phái-Võ Ðang	12	101	136	1	0	10
328	Lång Ba Ðµng	14	69	142	Môn phái-Minh Giáo	11	102	167	1	0	10
329	Lång Ba Ðµng	14	69	142	Môn phái-Cái Bang	10	95	120	1	0	10
330	Nga Mi S½n	15	86	142	LÕc Dß½ng	0	235	322	1	0	10
331	Nga Mi S½n	15	86	142	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
332	Nga Mi S½n	15	86	142	Tô Châu	1	204	256	1	0	10
333	Nga Mi S½n	15	86	142	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
334	Nga Mi S½n	15	86	142	ÐÕi Lý	2	253	121	1	0	10
335	Nga Mi S½n	15	86	142	Môn phái-Tinh Túc	16	99	150	1	0	10
336	Nga Mi S½n	15	86	142	Môn phái-tiêu dao	14	69	142	1	0	10
337	Nga Mi S½n	15	86	142	Môn phái-Thiªu Lâm	9	11	93	1	0	10
338	Nga Mi S½n	15	86	142	Môn phái-Thiên S½n	17	90	120	1	0	10
339	Nga Mi S½n	15	86	142	Môn phái-Thiên Long	13	21	99	1	0	10
340	Nga Mi S½n	15	86	142	Môn phái-Nga Mi	15	86	142	1	0	10
341	Nga Mi S½n	15	86	142	Môn phái-Võ Ðang	12	101	136	1	0	10
342	Nga Mi S½n	15	86	142	Môn phái-Minh Giáo	11	102	167	1	0	10
343	Nga Mi S½n	15	86	142	Môn phái-Cái Bang	10	95	120	1	0	10
344	Tinh Túc Häi	16	99	150	LÕc Dß½ng	0	235	322	1	0	10
345	Tinh Túc Häi	16	99	150	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
346	Tinh Túc Häi	16	99	150	Tô Châu	1	204	256	1	0	10
347	Tinh Túc Häi	16	99	150	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
348	Tinh Túc Häi	16	99	150	ÐÕi Lý	2	253	121	1	0	10
349	Tinh Túc Häi	16	99	150	Môn phái-Tinh Túc	16	99	150	1	0	10
350	Tinh Túc Häi	16	99	150	Môn phái-tiêu dao	14	69	142	1	0	10
351	Tinh Túc Häi	16	99	150	Môn phái-Thiªu Lâm	9	11	93	1	0	10
352	Tinh Túc Häi	16	99	150	Môn phái-Thiên S½n	17	90	120	1	0	10
353	Tinh Túc Häi	16	99	150	Môn phái-Thiên Long	13	21	99	1	0	10
354	Tinh Túc Häi	16	99	150	Môn phái-Nga Mi	15	86	142	1	0	10
355	Tinh Túc Häi	16	99	150	Môn phái-Võ Ðang	12	101	136	1	0	10
356	Tinh Túc Häi	16	99	150	Môn phái-Minh Giáo	11	102	167	1	0	10
357	Tinh Túc Häi	16	99	150	Môn phái-Cái Bang	10	95	120	1	0	10
358	Thiên S½n	17	90	120	LÕc Dß½ng	0	235	322	1	0	10
359	Thiên S½n	17	90	120	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
360	Thiên S½n	17	90	120	Tô Châu	1	204	256	1	0	10
361	Thiên S½n	17	90	120	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
362	Thiên S½n	17	90	120	ÐÕi Lý	2	253	121	1	0	10
363	Thiên S½n	17	90	120	Môn phái-Tinh Túc	16	99	150	1	0	10
364	Thiên S½n	17	90	120	Môn phái-tiêu dao	14	69	142	1	0	10
365	Thiên S½n	17	90	120	Môn phái-Thiªu Lâm	9	11	93	1	0	10
366	Thiên S½n	17	90	120	Môn phái-Thiên S½n	17	90	120	1	0	10
367	Thiên S½n	17	90	120	Môn phái-Thiên Long	13	21	99	1	0	10
368	Thiên S½n	17	90	120	Môn phái-Nga Mi	15	86	142	1	0	10
369	Thiên S½n	17	90	120	Môn phái-Võ Ðang	12	101	136	1	0	10
370	Thiên S½n	17	90	120	Môn phái-Minh Giáo	11	102	167	1	0	10
371	Thiên S½n	17	90	120	Môn phái-Cái Bang	10	95	120	1	0	10
372	Thß½ng S½n	25	164	55	Thúc Hà C± Tr¤n	260	25	288	1	0	20
373	Huy«n Vû Ðäo	112	82	30	LÕc Dß½ng	0	235	322	1	0	10
374	Huy«n Vû Ðäo	112	82	30	Tô Châu	1	204	256	1	0	10
375	Huy«n Vû Ðäo	112	82	30	ÐÕi Lý	2	253	121	1	0	10
376	Lâu Lan	246	285	130	LÕc Dß½ng	0	235	322	1	0	10
377	Lâu Lan	246	285	130	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
378	Lâu Lan	246	285	130	Tô Châu	1	204	256	1	0	10
379	Lâu Lan	246	285	130	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
380	Lâu Lan	246	285	130	ÐÕi Lý	2	253	121	1	0	10
381	Lâu Lan	246	285	130	Thúc Hà C± Tr¤n	260	202	211	1	0	20
382	Lâu Lan	246	285	130	Môn phái-Tinh Túc	16	99	150	1	0	10
383	Lâu Lan	246	285	130	Môn phái-tiêu dao	14	69	142	1	0	10
384	Lâu Lan	246	285	130	Môn phái-Thiªu Lâm	9	11	93	1	0	10
385	Lâu Lan	246	285	130	Môn phái-Thiên S½n	17	90	120	1	0	10
386	Lâu Lan	246	285	130	Môn phái-Thiên Long	13	21	99	1	0	10
387	Lâu Lan	246	285	130	Môn phái-Nga Mi	15	86	142	1	0	10
388	Lâu Lan	246	285	130	Môn phái-Võ Ðang	12	101	136	1	0	10
389	Lâu Lan	246	285	130	Môn phái-Minh Giáo	11	102	167	1	0	10
390	Lâu Lan	246	285	130	Môn phái-Cái Bang	10	95	120	1	0	10
391	Thúc Hà C± Tr¤n	260	202	211	LÕc Dß½ng	0	235	322	1	0	20
392	Thúc Hà C± Tr¤n	260	202	211	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	20
393	Thúc Hà C± Tr¤n	260	202	211	Tô Châu	1	204	256	1	0	20
394	Thúc Hà C± Tr¤n	260	202	211	Tô Châu-thþ rèn Phô	1	335	225	1	0	20
395	Thúc Hà C± Tr¤n	260	202	211	ÐÕi Lý	2	253	121	1	0	20
396	Thúc Hà C± Tr¤n	260	202	211	Lâu Lan	246	285	130	1	0	75
397	Thúc Hà C± Tr¤n	260	202	211	Môn phái-Tinh Túc	16	99	150	1	0	10
398	Thúc Hà C± Tr¤n	260	202	211	Môn phái-tiêu dao	14	69	142	1	0	10
399	Thúc Hà C± Tr¤n	260	202	211	Môn phái-Thiªu Lâm	9	11	93	1	0	10
400	Thúc Hà C± Tr¤n	260	202	211	Môn phái-Thiên S½n	17	90	120	1	0	10
401	Thúc Hà C± Tr¤n	260	202	211	Môn phái-Thiên Long	13	21	99	1	0	10
402	Thúc Hà C± Tr¤n	260	202	211	Môn phái-Nga Mi	15	86	142	1	0	10
403	Thúc Hà C± Tr¤n	260	202	211	Môn phái-Võ Ðang	12	101	136	1	0	10
404	Thúc Hà C± Tr¤n	260	202	211	Môn phái-Minh Giáo	11	102	167	1	0	10
405	Thúc Hà C± Tr¤n	260	202	211	Môn phái-Cái Bang	10	95	120	1	0	10
406	LÕc Dß½ng Ð® Nh¤t Hßu TÑc Th¤t	238	32	12	LÕc Dß½ng	0	366	228	1	0	10
407	LÕc Dß½ng Ð® Nh¸ Hßu TÑc Th¤t	239	32	12	LÕc Dß½ng	0	366	228	1	0	10
408	ÐÕi Lý Hßu TÑc Th¤t	240	32	12	ÐÕi Lý	2	287	138	1	0	10
409	Tô Châu Hßu TÑc Th¤t	241	32	12	Tô Châu	1	267	243	1	0	10
410	Ti«n trang	224	64	61	LÕc Dß½ng	0	235	322	1	0	10
411	LÕc Dß½ng	0	182	155	Huy«n Vû Ðäo	112	109	25	1	0	10
412	Tô Châu	1	87	144	Huy«n Vû Ðäo	112	109	25	1	0	10
413	Thiªu Lâm Tñ	9	93	132	Huy«n Vû Ðäo	112	109	25	1	0	10
414	Cái Bang T±ng Ðà	10	95	120	Huy«n Vû Ðäo	112	109	25	1	0	10
415	Quang Minh Ði®n	11	102	167	Huy«n Vû Ðäo	112	109	25	1	0	10
416	Võ Ðang S½n	12	101	136	Huy«n Vû Ðäo	112	109	25	1	0	10
417	Thiên Long Tñ	13	99	120	Huy«n Vû Ðäo	112	109	25	1	0	10
418	Lång Ba Ðµng	14	69	142	Huy«n Vû Ðäo	112	109	25	1	0	10
419	Nga Mi S½n	15	86	142	Huy«n Vû Ðäo	112	109	25	1	0	10
420	Tinh Túc Häi	16	99	150	Huy«n Vû Ðäo	112	109	25	1	0	10
421	Thiên S½n	17	90	120	Huy«n Vû Ðäo	112	109	25	1	0	10
422	Huy«n Vû Ðäo	112	82	30	LÕc Dß½ng	0	276	292	1	0	10
423	Huy«n Vû Ðäo	112	82	30	Tô Châu	1	177	240	1	0	10
424	Huy«n Vû Ðäo	112	82	30	ÐÕi Lý	2	253	125	1	0	10
425	Tô Châu	1	178	129	Hàn Ng÷c C¯c	243	50	50	1	0	0
426	Hàn Ng÷c C¯c	243	26	26	Tô Châu	1	271	225	1	0	0
427	LÕc Dß½ng	0	269	88	LÕc Dß½ng Ð® Nh¤t Hßu TÑc Th¤t	238	32	12	1	0	0
428	LÕc Dß½ng	0	269	88	LÕc Dß½ng Ð® Nh¸ Hßu TÑc Th¤t	239	32	12	1	0	0
429	ÐÕi Lý	2	274	95	ÐÕi Lý Hßu TÑc Th¤t	240	32	12	1	0	0
430	Tô Châu	1	174	147	Tô Châu Hßu TÑc Th¤t	241	32	12	1	0	0
431	Thiªu Lâm Tñ	9	93	132	Thúc Hà C± Tr¤n	260	202	211	1	0	20
432	Cái Bang T±ng Ðà	10	95	120	Thúc Hà C± Tr¤n	260	202	211	1	0	20
433	Quang Minh Ði®n	11	102	167	Thúc Hà C± Tr¤n	260	202	211	1	0	20
434	Võ Ðang S½n	12	101	136	Thúc Hà C± Tr¤n	260	202	211	1	0	20
435	Thiên Long Tñ	13	99	120	Thúc Hà C± Tr¤n	260	202	211	1	0	20
436	Lång Ba Ðµng	14	69	142	Thúc Hà C± Tr¤n	260	202	211	1	0	20
437	Nga Mi S½n	15	86	142	Thúc Hà C± Tr¤n	260	202	211	1	0	20
438	Tinh Túc Häi	16	99	150	Thúc Hà C± Tr¤n	260	202	211	1	0	20
439	Thiên S½n	17	90	120	Thúc Hà C± Tr¤n	260	202	211	1	0	20
440	Thiªu Lâm Tñ	9	93	132	Lâu Lan	246	285	130	1	0	75
441	Cái Bang T±ng Ðà	10	95	120	Lâu Lan	246	285	130	1	0	75
442	Quang Minh Ði®n	11	102	167	Lâu Lan	246	285	130	1	0	75
443	Võ Ðang S½n	12	101	136	Lâu Lan	246	285	130	1	0	75
444	Thiên Long Tñ	13	99	120	Lâu Lan	246	285	130	1	0	75
445	Lång Ba Ðµng	14	69	142	Lâu Lan	246	285	130	1	0	75
446	Nga Mi S½n	15	86	142	Lâu Lan	246	285	130	1	0	75
447	Tinh Túc Häi	16	99	150	Lâu Lan	246	285	130	1	0	75
448	Thiên S½n	17	90	120	Lâu Lan	246	285	130	1	0	75
449	Huy«n Vû Ðäo	112	82	30	Môn phái-Tinh Túc	16	99	150	1	0	10
450	Huy«n Vû Ðäo	112	82	30	Môn phái-tiêu dao	14	69	142	1	0	10
451	Huy«n Vû Ðäo	112	82	30	Môn phái-Thiªu Lâm	9	11	93	1	0	10
452	Huy«n Vû Ðäo	112	82	30	Môn phái-Thiên S½n	17	90	120	1	0	10
453	Huy«n Vû Ðäo	112	82	30	Môn phái-Thiên Long	13	21	99	1	0	10
454	Huy«n Vû Ðäo	112	82	30	Môn phái-Nga Mi	15	86	142	1	0	10
455	Huy«n Vû Ðäo	112	82	30	Môn phái-Võ Ðang	12	101	136	1	0	10
456	Huy«n Vû Ðäo	112	82	30	Môn phái-Minh Giáo	11	102	167	1	0	10
457	Huy«n Vû Ðäo	112	82	30	Môn phái-Cái Bang	10	95	120	1	0	10
458	Thúc Hà C± Tr¤n	260	25	288	Thß½ng S½n	25	164	55	1	0	20
459	ÐÕi Lý	2	255	126	H§u Hoa Viên	123	100	97	1	0	7
460	LÕc Dß½ng	242	33	129	Ðôn Hoàng	8	284	146	0	1	0
461	LÕc Dß½ng	242	159	288	Tung S½n	3	34	55	0	1	0
462	LÕc Dß½ng	242	289	127	NhÕn Nam	18	264	286	0	1	0
463	LÕc Dß½ng	242	230	129	Tô Châu	1	204	256	1	0	10
464	LÕc Dß½ng	242	230	129	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
465	LÕc Dß½ng	242	230	129	ÐÕi Lý	2	253	121	1	0	10
466	LÕc Dß½ng	242	230	129	Lâu Lan	246	285	130	1	0	75
467	LÕc Dß½ng	242	230	129	Thúc Hà C± Tr¤n	260	202	211	1	0	20
468	LÕc Dß½ng	242	230	129	Môn phái-Tinh Túc	16	99	150	1	0	10
469	LÕc Dß½ng	242	230	129	Môn phái-tiêu dao	14	69	142	1	0	10
470	LÕc Dß½ng	242	230	129	Môn phái-Thiªu Lâm	9	11	93	1	0	10
471	LÕc Dß½ng	242	230	129	Môn phái-Thiên S½n	17	90	120	1	0	10
472	LÕc Dß½ng	242	230	129	Môn phái-Thiên Long	13	21	99	1	0	10
473	LÕc Dß½ng	242	230	129	Môn phái-Nga Mi	15	86	142	1	0	10
474	LÕc Dß½ng	242	230	129	Môn phái-Võ Ðang	12	101	136	1	0	10
475	LÕc Dß½ng	242	230	129	Môn phái-Minh Giáo	11	102	167	1	0	10
476	LÕc Dß½ng	242	230	129	Môn phái-Cái Bang	10	95	120	1	0	10
477	LÕc Dß½ng	242	139	182	Tô Châu	1	204	256	1	0	10
478	LÕc Dß½ng	242	139	182	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
479	LÕc Dß½ng	242	139	182	ÐÕi Lý	2	253	121	1	0	10
480	LÕc Dß½ng	242	139	182	Lâu Lan	246	285	130	1	0	75
481	LÕc Dß½ng	242	139	182	Thúc Hà C± Tr¤n	260	202	211	1	0	20
482	LÕc Dß½ng	242	139	182	Môn phái-Tinh Túc	16	99	150	1	0	10
483	LÕc Dß½ng	242	139	182	Môn phái-tiêu dao	14	69	142	1	0	10
484	LÕc Dß½ng	242	139	182	Môn phái-Thiªu Lâm	9	11	93	1	0	10
485	LÕc Dß½ng	242	139	182	Môn phái-Thiên S½n	17	90	120	1	0	10
486	LÕc Dß½ng	242	139	182	Môn phái-Thiên Long	13	21	99	1	0	10
487	LÕc Dß½ng	242	139	182	Môn phái-Nga Mi	15	86	142	1	0	10
488	LÕc Dß½ng	242	139	182	Môn phái-Võ Ðang	12	101	136	1	0	10
489	LÕc Dß½ng	242	139	182	Môn phái-Minh Giáo	11	102	167	1	0	10
490	LÕc Dß½ng	242	139	182	Môn phái-Cái Bang	10	95	120	1	0	10
491	Tung S½n	3	34	55	LÕc Dß½ng	242	256	465	0	0	0
492	Ðôn Hoàng	8	284	146	LÕc Dß½ng	242	85	257	0	0	0
493	NhÕn Nam	18	264	286	LÕc Dß½ng	242	446	259	0	0	0
494	Tô Châu	1	239	128	LÕc Dß½ng	242	235	322	1	0	10
495	Tô Châu	1	239	128	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
496	Tô Châu	1	111	160	LÕc Dß½ng	242	235	322	1	0	10
497	Tô Châu	1	111	160	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
498	ÐÕi Lý	2	241	136	LÕc Dß½ng	242	235	322	1	0	10
499	ÐÕi Lý	2	241	136	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
500	Thiªu Lâm Tñ	9	93	132	LÕc Dß½ng	242	235	322	1	0	10
501	Thiªu Lâm Tñ	9	93	132	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
502	Cái Bang T±ng Ðà	10	95	120	LÕc Dß½ng	242	235	322	1	0	10
503	Cái Bang T±ng Ðà	10	95	120	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
504	Quang Minh Ði®n	11	102	167	LÕc Dß½ng	242	235	322	1	0	10
505	Quang Minh Ði®n	11	102	167	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
506	Võ Ðang S½n	12	101	136	LÕc Dß½ng	242	235	322	1	0	10
507	Võ Ðang S½n	12	101	136	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
508	Thiên Long Tñ	13	99	120	LÕc Dß½ng	242	235	322	1	0	10
509	Thiên Long Tñ	13	99	120	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
510	Lång Ba Ðµng	14	69	142	LÕc Dß½ng	242	235	322	1	0	10
511	Lång Ba Ðµng	14	69	142	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
512	Nga Mi S½n	15	86	142	LÕc Dß½ng	242	235	322	1	0	10
513	Nga Mi S½n	15	86	142	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
514	Tinh Túc Häi	16	99	150	LÕc Dß½ng	242	235	322	1	0	10
515	Tinh Túc Häi	16	99	150	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
516	Thiên S½n	17	90	120	LÕc Dß½ng	242	235	322	1	0	10
517	Thiên S½n	17	90	120	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
518	Huy«n Vû Ðäo	112	82	30	LÕc Dß½ng	242	235	322	1	0	10
519	Lâu Lan	246	285	130	LÕc Dß½ng	242	235	322	1	0	10
520	Lâu Lan	246	285	130	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
521	Thúc Hà C± Tr¤n	260	202	211	LÕc Dß½ng	242	235	322	1	0	20
522	Thúc Hà C± Tr¤n	260	202	211	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	20
523	LÕc Dß½ng Ð® Nh¤t Hßu TÑc Th¤t	238	32	12	LÕc Dß½ng	242	366	228	1	0	10
524	LÕc Dß½ng Ð® Nh¸ Hßu TÑc Th¤t	239	32	12	LÕc Dß½ng	242	366	228	1	0	10
525	Ti«n trang	224	64	61	LÕc Dß½ng	242	235	322	1	0	10
526	Huy«n Vû Ðäo	112	82	30	LÕc Dß½ng	242	276	292	1	0	10
527	LÕc Dß½ng	0	205	172	Ti«n trang	224	65	62	1	0	10
528	LÕc Dß½ng	242	205	172	Ti«n trang	224	65	62	1	0	10
529	LÕc Dß½ng	242	182	155	Huy«n Vû Ðäo	112	109	25	1	0	10
530	LÕc Dß½ng	242	182	155	Thánh Thú S½n	201	233	225	1	1	21
531	LÕc Dß½ng	0	182	155	Thánh Thú S½n	201	233	225	1	1	21
532	H§u Hoa Viên	123	100	105	ÐÕi Lý	2	274	128	0	0	0
533	Ti¬u Mµc Nhân HÕng	122	82	80	ÐÕi Lý	2	160	153	0	0	0
534	ÐÕi Lý	2	160	156	Ti¬u Mµc Nhân HÕng	122	82	76	1	0	9
535	ÐÕi Lý	2	163	136	Môn phái-Tinh Túc	16	99	150	1	0	10
536	ÐÕi Lý	2	163	129	Môn phái-tiêu dao	14	69	142	1	0	10
537	ÐÕi Lý	2	156	132	Môn phái-Thiªu Lâm	9	11	93	1	0	10
538	ÐÕi Lý	2	163	139	Môn phái-Thiên S½n	17	90	120	1	0	10
539	ÐÕi Lý	2	163	132	Môn phái-Thiên Long	13	21	99	1	0	10
540	ÐÕi Lý	2	156	139	Môn phái-Nga Mi	15	86	142	1	0	10
541	ÐÕi Lý	2	156	129	Môn phái-Võ Ðang	12	101	136	1	0	10
542	ÐÕi Lý	2	163	143	Môn phái-Minh Giáo	11	102	167	1	0	10
543	ÐÕi Lý	2	156	136	Môn phái-Cái Bang	10	95	120	1	0	10
544	Huy«n Vû Ðäo	112	139	206	Huy«n Võ Ðäo Phän	579	44	120	0	0	65
545	Huy«n Võ Ðäo Phän	579	102	35	Huy«n Vû Ðäo	112	134	202	0	0	10
546	Huy«n Vû Ðäo	112	107	87	Huy«n Võ Ðäo k¨ nÑt	578	243	147	1	0	40
547	Huy«n Võ Ðäo k¨ nÑt	578	153	87	Huy«n Vû Ðäo	112	106	88	0	0	10
548	MÕn Ðà S½n Trang	592	145	196	Thái H°	4	39	200	0	1	10
549	Thái H°	4	29	200	MÕn Ðà S½n Trang	592	136	180	0	0	10
550	LÕc Dß½ng	0	230	129	MÕn Ðà S½n Trang	592	139	162	1	0	10
551	LÕc Dß½ng	0	139	182	MÕn Ðà S½n Trang	592	139	162	1	0	10
552	Tô Châu	1	239	128	MÕn Ðà S½n Trang	592	139	162	1	0	10
553	ÐÕi Lý	2	241	136	MÕn Ðà S½n Trang	592	139	162	1	0	10
554	Thiªu Lâm Tñ	9	93	132	MÕn Ðà S½n Trang	592	139	162	1	0	10
555	Cái Bang T±ng Ðà	10	95	120	MÕn Ðà S½n Trang	592	139	162	1	0	10
556	Quang Minh Ði®n	11	102	167	MÕn Ðà S½n Trang	592	139	162	1	0	10
557	Võ Ðang S½n	12	101	136	MÕn Ðà S½n Trang	592	139	162	1	0	10
558	Thiên Long Tñ	13	99	120	MÕn Ðà S½n Trang	592	139	162	1	0	10
559	Lång Ba Ðµng	14	69	142	MÕn Ðà S½n Trang	592	139	162	1	0	10
560	Nga Mi S½n	15	86	142	MÕn Ðà S½n Trang	592	139	162	1	0	10
561	Tinh Túc Häi	16	99	150	MÕn Ðà S½n Trang	592	139	162	1	0	10
562	Thiên S½n	17	90	120	MÕn Ðà S½n Trang	592	139	162	1	0	10
563	Lâu Lan	246	285	130	MÕn Ðà S½n Trang	592	139	162	1	0	10
564	Thúc Hà C± Tr¤n	260	202	211	MÕn Ðà S½n Trang	592	139	162	1	0	10
565	Huy«n Vû Ðäo	112	82	30	MÕn Ðà S½n Trang	592	139	162	1	0	10
566	LÕc Dß½ng	242	230	129	MÕn Ðà S½n Trang	592	139	162	1	0	10
567	ÐÕi Lý	2	156	143	MÕn Ðà S½n Trang	592	139	162	1	0	10
568	MÕn Ðà S½n Trang	592	145	196	LÕc Dß½ng	0	235	322	1	0	10
569	MÕn Ðà S½n Trang	592	145	196	LÕc Dß½ng-CØu Châu thß½ng hµi	0	326	269	1	0	10
570	MÕn Ðà S½n Trang	592	145	196	Tô Châu	1	204	256	1	0	10
571	MÕn Ðà S½n Trang	592	145	196	Tô Châu-thþ rèn Phô	1	335	225	1	0	10
572	MÕn Ðà S½n Trang	592	145	196	ÐÕi Lý	2	253	121	1	0	10
573	MÕn Ðà S½n Trang	592	145	196	Môn phái-Tinh Túc	16	99	150	1	0	10
574	MÕn Ðà S½n Trang	592	145	196	Môn phái-tiêu dao	14	69	142	1	0	10
575	MÕn Ðà S½n Trang	592	145	196	Môn phái-Thiªu Lâm	9	11	93	1	0	10
576	MÕn Ðà S½n Trang	592	145	196	Môn phái-Thiên S½n	17	90	120	1	0	10
577	MÕn Ðà S½n Trang	592	145	196	Môn phái-Thiên Long	13	21	99	1	0	10
578	MÕn Ðà S½n Trang	592	145	196	Môn phái-Nga Mi	15	86	142	1	0	10
579	MÕn Ðà S½n Trang	592	145	196	Môn phái-Võ Ðang	12	101	136	1	0	10
580	MÕn Ðà S½n Trang	592	145	196	Môn phái-Minh Giáo	11	102	167	1	0	10
581	MÕn Ðà S½n Trang	592	145	196	Môn phái-Cái Bang	10	95	120	1	0	10
582	MÕn Ðà S½n Trang	592	145	196	Huy«n Vû Ðäo	112	109	25	1	0	10
583	MÕn Ðà S½n Trang	592	145	196	Thúc Hà C± Tr¤n	260	202	211	1	0	20
584	MÕn Ðà S½n Trang	592	145	196	LÕc Dß½ng	242	235	322	1	0	10
585	MÕn Ðà S½n Trang	592	145	196	LÕc Dß½ng-CØu Châu thß½ng hµi	242	326	269	1	0	10
586	MÕn Ðà S½n Trang	592	145	196	Lâu Lan	246	285	130	1	0	75
587	NhÕn Nam Chính Nam	100000	99	54	ÐÕi Lý	2	181	120	1	0	0
588	NhÕn B¡c Chính Tây	100001	99	54	ÐÕi Lý	2	181	120	1	0	0
589	Tây H° Chính Tây	100002	99	54	ÐÕi Lý	2	181	120	1	0	0
590	Long Tuy«n Chính B¡c	100003	99	54	ÐÕi Lý	2	181	120	1	0	0
591	Thß½ng S½n Chính Tây	100004	99	54	ÐÕi Lý	2	181	120	1	0	0
592	Nh¸ Häi Chính Tây	100005	99	54	ÐÕi Lý	2	181	120	1	0	0
593	Thäo Nguyên Chính Tây	100006	99	54	ÐÕi Lý	2	181	120	1	0	0
594	Liêu Tây Tây B¡c	100007	99	54	ÐÕi Lý	2	181	120	1	0	0
595	Võ Di Chính Tây	100008	99	54	ÐÕi Lý	2	181	120	1	0	0
596	Mai Lînh Tây B¡c	100009	99	54	ÐÕi Lý	2	181	120	1	0	0
597	ThÕch Lâm Chính Nam	100010	99	54	ÐÕi Lý	2	181	120	1	0	0
598	Ng÷c Khê Tây Nam	100011	99	54	ÐÕi Lý	2	181	120	1	0	0
599	Trß¶ng BÕch S½n Tây B¡c	100012	99	54	ÐÕi Lý	2	181	120	1	0	0
600	Hoàng Long Phü Tây B¡c	100013	99	54	ÐÕi Lý	2	181	120	1	0	0
601	Nam Häi Chính B¡c	100014	99	54	ÐÕi Lý	2	181	120	1	0	0
602	QuÏnh Châu Chính Tây	100015	99	54	ÐÕi Lý	2	181	120	1	0	0
603	Nam Chiªu Tây Nam	100016	99	54	ÐÕi Lý	2	181	120	1	0	0
604	Miêu Cß½ng Chính Ðông	100017	99	54	ÐÕi Lý	2	181	120	1	0	0
605	NhÕn Nam Chính Nam	100018	99	54	ÐÕi Lý	2	181	120	1	0	0
606	NhÕn B¡c Chính Tây	100019	99	54	ÐÕi Lý	2	181	120	1	0	0
607	Tây H° Chính Tây	100020	99	54	ÐÕi Lý	2	181	120	1	0	0
608	Long Tuy«n Chính B¡c	100021	99	54	ÐÕi Lý	2	181	120	1	0	0
609	Thß½ng S½n Chính Tây	100022	99	54	ÐÕi Lý	2	181	120	1	0	0
610	Nh¸ Häi Chính Tây	100023	99	54	ÐÕi Lý	2	181	120	1	0	0
611	Thäo Nguyên Chính Tây	100024	99	54	ÐÕi Lý	2	181	120	1	0	0
