INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
30110180	3	1	10	180	Tattoo3_4	Vû khí Giäm Bång Kháng Ğiêu Vån C¤p 10	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Bång Kháng +90#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	10	0	2005	-1	1
30110181	3	1	10	181	Tattoo3_1	Vû khí Giäm Hoä Kháng Ğiêu Vån C¤p 1	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Hoä Kháng +3	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	1	0	2005	-1	1
30110182	3	1	10	182	Tattoo3_1	Vû khí Giäm Hoä Kháng Ğiêu Vån C¤p 2	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Hoä Kháng +8#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	2	0	2005	-1	1
30110183	3	1	10	183	Tattoo3_1	Vû khí Giäm Hoä Kháng Ğiêu Vån C¤p 3	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Hoä Kháng +17#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	3	0	2005	-1	1
30110184	3	1	10	184	Tattoo3_2	Vû khí Giäm Hoä Kháng Ğiêu Vån C¤p 4	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Hoä Kháng +35#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	4	0	2005	-1	1
30110185	3	1	10	185	Tattoo3_2	Vû khí Giäm Hoä Kháng Ğiêu Vån C¤p 5	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Hoä Kháng +42#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	5	0	2005	-1	1
30110186	3	1	10	186	Tattoo3_2	Vû khí Giäm Hoä Kháng Ğiêu Vån C¤p 6	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Hoä Kháng +50#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	6	0	2005	-1	1
30110187	3	1	10	187	Tattoo3_3	Vû khí Giäm Hoä Kháng Ğiêu Vån C¤p 7	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Hoä Kháng +60#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	7	0	2005	-1	1
30110188	3	1	10	188	Tattoo3_3	Vû khí Giäm Hoä Kháng Ğiêu Vån C¤p 8	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Hoä Kháng +70#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	8	0	2005	-1	1
30110189	3	1	10	189	Tattoo3_3	Vû khí Giäm Hoä Kháng Ğiêu Vån C¤p 9	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Hoä Kháng +80#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	9	0	2005	-1	1
30110190	3	1	10	190	Tattoo3_4	Vû khí Giäm Hoä Kháng Ğiêu Vån C¤p 10	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Hoä Kháng +90#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	10	0	2005	-1	1
30110191	3	1	10	191	Tattoo3_1	Vû khí Giäm Huy«n Kháng Ğiêu Vån C¤p 1	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Huy«n Kháng +3	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	1	0	2005	-1	1
30110192	3	1	10	192	Tattoo3_1	Vû khí Giäm Huy«n Kháng Ğiêu Vån C¤p 2	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Huy«n Kháng +8#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	2	0	2005	-1	1
30110193	3	1	10	193	Tattoo3_1	Vû khí Giäm Huy«n Kháng Ğiêu Vån C¤p 3	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Huy«n Kháng +17#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	3	0	2005	-1	1
30110194	3	1	10	194	Tattoo3_2	Vû khí Giäm Huy«n Kháng Ğiêu Vån C¤p 4	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Huy«n Kháng +35#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	4	0	2005	-1	1
30110195	3	1	10	195	Tattoo3_2	Vû khí Giäm Huy«n Kháng Ğiêu Vån C¤p 5	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Huy«n Kháng +42#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	5	0	2005	-1	1
30110196	3	1	10	196	Tattoo3_2	Vû khí Giäm Huy«n Kháng Ğiêu Vån C¤p 6	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Huy«n Kháng +50#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	6	0	2005	-1	1
30110197	3	1	10	197	Tattoo3_3	Vû khí Giäm Huy«n Kháng Ğiêu Vån C¤p 7	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Huy«n Kháng +60#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	7	0	2005	-1	1
30110198	3	1	10	198	Tattoo3_3	Vû khí Giäm Huy«n Kháng Ğiêu Vån C¤p 8	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Huy«n Kháng +70#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	8	0	2005	-1	1
30110199	3	1	10	199	Tattoo3_3	Vû khí Giäm Huy«n Kháng Ğiêu Vån C¤p 9	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Huy«n Kháng +80#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	9	0	2005	-1	1
30110200	3	1	10	200	Tattoo3_4	Vû khí Giäm Huy«n Kháng Ğiêu Vån C¤p 10	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Huy«n Kháng +90#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	10	0	2005	-1	1
30110201	3	1	10	201	Tattoo3_1	Vû khí Giäm Ğµc Kháng Ğiêu Vån C¤p 1	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Ğµc Kháng +3	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	1	0	2005	-1	1
30110202	3	1	10	202	Tattoo3_1	Vû khí Giäm Ğµc Kháng Ğiêu Vån C¤p 2	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Ğµc Kháng +8#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	2	0	2005	-1	1
30110203	3	1	10	203	Tattoo3_1	Vû khí Giäm Ğµc Kháng Ğiêu Vån C¤p 3	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Ğµc Kháng +17#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	3	0	2005	-1	1
30110204	3	1	10	204	Tattoo3_2	Vû khí Giäm Ğµc Kháng Ğiêu Vån C¤p 4	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Ğµc Kháng +35#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	4	0	2005	-1	1
30110205	3	1	10	205	Tattoo3_2	Vû khí Giäm Ğµc Kháng Ğiêu Vån C¤p 5	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Ğµc Kháng +42#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	5	0	2005	-1	1
30110206	3	1	10	206	Tattoo3_2	Vû khí Giäm Ğµc Kháng Ğiêu Vån C¤p 6	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Ğµc Kháng +50#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	6	0	2005	-1	1
30110207	3	1	10	207	Tattoo3_3	Vû khí Giäm Ğµc Kháng Ğiêu Vån C¤p 7	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Ğµc Kháng +60#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	7	0	2005	-1	1
30110208	3	1	10	208	Tattoo3_3	Vû khí Giäm Ğµc Kháng Ğiêu Vån C¤p 8	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Ğµc Kháng +70#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	8	0	2005	-1	1
30110209	3	1	10	209	Tattoo3_3	Vû khí Giäm Ğµc Kháng Ğiêu Vån C¤p 9	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Ğµc Kháng +80#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	9	0	2005	-1	1
30110210	3	1	10	210	Tattoo3_4	Vû khí Giäm Ğµc Kháng Ğiêu Vån C¤p 10	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi vû khí Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. #r#GmÀu tím Ğiêu Vån#r#Ykh¡c: Giäm Ğµc Kháng +90#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Màu tím Ğiêu Vån	10	0	2005	-1	1
30110211	3	1	10	211	Tattoo_10	Mû ğ¸nh lñc Ğiêu Vån C¤p 1	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi mû Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu ğö Ğiêu Vån#r#Ykh¡c: Ğ¸nh lñc +10	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Ğiêu Vån Ğö	1	0	2005	-1	1
30110212	3	1	10	212	Tattoo_10	Mû ğ¸nh lñc Ğiêu Vån C¤p 2	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi mû Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu ğö Ğiêu Vån#r#Ykh¡c: Ğ¸nh lñc +20#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Ğiêu Vån Ğö	2	0	2005	-1	1
30110213	3	1	10	213	Tattoo_10	Mû ğ¸nh lñc Ğiêu Vån C¤p 3	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi mû Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu ğö Ğiêu Vån#r#Ykh¡c: Ğ¸nh lñc +40#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Ğiêu Vån Ğö	3	0	2005	-1	1
30110214	3	1	10	214	Tattoo_11	Mû ğ¸nh lñc Ğiêu Vån C¤p 4	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi mû Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu ğö Ğiêu Vån#r#Ykh¡c: Ğ¸nh lñc +70#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Ğiêu Vån Ğö	4	0	2005	-1	1
30110215	3	1	10	215	Tattoo_11	Mû ğ¸nh lñc Ğiêu Vån C¤p 5	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi mû Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu ğö Ğiêu Vån#r#Ykh¡c: Ğ¸nh lñc +110#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Ğiêu Vån Ğö	5	0	2005	-1	1
30110216	3	1	10	216	Tattoo_11	Mû ğ¸nh lñc Ğiêu Vån C¤p 6	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi mû Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu ğö Ğiêu Vån#r#Ykh¡c: Ğ¸nh lñc +140#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Ğiêu Vån Ğö	6	0	2005	-1	1
30110217	3	1	10	217	Tattoo_12	Mû ğ¸nh lñc Ğiêu Vån C¤p 7	Th¥n bí Ğích Ğiêu Vån, có th¬ kh¡c TÕi mû Thßşng, M²i Ki®n trang b¸ chï có th¬ kh¡c mµt cái Ğiêu Vån. SØ døng Kim T¢m Ti có th¬ tång lên Ğiêu Vån Ğích c¤p b§c. #r#GmÀu ğö Ğiêu Vån#r#Ykh¡c: Ğ¸nh lñc +170#r#GCai Ğiêu Vån có th¬ TÕi LÕc Dß½ng(220, 170) Trß½ng Giáng Long XØ thông qua Ğiêu Vån hóa giäi biªn thành Kim T¢m Ti.	50	4	4	4	1	-1	-1	1	-1	-1	1	-1	Ğiêu Vån Ğö	7	0	2005	-1	1
