INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
415	Ph§n m£c nh‚n sinh ∞ tﬂ∂ng	10124078	1	5	1	20103103	1	20103112	60	20103115	12	20308071	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	-1	8	3000	700960	-1	-1	-1	-1
416	Loan ph¯ng ho‡ minh ∞ tﬂ∂ng	10124079	1	5	2	20103104	1	20103113	50	20103116	10	20308072	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	-1	8	3000	700960	-1	-1	-1	-1
417	–o‡n dÒ ngÊ yÍn ∞ tﬂ∂ng	10124080	1	5	2	20103104	1	20103113	55	20103116	11	20308072	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	-1	8	3000	700960	-1	-1	-1	-1
418	¡m d’ b·ch h˛p ∞ tﬂ∂ng	10124081	1	5	2	20103104	1	20103113	60	20103116	12	20308072	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	-1	8	3000	700960	-1	-1	-1	-1
419	Dung Kim L’c Nhßt –∞	-1	-1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	30000	335134	-1	Tﬂæng#GLIÍn Nhung Th•n Ti™t#W˙c Vi Øi —ng c§p bßc –Ìch#Yth•n khÌ: Dung Kim L’c Nhßt –ao#W: #r#GLiÍn Nhung Th•n Ti™t[C§p 1]óó[C§p 42]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 2]óó[C§p 52]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 3]óó[C§p 62]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 4]óó[C§p 72]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 5]óó[C§p 82]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 6]óó[C§p 92]th•n khÌ	-1	-1
420	Thu Th¸y VÙ Ng§n –∞	-1	-1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	3	30000	335134	-1	Tﬂæng#GLIÍn Nhung Th•n Ti™t#W˙c Vi Øi —ng c§p bßc –Ìch#Yth•n khÌ: Thu Thu÷ VÙ Ng§n Ki™m#W: #r#GLiÍn Nhung Th•n Ti™t[C§p 1]óó[C§p 42]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 2]óó[C§p 52]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 3]óó[C§p 62]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 4]óó[C§p 72]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 5]óó[C§p 82]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 6]óó[C§p 92]th•n khÌ	-1	-1
421	BÌch H‰i Ng‚n –‡o –∞	-1	-1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	6	30000	335134	-1	Tﬂæng#GLIÍn Nhung Th•n Ti™t#W˙c Vi Øi —ng c§p bßc –Ìch#Yth•n khÌ: BÌch H‰i Ng‚n –‡o Ho‡n#W: #r#GLiÍn Nhung Th•n Ti™t[C§p 1]óó[C§p 42]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 2]óó[C§p 52]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 3]óó[C§p 62]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 4]óó[C§p 72]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 5]óó[C§p 82]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 6]óó[C§p 92]th•n khÌ	-1	-1
422	V’n H·ch T˘ng Phong –∞	-1	-1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	5	30000	335134	-1	Tﬂæng#GLIÍn Nhung Th•n Ti™t#W˙c Vi Øi —ng c§p bßc –Ìch#Yth•n khÌ: M£c H·ch T˘ng Phong Phi™n#W: #r#GLiÍn Nhung Th•n Ti™t[C§p 1]óó[C§p 42]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 2]óó[C§p 52]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 3]óó[C§p 62]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 4]óó[C§p 72]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 5]óó[C§p 82]th•n khÌ#r#GLiÍn Nhung Th•n Ti™t[C§p 6]óó[C§p 92]th•n khÌ	-1	-1
423	Huy™t S°c Chi™n Gi·p ∞ tﬂ∂ng	10124082	1	5	3	20103105	1	20103114	50	20103117	10	20308073	1	-1	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	8	3000	700960	-1	-1	-1	-1
424	TiÍn thußt: Minh V˚	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	TiÍn thußt: Minh V˚	-1	-1
425	Cﬂﬁi ngÒa: Trﬂ˛t tuy™t	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: Trﬂ˛t tuy™t	-1	-1
426	Cﬂﬁi ngÒa: Tÿ –iÆn	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: Tÿ –iÆn	-1	-1
427	TiÍn thußt: GiÛ to	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	TiÍn thußt: GiÛ to	-1	-1
428	TiÍn thußt: Ho‡ng C‚n LÒc SÓ	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	TiÍn thußt: Ho‡ng C‚n LÒc SÓ	-1	-1
429	TiÍn thußt: Tuy™t V˚	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	TiÍn thußt: Tuy™t V˚	-1	-1
430	Cﬂﬁi ngÒa: H‡ m„	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: H‡ m„	-1	-1
431	Cﬂﬁi ngÒa: Xe ngÒa	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: Xe ngÒa	-1	-1
432	Cﬂﬁi ngÒa: ThiÍn M„	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: ThiÍn M„	-1	-1
433	Cﬂﬁi ngÒa: ThØ Tÿ	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: ThØ Tÿ	-1	-1
434	Cﬂﬁi ngÒa: V˚ Sﬂ	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: V˚ Sﬂ	-1	-1
435	Cﬂﬁi ngÒa: Thu•n Lµc	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: Thu•n Lµc	-1	-1
436	Cﬂﬁi ngÒa: –‡ –i¨u	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: –‡ –i¨u	-1	-1
437	Cﬂﬁi ngÒa: K˝ hiÆu k‹ sÓ	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: K˝ hiÆu k‹ sÓ	-1	-1
438	Cﬂﬁi ngÒa: H˘ng	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: H˘ng	-1	-1
439	Cﬂﬁi ngÒa: Xe g≤	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: Xe g≤	-1	-1
440	Cﬂﬁi ngÒa: L¯c NgÙ	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: L¯c NgÙ	-1	-1
441	Cﬂﬁi ngÒa: Huy´n Quy	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: Huy´n Quy	-1	-1
442	Cﬂﬁi ngÒa: TÍ Ngﬂu	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: TÍ Ngﬂu	-1	-1
443	Cﬂﬁi ngÒa: –’i Tﬂ˛ng	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: –’i Tﬂ˛ng	-1	-1
444	Cﬂﬁi ngÒa: B’ch Tﬂ˛ng	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: B’ch Tﬂ˛ng	-1	-1
445	Cﬂﬁi ngÒa: L¯c H‡nh B’ch –iÍu	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: L¯c H‡nh B’ch –iÍu	-1	-1
446	Cﬂﬁi ngÒa: L¯c H‡nh –iÍu	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: L¯c H‡nh –iÍu	-1	-1
447	K‹ thußt: H±	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: H±	-1	-1
448	K‹ thußt: Ho‡ng PhiÍu M„	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: Ho‡ng PhiÍu M„	-1	-1
449	Cﬂﬁi ngÒa: L’c –‡	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: L’c –‡	-1	-1
450	K‹ thußt: H’c	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: H’c	-1	-1
451	K‹ thußt: Thanh Phﬂ˛ng	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: Thanh Phﬂ˛ng	-1	-1
452	K‹ thußt: Mao ngﬂu	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: Mao ngﬂu	-1	-1
453	K‹ thußt: Lµc	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: Lµc	-1	-1
454	K‹ thußt: –iÍu	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: –iÍu	-1	-1
455	K‹ thußt: KhÙi Lang	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: KhÙi Lang	-1	-1
456	K‹ thußt: B’ch H±	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: B’ch H±	-1	-1
457	K‹ thußt: Thanh B’ch ThÙng M„	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: Thanh B’ch ThÙng M„	-1	-1
458	Cﬂﬁi ngÒa: B’ch L’c –‡	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Cﬂﬁi ngÒa: B’ch L’c –‡	-1	-1
459	K‹ thußt: Kim DÒc H’c	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: Kim DÒc H’c	-1	-1
460	K‹ thußt: H∞ng B’ch Phﬂ˛ng	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: H∞ng B’ch Phﬂ˛ng	-1	-1
461	K‹ thußt: B’ch mao ngﬂu	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: B’ch mao ngﬂu	-1	-1
462	K‹ thußt: B’ch Lµc	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: B’ch Lµc	-1	-1
463	K‹ thußt: B’ch –iÍu	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: B’ch –iÍu	-1	-1
464	K‹ thußt: B’ch Lang	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	K‹ thußt: B’ch Lang	-1	-1
465	Tuy´n Tinh T·n Dﬂ˛c PhﬂΩng	30005025	1	2	3	20101005	2	20101006	2	20304007	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c SΩ C§p ALo’i phØi phﬂΩng 1	-1	-1
466	ThiÍn XÌch –an Dﬂ˛c PhﬂΩng	30005026	1	2	3	20101005	2	20101007	2	20304007	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c SΩ C§p ALo’i phØi phﬂΩng 2	-1	-1
467	TÌch L∏ch T·n Dﬂ˛c PhﬂΩng	30005027	1	2	3	20101006	2	20101007	2	20304007	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c SΩ C§p ALo’i phØi phﬂΩng 3	-1	-1
468	Qui T‚m Ho‡n Dﬂ˛c PhﬂΩng	30005028	1	2	3	20101006	2	20101007	2	20304007	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c SΩ C§p ALo’i phØi phﬂΩng 4	-1	-1
469	BÂng Long –an Dﬂ˛c PhﬂΩng	30005033	1	2	6	20101014	3	20101015	3	20304010	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c Trung C§p ALo’i phØi phﬂΩng 1	-1	-1
470	Qui Gi·p T·n Dﬂ˛c PhﬂΩng	30005034	1	2	6	20101015	3	20101016	3	20304010	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c Trung C§p ALo’i phØi phﬂΩng 2	-1	-1
471	Kim LÙi Ho‡n Dﬂ˛c PhﬂΩng	30005035	1	2	6	20101016	3	20101014	3	20304010	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c Trung C§p ALo’i phØi phﬂΩng 3	-1	-1
472	Ng˚ –µc T·n Dﬂ˛c PhﬂΩng	30005036	1	2	6	20101016	3	20101014	3	20304010	6	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c Trung C§p ALo’i phØi phﬂΩng 4	-1	-1
473	TiÍn –an BÂng Lan Dﬂ˛c PhﬂΩng	30005041	1	2	9	20101023	5	20101024	7	20304013	12	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c cao c§p ALo’i phØi phﬂΩng 1	-1	-1
474	TiÍn –an T‹ T‡ Dﬂ˛c PhﬂΩng	30005042	1	2	9	20101023	5	20101024	7	20304013	12	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c cao c§p ALo’i phØi phﬂΩng 2	-1	-1
475	TiÍn –an Huy´n ViÍm Dﬂ˛c PhﬂΩng	30005043	1	2	9	20101023	6	20101024	6	20304013	12	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c cao c§p ALo’i phØi phﬂΩng 3	-1	-1
476	TiÍn –an Ph¯ng Ch‚u Dﬂ˛c PhﬂΩng	30005044	1	2	9	20101023	7	20101024	5	20304013	12	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	15	3000	-1	-1	Dﬂ˛c cao c§p ALo’i phØi phﬂΩng 4	-1	-1
477	SΩ C§p PhØi PhﬂΩng Ng˚ CØc	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	Tﬂæng mµt Ìt SΩ C§p ng˚ cØc, Nhﬂ: #GTI¨u M’ch, –’i M≠, Ng˜c M≠#Wl‡m th‡nh thÒc vßt. #r#c54FF00(tr¯ cµt tiÍu hao s—c sØng 10–i¨m, Th¯ dﬂﬁng sinh k€ nÂng c§p bßc ‰nh hﬂ∑ng)	-1	-1
478	SΩ C§p PhØi PhﬂΩng T’p Vßt	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	Tﬂæng mµt Ìt#GS¥ C§p ThÒc T‡i#Wl‡m th‡nh thÒc vßt. #r#c54FF00(tr¯ cµt tiÍu hao s—c sØng 10–i¨m, Th¯ dﬂﬁng sinh k€ nÂng c§p bßc ‰nh hﬂ∑ng)	-1	-1
479	Trung C§p PhØi PhﬂΩng Ng˚ CØc	-1	-1	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	Tﬂæng mµt Ìt Trung C§p ng˚ cØc, Nhﬂ: #GHOa Sinh, H∞ng ThÒ, Cao LﬂΩng#Wl‡m th‡nh thÒc vßt. #r#c54FF00(tr¯ cµt tiÍu hao s—c sØng 15–i¨m, Th¯ dﬂﬁng sinh k€ nÂng c§p bßc ‰nh hﬂ∑ng)	-1	-1
480	Trung C§p PhØi PhﬂΩng T’p Vßt	-1	-1	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	Tﬂæng mµt Ìt#GTRung C§p ThÒc T‡i#Wl‡m th‡nh thÒc vßt. #r#c54FF00(tr¯ cµt tiÍu hao s—c sØng 15–i¨m, Th¯ dﬂﬁng sinh k€ nÂng c§p bßc ‰nh hﬂ∑ng)	-1	-1
481	Cao C§p PhØi PhﬂΩng Ng˚ CØc	-1	-1	1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	Tﬂæng mµt Ìt cao c§p ng˚ cØc, Nhﬂ: #GCHi Ma, L¯c –ßu, Ho‡ng –ßu, T‡m –ßu#Wl‡m th‡nh thÒc vßt. #r#c54FF00(tr¯ cµt tiÍu hao s—c sØng 23–i¨m, Th¯ dﬂﬁng sinh k€ nÂng c§p bßc ‰nh hﬂ∑ng)	-1	-1
482	Cao C§p PhØi PhﬂΩng T’p Vßt	-1	-1	1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	18	3000	700900	-1	Tﬂæng mµt Ìt#GCAo C§p ThÒc T‡i#Wl‡m th‡nh thÒc vßt. #r#c54FF00(tr¯ cµt tiÍu hao s—c sØng 23–i¨m, Th¯ dﬂﬁng sinh k€ nÂng c§p bßc ‰nh hﬂ∑ng)	-1	-1
483	DﬂΩng Xu‚n DiÆn ThÒc Ph±	30102006	1	1	3	20104001	2	20105013	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	SΩ C§p ng˚ cØc AphØi phﬂΩng 1	-1	-1
484	Nam Qua H‡m Ph’n ThÒc Ph±	30102007	1	1	3	20104002	2	20105014	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	SΩ C§p ng˚ cØc AphØi phﬂΩng 2	-1	-1
485	XÌch –ßu Phßt Th¸ ThÒc Ph±	30102008	1	1	3	20104003	2	20105015	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	SΩ C§p ng˚ cØc AphØi phﬂΩng 3	-1	-1
486	Mai Can M≠ Ph’n ThÒc Ph±	30102009	1	1	3	20104001	2	20105013	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	SΩ C§p ng˚ cØc AphØi phﬂΩng 4	-1	-1
487	KÍ D•u L’c BÌnh ThÒc Ph±	30102010	1	1	3	20104002	2	20105014	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	SΩ C§p ng˚ cØc AphØi phﬂΩng 5	-1	-1
488	Khu¶n Tÿ MiÍn ThÒc Ph±	30102016	1	1	6	20104004	3	20105016	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	SΩ C§p T’p Vßt AphØi phﬂΩng 1	-1	-1
489	ThiÍn T•ng Ph·t Cao ThÒc Ph±	30102017	1	1	6	20104005	3	20105017	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	SΩ C§p T’p Vßt AphØi phﬂΩng 2	-1	-1
490	B’t Ty Cam Thÿ ThÒc Ph±	30102018	1	1	6	20104006	3	20105018	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	SΩ C§p T’p Vßt AphØi phﬂΩng 3	-1	-1
491	N„i Du TiÍn BÌnh ThÒc Ph±	30102019	1	1	6	20104004	3	20105016	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	SΩ C§p T’p Vßt AphØi phﬂΩng 4	-1	-1
492	TﬂΩng Tﬂ H∞ng –ßu Tr˙c ThÒc Ph±	30102020	1	1	6	20104005	3	20105017	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	Trung C§p ng˚ cØc AphØi phﬂΩng 1	-1	-1
493	Th¸y ¡p Nhußn Ph™ Thang ThÒc Ph±	30102026	1	1	9	20104007	6	20105019	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	Trung C§p ng˚ cØc AphØi phﬂΩng 2	-1	-1
494	H’ch –‡o KÍ –inh ThÒc Ph±	30102027	1	1	9	20104008	6	20105020	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	Trung C§p ng˚ cØc AphØi phﬂΩng 3	-1	-1
495	Ngﬂ HﬂΩng To·i B’ch Nh¯c ThÒc Ph±	30102028	1	1	9	20104009	6	20105021	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	Trung C§p ng˚ cØc AphØi phﬂΩng 4	-1	-1
496	SΩn TiÍu T˙y KÍ Si ThÒc Ph±	30102029	1	1	9	20104010	6	20105022	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	Trung C§p ng˚ cØc AphØi phﬂΩng 5	-1	-1
497	Ho‡ng D•u B’t Ngﬂ ThÒc Ph±	30102030	1	1	9	20104010	6	20105019	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	20	3000	-1	-1	Trung C§p T’p Vßt AphØi phﬂΩng 1	-1	-1
498	H‰i –ai Ngﬂu Nh¯c Thang ThÒc Ph±	30103006	1	1	3	20102037	2	20102025	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	21	3000	-1	-1	Trung C§p T’p Vßt AphØi phﬂΩng 2	-1	-1
499	Can T’c T—c Ngﬂ ThÒc Ph±	30103007	1	1	3	20102037	2	20102026	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	21	3000	-1	-1	Trung C§p T’p Vßt AphØi phﬂΩng 3	-1	-1
500	Mµc NhÓ Trﬂ Nh¯c Phi™n ThÒc Ph±	30103008	1	1	3	20102037	2	20102027	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	21	3000	-1	-1	Trung C§p T’p Vßt AphØi phﬂΩng 4	-1	-1
501	Kh‰o Nh¯c C·i Ph’n ThÒc Ph±	30103009	1	1	3	20102037	2	20102025	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	21	3000	-1	-1	Cao c§p ng˚ cØc AphØi phﬂΩng 1	-1	-1
