INT	INT	STRING	STRING	STRING
80	81	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 81! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
81	82	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 82! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
82	83	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 83! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
83	84	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 84! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
84	85	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 85! Thay Tân trang b¸ KhÑ#GNAm Chiªu#WBa! N½i ðó Canh thích hþp Nhî!		
85	86	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 86! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
86	87	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 87! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
87	88	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 88! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
88	89	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 89! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
89	90	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 90! Hoán Sáo Tân trang b¸ KhÑ#GTRß¶ng BÕch S½n#WBa! N½i ðó Canh thích hþp Nhî!		
90	91	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 91! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
91	92	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 92! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
92	93	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 93! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
93	94	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 94! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
94	95	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 95! Hoán Sáo Tân trang b¸ KhÑ#GQUÏnh Châu#WBa! N½i ðó có ði«u, so sánh thích hþp hi®n tÕi Ðích Nhî!		
95	96	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 96! Hi®n tÕi Nhî Hæu Tân trang b¸ Khä thay ð±i! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
96	97	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 97! Cai Hoán Thân Tân trang b¸ Li­u Nga! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
97	98	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 98! Hoán Thân Tân trang b¸ Ba! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
98	99	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 99! Hi®n tÕi Nhî có th¬ Hoán Thân Tân trang b¸ Li­u! M£c vào Tân trang b¸, cüa ngß½i sÑc chiªn ð¤u, lñc phòng ngñ s¨ th§t to tång lên!		
99	100	Thân ái Ðích ngß¶i ch½i: Chúc m×ng Nhî lên t¾i C¤p 100! Hi®n tÕi Ðích Nhî ðång phong tÕo cñc! S¤t Sá giang h°! Thay Tân trang b¸ KhÑ#GHOàng Long Phü#WBa! N½i ðó m¾i có th¬ thöa mãn Nhî!		
