INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
141	1	10	4	1	276	-1	Th¤t Thái Tß¶ng Vân	RideHeader7_14	#G	133	85	1	0	1	48526	48527	48528	-1	48529	48530	48531	48532	48533	-1	-1
142	1	10	4	1	277	-1	Cân Ğ¦u Vân	RideHeader7_15	#G	134	85	1	0	1	48567	48568	48569	-1	48570	48571	48572	48573	48574	-1	-1
143	1	10	4	1	278	-1	Ng÷c bao quanh	RideHeader7_16	#G	180	80	0	0	0	49299	49300	49301	-1	49302	49303	49304	49305	49306	-1	-1
144	2	10	4	1	279	-1	Gió l¯c Thß½ng Long	RideHeader11_9	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	185	85	1	0	1	49367	49368	49369	-1	49370	49371	49372	49373	49374	-1	-1
145	2	10	4	1	280	-1	Thiên Phong ºng Long	RideHeader11_8	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	183	85	1	0	1	49393	49394	49395	-1	49396	49397	49398	49399	49400	-1	-1
146	2	10	4	1	281	-1	B¡c Minh Huy«n Long	RideHeader11_7	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	181	85	1	0	1	49419	49420	49421	-1	49422	49423	49424	49425	49426	-1	-1
147	1	40	4	1	282	11	Báo xa-li	RideHeader11_10	#r#GC†n Ác Nhân C¯c Khä g÷i v«.	187	40	0	0	0	5739	5740	5741	-1	5742	5743	5744	5745	5765	-1	-1
148	1	60	4	1	283	11	Tia ch¾p Xá	RideHeader11_11	#r#GC†n Ác Nhân C¯c Khä g÷i v«.	188	70	0	0	0	5747	5748	5749	-1	5750	5751	5752	5753	5766	-1	-1
149	1	80	4	1	284	11	Giáng Ma Xá	RideHeader11_12	#r#GC†n Ác Nhân C¯c Khä g÷i v«.	189	75	0	0	0	5758	5759	5760	-1	5761	5762	5763	5764	5767	-1	-1
150	1	10	4	1	285	-1	M£c Ng÷c KÏ Lân	RideHeader11_13	#G	190	80	0	0	1	49518	49519	49520	-1	49521	49522	49523	49524	49525	-1	-1
151	1	10	4	1	286	-1	Arras C½	RideHeader11_14	#G	191	85	1	0	0	5786	5787	5788	-1	5789	5790	5791	5792	5793	-1	-1
152	1	10	4	1	287	-1	Sóc Änh Thiên Lang	RideHeader11_16	#G	193	85	1	0	1	5812	5813	5814	-1	5815	5816	5817	5818	5819	-1	-1
153	1	10	4	1	288	-1	Khiªu Nguy®t Thiên Lang	RideHeader11_15	#G	192	85	1	0	1	5838	5839	5840	-1	5841	5842	5843	5844	5845	-1	-1
154	1	10	4	1	289	-1	Meo meo bao quanh	RideHeader12_1	#G	194	85	1	0	0	50783	50784	50785	-1	50786	50787	50788	50789	50790	-1	-1
155	1	10	4	1	291	-1	Gió to·Ch¤n	RideHeader12_5	#r#GT?i cüa ta t÷a kÜ m£t biên Hæu Ki®n Ği¬m Kích có th¬ nguyên dÕng l¤y ra.	195	90	2	10142928	1	50866	50867	50868	-1	50869	50870	50871	50872	50873	-1	-1
156	1	10	4	1	292	-1	Gió to·Li	RideHeader12_2	#r#GT?i cüa ta t÷a kÜ m£t biên Hæu Ki®n Ği¬m Kích có th¬ nguyên dÕng l¤y ra.	197	90	2	10142929	1	50892	50893	50894	-1	50895	50896	50897	50898	50899	-1	-1
157	1	10	4	1	293	-1	Gió to·Khäm	RideHeader12_4	#r#GT?i cüa ta t÷a kÜ m£t biên Hæu Ki®n Ği¬m Kích có th¬ nguyên dÕng l¤y ra.	196	90	2	10142930	1	50918	50919	50920	0	50921	50922	50923	50924	50925	-1	-1
158	1	10	4	1	294	-1	Gió to·Ki«n	RideHeader12_3	#r#GT?i cüa ta t÷a kÜ m£t biên Hæu Ki®n Ği¬m Kích có th¬ nguyên dÕng l¤y ra.	198	90	2	10142931	1	50944	50945	50946	1	50947	50948	50949	50950	50951	-1	-1
159	1	10	4	1	290	-1	Gió mÕnh	RideHeader12_6	#G	199	80	0	0	1	50970	50971	50972	2	50973	50974	50975	50976	50977	-1	-1
160	1	10	4	1	295	-1	Giæa hè mµng ğ©p	RideHeader12_8	#G	200	85	1	0	0	51831	51832	51833	-1	51834	51835	51836	51837	51838	-1	-1
161	1	10	4	1	296	-1	Long Tß½ng	RideHeader12_7	#G	201	80	1	0	0	52067	52068	52069	-1	52070	52071	52072	52073	52074	-1	-1
162	1	10	4	1	297	-1	Long Tß½ng·Ği¬n Tàng	RideHeader12_7	#r#GT?i cüa ta t÷a kÜ m£t biên Hæu Ki®n Ği¬m Kích có th¬ nguyên dÕng l¤y ra.	201	80	1	10142984	1	52091	52092	52093	-1	52094	52095	52096	52097	52098	-1	-1
163	2	10	4	1	298	-1	Hµi Änh M£c Long	RideHeader12_11	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	209	85	1	0	1	52186	52187	52188	-1	52189	52190	52191	52192	52193	-1	-1
164	2	10	4	1	299	-1	Ng÷c Tiêu Vân Long	RideHeader12_10	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	207	85	1	0	1	52210	52211	52212	-1	52213	52214	52215	52216	52217	-1	-1
165	2	10	4	1	300	-1	Quy Khß th¥n long	RideHeader12_9	#r#Gg?i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	205	85	1	0	1	52234	52235	52236	-1	52237	52238	52239	52240	52241	-1	-1
166	1	10	4	1	301	-1	Lßşc Thiên Phong	RideHeader12_12	#G	203	85	1	0	1	52138	52139	52140	-1	52141	52142	52143	52144	52168	-1	-1
167	1	10	4	1	302	-1	Kinh Lßu Vân	RideHeader12_13	#G	204	85	1	0	1	52161	52162	52163	-1	52164	52165	52166	52167	52169	-1	-1
168	1	10	4	1	303	-1	Chiêu Hoa kim ô	RideHeader12_14	#G	211	80	0	0	1	52371	52372	52373	-1	52374	52375	52376	52377	52378	-1	-1
																									
																									
169	1	10	4	1	219	-1	Mây lØa Tà Thú	JD_RideHeader4_12	#G	2077	80	0	0	0	53001	53002	53003	-1	53004	53005	53006	53007	53008	-1	-1
170	1	10	4	1	223	-1	Huy«n Thiên Lôi Thú	JD_RideHeader4_13	#G	2078	80	0	0	0	53009	53010	53011	-1	53012	53013	53014	53015	53016	-1	-1
171	1	10	4	1	227	-1	Khô Mµc con r¯i	JD_RideHeader4_11	#G	2076	80	0	0	0	53017	53018	53019	-1	53020	53021	53022	53023	53024	-1	-1
172	3	10	4	1	231	-1	CØu Châu th¥n long	JD_RideHeader4_14	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2079	70	0	0	0	53025	53026	53027	-1	53028	53029	53030	53031	53032	-1	-1
173	1	10	4	1	232	-1	Nguy®t Th¯	JD_RideHeader4_15	#G	2080	80	0	0	0	53033	53034	53035	-1	53036	53037	53038	53039	53040	-1	-1
174	1	10	4	1	257	-1	Løc Hành Ği¬u	JD_RideHeader5_8	#G	2088	80	0	0	0	53041	53042	53043	-1	53044	53045	53046	53047	53048	-1	-1
175	1	10	4	1	261	-1	Mßa bøi Thanh Hà	JD_RideHeader5_3	#r#Gg?i v« H§u Khä TÕi trên b¥u tr¶i phi hành. #GĞi¬m Kích Ctrl+ThØ Tiêu Tä Ki®n có th¬ kh¯ng chª phi hành t÷a kÜ Ğích c¤t cánh r¾t xu¯ng.	2083	80	0	0	0	53049	53050	53051	-1	53052	53053	53054	53055	53056	-1	-1
176	1	10	4	1	265	-1	Hoan Hoä Xích Lân Thú	JD_RideHeader5_5	#G	2084	80	0	0	0	53057	53058	53059	-1	53060	53061	53062	53063	53064	-1	-1
177	1	10	4	1	269	-1	Thiên Công Linh Lung ThØ	JD_RideHeader5_7	#G	2087	80	0	0	0	53065	53066	53067	-1	53068	53069	53070	53071	53072	-1	-1
178	1	10	4	1	273	-1	Thiêm Phúc C¦m Lân	JD_RideHeader5_6	#G	2086	80	1	0	0	53073	53074	53075	-1	53076	53077	53078	53079	53080	-1	-1
179	1	10	4	0	277	-1	Chích Túc QuÖ Mã	JD_RideHeader5_4	#G	2085	80	0	0	0	53081	53082	53083	-1	53084	53085	53086	53087	53088	-1	-1
180	1	10	4	1	284	-1	Kim Lân Vû Sß	JD_RideHeader5_9	#G	2089	80	0	0	0	53089	53090	53091	-1	53092	53093	53094	53095	53096	-1	-1
181	1	10	4	1	289	-1	Kim Dñc Long Thú	JD_RideHeader5_14	#r#Gg?i v« H§u Khä TÕi trên b¥u tr¶i phi hành. #GĞi¬m Kích Ctrl+ThØ Tiêu Tä Ki®n có th¬ kh¯ng chª phi hành t÷a kÜ Ğích c¤t cánh r¾t xu¯ng.	2094	80	0	0	0	53097	53098	53099	-1	53100	53101	53102	53103	53104	-1	-1
182	2	10	4	1	291	-1	Th¤t bäo nh¸ sen	JD_RideHeader5_11	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2091	70	0	0	0	53105	53106	53107	-1	53108	53109	53110	53111	53112	-1	-1
183	1	10	4	1	307	-1	Dung nham Ma Tê	JD_RideHeader6_2	#G	2098	80	1	0	0	53113	53114	53115	-1	53116	53117	53118	53119	53120	-1	-1
184	2	10	4	1	308	-1	TÑ Hï T¯ng Lí Ğài	JD_RideHeader6_3	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2099	80	1	0	0	53121	53122	53123	-1	53124	53125	53126	53127	53128	-1	-1
185	1	10	4	1	309	-1	Nguy®t BÕch Long Mã	JD_RideHeader6_4	#G	2100	80	1	0	0	53129	53130	53131	-1	53132	53133	53134	53135	53136	-1	-1
186	3	10	4	0	310	-1	Phï Thuı ngñ giá	JD_RideHeader6_1	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2096	70	0	0	0	53137	53138	53139	-1	53140	53141	53142	53143	53144	-1	-1
187	1	10	4	0	333	-1	Lam Dñc Long Thú	JD_RideHeader5_15	#r#Gg?i v« H§u Khä TÕi trên b¥u tr¶i phi hành. #GĞi¬m Kích Ctrl+ThØ Tiêu Tä Ki®n có th¬ kh¯ng chª phi hành t÷a kÜ Ğích c¤t cánh r¾t xu¯ng.	2153	80	0	0	0	53145	53146	53147	-1	53148	53149	53150	53151	53152	-1	-1
188	1	10	4	1	337	-1	Thanh Dñc Long Thú	JD_RideHeader5_16	#r#Gg?i v« H§u Khä TÕi trên b¥u tr¶i phi hành. #GĞi¬m Kích Ctrl+ThØ Tiêu Tä Ki®n có th¬ kh¯ng chª phi hành t÷a kÜ Ğích c¤t cánh r¾t xu¯ng.	2154	80	0	0	0	53153	53154	53155	-1	53156	53157	53158	53159	53160	-1	-1
189	1	10	4	1	346	-1	NgÕo Tuyªt Linh Sß	JD_RideHeader6_5	#G	2157	80	0	0	0	53161	53162	53163	-1	53164	53165	53166	53167	53168	-1	-1
190	1	10	4	1	365	-1	Phúc tuyªt r½i ğúng lúc Ğiêu	JD_RideHeader6_9	#G	2164	80	0	0	0	53169	53170	53171	-1	53172	53173	53174	53175	53176	-1	-1
191	2	10	4	1	374	-1	H°ng Mai Nhuy­n Giá	JD_RideHeader6_10	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2165	80	0	0	0	53177	53178	53179	-1	53180	53181	53182	53183	53184	-1	-1
192	1	10	4	1	379	-1	Kim Vû	JD_ThaiIcons1_7	#G	2166	80	0	0	0	53185	53186	53187	-1	53188	53189	53190	53191	53192	-1	-1
193	1	10	4	1	382	-1	Minh Tà Thú	JD_RideHeader4_16	#G	2167	80	0	0	0	53193	53194	53195	-1	53196	53197	53198	53199	53200	-1	-1
194	1	10	4	1	383	-1	Li®t Hoä kim cß½ng	JD_RideHeader6_11	#G	2168	80	0	0	0	53201	53202	53203	-1	53204	53205	53206	53207	53208	-1	-1
195	1	10	4	1	389	-1	Xích Tiêu Viêm Lang	JD_RideHeader6_12	#G	2169	80	0	0	0	53209	53210	53211	-1	53212	53213	53214	53215	53216	-1	-1
196	1	10	4	1	398	-1	M¸ Vû	JD_RideHeader6_13	#G	2171	80	0	0	0	53217	53218	53219	-1	53220	53221	53222	53223	53224	-1	-1
197	1	10	4	1	412	-1	Vân ThuÖ Kim Tinh Thú	JD_RideHeader6_15	#G	2173	80	0	0	0	53225	53226	53227	-1	53228	53229	53230	53231	53232	-1	-1
198	1	10	4	1	415	-1	U Lam Häi Long	JD_RideHeader7_2	#G	2176	80	0	0	0	53233	53234	53235	-1	53236	53237	53238	53239	53240	-1	-1
199	1	10	4	1	418	-1	Huy«n Ğ°ng Häi Long	JD_RideHeader7_1	#G	2175	80	0	0	0	53241	53242	53243	-1	53244	53245	53246	53247	53248	-1	-1
200	1	10	4	1	423	-1	Ám Viêm Khai Minh Thú	JD_RideHeader7_3	#G	2177	80	0	0	0	53249	53250	53251	-1	53252	53253	53254	53255	53256	-1	-1
201	1	10	4	1	428	-1	Dao Quang Khai Minh Thú	JD_RideHeader7_4	#G	2178	80	0	0	0	53257	53258	53259	-1	53260	53261	53262	53263	53264	-1	-1
202	2	10	4	1	436	-1	Tinh H°ng Vân Chu	JD_RideHeader7_5	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2179	80	0	0	0	53265	53266	53267	-1	53268	53269	53270	53271	53272	-1	-1
203	1	10	4	1	441	-1	Ám Viêm Minh Sß	JD_RideHeader7_6	#G	2180	80	0	0	0	53273	53274	53275	-1	53276	53277	53278	53279	53280	-1	-1
204	1	10	4	1	453	-1	Hß Không Hùng H°n	JD_RideHeader7_8	#G	2181	80	0	0	0	53281	53282	53283	-1	53284	53285	53286	53287	53288	-1	-1
205	1	10	4	1	455	-1	Tß¶ng Vân HÕc	JD_RideHeader7_7	#G	2182	80	0	0	0	53289	53290	53291	-1	53292	53293	53294	53295	53296	-1	-1
206	1	40	4	1	462	11	Kim Ti«n Báo	JD_RideHeader7_9	#r#GC†n Ğß¶ng Môn môn phái Khä g÷i v«.	2183	40	0	0	0	53297	53298	53299	-1	53300	53301	53302	53303	53304	-1	-1
207	1	60	4	1	463	11	Vân Tuyªt Báo	JD_RideHeader7_10	#r#GC†n Ğß¶ng Môn môn phái Khä g÷i v«.	2184	70	0	0	0	53305	53306	53307	-1	53308	53309	53310	53311	53312	-1	-1
208	1	80	4	1	464	11	U Minh Báo	JD_RideHeader7_11	#r#GC†n Ğß¶ng Môn môn phái Khä g÷i v«.	2185	75	0	0	0	53313	53314	53315	-1	53316	53317	53318	53319	53320	-1	-1
209	1	10	4	1	471	-1	ºng Long Huy­n H°n	JD_RideHeader7_13	#G	2187	80	0	0	0	53321	53322	53323	-1	53324	53325	53326	53327	53328	-1	-1
210	1	10	4	1	476	-1	Viêm Vû	JD_RideHeader7_12	#G	2186	80	0	0	0	53329	53330	53331	-1	53332	53333	53334	53335	53336	-1	-1
211	1	1	4	1	482	-1	H¡c hoa h°ng	JD_RideHeader7_14	#G	2188	20	0	0	0	53337	53338	53339	-1	53340	53341	53342	53343	53344	-1	-1
212	1	10	4	1	486	-1	Nhung Tuyªt Th¥n Ngßu	JD_RideHeader7_15	#G	2189	80	0	0	0	53345	53346	53347	-1	53348	53349	53350	53351	53352	-1	-1
213	1	10	4	1	499	-1	Thß½ng Häi Long Câu	JD_RideHeader8_1	#G	2190	80	0	0	0	53353	53354	53355	-1	53356	53357	53358	53359	53360	-1	-1
214	1	10	4	0	505	-1	Bách Biªn kim cß½ng	JD_RideHeader8_2	#G	2191	80	0	-1	0	53361	53362	53363	-1	53364	53365	53366	53367	53368	-1	-1
215	2	10	4	1	511	-1	Ğ§u Ğ§u trßşt tuyªt	JD_RideHeader7_16	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2192	80	0	-1	0	53369	53370	53371	-1	53372	53373	53374	53375	53376	-1	-1
216	2	10	4	1	521	-1	Nguy®t Mã Hß½ng Câu	JD_RideHeader8_3	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2194	80	0	-1	0	53377	53378	53379	-1	53380	53381	53382	53383	53384	-1	-1
217	1	10	4	1	530	-1	Xích Luy®n Câu	JD_RideHeader8_4	#G	2195	80	0	-1	0	53385	53386	53387	-1	53388	53389	53390	53391	53392	-1	-1
218	1	10	4	1	545	-1	Bích Giáp Huy«n Quy	JD_RideHeader8_5	#G	2196	80	0	-1	0	53393	53394	53395	-1	53396	53397	53398	53399	53400	-1	-1
219	2	10	4	1	554	-1	Tinh Vû Du Long	JD_RideHeader8_6	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2197	80	0	-1	0	53401	53402	53403	-1	53404	53405	53406	53407	53408	-1	-1
220	1	10	4	1	562	-1	Thß½ng Lan cánh chim	JD_RideHeader8_7	#G	2198	85	1	-1	0	53409	53410	53411	-1	53412	53413	53414	53415	53416	-1	-1
221	2	10	4	1	574	-1	Ğoàn Dß½ng Dß½ng	JD_RideHeader8_9	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2200	80	0	-1	0	53417	53418	53419	-1	53420	53421	53422	53423	53424	-1	-1
222	1	10	4	1	582	-1	Li®t Häi Ma Long	JD_RideHeader8_11	#G	2203	80	0	-1	0	53425	53426	53427	-1	53428	53429	53430	53431	53432	-1	-1
223	1	10	4	1	583	-1	Di®t Thª Hoä Phøng	JD_RideHeader8_10	#G	2202	80	0	-1	0	53433	53434	53435	-1	53436	53437	53438	53439	53440	-1	-1
224	1	10	4	1	584	-1	Nhiªp Linh C± Hoa	JD_RideHeader8_12	#G	2204	80	0	-1	0	53441	53442	53443	-1	53444	53445	53446	53447	53448	-1	-1
225	2	10	4	1	585	-1	Vân ThuÖ Thanh Hà	JD_RideHeader8_13	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2201	80	0	-1	0	53449	53450	53451	-1	53452	53453	53454	53455	53456	-1	-1
226	1	10	4	1	592	-1	ThuÖ Bích Phi Diên	JD_RideHeader8_14	#G	2205	80	1	-1	0	53457	53458	53459	-1	53460	53461	53462	53463	53464	-1	-1
227	1	10	4	1	595	-1	Màu ğö tía Phi Diên	JD_RideHeader8_15	#G	2206	80	1	-1	0	53465	53466	53467	-1	53468	53469	53470	53471	53472	-1	-1
228	1	10	4	1	604	-1	Cß½ng Tung Thú	JD_RideHeader8_16	#G	2207	80	0	-1	0	53473	53474	53475	-1	53476	53477	53478	53479	53480	-1	-1
229	1	10	4	1	617	-1	Trång r¢m Long Câu	JD_RideHeader9_2	#G	2209	80	0	-1	0	53481	53482	53483	-1	53484	53485	53486	53487	53488	-1	-1
230	1	10	4	1	618	-1	ĞÕp Tuyªt Ô Truy	JD_RideHeader9_3	#G	2210	80	0	-1	0	53489	53490	53491	-1	53492	53493	53494	53495	53496	-1	-1
231	2	10	4	1	620	-1	QuÖ Mã thuy«n r°ng	JD_RideHeader9_1	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2208	80	0	-1	0	53497	53498	53499	-1	53500	53501	53502	53503	53504	-1	-1
232	1	10	4	1	637	-1	Ng÷c Lân Long	JD_RideHeader9_4	#G	2211	80	0	-1	0	53505	53506	53507	-1	53508	53509	53510	53511	53512	-1	-1
233	1	10	4	1	678	-1	Mµng äo Tiên Câu	JD_RideHeader9_6	#G	2213	80	1	-1	0	53513	53514	53515	-1	53516	53517	53518	53519	53520	-1	-1
234	2	10	4	1	691	-1	Vân C¯c C¦m Xa	JD_RideHeader9_7	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2214	80	0	-1	0	53521	53522	53523	-1	53524	53525	53526	53527	53528	-1	-1
235	1	10	4	1	706	-1	Bích tß½i ngon m÷ng nß¾c Quân	JD_RideHeader9_8	#G	2215	85	0	-1	0	53529	53530	53531	-1	53532	53533	53534	53535	53536	-1	-1
236	1	10	4	1	718	-1	TØ ng÷c linh miêu	JD_RideHeader9_9	#G	2216	80	0	-1	0	53537	53538	53539	-1	53540	53541	53542	53543	53544	-1	-1
237	1	10	4	1	732	-1	T¯ Tuyªt linh miêu	JD_RideHeader9_10	#G	2217	80	0	-1	0	53545	53546	53547	-1	53548	53549	53550	53551	53552	-1	-1
238	1	10	4	1	786	-1	H°ng Vi Mµng 	JD_RideHeader9_12	#G	2219	80	0	-1	0	53553	53554	53555	-1	53556	53557	53558	53559	53560	-1	-1
239	1	10	4	1	797	-1	Linh Vi Mµng 	JD_RideHeader9_13	#G	2220	80	0	-1	0	53561	53562	53563	-1	53564	53565	53566	53567	53568	-1	-1
240	1	10	4	1	808	-1	Lßu Li Tß¾c Vû	JD_RideHeader9_15	#G	2222	80	0	-1	0	53569	53570	53571	-1	53572	53573	53574	53575	53576	-1	-1
241	1	10	4	1	822	-1	Linh Vu Tß¾c Vû	JD_RideHeader9_14	#G	2221	80	0	-1	0	53577	53578	53579	-1	53580	53581	53582	53583	53584	-1	-1
242	1	10	4	1	851	-1	Vui m×ng g¤u mèo	JD_RideHeader4_6	#G	2224	80	0	-1	0	53585	53586	53587	-1	53588	53589	53590	53591	53592	-1	-1
243	1	10	4	1	867	-1	Ğ¸a Hoä Li Viêm Thú	JD_RideHeader10_1	#G	2225	80	0	-1	0	53593	53594	53595	-1	53596	53597	53598	53599	53600	-1	-1
244	1	10	4	1	883	-1	Bánh pút-ğing Ği«m Tâm	JD_RideHeader10_2	#G	2226	80	0	-1	0	53601	53602	53603	-1	53604	53605	53606	53607	53608	-1	-1
245	1	40	4	1	885	12	Linh h°	JD_RideHeader10_3	#r#GC†n QuÖ C¯c môn phái Khä g÷i v«.	2228	40	0	-1	0	53609	53610	53611	-1	53612	53613	53614	53615	53616	-1	-1
246	1	60	4	1	886	12	Xích Vî H°	JD_RideHeader10_4	#r#GC†n QuÖ C¯c môn phái Khä g÷i v«.	2229	70	0	-1	0	53617	53618	53619	-1	53620	53621	53622	53623	53624	-1	-1
247	1	80	4	1	887	12	Huy«n Thiên H°	JD_RideHeader10_5	#r#GC†n QuÖ C¯c môn phái Khä g÷i v«.	2230	75	0	-1	0	53625	53626	53627	-1	53628	53629	53630	53631	53632	-1	-1
248	1	10	4	1	905	-1	Phöng·Huy«n Thiên H°	JD_RideHeader10_5	#G	2230	75	0	-1	0	53633	53634	53635	-1	53636	53637	53638	53639	53640	-1	-1
249	1	10	4	1	911	-1	Chiªn Thiên Lang	JD_RideHeader10_6	#G	2231	80	0	-1	0	53641	53642	53643	-1	53644	53645	53646	53647	53648	-1	-1
250	2	10	4	1	927	-1	Tuyªt Lµc Khiªu	JD_RideHeader10_8	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2233	80	0	-1	0	53649	53650	53651	-1	53652	53653	53654	53655	53656	-1	-1
251	1	10	4	1	946	-1	Phúc ThuÜ C¦m Long	JD_RideHeader10_9	#G	2234	80	0	-1	0	53657	53658	53659	-1	53660	53661	53662	53663	53664	-1	-1
252	1	10	4	1	964	-1	KÏ Thü Long Quân	JD_RideHeader10_10	#r#Gg?i v« H§u Khä TÕi trên b¥u tr¶i phi hành. #GĞi¬m Kích Ctrl+ThØ Tiêu Tä Ki®n có th¬ kh¯ng chª phi hành t÷a kÜ Ğích c¤t cánh r¾t xu¯ng.	2235	85	0	-1	0	53665	53666	53667	-1	53668	53669	53670	53671	53672	-1	-1
253	1	10	4	1	980	-1	Thanh Tiêu	JD_RideHeader10_12	#G	2237	80	0	-1	0	53673	53674	53675	-1	53676	53677	53678	53679	53680	-1	-1
254	1	10	4	0	996	-1	Mây tía	JD_RideHeader10_11	#G	2238	80	0	-1	0	53681	53682	53683	-1	53684	53685	53686	53687	53688	-1	-1
255	2	10	4	1	1016	-1	Ng÷c màu tím nhÕt Bình	JD_RideHeader10_13	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2239	80	0	-1	0	53689	53690	53691	-1	53692	53693	53694	53695	53696	-1	-1
256	1	10	4	1	1047	-1	Cñc quang cánh chim	JD_RideHeader10_16	#G	2242	80	0	-1	0	53697	53698	53699	-1	53700	53701	53702	53703	53704	-1	-1
257	1	10	4	1	1066	-1	Sß½ng Linh Minh Vß½ng Tß¾c	JD_RideHeader11_1	#G	2243	80	0	-1	0	53705	53706	53707	-1	53708	53709	53710	53711	53712	-1	-1
258	1	10	4	1	1069	-1	Trß¶ng ca hành	JD_RideHeader11_2	#G	2244	80	0	-1	0	53713	53714	53715	-1	53716	53717	53718	53719	53720	-1	-1
259	1	10	4	1	1085	-1	Thß¾c Ca C¦m Vû	JD_RideHeader11_3	#G	2245	80	1	-1	0	53721	53722	53723	-1	53724	53725	53726	53727	53728	-1	-1
260	1	10	4	1	1101	-1	Thß¾c Minh M£c Vû	JD_RideHeader11_4	#G	2246	80	1	-1	0	53729	53730	53731	-1	53732	53733	53734	53735	53736	-1	-1
261	1	10	4	1	1118	-1	Hoa Nguy®t Dçn	JD_RideHeader11_5	#G	2247	80	0	-1	0	53737	53738	53739	-1	53740	53741	53742	53743	53744	-1	-1
262	1	10	4	1	1135	-1	Ngñ Phong Hành	JD_RideHeader11_6	#G	2248	85	1	-1	0	53745	53746	53747	-1	53748	53749	53750	53751	53752	-1	-1
263	2	10	4	1	1151	-1	Thê Phøng Ca	JD_RideHeader11_7	#r#G#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2249	80	0	-1	0	53753	53754	53755	-1	53756	53757	53758	53759	53760	-1	-1
264	2	10	4	1	1170	-1	Hà thßşng tiên	JD_RideHeader11_8	#r#Gg?i v« H§u Khä TÕi trên b¥u tr¶i phi hành. #GĞi¬m Kích Ctrl+ThØ Tiêu Tä Ki®n có th¬ kh¯ng chª phi hành t÷a kÜ Ğích c¤t cánh r¾t xu¯ng. #r#Gg÷i v« H§u Khä m¶i ğ°ng các\u0020hÕ ğang Th×a KÜ.	2250	80	1	-1	0	53761	53762	53763	-1	53764	53765	53766	53767	53768	-1	-1
265	1	40	4	1	1190	13	Mµc Diên	JD_RideHeader11_9	#r#GC†n Ğào Hoa Ğäo môn phái Khä g÷i v«.	2252	40	0	-1	0	53769	53770	53771	-1	53772	53773	53774	53775	53776	-1	-1
266	1	60	4	1	1191	13	Tinh Phong Diên	JD_RideHeader11_10	#r#GC†n Ğào Hoa Ğäo môn phái Khä g÷i v«.	2253	70	0	-1	0	53777	53778	53779	-1	53780	53781	53782	53783	53784	-1	-1
267	1	80	4	1	1192	13	T× Vân Diên	JD_RideHeader11_11	#r#GC†n Ğào Hoa Ğäo môn phái Khä g÷i v«.	2254	75	0	-1	0	53785	53786	53787	-1	53788	53789	53790	53791	53792	-1	-1
268	1	10	4	1	1202	-1	Ô DÕ H« Du Cß½ng	JD_RideHeader11_13	#G	2257	85	1	-1	0	53793	53794	53795	-1	53796	53797	53798	53799	53800	-1	-1
269	1	10	4	1	1219	-1	ThuÖ Khách Th×a Lí KhÑ	JD_RideHeader11_14	#G	2260	85	1	-1	0	53801	53802	53803	-1	53804	53805	53806	53807	53808	-1	-1
270	1	10	4	1	1236	-1	Man La Khiên	JD_RideHeader11_12	#G	2261	80	0	-1	0	53809	53810	53811	-1	53812	53813	53814	53815	53816	-1	-1
