INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING
182	90	93	566	Gi¤u Tài Nång	Hoàn Nhan A C¯t Ðä	22	[234&78]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích tìm kiªm A C¯t Ðä nhi®m vø m¾i có th¬.		
183	96	99	632	Cäm ½n	A Vû	29	[182&265]			
184	96	99	633	Kª hoÕch cüa Dß½ng Minh	Dß½ng Minh	28	[157&223]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích cäm ½n nhi®m vø m¾i có th¬.		
185	98	101	637	Chï Th¸ Cüa Tu La Vß½ng	A Vû	29	[182&265]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Ách Tu La, Vînh DÕ Tu La, M£c Kiªp Tu La nhi®m vø m¾i có th¬.		
186	87	90	625	Báo cáo kªt quä chi¬n ð¤u	Dß½ng Minh	28	[157&223]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Ð¢ng Giáp T£c Nguyên soái nhi®m vø m¾i có th¬.		
187	87	90	628	Phßþng Vån Ngân Töa Phiªn	BÕch Lan	28	[147&47]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c ðích thñc Thñc Ðích nói d¯i nhi®m vø m¾i có th¬.		
188	89	92	629	Anh hùng lúc già	BÕch Cänh Võ	28	[128&50]			
189	70	73	613	Tuy®t Thª Th¥n Binh	Sách Mçu LÕp	27	[49&51]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích La B£c Yêu Tri Thù, La B£c Yêu Vân Mçu, La B£c Yêu Long Huyªt nhi®m vø m¾i có th¬.		
190	72	75	614	Ca ca ng¯c	A Y Na	27	[277&44]			
191	72	75	619	Không h¤p bánh bao	C± L² LÕp	27	[276&45]			
192	65	68	672	Vô gian ðÕo	Thái Dß½ng Hoa	33	[195&48]			
193	67	70	675	Làm khó	Kinh Cúc	33	[161&286]			
194	70	73	676	Tuy®t thª häo nam nhi	Ðông Thích	33	[163&284]			
195	70	73	679	D×ng xe Phong Lâm ðêm	Th¦m VÕn Tam	33	[170&74]			
196	80	83	681	Nhân v§t k¸ch tình	Di®p Lßu Phàm	34	[115&58]			
197	80	83	683	TÑ Thiêm Danh	Di®p Lßu Phàm	34	[115&58]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích chæ b¢ng máu Ðích nghiên cÑu nhi®m vø m¾i có th¬.		
198	82	85	685	Phòng tr¯ng	Ðinh Liên Y	34	[111&60]			
199	82	85	689	Khách thuê phòng che m£t	Di®p Lßu Phàm	34	[115&58]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n hoàn thành giai ðoÕn trß¾c Ðích ð® nh¸ Kh¯i vªt máu nhi®m vø m¾i có th¬.		
200	82	85	687	Bí m§t v« Lôi Th¥n Ki«u	Di®p Lßu Phàm	34	[115&58]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n hoàn thành giai ðoÕn trß¾c Ðích mµt ðß¶ng quang minh nhi®m vø m¾i có th¬.		
201	92	95	693	Thß M§t	Nguyên TØ Khâm	35	[241&160]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ÐÕo Th¥n nhi®m vø m¾i có th¬.		
202	92	95	695	Giäi sñ nghi ng¶	Lång ºc T×	35	[247&150]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích rØa änh Dßþc nhi®m vø m¾i có th¬.		
203	94	97	699	Ð¯ng ð¤t sÕch cu¯i cùng	Lång ºc T×	35	[247&150]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Huy«n Vû Môn Chi Biªn nhi®m vø m¾i có th¬.		
204	98	101	573	Món quà t£ng ðau lòng	Phù T¸ch Nhan	23	[166&204]			
205	98	101	574	Bäo v® thánh v§t	Lßu NgÕo Thiên	23	[190&48]			
206	98	101	577	Chân tß¾ng	Mµ Dung Thiên Lang	23	[46&276]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Trùng Giáp Ðích chiªn ð¤u, Baron Ðích chiªn ð¤u nhi®m vø m¾i có th¬.		
207	99	102	579	Luân h°i tình cäm	Vû Vån Tô	23	[155&195]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích th¯ng kh± Ðích bùng n± nhi®m vø m¾i có th¬.		
208	88	91	561	Tr¯n tìm	Hoàn Nhan Ngµt thu§t	22	[118&107]			
209	75	78	552	Ðu±i H¡c Phong	Bá Nhan	21	[164&199]			
210	78	81	554	Xây dñng lÕi trang trÕi	Gia Lu§t Kim	21	[170&206]			
211	38	41	658	Tr§n ðánh cu¯i cùng	A Thanh	31	[51&115]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích phàm tâm Tñ Ði®p, Quy Phong Chi Mê nhi®m vø m¾i có th¬.		
212	70	73	678	Ð¥u sö tµi ác	Nguy®t Lý	33	[192&70]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích phân bi®t rõ ràng, ån miªng trä miªng, khó xØ nhi®m vø m¾i có th¬.		
213	82	85	688	Vªt Ðö ThÑ 2	ThÕch Cäm Ðß½ng	34	[260&186]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích lôi th¥n Ki«u Chi Mê nhi®m vø m¾i có th¬.		
214	55	58	602	Vùng ð¤t tuy®t v÷ng	Tr¸nh Huy«n	26	[182&163]			
215	25	28	648	Thª gi¾i hoa cö	Tô Phi	30	[164&202]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ÐoÕn Ki«u Hoa Yêu, BÕch Ðê Li­u QuÖ, Quy Phong Trang nhi®m vø m¾i có th¬.		
216	48	51	536	ThØ thách lòng thành	L² Bình	19	[232&192]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích tìm kiªm L² Bình nhi®m vø m¾i có th¬.		
217	72	75	618	Anh hùng cÑu mÛ nhân	A H¡c	27	[279&47]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Næ Oa ThÕch Nhân, Y¬n Sß Hµ Pháp, ÐÕi Y¬n Sß nhi®m vø m¾i có th¬.		
218	20	23	1	Ðèn nhà ai n¤y sáng	Tri®u Thiên Sß	2	[160&156]			
219	30	33	9	Cô Tô Mµ Dung	Tri®u Thiên Sß	2	[160&156]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích h± g¥m r°ng ngâm nhi®m vø m¾i có th¬.		
220	40	43	16	TÑ häi là nhà	Tri®u Thiên Sß	2	[160&156]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Bi Tô Thanh Phong nhi®m vø m¾i có th¬.		
221	50	53	24	Bäo v® Mã Phu Nhân	Tri®u Thiên Sß	2	[160&156]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích huyªt chiªn Tø Hi«n Trang nhi®m vø m¾i có th¬.		
222	60	63	33	Trân Long KÏ Hµi	Tri®u Thiên Sß	2	[160&156]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Løc Quân lui tránh nhi®m vø m¾i có th¬.		
223	70	73	38	Hµi Thi Túc C¥u	Tri®u Thiên Sß	2	[160&156]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ðóng cØa Tróc T£c nhi®m vø m¾i có th¬.		
224	10	13	900	Thiªu lñc	Dß½ng Vån Quäng	8	[252&154]			
225	18	21	901	Mai mµt	Tào Diên Hu®	8	[55&63]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích chiªn höa nhi®m vø m¾i có th¬.		
226	13	16	902	Ngh® thu§t	Chu Vß½ng L­	8	[63&81]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích nghî cách cÑu vi®n nhi®m vø m¾i có th¬.		
227	15	18	903	T× ch¯i	Sài Tiªn	3	[200&66]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích An Th¥n Dßþc nhi®m vø m¾i có th¬.		
228	18	21	904	Kim Ti Hß½ng Nang	Tiêu Nhßþng	3	[209&79]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích hoÕ t× trong nhà nhi®m vø m¾i có th¬.		
229	98	101	639	Dûng cäm xông vào Hàn Ng÷c Tháp	A Vû	29	[182&265]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích chiªn tranh Ðích nguyên nhân nhi®m vø m¾i có th¬.		
230	15	18	905	Tiªp ðãi	Sài Tiªn	3	[200&66]			
231	15	18	906	Ðu±i ði ºa Viên	Tiêu Nhßþng	3	[209&79]			
232	18	21	907	Ðu±i ði Ð°ng Nhân	Tiêu Nhßþng	3	[209&79]			
233	15	18	908	H÷c Häi Vô Nhai	Sách Lâm	3	[46&56]			
234	18	21	909	Tây Vñc Ðích y thu§t	Løc Tùng	3	[203&68]			
235	20	23	910	Long Tïnh Thüy T£c	Mã Hán	30	[187&256]			
236	20	23	911	Häo Huynh Ð®	Vß½ng Tri«u 	30	[46&55]			
237	25	28	912	Tô Phi Ðích liêm ðao	Tô Phi	30	[164, 262]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Tô Phi Ðích thª gi¾i nhi®m vø m¾i có th¬.		
238	15	18	913	Ngh¸ lñc Ðích Thí Luy®n	Dß½ng Vån Quäng	8	[252&145]			
239	15	18	914	Kiên nhçn Ðích Thí Luy®n	Chu ÐÑc Hßng	8	[150&45]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ngh¸ lñc Ðích Thí Luy®n nhi®m vø m¾i có th¬.		
240	15	18	915	Trí tu® Ðích Thí Luy®n	H° ÐÑc Häi	166	[236&230]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích kiên nhçn Ðích Thí Luy®n nhi®m vø m¾i có th¬.		
241	15	18	916	Võ ngh® Ðích Thí Luy®n	Tôn ÐÑc Long	166	[175&100]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích trí tu® Ðích Thí Luy®n nhi®m vø m¾i có th¬.		
242	15	18	917	Tín døng Ðích Thí Luy®n	Tôn ÐÑc Long	166	[175&100]	Chú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích võ ngh® Ðích Thí Luy®n nhi®m vø m¾i có th¬.		
243	20	23	918	Kim Châm Ðµ Kiªp-Tr÷ng Công Khinh Thü	Hàn Ánh Tuyªt	15	[43&108]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i Th¸ Phái Nga Mi ð® tØ.		
244	20	23	919	Kim Châm Ðµ Kiªp-TØ Ng÷ Châm CÑu Kinh	Vß½ng Thi«u	2	[217&255]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích Trùng Công Khinh Thü nhi®m vø m¾i có th¬.		
245	20	23	920	Kim Châm Ðµ Kiªp-Tam Nhân Ð°ng Hành	Vß½ng Thi«u	2	[217&255]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích TØ Ng÷ châm cÑu Kinh nhi®m vø m¾i có th¬.		
246	20	23	921	Kim Châm Ðµ Kiªp-H°i Mã Thß½ng	Bàng An Th¶i	1	[107&112]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích ba ngß¶i ð°ng hành nhi®m vø m¾i có th¬, m£t khác Hoàn Nhu l¾n h½n tß½ng ðß½ng ba ngß¶i t± ðµi, ðµi trß·ng m¾i có th¬ lînh.		
247	20	23	922	Kim Châm Ðµ Kiªp-Nh¤t ÐÕi KÏ Tài	Bàng An Th¶i	1	[107&112]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích h°i mã thß½ng nhi®m vø m¾i có th¬.		
248	20	23	923	Kim Châm Ðµ Kiªp-V§n døng tñ nhiên	Vß½ng Thi«u	2	[217&255]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n phäi hoàn thành giai ðoÕn trß¾c Ðích mµt thª h® kÏ tài nhi®m vø m¾i có th¬.		
249	20	23	101	Nhi®m vø Mµc Uy¬n Thanh	Mµc Uy¬n Thanh	2	[106&135]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n hoàn thành giai ðoÕn trß¾c Ðích h± g¥m r°ng ngâm nhi®m vø m¾i có th¬.		
250	40	43	101	Nhi®m vø cüa Tiêu Phong	Gia Lu§t ÐÕi ThÕch	0	[118&62]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n hoàn thành giai ðoÕn trß¾c Ðích huyªt chiªn Tø Hi«n Trang nhi®m vø m¾i có th¬.		
251	29	34	926	#Yt¿ thông Liêu Qu¯c	Mã Th×a Sänh	18	[259&88]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n Ti«n Løc Xung tâm pháp c¤p b§c l¾n h½n tß½ng ðß½ng#Y10C¤p#W.		
252	30	36	927	ChÑng minh thành ý	Gia Lu§t MÕc Ca	18	[259&88]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích tß thông Liêu Qu¯c nhi®m vø m¾i có th¬.		
253	31	37	928	Giao d¸ch cüa tµi ác	Gia Lu§t MÕc Ca	18	[129&50]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ðích thành ý cån cÑ chính xác Minh nhi®m vø m¾i có th¬.		
254	33	39	929	#Yt»ng mê thiªu niên Th¶i	Ông Quý Chi	31	[152&122]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i Ti«n Løc Xung tâm pháp c¤p b§c l¾n h½n tß½ng ðß½ng#Y15#W.		
255	34	40	930	Hành Hi®p Trßþng Nghîa	Ông Quý Chi	31	[152&122]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c t×ng mê thiªu niên Th¶i nhi®m vø m¾i có th¬.		
256	36	42	931	Vân tiêu vø tán	Pháp Ni®m	31	[208&62]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành ðêm trß¾c hành hi®p trßþng nghîa nhi®m vø m¾i có th¬.		
257	38	44	932	#YLAng Huy®t ðÕi doanh	Tát Mã	25	[154&205]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i Ti«n Løc Xung tâm pháp c¤p b§c l¾n h½n tß½ng ðß½ng#Y20C¤p#W.		
258	39	45	933	Tï muµi tình thâm	Tát Mã	25	[154&205]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Lang Huy®t ðÕi doanh nhi®m vø m¾i có th¬.		
259	41	47	934	Trß¶ng mao tuyªt quái	Tát Tuyªt	25	[76&91]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c tÖ muµi tình thâm nhi®m vø m¾i có th¬.		
260	43	49	935	#Yr  ràng Hùng HoÕn	Khúc Ðoan	19	[234&192]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i Ti«n Løc Xung tâm pháp c¤p b§c l¾n h½n tß½ng ðß½ng#Y20C¤p#W.		
261	44	50	936	Ðä Thäo C¯c Liêu Binh	Khúc Ðoan	19	[234&192]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c rõ ràng Hùng HoÕn nhi®m vø m¾i có th¬.		
262	46	52	937	Ác mµng tri«n thân	Miêu Khánh	19	[232&203]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Tá Thäo C¯c Liêu Binh nhi®m vø m¾i có th¬.		
263	49	55	938	#Yb? ngß¶i Chi Thác	Vong Tr¥n	32	[157&143]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i Ti«n Løc Xung tâm pháp c¤p b§c l¾n h½n tß½ng ðß½ng#Y25C¤p#W.		
264	51	57	939	S½n Vi®n Du H°n	Khúc Dß½ng	32	[195&53]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c b¸ ngß¶i Chi Thác nhi®m vø m¾i có th¬.		
265	53	59	940	#YtHâm tình Ðích nhìn xa	Dß½ng Thiªt Tín 	26	[241&181]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c l¶i th« nhi®m vø, Ti«n Løc Xung tâm pháp c¤p b§c l¾n h½n tß½ng ðß½ng#Y25C¤p#W.		
266	54	60	941	Phøc thù cüa Thü Lînh ThÕch Sß	T¥n H°ng Miên 	26	[45&44]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ði¬m Ðáo m¾i thôi Hoà thâm tình Ðích nhìn xa nhi®m vø m¾i có th¬.		
267	55	61	942	Thiên lý truy«n giai âm	T¥n H°ng Miên	26	[45&44]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ThÕch Sß thü lînh Ðích báo thù nhi®m vø m¾i có th¬.		
268	56	52	943	#YTHäo Nguyên Ðích Kiªp Phï	Tiêu Tß¶ng	20	[164&159]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i Ti«n Løc Xung tâm pháp c¤p b§c l¾n h½n tß½ng ðß½ng#Y30C¤p#W.		
269	7	13	800	Phái Thiªu Lâm Ðích vi®n trþ	Tu® Phß½ng	9	[96&89]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i ðã gia nh§p Phái Thiªu Lâm.		
270	7	13	801	Cái Bang Ðích vi®n trþ	H°ng Thông	10	[92&70]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i ðã gia nh§p Cái Bang.		
271	7	13	802	Minh Giáo Ðích vi®n trþ	Lâm Nham	11	[98&105]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i ðã gia nh§p Minh Giáo.		
272	7	13	803	Phái Võ Ðang Ðích vi®n trþ	Trß½ng Trung Hành	12	[78&92]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i ðã gia nh§p Phái Võ Ðang.		
273	7	13	804	Thiên Long Phái Ðích vi®n trþ	Bän Phàm	13	[95&88]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i c¤p b§c ðã gia nh§p Thiên Long Phái.		
274	7	13	805	Tiêu Dao Phái Ðích vi®n trþ	T¥n Quán	14	[120&153]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i c¤p b§c ðã gia nh§p Tiêu Dao Phái.		
275	7	13	806	Phái Nga Mi Ðích vi®n trþ	Mãnh Long	15	[95&86]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i ðã gia nh§p Phái Nga Mi.		
276	7	13	807	Tinh Tú Phái Ðích vi®n trþ	Vß½ng NgÕn	16	[96&92]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i ðã gia nh§p Tinh Tú Phái.		
277	7	13	808	Phái Thiên S½n Ðích vi®n trþ	Phù Mçn Nghi	17	[95&60]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i ðã gia nh§p Phái Thiên S½n.		
278	7	13	809	Bay qua Thi®t Li­u Hi®p	Tào Diên Th÷	8	[249&144]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i ðã hoàn thành giai ðoÕn trß¾c'Các môn phái Ðích vi®n trþ'nhi®m vø m¾i có th¬.		
279	20	23	961	#YTHiªu Lâm chuy®n xßa	Huy«n T×	9	[38&98]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i Th¸ Phái Thiªu Lâm, h½n næa Ti«n Løc Xung tâm pháp c¤p b§c l¾n h½n tß½ng ðß½ng#Y10C¤p#W.		
280	20	23	962	Di®t ThØ Tri«u Thñc-Yên Chi Chiªn	Vß½ng Thi«u	2	[217&255]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Thiªu Lâm chuy®n xßa nhi®m vø m¾i có th¬.		
281	20	23	963	Di®t ThØ Tri«u Thñc-Tam Nhân Giai Hành	Vß½ng Thi«u	2	[217&255]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c An chi chiªn nhi®m vø m¾i có th¬.		
282	20	23	964	Kh¯n Thú ¿u Tú	Chüng Thª Hoành	18	[262&46]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ba ngß¶i Giai Hành nhi®m vø, ðµi trß·ng Th¸ Phái Thiªu Lâm ð® tØ Thß ðµi ngû Trung ít nh¤t ba ngß¶i m¾i có th¬.		
283	20	23	965	Di®t ThØ Tri«u Thñc-Thiªu Lâm truy«n kÏ	Chüng Thª Hoành	18	[262&46]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ngoan c¯ ch¯ng cñ nhi®m vø m¾i có th¬.		
284	20	23	966	Di®t ThØ Tri«u Thñc	Vß½ng Thi«u	2	[217&255]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Thiªu Lâm truy«n kÏ nhi®m vø m¾i có th¬.		
285	20	23	944	#Yt¹ l§p môn hµ	Lan Kiªm	17	[88&44]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i Th¸ Phái Thiên S½n ð® tØ, h½n næa Ti«n Løc Xung tâm pháp c¤p b§c l¾n h½n tß½ng ðß½ng#Y10C¤p#W.		
286	20	23	945	Li­u Ám Hoa Minh-Vi®c Quân C¤p Bách	Vß½ng Thi«u	2	[217&255]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c tñ l§p môn hµ nhi®m vø m¾i có th¬.		
287	20	23	946	Li­u Ám Hoa Minh-Tam Nhân T¸nh Hành	Vß½ng Thi«u	2	[217&255]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ngña chiªn vi®c c¤p bách nhi®m vø m¾i có th¬.		
288	20	23	947	Li­u Ám Hoa Minh-L§p tÑc thø lý	Chüng Thª Hoành	18	[262&46]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ba ngß¶i. . . Song song nhi®m vø, ðµi trß·ng Th¸ Phái Thiên S½n ð® tØ Thß ðµi ngû Trung ít nh¤t ba ngß¶i m¾i có th¬.		
289	20	23	948	Li­u Ám Hoa Minh-Tam Sinh Hæu HÕnh	Chüng Thª Hoành	18	[262&46]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành hoàn thành giai ðoÕn trß¾c ngay tÕi ch² tØ hình nhi®m vø m¾i có th¬.		
290	20	23	949	Li­u Ám Hoa Minh-Du s½n ngoÕn thüy	Vß½ng Thi«u	2	[217&255]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c tam sinh hæu hÕnh nhi®m vø m¾i có th¬.		
291	73	75	741	Tß Hß½ng Tình Khiªp	Chu Du	229	[53&219]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c tìm kiªm ¤m áp Ðích bi®n pháp nhi®m vø m¾i có th¬.		
292	75	78	747	Bäo Tiêu Ð§u Ð§u	Viên Bình	229	[58&80]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Bång Thiên Tuyªt Ð¸a T¥m Ð§u Ð§u nhi®m vø m¾i có th¬.		
293	75	78	748	Mµt bÑc thß t× nhà gØi ðªn	Bác LÕp	229	[215&55]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Ð§u Ð§u Ðích bäo tiêu nhi®m vø m¾i có th¬.		
294	83	90	731	Bút Tích	Vß½ng Tß Gia	235	[176&194]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ng½ ng¦n Kiªp nhi®m vø m¾i có th¬.		
295	83	90	732	NÕi Hà Trung Nghîa Lão	Tr¸nh Dß½ng	235	[172&204]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c bút tích nhi®m vø m¾i có th¬.		
296	83	90	727	Nhçn Vô Khä Nhçn	Dß½ng Nguyên	235	[48&34]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c Vßþng Tài nhi®m vø m¾i có th¬.		
297	87	93	729	Sáp Huyªt Chi ¿¾c	Tr¸nh Dß½ng	235	[172&204]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c ðánh b¤t ng¶ Y¬n Sß nhi®m vø m¾i có th¬.		
298	26	30	400	10 nåm r°i lÕi 10 nåm	Tri®u Thiên Sß	2	[160&156]			
299	26	30	401	H÷c T§p T± Ðµi	Châu Thiên Sß	0	[160&134]	#GcHú ý: Tß·ng lînh B±n nhi®m vø c¥n ngß¶i ch½i hoàn thành giai ðoÕn trß¾c mß¶i nåm Hñu mß¶i nåm nhi®m vø m¾i có th¬.		
