INT	INT	INT	INT	STRING	INT	STRING	STRING
100314	3	1141	-1	CØu Chuy¬n Ð¸a th¥n thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n#Gh½n ngß¶i#Y, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100320	3	852	-1	CØu Chuy¬n Thiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100321	3	952	-1	CØu Chuy¬n Thiên linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n#Gsiêu phàm thoát tøc#Y, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100322	3	1052	-1	CØu Chuy¬n Thiên Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100323	3	1152	-1	CØu Chuy¬n thiên tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#GThiên HÕ Vô Song#Y, l?n d¥n#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100324	3	1252	-1	CØu Chuy¬n Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n#Gsiêu phàm thoát tøc#Y, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100330	3	963	-1	CØu Chuy¬n Nguyên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100331	3	1063	-1	CØu Chuy¬n Nguyên linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100332	3	1163	-1	CØu Chuy¬n Nguyên Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100333	3	1263	-1	CØu Chuy¬n Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100334	3	1363	-1	CØu Chuy¬n nguyên th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100340	3	1074	-1	CØu Chuy¬n Siêu Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100341	3	1174	-1	CØu Chuy¬n Siêu linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n#Gvang dµi c± kim#Y, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100342	3	1274	-1	CØu Chuy¬n Siêu Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n#Gvang dµi c± kim#Y, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100343	3	1374	-1	CØu Chuy¬n Siêu Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#GThiên HÕ Vô Song#Y, l?n d¥n#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100344	3	1474	-1	CØu Chuy¬n Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#GThiên HÕ Vô Song#Y, l?n d¥n, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100400	3	840	-1	H²n ðµn Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100401	3	940	-1	H²n ðµn linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100402	3	1040	-1	H²n ðµn Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100403	3	1140	-1	H²n ðµn Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100404	3	1240	-1	H²n ðµn th¥n thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100410	3	951	-1	H²n ðµn Ð¸a Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100411	3	1051	-1	H²n ðµn ð¸a linh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100412	3	1151	-1	H²n ðµn Ð¸a Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n#Gh½n ngß¶i#Y, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100413	3	1251	-1	H²n ðµn Ð¸a Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n#Gh½n ngß¶i#Y, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100414	3	1351	-1	H²n ðµn Ð¸a th¥n thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#Gvang dµi c± kim#Y, l?n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100420	3	1062	-1	H²n ðµn Thiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100421	3	1162	-1	H²n ðµn Thiên linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n#Gsiêu phàm thoát tøc#Y, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100422	3	1262	-1	H²n ðµn Thiên Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100423	3	1362	-1	H²n ðµn thiên tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n#Gsiêu phàm thoát tøc#Y, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100424	3	1462	-1	H²n ðµn Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#Gvang dµi c± kim#Y, l?n d¥n#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100430	3	1173	-1	H²n ðµn Nguyên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100431	3	1273	-1	H²n ðµn Nguyên linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n#GThiên HÕ Vô Song#Y, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100432	3	1373	-1	H²n ðµn Nguyên Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n#GThiên HÕ Vô Song#Y, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100433	3	1473	-1	H²n ðµn Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gvang dµi c± kim#Y, l?n d¥n, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100434	3	1573	-1	H²n ðµn nguyên th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, tß ch¤t#Gvang dµi c± kim#Y, l?n d¥n#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100440	3	1284	-1	H²n ðµn Siêu Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100441	3	1384	-1	H²n ðµn Siêu linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#Gvang dµi c± kim#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100442	3	1484	-1	H²n ðµn Siêu Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#Gvang dµi c± kim#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100443	3	1584	-1	H²n ðµn Siêu Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n#Gvang dµi c± kim#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100444	3	1684	-1	H²n ðµn Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính, l¾n d¥n, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100500	3	1050	-1	Càn Khôn Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100501	3	1150	-1	Càn Khôn linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100502	3	1250	-1	Càn Khôn Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100503	3	1350	-1	Càn Khôn Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100504	3	1450	-1	Càn Khôn th¥n thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100510	3	1161	-1	Càn Khôn Ð¸a Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100511	3	1261	-1	Càn Khôn ð¸a linh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100512	3	1361	-1	Càn Khôn Ð¸a Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#Gh½n ngß¶i#Y, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100513	3	1461	-1	Càn Khôn Ð¸a Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#Gh½n ngß¶i#Y, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100514	3	1561	-1	Càn Khôn Ð¸a th¥n thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, t¿ ch¤t#Gvang dµi c± kim#Y, l¾n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100520	3	1272	-1	Càn Khôn Thiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100521	3	1372	-1	Càn Khôn Thiên linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#Gsiêu phàm thoát tøc#Y, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100522	3	1472	-1	Càn Khôn Thiên Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100523	3	1572	-1	Càn Khôn thiên tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#Gsiêu phàm thoát tøc#Y, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100524	3	1672	-1	Càn Khôn Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, t¿ ch¤t#Gvang dµi c± kim#Y, l¾n d¥n#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100530	3	1383	-1	Càn Khôn Nguyên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100531	3	1483	-1	Càn Khôn Nguyên linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#GThiên HÕ Vô Song#Y, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100532	3	1583	-1	Càn Khôn Nguyên Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#GThiên HÕ Vô Song#Y, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100533	3	1683	-1	Càn Khôn Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100534	3	1783	-1	Càn Khôn nguyên th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, t¿ ch¤t#Gvang dµi c± kim#Y, l¾n d¥n#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100540	3	1494	-1	Càn Khôn Siêu Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100541	3	1594	-1	Càn Khôn Siêu linh thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#Gvang dµi c± kim#Y, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100542	3	1694	-1	Càn Khôn Siêu Thánh Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#Gvang dµi c± kim#Y, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100543	3	1794	-1	Càn Khôn Siêu Tiên Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n#Gvang dµi c± kim#Y, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
100544	3	1894	-1	Càn Khôn Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	#YnGµ tính#Gngh¸ch chuy¬n Càn Khôn#Y, l?n d¥n, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101001	3	105	-1	Biªn äo linh thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Ytß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101002	3	205	-1	Biªn äo Thánh Thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Ytß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101003	3	305	-1	Biªn äo Tiên Thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Ytß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101004	3	405	-1	Biªn äo th¥n thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Ytß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101010	3	116	-1	Biªn äo Ð¸a Thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Yl¾n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101011	3	216	-1	Biªn äo ð¸a linh Thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Yl¾n d¥n, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101012	3	316	-1	Biªn äo Ð¸a Thánh Thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Yl¾n d¥n#Gh½n ngß¶i#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101013	3	416	-1	Biªn äo Ð¸a Tiên Thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Yl¾n d¥n#Gh½n ngß¶i#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101014	3	516	-1	Biªn äo Ð¸a th¥n thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Yl¾n d¥n#Gh½n ngß¶i#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101020	3	227	-1	Biªn äo Thiên Thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Yl¾n d¥n#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101021	3	327	-1	Biªn äo Thiên linh thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Yl¾n d¥n#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101022	3	427	-1	Biªn äo Thiên Thánh Thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Yl¾n d¥n, tß ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101023	3	527	-1	Biªn äo thiên tiên Thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Yl¾n d¥n#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101024	3	627	-1	Biªn äo Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#YbIªn äo H§u, #Yl¾n d¥n#Gsiêu phàm thoát tøc#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101030	3	338	-1	Biªn äo Nguyên Thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Yl¾n d¥n#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101031	3	438	-1	Biªn äo Nguyên linh thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Yl¾n d¥n#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101032	3	538	-1	Biªn äo Nguyên Thánh Thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Yl¾n d¥n#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101033	3	638	-1	Biªn äo Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#YbIªn äo H§u, #Yl¾n d¥n, tß ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101034	3	738	-1	Biªn äo nguyên th¥n Thú	-1	#e96491f#gFF0FA0	#YbIªn äo H§u, #Yl¾n d¥n#GThiên HÕ Vô Song#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101040	3	449	-1	Biªn äo Siêu Thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Yl¾n d¥n#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101041	3	549	-1	Biªn äo Siêu linh thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Yl¾n d¥n#Gvang dµi c± kim#Y, t¿ ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101042	3	649	-1	Biªn äo Siêu Thánh Thú	-1	#e96491f#gFF0FA0	#YbIªn äo H§u, #Yl¾n d¥n#Gvang dµi c± kim#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101043	3	749	-1	Biªn äo Siêu Tiên Thú	-1	#e96491f#gFF0FA0	#YbIªn äo H§u, #Yl¾n d¥n#Gvang dµi c± kim#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101044	3	849	-1	Biªn äo Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	#YbIªn äo H§u, #Yl¾n d¥n, tß ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101100	3	215	-1	Biªn äo trß¶ng sinh Thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Yngµ tính#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101101	3	315	-1	Biªn äo trß¶ng sinh linh thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Yngµ tính, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101102	3	415	-1	Biªn äo trß¶ng sinh Thánh Thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Yngµ tính#Gh½n ngß¶i#Y, t¿ ch¤t#Gsiêu phàm thoát tøc#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101103	3	515	-1	Biªn äo trß¶ng sinh Tiên Thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Yngµ tính#Gh½n ngß¶i#Y, t¿ ch¤t#GThiên HÕ Vô Song#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101104	3	615	-1	Biªn äo trß¶ng sinh th¥n thú	-1	#e96491f#gFF0FA0	#YbIªn äo H§u, #Yngµ tính#Gh½n ngß¶i#Y, t¿ ch¤t#Gvang dµi c± kim#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101110	3	326	-1	Biªn äo trß¶ng sinh Ð¸a Thú	-1	#e195e1a#c72d27c	#YbIªn äo H§u, #Yngµ tính, l¾n d¥n#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
101111	3	426	-1	Biªn äo trß¶ng sinh ð¸a linh Thú	-1	#ebb3e9f#cfd94b0	#YbIªn äo H§u, #Yngµ tính, l¾n d¥n, tß ch¤t#Gh½n ngß¶i#YÐích Trân Thú m¾i có th¬ nh§n ðßþc ThØ danh hi®u.
