INT	INT	INT	STRING	STRING	STRING
35	35	35	#GQUÏnh Châu#WĞích#RUng Dung#W[274, 269], #RNguyên TØ Khâm#W[241, 160], #RLång ºc T×#W[247, 150], #RNhÕc Lão Tam#W[256, 242]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YNæ Oa Khoáng, Liên TØ, Khô Mµc Xuân, Løc Tuyªn Ngß, Vån Xß½ng Ngß#W. Bän ğ¸a quái v§t Hæu: #RTh¸ Huyªt NgÕc Ngß#W, c„p b§c 89~C¤p 95 t÷a ğµ Vi[253, 182]. #RNam Häi ĞÕo Th¥n#W, c¤p b§c 91~C¤p 97 t÷a ğµ Vi[65, 199]. #RNgÕc Ngß Bang Dûng Sî#W, c¤p b§c 90~C¤p 96 t÷a ğµ Vi[210, 198]. #RNgÕc Ngß Bang Sát Thü#W, c¤p b§c 92~C¤p 98 t÷a ğµ Vi[225, 113]. #RNgÕc Ngß Bang Ğß¶ng Chü#W, c¤p b§c 93~C¤p 99 t÷a ğµ Vi[142, 134].		
36	36	36	Nhçm ğã tiªn nh§p#GT? Hi«n Trang#Wtrß¶ng cänh.		
37	37	37	Nhçm ğã tiªn nh§p#GY?n TØ ‘#Wtrß¶ng cänh.		
38	38	38	Nhçm ğã tiªn nh§p#GNH¤t Ph¦m Ğß¶ng#Wtrß¶ng cänh.		
39	39	39			
40	40	40			
41	41	41			
42	42	42	Nhçm ğã tiªn nh§p#GCÁc\u0020hÕ Quân Dinh Ğ¸a#Wtrß¶ng cänh.		
43	43	47	Nhçm ğã tiªn nh§p#GM?c Nhân HÕng#Wtrß¶ng cänh.		
44	44	61	Nhçm ğã tiªn nh§p#GTRân Lung KÏ Cøc#Wtrß¶ng cänh.		
45	45	66	Nhçm ğã tiªn nh§p#GTHuÖ Lao#Wtrß¶ng cänh.		
46	46	71	#GĞ?i Lı#WĞích#RTri®u Thiên Sß#W[160, 156], #RB° Lß½ng#W[216, 133], #RĞ² TØ Ğ¢ng#W[110, 159], #RLô Tam Th¤t#W[102, 131], #RTi«n Long#W[145, 138], #RTôn Bát Gia#W[173, 147], #RVân Phiêu Phiêu#W[265, 128], #RHoàng Mi Tång#W[275, 49], #RĞoàn Duyên Khánh#W[215, 284], #RLí Công Bµ#W[160, 127]XØ s¨ có nhi®m vø.		
47	47	72	#GĞ?i Lı#WĞích#RTri®u Thiên Sß#W[160, 156], #RB° Lß½ng#W[216, 133], #RĞ² TØ Ğ¢ng#W[110, 159], #RLô Tam Th¤t#W[102, 131], #RTi«n Long#W[145, 138], #RTôn Bát Gia#W[173, 147], #RVân Phiêu Phiêu#W[265, 128], #RHoàng Mi Tång#W[275, 49], #RĞoàn Duyên Khánh#W[215, 284], #RLí Công Bµ#W[160, 127]XØ s¨ có nhi®m vø.		
48	48	73	#GVÔ Lßşng S½n#WĞích#RMã Ngû ĞÑc#W[92, 128], #RCát Quang Bµi#W[240, 173], #RCan Quang Hào#W[240, 181], #RTân Song Thanh#W[240, 175]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YĞ°ng Khoáng, BÕch Anh, B° Hoàng, Thäo Ngß, Thanh Ngß#W. Bän ğ¸a quái v§t Hæu: #RCao S½n BÕch Viên#W, c„p b§c 1~C¤p 4 t÷a ğµ Vi[91, 153]. #RĞÕi Hoàng Phong#W, c¤p b§c 1~C¤p 6 t÷a ğµ Vi[54, 250]. #RThi¬m Ği®n Báo#W, c¤p b§c 2~C¤p 8 t÷a ğµ Vi[164, 70]. #RS½n Thù#W, c¤p b§c 4~C¤p 10 t÷a ğµ Vi[108, 190].		
49	49	74	#GVÔ Lßşng S½n#WĞích#RMã Ngû ĞÑc#W[92, 128], #RCát Quang Bµi#W[240, 173], #RCan Quang Hào#W[240, 181], #RTân Song Thanh#W[240, 175]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YĞ°ng Khoáng, BÕch Anh, B° Hoàng, Thäo Ngß, Thanh Ngß#W. Bän ğ¸a quái v§t Hæu: #RCao S½n BÕch Viên#W, c„p b§c 1~C¤p 4 t÷a ğµ Vi[91, 153]. #RĞÕi Hoàng Phong#W, c¤p b§c 1~C¤p 6 t÷a ğµ Vi[54, 250]. #RThi¬m Ği®n Báo#W, c¤p b§c 2~C¤p 8 t÷a ğµ Vi[164, 70]. #RS½n Thù#W, c¤p b§c 4~C¤p 10 t÷a ğµ Vi[108, 190].		
50	50	75			
51	51	76			
52	52	77			
53	53	78	Nhçm ğã tiªn nh§p#GSA MÕc Yêu T¡c#Wtrß¶ng cänh.		
54	54	79	Nhçm ğã tiªn nh§p#GTng Liêu Biên Cänh#Wtrß¶ng cänh.		
55	55	80	Nhçm ğã tiªn nh§p#GDÃ NgoÕi Phï TrÕi#Wtrß¶ng cänh.		
56	56	81	Nhçm ğã tiªn nh§p#GTRúc Lâm#Wtrß¶ng cänh.		
57	57	82	Nhçm ğã tiªn nh§p#GLÔi Ğài#Wtrß¶ng cänh.		
58	58	92	Nhçm ğã tiªn nh§p#GLÔi Ğài#Wtrß¶ng cänh.		
59	59	102	Nhçm ğã tiªn nh§p#GQUang Minh Ğµng#Wtrß¶ng cänh.		
60	60	103	Nhçm ğã tiªn nh§p#GTIêu Dao C¯c Ğ¬#Wtrß¶ng cänh.		
61	61	104	Nhçm ğã tiªn nh§p#GLInh Tính Phong#Wtrß¶ng cänh.		
62	62	105	Nhçm ğã tiªn nh§p#GCÁi Bang TØu Giáo#Wtrß¶ng cänh.		
63	63	106	Nhçm ğã tiªn nh§p#GĞÀo Hoa Tr§n#Wtrß¶ng cänh.		
64	64	107	Nhçm ğã tiªn nh§p#GĞÁp Lâm#Wtrß¶ng cänh.		
65	65	108	Nhçm ğã tiªn nh§p#GNGû Th¥n Ğµng#Wtrß¶ng cänh.		
66	66	109	Nhçm ğã tiªn nh§p#GTHi®t Mai Phong#Wtrß¶ng cänh.		
67	67	110	Nhçm ğã tiªn nh§p#GM?c Huy®t#Wtrß¶ng cänh.		
68	68	111	Nhçm ğã tiªn nh§p#GĞÁp Ğ¬#Wtrß¶ng cänh.		
69	69	112			
70	70	113	Nhçm ğã tiªn nh§p#GT? Hi«n Trang#Wtrß¶ng cänh.		
71	71	114	Nhçm ğã tiªn nh§p#GY?n TØ ‘#Wtrß¶ng cänh.		
72	72	115	Nhçm ğã tiªn nh§p#GNH¤t Ph¦m Ğß¶ng#Wtrß¶ng cänh.		
73	73	116	Nhçm ğã tiªn nh§p#GLÔi C± S½n#Wtrß¶ng cänh.		
74	74	117	Nhçm ğã tiªn nh§p#GLÔi C± S½n#Wtrß¶ng cänh.		
75	75	118	Nhçm ğã tiªn nh§p#GV?n Kiªp C¯c#Wtrß¶ng cänh.		
76	76	119	Nhçm ğã tiªn nh§p#GV?n Kiªp C¯c#Wtrß¶ng cänh.		
77	77	120	Nhçm ğã tiªn nh§p#GTHß½ng Mang S½n#Wtrß¶ng cänh.		
78	78	121	Nhçm ğã tiªn nh§p#GTHß½ng Mang S½n#Wtrß¶ng cänh.		
79	79	122			
80	80	123			
81	81	124	Nhçm ğã tiªn nh§p#GT?p Th¸#Wtrß¶ng cänh.		
82	82	125	Nhçm ğã tiªn nh§p#GKHoáng Trß¶ng#Wtrß¶ng cänh.		
83	83	126	Nhçm ğã tiªn nh§p#GM?c Trß¶ng#Wtrß¶ng cänh.		
84	84	127	Nhçm ğã tiªn nh§p#GTHß Các#Wtrß¶ng cänh.		
85	85	128	Nhçm ğã tiªn nh§p#GTH¸ T§p#Wtrß¶ng cänh.		
86	86	129			
87	87	130			
88	88	131			
89	89	132			
90	90	133	Nhçm ğã tiªn nh§p#GQUang Minh Ğµng#Wtrß¶ng cänh.		
91	91	134	Nhçm ğã tiªn nh§p#GTIêu Dao C¯c Ğ¬#Wtrß¶ng cänh.		
92	92	135	Nhçm ğã tiªn nh§p#GLInh Tính Phong#Wtrß¶ng cänh.		
93	93	136	Nhçm ğã tiªn nh§p#GCÁi Bang TØu Giáo#Wtrß¶ng cänh.		
94	94	137	Nhçm ğã tiªn nh§p#GĞÀo Hoa Tr§n#Wtrß¶ng cänh.		
95	95	138	Nhçm ğã tiªn nh§p#GĞÁp Lâm#Wtrß¶ng cänh.		
96	96	139	Nhçm ğã tiªn nh§p#GNGû Th¥n Ğµng#Wtrß¶ng cänh.		
97	97	140	Nhçm ğã tiªn nh§p#GTHi®t Mai Phong#Wtrß¶ng cänh.		
98	98	141	Nhçm ğã tiªn nh§p#GĞÁp Ğ¬#Wtrß¶ng cänh.		
99	99	142	Nhçm ğã tiªn nh§p#GQUang Minh Ğµng#Wtrß¶ng cänh.		
100	100	143	Nhçm ğã tiªn nh§p#GTIêu Dao C¯c Ğ¬#Wtrß¶ng cänh.		
101	101	144	Nhçm ğã tiªn nh§p#GLInh Tính Phong#Wtrß¶ng cänh.		
102	102	145	Nhçm ğã tiªn nh§p#GCÁi Bang TØu Giáo#Wtrß¶ng cänh.		
103	103	146	Nhçm ğã tiªn nh§p#GĞÀo Hoa Tr§n#Wtrß¶ng cänh.		
104	104	147	Nhçm ğã tiªn nh§p#GĞÁp Lâm#Wtrß¶ng cänh.		
105	105	148	Nhçm ğã tiªn nh§p#GNGû Th¥n Ğµng#Wtrß¶ng cänh.		
106	106	149	Nhçm ğã tiªn nh§p#GTHi®t Mai Phong#Wtrß¶ng cänh.		
107	107	150	Nhçm ğã tiªn nh§p#GĞÁp Ğ¬#Wtrß¶ng cänh.		
108	108	151	Nhçm ğã tiªn nh§p#GTH¸ T§p#Wtrß¶ng cänh.		
109	109	152	Nhçm ğã tiªn nh§p#GTH¸ T§p#Wtrß¶ng cänh.		
110	110	153	Nhçm ğã tiªn nh§p#GCÔng Ğ¸a#Wtrß¶ng cänh.		
111	111	154	Nhçm ğã tiªn nh§p#GHI®u Trß¶ng#Wtrß¶ng cänh.		
112	112	155	Nhçm ğã tiªn nh§p#GNHa Môn#Wtrß¶ng cänh.		
113	113	156	Nhçm ğã tiªn nh§p#GTAm Xuân Hoan Cänh#Wtrß¶ng cänh.		
114	114	157	Nhçm ğã tiªn nh§p#GTAm HÕ Hoan Cänh#Wtrß¶ng cänh.		
115	115	158	Nhçm ğã tiªn nh§p#GTAm Thu Hoan Cänh#Wtrß¶ng cänh.		
116	116	159	Nhçm ğã tiªn nh§p#GTAm Ğông Hoan Cänh#Wtrß¶ng cänh.		
117	117	160	Nhçm ğã tiªn nh§p#GBIên Quan Tr§n Ğ¸a S½n Ğ¥u#Wtrß¶ng cänh.		
118	118	161	Nhçm ğã tiªn nh§p#GBIên Quan Tr§n Ğ¸a S½n Ğ¥u#Wtrß¶ng cänh.		
119	119	162	Nhçm ğã tiªn nh§p#GBIên Quan Tr§n Ğ¸a S½n Ğ¥u#Wtrß¶ng cänh.		
120	120	163	Nhçm ğã tiªn nh§p#GBIên Quan Tr§n Ğ¸a S½n Ğ¥u#Wtrß¶ng cänh.		
121	121	164	#GTÂy H°#WĞích#RTrß½ng Thúc DÕ#W[155, 55], #RMã Hán#W[187, 256], #RTô Phi#W[164, 262], #RKim ĞÕi Kiên#W[141, 47]XØ s¨ có nhi®m vø. Bän ğ¸a sän xu¤t#YĞ°ng Khoáng, qu£ng s¡t, Xuyên B¯i, Nguyên H°, TÑc Ngß, Ti­n Ngß#W. #GS½n Ğµng Thuy«n ‘#WĞích t÷a ğµ Th¸[48, 230]. Bän ğ¸a quái v§t Hæu: #RHoa Cäng Ğµc Phong#W, c„p b§c 17~C¤p 23 t÷a ğµ Vi[86, 53]. #RThuÖ QuÖ Thám TØ#W, c¤p b§c 18~C¤p 24 t÷a ğµ Vi[200, 133]. #RĞoÕn Ki«u Hoa Yêu#W, c¤p b§c 19~C¤p 25 t÷a ğµ Vi[242, 121]. #RBÕch Ğê Li­u QuÖ#W, c¤p b§c 20~C¤p 26 t÷a ğµ Vi[101, 221]. #RQuy Vân Trang tá ği«n#W, c¤p b§c 21~C¤p 27 t÷a ğµ Vi[72, 191]. #RLong Tïnh ThuÖ T£c#W, c¤p b§c 22~C¤p 28 t÷a ğµ Vi[241, 251].		
122	122	165			
123	123	166	Bän ğ¸a quái v§t Hæu: #RĞ?o MÕc Ti¬u T£c#W, c„p b§c 12~C¤p 18 t÷a ğµ Vi[38, 82]. #RHoä Toan Nghê#W, c¤p b§c 71~C¤p 77 t÷a ğµ Vi[86, 85]. #RNê Tß½ng Võ Sî#W, c¤p b§c 72~C¤p 78 t÷a ğµ Vi[86, 85].		
124	124	167			
125	125	168			
126	126	169	Bän ğ¸a quái v§t Hæu: #RSA MÕc Mã Phï#W, c„p b§c 15~C¤p 21 t÷a ğµ Vi[101, 140]. #RSa MÕc Mã Phï#W, c¤p b§c 15~C¤p 21 t÷a ğµ Vi[101, 140].		
127	127	170	Nhçm ğã tiªn nh§p#GT?c Kh¤u Dinh Ğ¸a#Wtrß¶ng cänh.		
128	128	171			
129	129	172			
130	130	173	Nhçm ğã tiªn nh§p#GTHiªu Lâm Tñ#Wtrß¶ng cänh.		
131	131	174	Nhçm ğã tiªn nh§p#GCÁi Bang T±ng Ğà#Wtrß¶ng cänh.		
132	132	175	Nhçm ğã tiªn nh§p#GQUang Minh Ğïnh#Wtrß¶ng cänh.		
133	133	176	Nhçm ğã tiªn nh§p#GNÚi Võ Ğang#Wtrß¶ng cänh.		
134	134	177	Nhçm ğã tiªn nh§p#GTHiên Long Tñ#Wtrß¶ng cänh.		
135	135	178	Nhçm ğã tiªn nh§p#GLÅng Ba Ğµng#Wtrß¶ng cänh.		
136	136	179	Nhçm ğã tiªn nh§p#GNGa Mi S½n#Wtrß¶ng cänh.		
137	137	180	Nhçm ğã tiªn nh§p#GTInh Tú Häi#Wtrß¶ng cänh.		
138	138	181	Nhçm ğã tiªn nh§p#GTHiên S½n#Wtrß¶ng cänh.		
139	139	182			
140	140	183			
141	141	184			
142	142	185			
143	143	186			
144	144	187			
145	145	188			
146	146	189			
147	147	190			
148	148	191	Bän ğ¸a quái v§t Hæu: #RH? Bäo Ğ°ng Nhân#W, c„p b§c 18~C¤p 24 t÷a ğµ Vi[94, 69].		
149	149	192	Bän ğ¸a quái v§t Hæu: #RT?m Bäo Hào Ki®t#W, c„p b§c 21~C¤p 27 t÷a ğµ Vi[179, 239].		
150	150	193			
151	151	194			
152	152	195	Nhçm ğã tiªn nh§p#GT? Võ Hµi Trß¶ng#Wtrß¶ng cänh.		
153	153	196	Nhçm ğã tiªn nh§p#GPH± Thông L­ Ğß¶ng#Wtrß¶ng cänh.		
154	154	197	Nhçm ğã tiªn nh§p#GCAo C¤p L­ Ğß¶ng#Wtrß¶ng cänh.		
155	155	198	Nhçm ğã tiªn nh§p#GHÀo Hoa L­ Ğß¶ng#Wtrß¶ng cänh.		
156	156	199			
157	157	200			
158	158	201			
159	159	202			
160	160	203			
161	161	204			
162	162	205			
163	163	206			
164	164	207			
165	165	208			
166	166	209			
167	167	210			
168	168	211			
169	169	212			
170	170	213			
171	171	214			
172	172	215			
173	173	216			
174	174	217			
175	175	218			
176	176	219			
177	177	220			
178	178	221			
179	179	222			
180	180	223			
181	181	224			
182	182	501			
183	183	502			
184	184	503			
185	185	504			
186	186	505			
187	187	506			
188	188	507			
189	189	508			
190	190	509			
191	191	510			
192	192	511			
193	193	512			
194	194	513			
195	195	514			
196	196	515			
197	197	516			
198	198	517			
199	199	518			
200	200	519			
201	201	520			
202	202	521			
203	203	522			
204	204	523			
205	205	524			
206	206	525			
207	207	526			
208	208	527			
209	209	528			
210	210	529			
211	211	530			
212	212	531			
213	213	532			
214	214	533			
215	215	534			
216	216	535			
217	217	536			
218	218	537			
219	219	538			
220	220	539			
221	221	540			
222	222	541			
223	223	542			
224	224	543			
225	225	544			
226	226	545			
