INT	INT	INT	STRING	STRING
33	1	0	Lßu Kim võ lâm „n	#GL?c Dß½ng(160, 134)#RChu Thiên Sß#Wm¶i Nhçm KhÑ Tha Na, Tha Tß¾ng Bä#YLßu Kim võ lâm „n#Wt£ng cho Nhçm. Nªu Nhçm Nång hoàn thành Tha cho ngài Ğích nho nhö khäo nghi®m, Nhçm có th¬ nh§n ğßşc sØ døng H§u nh§n ğßşc#GBäng Ğ¸nh nguyên bäo#WĞích#YLßu Kim võ lâm „n#W. #r #r #GNhßşng chúng ta cùng nhau du l¸ch thuµc loÕi chính mình Ğích Võ Hi®p thª gi¾i!
34	0	3	Lão hæu tr· v«	Thân ái Ğích ngß¶i ch½i, hi®n tÕi chính trñc#YlÃo hæu tr· v«#WhoÕt ğµng trong lúc, tr× bö Li Tuyªn kinh nghi®m b°i thß¶ng, #GĞÕi Lı#{_INFOAIM145, 139, 2, Ti«n Long}#RTi«n Long#WHoàn Vi Nhçm chu¦n b¸ Li­u mµt ph¥n ğ£c thù Ğích l­ v§t. #r l­ v§t chính là mµt cái kÏ lÕ Ğích ğÕo cø#YLão Hæu Ğích Chúc Phúc#Wcùng v¾i#YToÕ KÜ: Phù Vån KÜ Sî#W, #YLão Hæu Ğích Chúc Phúc#WsØ døng lúc sau, Nhçm ch², n½i Ğích ğµi ngû Trung Toàn Ğµi thành viên ğ«u mu¯n nh§n ğßşc gia tång thuµc tính Ğích trÕng thái. H½n næa này ğÕo cø có th¬ sØ døng#G7Thiên#Wlâu! #r mau mau ği tìm#GĞÕi Lı#{_INFOAIM145, 139, 2, Ti«n Long}#RTi«n Long#Wlînh Ba.
35	0	0	Tînh tâm Thäo	Thân ái Ğích ngß¶i ch½i, TÕi hôm nay#G13: 30—22: 00#W, NHçm có th¬ ği#GĞÕi Lı#{_INFOAIM173, 146, 2, Tôn Bát Gia}#RTôn Bát Gia#WXØ tiªn vào#Gtînh tâm trÕng thái#W, Ğang Lßşng gi¶ Ğích trÕng thái biªn m¤t v« sau, là có th¬ lînh th¥n kÏ Ğích#Ytînh tâm Thäo#W, lînh#Ytînh tâm Thäo#WĞích cu¯i cùng th¶i hÕn cu¯i cùng Vi#G10Nguy®t 19Nh§t RÕng Sáng 1Ği¬m#W. #Ytînh tâm Thäo#Wph¯i hşp#Gti«m nång Chân Ğan#WsØ døng có th¬ gia tång nhân v§t#G35Ği¬m ti«m nång#W! Còn ch¶ cái gì, nhanh lînh#Ytînh tâm Thäo#WBa!
36	1	0	T£ng bäo thÕch	#GL?c Dß½ng#{_INFOAIM160, 134, 0, Chu Thiên Sß}#RChu Thiên Sß#Wğang ch¶ Nhî, Tha ngón tay giæa ĞÕo Nhî r¤t nhanh tång lên sÑc chiªn ğ¤u Ğích phß½ng pháp, Tính B¸ Hæu Häo L­ Tßşng T£ng.
37	1	0	T£ng Trân Thú kÛ nång Thß	#GL?c Dß½ng#{_INFOAIM160, 134, 0, Chu Thiên Sß}#RChu Thiên Sß#Wğang ch¶ Nhî, Tha ngón tay giæa ĞÕo Nhî Trân Thú H÷c T§p kÛ nång Ğích phß½ng pháp, Tính B¸ Hæu Häo L­ Tßşng T£ng.
38	1	0	Hành hi®p trßşng nghîa Trş con ngß¶i m¾i	«Tân Thiên Long Bát Bµ»Th¸ mµt cái hài hòa Ğích m÷i ngß¶i Viên, Tân Lão ngß¶i ch½i d¡t tay h² trş, cµng ğ°ng tiªn bµ, Ki LÕc hoà thu§n vui vë! #r t¤t cä c¤p b§c t¾i C¤p 60 Ğích ngß¶i ch½i, Ğô có th¬ ği#GĞ?i Lı#{_INFOAIM145, 139, 2, Ti«n Long}#RTi«n Long#WXØ nh§n#Ghành hi®p trßşng nghîa Trş con ngß¶i m¾i#Wnhi®m vø, TÕi trş giúp con ngß¶i m¾i Ğích ğ°ng th¶i, chính ngß½i cûng s¨ nh§n ğßşc#Gdày Ğích thß·ng cho#WNga! Nhanh ği hi¬u biªt hi¬u biªt Ba!
39	1	3	Thiên Quan c¥u phúc	Nhçm Ğích c¥u phúc khí c¥u, ğã ğÕt t¾i 2gi¶ Tính thành công cho phép c¤t cánh! Nhçm có th¬ Dß th¥y trò, kªt bái, vş ch°ng t± ğµi Ğáo#GĞ?i Lı#{_INFOAIM180, 180, 2, KÏ Phúc Thiên Quan}#RKÏ Phúc Thiên Quan#Wtiªp tøc tiªn hành c¥u phúc hoÕt ğµng(ğ°ng loÕi hoÕt ğµng mµt ngày chï có mµt l¥n c½ hµi).
40	1	3	Thiên Quan c¥u phúc	Nhçm Ğích c¥u phúc khí c¥u, ğÕt t¾i Li­u 66ThÑ Mãn chúc phúc, ğã thành công cho phép c¤t cánh! Nhçm có th¬ Dß th¥y trò, kªt bái, vş ch°ng t± ğµi Ğáo#GĞ?i Lı#{_INFOAIM180, 180, 2, KÏ Phúc Thiên Quan}#RKÏ Phúc Thiên Quan#Wtiªp tøc tiªn hành c¥u phúc hoÕt ğµng(ğ°ng loÕi hoÕt ğµng mµt ngày chï có mµt l¥n c½ hµi).
41	0	3	Tái chiªn giang h°	B·i vì Nhçm th¶i gian dài không có login, h® th¯ng Tß¾ng tñ ğµng b°i thß¶ng cho ngài mµt ít Li Tuyªn kinh nghi®m C§p ğÕo cø b°i thß¶ng, ğÕo cø b°i thß¶ng Thïnh ği trß¾c#GL?c Dß½ng#{_INFOAIM160, 134, 0, Chu Thiên Sß}#RChu Thiên Sß#WXØ lînh, ğ°ng th¶i Nhçm TÕi giªt chªt dã ngoÕi quái v§t Ğích trong quá trình Hµi nh§n ğßşc thêm vào Ğích kinh nghi®m b°i thß¶ng.
42	0	3	Tái chiªn giang h°	B·i vì Nhçm còn có nh¤t bµ Phân Ğích Li Tuyªn kinh nghi®m không có sØ døng Hoàn, Nhçm TÕi giªt chªt dã ngoÕi quái v§t Ğích trong quá trình Hµi nh§n ğßşc thêm vào Ğích kinh nghi®m b°i thß¶ng.
43	0	0	Không trung th¸ giác	#WtHân ái Ğích ngß¶i ch½i, nªu Nhçm Ğ¯i#Gkhông trung th¸ giác#Wcäm th¤y không khoë, nhß v§y Nhçm có th¬ Tá Khai#Gh® th¯ng Tuy¬n HÕng#Wm£t biên, Thi«n Kích#Gbi¬u hi®n thiªt trí#W, T¿¾ng Hæu HÕ Giác Ğích#Gkhông trung th¸ giác#Wlña ch÷n H§u, Ği¬m Kích#Gxác nh§n#Wchuy¬n hoán th¸ giác Vi 45°Ğích nhìn xu¯ng th¸ giác.
44	0	0	Ngã Ái may m¡n khoái hoÕt Tam	Thân ái Ğích ngß¶i ch½i, Nhçm Th¸ may m¡n khoái hoÕt Tam trung thành nh¤t Ğích ngß¶i üng hµ Ma? Hi®n tÕi CØ Hành Ğích#Y'Ngã Ái may m¡n khoái hoÕt Tam'#WhoÕt ğµng lÕi Nhßşng Nhçm kiªm ğßşc Gia, chï c¥n Nhçm tham gia#Y'Ngã Ái may m¡n khoái hoÕt Tam'#WhoÕt ğµng, Tính TÕi#G5Nguy®t 9Nh§t#Wphía trß¾c t±ng cµng tham gia#G15ThÑ#Wmay m¡n khoái hoÕt Tam, nhß v§y có th¬ nh§n ğßşc#G3C¤p bäo thÕch#WĞích thß·ng cho, còn ch¶ cái gì, mau t¾i#GTô Châu#{_INFOAIM130, 230, 1, Li­u Nguy®t H°ng}#RLi­u Nguy®t H°ng#WXØ tham gia#Y'Ngã Ái may m¡n khoái hoÕt Tam'#WBa!
45	1	0	Phòng tr¥m mê nh¡c nh·	Nhçm hôm nay luy kª TÕi Tuyªn th¶i gian Dî ĞÕt%sPhút, ¿ng qu¯c gia tin tÑc xu¤t bän Thñ yêu c¥u, Nhçm Tß¾ng TÕi%sPhút H§u B¸ Thïnh Li trò ch½i. Thïnh Nhçm logout nghï ng½i, T¯ thích hşp thân th¬ hoÕt ğµng. #r#G Thïnh chú ı: Chßa thành nhân TÕi m²i ngày 22Th¶i Chí ngày kª 8Th¶i Tß¾ng không th¬ ğång kı trò ch½i, m²i ngày ğ± bµ trò ch½i luy kª th¶i gian không ğßşc vßşt qua 1. 5gi¶.
46	1	3	Ğan dßşc dùng hªt	#G%S#WDî toàn bµ dùng hªt, Thïnh ğúng lúc b± sung Ho£c ğ±i m¾i m£t khác ğan dßşc! #r thu¯c Khä TÕi#GĞÕi Lı#{_INFOAIM103, 132, 2, Lô Tam Th¤t}#RLô Tam Th¤t#W, #GLÕc Dß½ng#{_INFOAIM136, 164, 0, BÕch Manh Sinh}#RBÕch Manh Sinh#W, #GTô Châu#{_INFOAIM99, 155, 1, H° Ph°n}#RH° Ph°n#WXØ mua. #r Trân Thú ğ° ån Hoà H°i Hoàn Kim C¥u Khä TÕi#GĞÕi Lı#{_INFOAIM265, 129, 2, Vân Phiêu Phiêu}#RVân Phiêu Phiêu, #GLÕc Dß½ng#{_INFOAIM182, 157, 0, Vân Mi­u Mi­u}#RVân Mi­u Mi­u, #GTô Châu#{_INFOAIM87, 142, 1, Vân Phi Phi}#RVân Phi Phi#WXØ mua.
47	1	0	Lãnh Tß·ng nh¡c nh·	#YHÿu thß·ng cho ğÕo cø có th¬ lînh! #r #Wthân ái Ğích ngß¶i ch½i, Nhçm#Gvai di­n#WHÕ Hæu hoÕt ğµng thß·ng cho ğÕo cø có th¬ lînh, Thïnh ğúng lúc Ğáo#GĞÕi Lı#{_INFOAIM171, 123, 2, Cung Thái Vân}#RCung Thái Vân#WXØ, Ği¬m Kích lînh hoÕt ğµng thß·ng cho m£t biên tiªn hành thao tác lînh.
48	1	0	Lãnh Tß·ng nh¡c nh·	#YHÿu thß·ng cho ğÕo cø có th¬ lînh! #r #Wthân ái Ğích ngß¶i ch½i, Nhçm#Gtài khoän#WHÕ Hæu hoÕt ğµng thß·ng cho ğÕo cø có th¬ lînh, Thïnh ğúng lúc Ğáo#GĞÕi Lı#{_INFOAIM171, 123, 2, Cung Thái Vân}#RCung Thái Vân#WXØ, Ği¬m Kích lînh hoÕt ğµng thß·ng cho m£t biên tiªn hành thao tác lînh.
49	1	0	Lînh h©n trß¾c Hào L­	#YTHiên Long giang h° Chúng, mß¶i nåm cäm ½n L­! #r #Wthân ái Ğích thiªu hi®p, Vi chúc m×ng tr· v« Tân Thiên Long Bát Bµ ğ¥y nåm Khánh bän cû Ğích h©n trß¾c thiªu hi®p S± ğµt phá#G30M£c#W, C#RTri®u Thiên Sß#WTß¾ng dâng chúc m×ng L­ Quy, cäm ½n giang h° Qu¥n Hi®p. Thïnh Nhçm ğúng lúc ği trß¾c#GĞÕi Lı#{_INFOAIM160, 157, 2, Tri®u Thiên Sß}#RTri®u Thiên Sß#WXØ, Ği¬m Kích#Glînh h©n trß¾c L­ Quy#W, lînh thuµc loÕi Nhçm Ğích#Yğ¥y nåm anh hùng Hµi L­ Bao#W, #Yğ¥y nåm ån m×ng L­·Ğ°ng#W, #Yğ¥y nåm ån m×ng L­·Ngân#W, #Yğ¥y nåm ån m×ng L­·Kim#WĞÆng Häo L­. #r #Gchú ı: T×ng vai di­n chï có th¬ TÕi 2021Niên 12Nguy®t 31Nh§t 24Th¶i Ti«n lînh 1ThÑ thß·ng cho. #W
50	1	0	Lînh Nh¤t Trùng hào hùng L­	#YaNh hùng vung ti«n nhß rác KhÑ, hào hùng vÕn trßşng trân bäo Lai. #r #WNhçm luy kª ğ±i Thß luy kª tiêu phí Dî ğÕt t¾i#G4000nguyên bäo#W, HI®n Khä ği trß¾c#GLÕc Dß½ng Ti«n Trang#{_INFOAIM65, 40, 224, Tôn Tiªn Bäo}#RTôn Tiªn Bäo#WXØ lînh#GNh¤t Trùng hào hùng L­#W. #r #GNh¤t Trùng hào hùng L­#Wthß·ng cho nµi dung nhß sau: #YH°ng Bäo ThÕch(C¤p 3)#W, #YThiên Canh Cß¶ng Hoá Lµ#W
51	1	0	Lînh nh¸ tr÷ng hào hùng L­	#YaNh hùng vung ti«n nhß rác KhÑ, hào hùng vÕn trßşng trân bäo Lai. #r #WNhçm luy kª ğ±i Thß luy kª tiêu phí Dî ğÕt t¾i#G8000nguyên bäo#W, HI®n Khä ği trß¾c#GLÕc Dß½ng Ti«n Trang#{_INFOAIM65, 40, 224, Tôn Tiªn Bäo}#RTôn Tiªn Bäo#WXØ lînh#Gnh¸ tr÷ng hào hùng L­#W. #r #Gnh¸ tr÷ng hào hùng L­#Wthß·ng cho nµi dung nhß sau: #YH°ng Bäo ThÕch(C¤p 3)#W, #YKim Cß½ng Toä#W
52	1	0	Lînh tam tr÷ng hào hùng L­	#YaNh hùng vung ti«n nhß rác KhÑ, hào hùng vÕn trßşng trân bäo Lai. #r #WNhçm luy kª ğ±i Thß luy kª tiêu phí Dî ğÕt t¾i#G20000nguyên bäo#W, HI®n Khä ği trß¾c#GLÕc Dß½ng Ti«n Trang#{_INFOAIM65, 40, 224, Tôn Tiªn Bäo}#RTôn Tiªn Bäo#WXØ lînh#Gtam tr÷ng hào hùng L­#W. #r #Gtam tr÷ng hào hùng L­#Wthß·ng cho nµi dung nhß sau: #YH°ng Bäo ThÕch(C¤p 4)#W, #YKim T¢m Ti#G*20#W
53	1	0	Lînh TÑ Trùng hào hùng L­	#YaNh hùng vung ti«n nhß rác KhÑ, hào hùng vÕn trßşng trân bäo Lai. #r #WNhçm luy kª ğ±i Thß luy kª tiêu phí Dî ğÕt t¾i#G40000nguyên bäo#W, HI®n Khä ği trß¾c#GLÕc Dß½ng Ti«n Trang#{_INFOAIM65, 40, 224, Tôn Tiªn Bäo}#RTôn Tiªn Bäo#WXØ lînh#GTÑ Trùng hào hùng L­#W. #r #GTÑ Trùng hào hùng L­#Wthß·ng cho nµi dung nhß sau: #YH°ng Bäo ThÕch(C¤p 4)#W, #YS½ C¤p Bäo ThÕch Dung Luy®n Phù#G*3
54	1	0	Lînh Ngû Trùng hào hùng L­	#YaNh hùng vung ti«n nhß rác KhÑ, hào hùng vÕn trßşng trân bäo Lai. #r #WNhçm luy kª ğ±i Thß luy kª tiêu phí Dî ğÕt t¾i#G80000nguyên bäo#W, HI®n Khä ği trß¾c#GLÕc Dß½ng Ti«n Trang#{_INFOAIM65, 40, 224, Tôn Tiªn Bäo}#RTôn Tiªn Bäo#WXØ lînh#GNgû Trùng hào hùng L­#W. #r #GNgû Trùng hào hùng L­#Wthß·ng cho nµi dung nhß sau: #YH°ng Bäo ThÕch(C¤p 5)#W, #YCao C¤p Bäo ThÕch Dung Luy®n Phù#G*2#W
55	1	0	Lînh Løc Trùng hào hùng L­	#YaNh hùng vung ti«n nhß rác KhÑ, hào hùng vÕn trßşng trân bäo Lai. #r #WNhçm luy kª ğ±i Thß luy kª tiêu phí Dî ğÕt t¾i#G200000nguyên bäo#W, HI®n Khä ği trß¾c#GLÕc Dß½ng Ti«n Trang#{_INFOAIM65, 40, 224, Tôn Tiªn Bäo}#RTôn Tiªn Bäo#WXØ lînh#GLøc Trùng hào hùng L­#W. #r #GLøc Trùng hào hùng L­#Wthß·ng cho nµi dung nhß sau: #YToÕ KÜ: Thiên Mã(30Thiên)#W, #Y4C¤p Bí Ngân#G*2#W
56	1	0	Lînh Th¤t Trùng hào hùng L­	#YaNh hùng vung ti«n nhß rác KhÑ, hào hùng vÕn trßşng trân bäo Lai. #r #WNhçm luy kª ğ±i Thß luy kª tiêu phí Dî ğÕt t¾i#G400000nguyên bäo#W, HI®n Khä ği trß¾c#GLÕc Dß½ng Ti«n Trang#{_INFOAIM65, 40, 224, Tôn Tiªn Bäo}#RTôn Tiªn Bäo#WXØ lînh#GTh¤t Trùng hào hùng L­#W. #r #GTh¤t Trùng hào hùng L­#Wthß·ng cho nµi dung nhß sau: Vînh cØu#Ytrang phøc m¯t: Tiên Læ Tình Duyên(TØ Thø Tiên Tôn phong cách)#W, #Y4C¤p Miên B¯#G*2#W
57	1	3	Danh hi®u ğªn kÏ	Nhçm Ğích danh hi®u: %sNhân th¶i hÕn có hi®u lñc ğªn kÏ Nhi xóa bö, ğ°ng th¶i m¤t ği danh hi®u có ğßşc Ğích thuµc tính Gia Thành.
58	1	3	Danh hi®u ğªn kÏ	Nhçm Ğích danh hi®u: %sNhân th¶i hÕn có hi®u lñc ğªn kÏ Nhi xóa bö.
59	1	3	Binh Hành TÑ Tßşng kªt thúc	%sthiªu hi®p, ngß¶i khöe! #r hôm nay CØ Hành Ğích Binh Hành TÑ Tßşng hoÕt ğµng ğã kªt thúc. B·i vì Nhçm ch², n½i Ğích phòng nghï#GnHân s¯ không ğü#W, cHo nên không th¬ ği trß¾c TÑ Tßşng Thiên Môn Tr§n tham dñ chiªn sñ. Hi®n Tß¾ng#G%sTÑ Tßşng vinh dñ#Wğßa t£ng Dß Nhçm, Dî Uı thiªu hi®p trung dûng Chi Nghîa. #r#Gnêu lên: Có ğßşc cûng ğü Ğích TÑ Tßşng vinh dñ H§u, Khä Vu#GTô Châu#{_INFOAIM193, 144, 1, Xung Sß ĞÕo}#RXung Sß ĞÕo#GXØ, ğ±i các loÕi trân quı ğÕo cø.
60	1	0	Lînh dñ thi thß·ng cho	#YlÎnh Kiªm Hµi qu¥n hùng dñ thi thß·ng cho#W#r#r Nhçm B±n Chu ğã m®t Kª tham dñ#G%s#WTrß¶ng Kiªm Hµi qu¥n hùng, Thïnh ğªn nay Nh§t#G24Th¶i#WTi«n, ği trß¾c Kiªm Hµi qu¥n hùng phòng nghï Ğích chï dçn Nhân XØ, ho£c là ği trß¾c#GĞÕi Lı#{_INFOAIM97, 209, 2, Chu Thúc Bân}#RChu Thúc Bân#W, #GTô Châu#{_INFOAIM193, 133, 1, Chu Tr÷ng Thanh}#RChu Tr÷ng Thanh#W, #GLÕc Dß½ng#{_INFOAIM166, 108, 0, Chu Thßşng}#RChu Thßşng#WXØ, lînh Nhçm Ğích dñ thi thß·ng cho.
61	1	0	Tr§n ğ¤u xÑng ğôi Luân Không	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi Luân Không#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, Nhçm ch², n½i Ğích ğµi ngû không th¬ xÑng ğôi Ğáo#Gthích hşp Ğích ğ¯i thü#W. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû s¨ Luân Không, Tính trñc tiªp nh§n ğßşc B±n Trß¶ng tÖ thí Ğích th¡ng lşi. #r Thïnh Nhçm Säo Tác nghï ng½i, ch¶ ğşi tiªp theo Luân xÑng ğôi Ğích b¡t ğ¥u.
62	1	0	Tr§n ğ¤u xÑng ğôi Luân Không	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi Luân Không#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, Nhçm ch², n½i Ğích ğµi ngû không th¬ xÑng ğôi Ğáo#Gthích hşp Ğích ğ¯i thü#W. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû s¨ Luân Không, Tính trñc tiªp nh§n ğßşc B±n Trß¶ng tÖ thí Ğích th¡ng lşi. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
63	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i ğµi ngû Ğích thành viên#GV¸ TÕi cùng phòng nghï#WNµi, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
64	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i ğµi ngû Ğích thành viên#GV¸ TÕi cùng phòng nghï#WNµi, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
65	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i ğµi ngû Ğích thành viên s¯ lßşng#Gkhông ğü 4Nhân#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
66	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i ğµi ngû Ğích thành viên s¯ lßşng#Gkhông ğü 4Nhân#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
67	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i Ğích ğµi ngû thành công Viên#Gkhông ğü C¤p 60#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
68	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i Ğích ğµi ngû thành công Viên#Gkhông ğü C¤p 60#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
69	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#Gm£t khác T± Bi®t#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
70	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#Gm£t khác T± Bi®t#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
71	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#G2#WCá ğã ngoài#Ggi¯ng nhau môn phái#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
72	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i Ğích ğµi ngû t°n tÕi#G2#WCá ğã ngoài#Ggi¯ng nhau môn phái#WĞích thành viên, không phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
