INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
334	2	156	136	Giän Ninh	Cái Bang tiªp dçn trß·ng lão	Cái Bang	5	2
335	2	156	143	Vß½ng Khê Vân	MÕn Ðà S½n Trang tiªp dçn trß·ng lão	MÕn Ðà S½n Trang	5	2
336	2	216	194	Kim Ngû Gia			7	5
337	2	48	55	Lan Lan			7	5
338	2	160	128	Lý Công Bµ	TÑ ðÕi hi«n nhân	Hi«n nhân	7	5
339	2	99	133	Lßu Ký Nô	ÐÕi sß hái thu¯c	Hái dßþc	5	4
340	2	103	132	Lô Tam Th¤t	Dßþc ðiªm lão bän	Ti®m thu¯c	6	3
341	2	208	196	L² Minh Nguy®t	ÐÕi sß mÛ ngh®	Công ngh®	5	4
342	2	156	139	Lµ Tam Nß½ng	Phái Nga Mi tiªp dçn bác	?ëáÒ	5	2
343	2	224	173	H¥u bàn Lã	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
344	2	95	223	Loan Bßu			7	5
345	2	99	223	Loan H±			7	5
346	2	219	255	M­ Ph¤t			7	5
347	2	107	136	Mµc Uy¬n Thanh	Nhi®m vø c¯t truy®n		7	5
348	2	103	157	Møc TØ Lång	Câu cá kÛ nång	Câu cá	5	4
349	2	142	134	Nhiªp Chính	Bái sß ngß¶i tiªn cØ	Bái sß	5	4
350	2	44	131	Âu Dß½ng ÐÕi Thúc	Tây Môn gieo tr°ng kÛ nång ðÕi sß	Tr°ng tr÷t	5	4
351	2	163	132	Phá Tham	Thiên Long Tñ tiªp dçn Tång	Thiên Long	5	2
352	2	217	134	B° Lß½ng	Binh khí ðiªm lão bän	Vû khí	6	3
353	2	145	139	Ti«n Long	TÑ ðÕi hi«n nhân	Hi«n nhân	7	5
354	2	198	171	H¥u bàn T¥n	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
355	2	39	165	Nhuª Tß	Xiªc thú Ðoàn sÑ giä	Xiªc thú	5	4
356	2	256	127	ÉêÇé	Trân Thú chï ðÕo viên	Trân Thú	5	4
357	2	186	74	Th¦m Hàm Hß½ng	Bán hoa cô nß½ng	CØa hàng bán hoa	6	3
358	2	222	103	Th¦m Quát	Nhi®m vø anh hùng		7	5
359	2	223	176	H¥u bàn Thi	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
360	2	163	143	ThÕch Bäo	Minh Giáo tiªp dçn SÑ	Minh Giáo	5	2
361	2	173	146	Tôn Bát Gia	TÑ ðÕi hi«n nhân	Hi«n nhân	7	5
362	2	160	253	Ðàm Cänh Thiên	Giang H° Du Y	Tr¸ li®u	5	4
363	2	39	152	Ðào Tiên Thu	Giang H° Du Y	Tr¸ li®u	5	4
364	2	192	131	Thiên S½n Muµi Muµi			7	5
365	2	216	117	Ð°ng Hoá Thiªt	ÐÕi sß khai thác mö	Khai Khoáng	5	4
366	2	55	193	ÍõÈôÓí	ÐÕi Lý Tào V§n SÑ	Tào V§n	5	4
367	2	217	255	Vß½ng Thi«u			7	5
368	2	211	173	Vß½ng Dînh	Ti«n Trang lão bän		5	4
369	2	209	174	Lam Hoä Kª	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
370	2	213	174	Ho¡c Hoä Kª	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
371	2	282	94	HÕ Thanh Thanh	Xúc Cúc ðÕi tái ð£c sÑ	Xúc Cúc	5	2
372	2	248	172	Ti¬u Thoa	Phøc sÑc Ðiªm nha ð¥u	Trang sÑc	6	3
373	2	199	255	Ti¬u Kh¤t Cái			7	5
374	2	198	177	H¥u bàn HÑa	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
375	2	36	149	Dß½ng Bách Lý			7	5
376	2	156	256	Dß½ng Thiên Lý			7	5
377	2	285	156	Dß½ng Th§p Lý			7	5
378	2	54	266	Di®p Nh¸ Nß½ng			7	5
379	2	198	174	H¥u Bàn ¿u	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
380	2	80	133	Dß Trþ Chi	Nhi®m vø rØa sÕch Quan	Nhi®m vø	5	4
381	2	265	129	Vân Phiêu Phiêu	Phß¶ng chü Trùng ði¬u phß¶ng	Trân Thú	6	3
382	2	52	267	Vân Trung HÕc			7	5
383	2	224	179	H¥u bàn Trß½ng	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
384	2	156	129	Trß½ng HoÕch	Phái Võ Ðang tiªp dçn ðÕo trß·ng	Võ Ðang	5	2
385	2	55	211	Trß½ng Linh Quân	Chª tác ð¸nh v¸ Phù	Ð¸nh v¸	5	4
386	2	87	163	Trß½ng Thª Bình	ÐÕi Lý thß½ng nhân	Bào Thß½ng	6	3
387	2	236	279	Chung VÕn Thù			7	5
388	2	81	136	Chu Thß½ng	Xóa bö vai di­n	San Hào	5	4
389	2	198	168	H¥u bàn Chu	Ti«n Trang ti¬u nh¸	Ti«n trang	5	4
390	2	50	175	Phó Kiªp Sinh	T§n sÑc tr× ác	Tr× ác	5	2
391	2	139	180	Vô Nhai TØ	Võ H°n	Võ H°n	5	2
392	2	141	180	Võ Ð°ng	Võ H°n	Ti¬u Thß Ð°ng	5	4
393	2	137	180	Võ TrÕch	Võ H°n	Ti¬u Thß Ð°ng	5	4
394	2	130	76	Khô Vinh ÐÕi Sß	Sát Tinh Tiªp Dçn Nhân	Sát Tinh	7	4
395	2	132	75	Phá Tr¥n			7	4
396	2	129	76	Phá Phàm			7	4
397	2	150	123	Chúc Phúc Quý	Chu sinh ðµng quän lý Viên	Chu HoÕt	5	2
398	2	243	56	Täo Ð¸a Th¥n Tång	Tu luy®n truy«n thø Nhân	Tu luy®n	5	2
399	2	181	75	A Lý	Tr°ng hoa Ð¡c Hoa	Tr°ng hoa Nhân	5	3
400	2	179	78	Ba Cái Lý	Tr°ng hoa Ð¡c Hoa	Hoa Thß½ng	5	3
401	2	131	53	Th¥n Bí Thß½ng Nhân	Th¥n bí nguyên bäo thß½ng ph¦m bán ra	Thß½ng Nhân	5	3
402	2	180	180	KÏ Phúc Thiên Quan	C¥u phúc	C¥u phúc	5	3
403	2	132	128	A TØ	Môn phái chuy¬n hoán	Di C¯t	5	3
404	2	97	207	Chu Thúc Bân	Kiªm Hµi qu¥n hùng	Kiªm Hµi	5	3
405	2	246	229	Kha Mµ Nh¤t	Khoa cØ Châu Thí chü khäo Quan	Khoa cØ	5	3
406	2	242	229	Hàn lâm h÷c sî	Khoa cØ Tïnh Thí giám khäo	Khoa cØ	5	3
407	2	189	135	Dß½ng Th¥n Dß	Phú Giáp thiên hÕ	Bào Thß½ng	7	3
408	2	245	59	Tiêu Phong	Ngày xßa cänh trong m½	Th¤t tình Nhçn	5	3
409	2	228	103	Âu Dã An	Chú Tình rèn Sß	Th¤t tình Nhçn	5	3
410	2	230	103	Âu Dã HoÕ	Chú Tình rèn Sß	Th¤t tình Nhçn	5	3
411	2	232	103	Âu Dã HÕm	Chú Tình rèn Sß	Th¤t tình Nhçn	5	3
412	2	243	56	Täo Ð¸a Tång	NhÕn Quan·khång khít Ðµ Ách	NhÕn Quan	5	3
413	3	34	55	Trß¶ng cänh: LÕc Dß½ng		V§n chuy¬n	99	2
414	3	285	135	Trß¶ng cänh: Thiªu Lâm Tñ		V§n chuy¬n	99	2
415	3	286	247	Trß¶ng cänh: Thái H°		V§n chuy¬n	99	2
416	3	50	179	BÕch NgÕch H±			1	5
417	3	200	67	Sài Tiªn			2	5
418	3	198	66	Ðinh L®			2	5
419	3	203	66	Ðinh Mi­n			2	5
420	3	60	98	Ác Viên			1	5
421	3	281	243	Giang H° Du Y	Tr¸ li®u khí huyªt	Tr¸ li®u	2	5
422	3	280	202	Lß Nhai Ð°ng Nhân			1	5
423	3	181	82	Løc Ngßng Sß½ng			2	5
424	3	183	81	Løc Tùng			2	5
425	3	128	68	Môn Ðôn			1	5
426	3	46	56	Sách Lâm			2	5
427	3	282	79	Ð°ng QuÛ			1	5
428	3	210	79	Tiêu Nhßþng			2	5
429	3	89	74	Di Khí Mµc Nhân			1	5
430	3	246	239	Di Khí Ð°ng Nhân			1	5
431	3	196	193	Dînh Thüy Lang			1	5
432	4	280	32	Trß¶ng cänh: Cái Bang		V§n chuy¬n	99	2
433	4	286	230	Trß¶ng cänh: Quang Minh Ði®n		V§n chuy¬n	99	2
434	4	91	23	Trß¶ng cänh: Tung S½n		V§n chuy¬n	99	2
435	4	215	281	Trß¶ng cänh: Tô Châu		V§n chuy¬n	99	2
436	4	116	183	Tào Thu¥n			2	5
437	4	67	77	Hô Diên Khánh	ThuÖ Lao nhi®m vø	Thüy lao	2	5
438	4	90	29	Giang H° Du Y	Tr¸ li®u khí huyªt	Tr¸ li®u	2	5
439	4	67	78	Kh¤u Tuân			2	5
440	4	29	200	Trß¶ng cänh: MÕn Ðà		V§n chuy¬n	99	1
441	4	70	119	Lý Cß½ng			2	5
442	4	113	190	Nghê Vân			2	5
443	4	244	142	Ðào Yêu Yêu	Ðào Hoa Tr§n	Bày tr§n	2	2
444	4	158	190	Giang Tß Tuy«n	M§t Ái nhi®m vø	Du thuy«n	5	3
445	5	285	44	Trß¶ng cänh: Tô Châu		V§n chuy¬n	99	2
446	5	38	284	Trß¶ng cänh: Vô Lßþng S½n		V§n chuy¬n	99	2
447	5	29	232	Trß¶ng cänh: Núi Võ Ðang		V§n chuy¬n	99	2
448	5	199	54	T« Sát Vân	Kính H° tiêu di®t	Sào huy®t cüa phï	2	5
449	5	108	140	Nguy­n Tinh Trúc			2	5
450	6	32	176	Trß¶ng cänh: ÐÕi Lý		V§n chuy¬n	99	2
451	6	287	77	Trß¶ng cänh: Kính H°		V§n chuy¬n	99	2
452	6	116	32	Trß¶ng cänh: Lång Ba Ðµng		V§n chuy¬n	99	2
453	6	94	286	Trß¶ng cänh: Thiên Long Tñ		V§n chuy¬n	99	2
454	6	45	167	Tân Nhân B¢ng	Tân thü chï dçn	Tân thü	2	3
455	6	235	131	B¯ Nhî Thi®n			1	5
456	6	138	80	ÐÕi Hoàng Phong			1	5
457	6	273	210	ÐÕi Thiªt Võng			1	5
458	6	197	160	Phß½ng Quang Trí			2	5
459	6	240	181	Can Quang Hào			2	5
460	6	87	159	Cao S½n BÕch Viên			1	5
461	6	240	173	Cát Quang Bµi			2	5
462	6	271	202	Cung Quang Ki®t			2	5
463	6	197	153	H¥u Quang Anh			2	5
464	6	235	184	Giä Quang ÐÕt			2	5
465	6	178	138	Ti­n Kính Ti¬u T£c			1	5
466	6	274	77	Giang H° Du Y	Tr¸ li®u khí huyªt	Tr¸ li®u	2	5
467	6	234	175	Lý Quang Bích			2	5
468	6	190	137	Lô Vi Thäo Nhân			1	5
469	6	92	128	Mã Ngû ÐÑc			2	5
470	6	128	192	S½n Thù			1	5
471	6	202	82	Thi¬m Ði®n Báo			1	5
472	6	234	176	Tôn Quang Lßþng			2	5
473	6	133	125	Vß½ng Khuê			2	5
474	6	133	123	Vß½ng Ti¬u Nha			2	5
475	6	240	175	Tân Song Thanh			2	5
476	6	101	143	Tiªt ðÕi nß½ng			2	5
477	6	111	117	Tiªt V§n Lai			2	5
478	6	237	171	T× Quang NgÕn			2	5
479	6	254	171	Chung Linh	Nhi®m vø c¯t truy®n		2	5
480	6	240	180	Tä TØ Møc			2	5
481	7	36	286	Trß¶ng cänh: ÐÕi Lý		V§n chuy¬n	99	2
482	7	105	40	Trß¶ng cänh: Ðµi Hoàng		V§n chuy¬n	99	2
483	7	285	172	Trß¶ng cänh: Nga Mi S½n		V§n chuy¬n	99	2
484	7	41	273	Tân Nhân Hæu	Tân thü chï dçn	Tân thü	2	3
485	7	197	216	BÕch Mao Thäo Nhân			1	5
486	7	167	150	ÐÕi Li¬m			1	5
487	7	147	229	Phù Ki«u			1	5
488	7	209	146	QuÖ Di®n Chu Nho			1	5
489	7	208	68	Khß½ng Hoá			2	5
490	7	215	43	Khß½ng Quª Chi			2	5
491	7	221	68	Khß½ng MÕt			2	5
492	7	220	76	Khß½ng Nam			2	5
493	7	110	45	Giang H° Du Y	Tr¸ li®u khí huyªt	Tr¸ li®u	2	5
494	7	263	201	Th¶i MÕi			2	5
495	7	279	194	Th¶i Thiên			2	5
496	7	65	252	Thøc ÐÕo BÕch Viên			1	5
497	7	67	133	Thøc ÐÕo H¡c Viên			1	5
498	7	67	168	Vû Không			1	5
499	7	233	139	Tu La Ti¬u QuÖ			1	5
500	7	126	141	Án Kì ÐÕo			2	5
501	7	230	119	Du Mµc Khôi L²i			1	5
502	7	248	71	Doanh Vô Danh	Ð±i T¥n Hoàng sáo trang	Ð±i	2	4
503	7	281	81	Long C±	T¥n ð¸a cung	V§n chuy¬n	2	1
504	7	147	48	Ðào Yêu Yêu	Ðào Hoa Tr§n	Bày tr§n	2	2
505	8	149	38	Trß¶ng cänh: Bäo Tàng Ðµng		V§n chuy¬n	99	2
506	8	231	286	Trß¶ng cänh: Kiªm Các		V§n chuy¬n	99	2
507	8	284	146	Trß¶ng cänh: LÕc Dß½ng		V§n chuy¬n	99	2
508	8	55	34	Trß¶ng cänh: Thiên S½n		V§n chuy¬n	99	2
509	8	33	277	Trß¶ng cänh: Tinh Tú Häi		V§n chuy¬n	99	2
510	8	93	40	Trß¶ng cänh: Tây Lß½ng		V§n chuy¬n	99	2
511	8	71	107	Uông Diên	Hoä Di®m S½n	V§n chuy¬n	2	2
512	8	155	180	Tàn Phá Binh Võng			1	5
513	8	55	63	Tào Diên Hu®			2	5
514	8	249	144	Tào Diên Th÷			2	5
515	8	55	202	Ác Viên			1	5
516	8	194	97	Hoang Nguyên Báo			1	5
517	8	252	177	H°i C¯t Vß½ng Næ			2	5
518	8	227	279	Giang H° Du Y	Tr¸ li®u khí huyªt	Tr¸ li®u	2	5
519	8	62	98	Cßu Ma Trí	Nhi®m vø c¯t truy®n		2	5
520	8	81	99	Lí Trùng Quý			1	5
521	8	109	261	Sa MÕc Mã Phï			1	5
522	8	238	165	Sa Pha Lang			1	5
523	8	252	144	Dß½ng Vån Quäng			2	5
524	8	223	216	Du Mµc Khôi L²i			1	5
525	8	63	90	Tri®u Hành ÐÑc			2	5
526	8	150	45	Chu ÐÑc Hßng			2	5
527	8	63	81	Chu Vß½ng L­			2	5
528	8	166	95	Ðào Yêu Yêu	Ðào Hoa Tr§n	Bày tr§n	2	2
529	9	96	156	Trß¶ng cänh: Tung S½n		V§n chuy¬n	99	2
530	9	125	88	Phß½ng Thiên Lao			99	5
531	9	38	102	H°ng Thái Vân	Phái Thiªu Lâm Khinh Công truy«n thø Nhân	Khinh Công	5	5
532	9	96	82	Tu® Phß½ng	Phái Thiªu Lâm nhi®m vø tuyên b¯ Nhân	Sß môn	5	3
533	9	93	132	Tu® Luân	Thiªu Lâm chuy¬n v§n sÑ	V§n chuy¬n	5	2
534	9	144	149	Mµ Dung Bác			99	5
535	9	70	105	Phan Thiên Canh			99	5
536	9	122	143	Täo ð¸a lão tång			99	5
537	9	61	57	V® Thiên V÷ng			99	5
538	9	39	152	Tiêu Vi­n S½n			99	5
539	9	89	72	Huy«n T¸ch	Phái Thiªu Lâm bái sß Nhân	Bái sß	5	4
540	9	38	98	Huy«n T×	Ð±i danh hi®u v§t ph¦m	Chß·ng môn	5	4
541	9	91	71	Huy«n NÕn	Phái Thiªu Lâm võ công truy«n thø Nhân	Võ công	5	4
542	9	60	82	Huy«n Sinh	Lão H± quän lý Viên	CßÞi	5	4
543	9	135	90	Huy«n Minh	Ph§t hi®u kÛ nång truy«n thø Nhân	Ph§t hi®u	5	4
544	9	128	86	Huy«n Ðµ	Phát ra ánh sáng kÛ nång truy«n thø Nhân	Phát ra ánh sáng	5	4
545	9	61	62	Huy«n Trình			5	4
546	9	98	145	Huy«n ChÑng	Hµ Tñ cao tång	Tá Quái	5	4
547	9	100	127	Tri Khách Tång			5	4
548	9	132	142	Huy«n Duy®t	La Hán võ ðÕo trß·ng lão	Võ ðÕo	5	4
549	9	73	149	Huy«n Li	Kim cß½ng võ ðÕo trß·ng lão	Võ ðÕo	5	4
550	9	132	87	Huy«n Nång	Môn phái tiªn cØ Nhân	CØ Hi«n	5	4
551	9	113	101	Huy«n Minh	Môn phái v¤n ðïnh Nhân	V¤n ðïnh	5	4
552	10	91	158	Trß¶ng cänh: Thái H°		V§n chuy¬n	99	2
553	10	89	100	BÕch Thª Kính	Cái Bang ch¤p pháp trß·ng lão		99	5
554	10	93	152	Âu Dß½ng Quä	Cái Bang T±ng Ðà hµ v®	Tá Quái	5	4
555	10	41	144	Ph§t „n			5	4
556	10	92	77	H°ng Thông	Cái Bang nhi®m vø tuyên b¯ Nhân	Sß môn	5	3
557	10	91	98	Tr¥n Cô NhÕn	Cái Bang bái sß Nhân	Bái sß	5	3
558	10	92	64	T¯ng T×	Ð±i danh hi®u v§t ph¦m	Chß·ng môn	5	3
559	10	94	99	H« Tam Kì	Cái Bang võ công truy«n thø Nhân	Võ công	5	3
560	10	54	86	Lý Nh§t Vi®t	ToÕ Lang quän lý Viên	CßÞi	5	3
561	10	114	91	Ngô Trß¶ng Phong	NhßÞng TØu kÛ nång	NhßÞng TØu	5	3
562	10	120	63	Toàn Quán Thanh			99	5
563	10	131	83	Thßþng Quan Trß¶ng Vû	Làn ði®u 'hoa sen røng' kÛ nång truy«n thø Nhân	Hoa sen	99	5
564	10	112	90	Ngô Tuyªt Ki«u	Ngß¶i dÕy khinh công Cái Bang	Khinh Công	5	4
565	10	117	61	Lßu Trúc Trang			99	4
566	10	95	120	Trß½ng Toàn Tß¶ng	Cái Bang chuy¬n v§n sÑ	V§n chuy¬n	5	2
567	10	89	111	Tri Khách Cái	Môn phái Chï ngß¶i qua ðß¶ng		5	4
568	10	129	112	Ð² Thi¬u Khang	TØu Cu°ng võ ðÕo trß·ng lão	Võ ðÕo	5	4
569	10	55	135	Lµ lão ÐÕi	Hành hi®p võ ðÕo trß·ng lão	Võ ðÕo	5	4
570	10	46	55	Tß·ng Tiªn TØu	Môn phái tiªn cØ Nhân	CØ Hi«n	5	4
571	10	58	59	Su¯t ð¶i Minh	Môn phái v¤n ðïnh Nhân	V¤n ðïnh	5	4
572	11	97	173	Trß¶ng cänh: Thái H°		V§n chuy¬n	99	2
573	11	133	117	Phß½ng Bách Hoa	Minh Giáo Khinh Công truy«n thø SÑ	Khinh Công	5	4
574	11	89	56	Phß½ng LÕp			5	4
575	11	102	167	Phß½ng Th¤t Ph§t	Minh Giáo truy«n t¯ng SÑ	V§n chuy¬n	5	2
576	11	98	105	Lâm Nham	Minh Giáo nhi®m vø Tuyên ÐÕt SÑ	Sß môn	5	3
577	11	108	56	Lã Sß Tß½ng	Minh Giáo bái sß Nhân	Bái sß	5	3
578	11	98	52	Lâm Thª Trß¶ng	Ð±i danh hi®u v§t ph¦m	Chß·ng môn	5	3
579	11	109	59	Bàng VÕn Xuân	Minh Giáo võ công truy«n thø SÑ	Võ công	5	3
580	11	64	115	Ð£ng Nguyên Giác	KÜ Th×a chß·ng quän SÑ	CßÞi	5	3
581	11	87	61	Thù ÐÕo Nhân	Thánh Hoä Thu§t kÛ nång truy«n thø SÑ	Thánh Höa	5	3
582	11	87	58	Phß½ng Thiên Ð¸nh	Thái Hoä Thu§t truy«n thø SÑ	Thái Hoä	5	3
583	11	133	118	Mã LÕp			99	5
584	11	95	161	ThÕch Cß½ng	Minh Giáo thü v®	Tá Quái	5	4
585	11	101	137	Dß ÐÕo An			99	5
586	11	93	167	Tri Khách Hµ V®	Môn phái Chï ngß¶i qua ðß¶ng		5	4
587	11	50	119	MÕc Tß Quy	Thiên la võ ðÕo trß·ng lão	Võ ðÕo	5	4
588	11	131	138	Lâm Di­m	Huyªt L® võ ðÕo trß·ng lão	Võ ðÕo	5	4
589	11	87	65	Phß½ng M£c Sinh	Môn phái tiªn cØ Nhân	CØ Hi«n	5	4
590	11	109	63	¿ng M£c Thu	Môn phái v¤n ðïnh Nhân	V¤n ðïnh	5	4
591	12	95	191	Trß¶ng cänh: Kính H°		V§n chuy¬n	99	2
592	12	73	146	Trình Nhßþc Thanh			99	5
593	12	101	69	Hoàng Thß¶ng			99	5
594	12	65	109	T¸nh S½ Tän Nhân	Phái Võ Ðang Khinh Công truy«n thø Nhân	Khinh Công	5	4
595	12	86	84	CØu Thiên Th¥n HÕc			99	5
596	12	58	73	Lâm Linh T¯			5	4
597	12	101	136	MÕc Thái Xung	Phái Võ Ðang Truy«n T¯ng Nhân	V§n chuy¬n	5	2
598	12	78	95	Trß½ng Trung Hành	Phái Võ Ðang nhi®m vø tuyên b¯ Nhân	Sß môn	5	3
599	12	77	85	Trß½ng Huy«n T¯	Võ Ðang bái sß Nhân	Bái sß	5	3
600	12	82	84	Du Vi­n S½n	Phái Võ Ðang võ công truy«n thø Nhân	Võ công	5	3
601	12	101	115	Trß½ng Quân Mµ	Tiên hÕc quän lý Viên	CßÞi	5	3
602	12	44	56	HÕc Vân ÐÕo Nhân	Luy®n ðan kÛ nång truy«n thø Nhân	Luy®n ðan	5	3
603	12	41	58	Ninh Hß Tán Nhân	ÐÕo pháp kÛ nång truy«n thø Nhân	ÐÕo pháp	5	3
604	12	102	109	Thanh Minh Th¥n HÕc			99	5
605	12	74	85	Vô Cñc Th¥n HÕc			99	5
606	12	100	181	Tiêu Thiên D§t	Hµ s½n ðÕo Nhân	Tá Quái	5	4
607	12	98	70	Trß½ng Hàm Chi			99	5
608	12	86	181	Tri Khách ÐÕo Sî			5	4
609	12	98	139	Tri Khách ÐÕo Nhân			5	4
610	12	49	181	Bích LÕc Tän Nhân	B¢ng Hß Vû ðÕo trß·ng Lão	Võ ðÕo	5	4
611	12	46	130	Trøc Lãng Tän Nhân	Trích Tinh võ ðÕo trß·ng lão	Võ ðÕo	5	4
612	12	84	51	Trß½ng T§n Tr¥n	Môn phái tiªn cØ Nhân	CØ Hi«n	5	4
613	12	92	51	Thanh Chuyªt ðÕo nhân	Môn phái v¤n ðïnh Nhân	V¤n ðïnh	5	4
614	13	95	145	Trß¶ng cänh: Vô Lßþng S½n		V§n chuy¬n	99	2
615	13	95	88	Bän Phàm	Thiên Long nhi®m vø tuyên b¯ Tång	Sß môn	5	3
616	13	96	66	Bän Nhân	Thiên Long bái sß Nhân	Bái sß	5	3
617	13	97	67	Bän Quán	Thiên Long võ công truy«n thø Tång	Võ công	5	3
618	13	146	95	Dß½ng BÕch Ngßu	Ngña quän lý Viên	CßÞi	5	3
619	13	64	151	Bän Tham	Kinh mÕch kÛ nång truy«n thø Tång	Kinh mÕch	5	3
620	13	35	86	Bän Tß¾ng	Chª C± kÛ nång truy«n thø Tång	Chª C±	5	3
621	13	99	142	Hµ Tñ Trß·ng Lão	Hµ Tñ trß·ng lão	Tá Quái	5	4
622	13	158	130	Hà H°ng Lång			99	5
623	13	92	126	Lâm Qu¯c Thanh			99	5
624	13	99	120	Phá Sân	Thiên Long Phái truy«n t¯ng Tång	V§n chuy¬n	5	2
625	13	85	68	Phá Si			99	5
626	13	154	115	T× Qui Ði®p			99	5
627	13	129	153	Tang Phi Yên			99	5
628	13	153	118	Thành Nhß Lan	Ngß¶i dÕy khinh công Thiên Long	Khinh Công	5	4
629	13	94	126	Ngû Trung			99	5
630	13	92	121	Tri Khách Tång			5	4
631	13	58	110	B±n Hï	Long uy võ ðÕo trß·ng lão	Võ ðÕo	5	4
632	13	38	109	B±n Nhiên	B° Thiên Võ ÐÕo trß·ng lão	Võ ðÕo	5	4
633	13	126	71	B±n Duyên	Môn phái tiªn cØ Nhân	CØ Hi«n	5	4
634	13	155	57	B±n Dø	Môn phái v¤n ðïnh Nhân	V¤n ðïnh	5	4
635	14	37	130	Trß¶ng cänh: Vô Lßþng S½n		V§n chuy¬n	99	2
636	14	152	153	PhÕm Bách Linh			99	5
637	14	44	125	Công Dã TØ Trß¶ng	Hµ Phái ð® tØ	Tá Quái	5	4
638	14	69	142	Lý Khôi L²i	Tiêu Dao chuy¬n v§n sÑ	V§n chuy¬n	5	2
639	14	47	71	Mµc Nhân Khôi L²i			99	5
640	14	119	152	T¥n Quán	Tiêu Dao Phái nhi®m vø tuyên b¯ Nhân	Sß môn	5	3
641	14	125	144	Tô Tinh Hà	Tiêu Dao Phái bái sß Nhân	Bái sß	5	3
642	14	125	142	Khang Quäng Lång	Tiêu Dao Phái võ công truy«n thø Nhân	Võ công	5	3
643	14	65	55	C¦u Ðµc	Th¥n Lµc quän lý Viên	CßÞi	5	3
644	14	62	68	Phùng A Tam	KÏ môn ðµn giáp kÛ nång truy«n thø Nhân	KÏ môn	5	3
645	14	52	151	ThÕch Thanh Lµ	Løc ngh® khí khái kÛ nång truy«n thø Nhân	Løc ngh®	5	3
646	14	54	150	ThÕch Cam Lâm	Ngß¶i dÕy khinh công Tiêu Dao	Khinh Công	5	4
647	14	59	71	ThÕch Nhân Khôi L²i			99	5
648	14	66	65	Ð°ng Nhân Khôi L²i			99	5
649	14	74	150	Tri Khách Ð® TØ			5	4
650	14	110	151	Ngäi Lß½ng Hà	D§t Tiên võ ðÕo trß·ng lão	Võ ðÕo	5	4
651	14	95	127	T¥n Yên La	Minh QuÖ Vû ðÕo trß·ng Lão	Võ ðÕo	5	4
652	14	149	41	Lí D§t Sinh	Môn phái tiªn cØ Nhân	CØ Hi«n	5	4
653	14	143	122	Quan tñ tÕi	Môn phái v¤n ðïnh Nhân	V¤n ðïnh	5	4
654	15	89	156	Trß¶ng cänh: Kiªm Các		V§n chuy¬n	99	2
655	15	39	152	Ph§t Quang Phøng Hoàng			99	5
656	15	45	42	Kim Ðïnh Phøng Hoàng			99	5
657	15	146	46	Linh Tuy«n Phøng Hoàng			99	5
658	15	94	147	Li­u Tam Muµi	Thü S½n ð® tØ	Tá Quái	5	4
659	15	95	86	Mãnh Long	Phái Nga Mi nhi®m vø tuyên b¯ Nhân	Sß môn	5	3
660	15	96	51	Lý Th§p Nh¸ Nß½ng	Phái Nga Mi bái sß Nhân	Bái sß	5	3
661	15	96	73	MÕnh Thanh Thanh	Ð±i danh hi®u v§t ph¦m	Chß·ng môn	5	3
662	15	98	51	Thôi Løc Hoa	Phái Nga Mi võ công truy«n thø Nhân	Võ công	5	3
663	15	145	53	Tiêu Tß½ng Ng÷c	Phßþng hoàng quän lý Viên	CßÞi	5	3
664	15	43	108	Hàn Ánh Tuyªt	Chª Phù chï ðÕo	Chª Phù	5	3
665	15	39	109	Hµ Tam Nß½ng	Linh r¡p tâm kÛ nång chï ðÕo	Linh Tâm	5	3
666	15	105	58	Tôn Nh¸ Nß½ng	Phái Nga Mi Khinh Công truy«n thø Nhân	Khinh Công	5	4
667	15	150	98	Tô Vân Phong	Môn phái tiªn cØ Nhân	CØ Hi«n	5	4
668	15	146	75	Ðào Hinh Chi	Môn phái v¤n ðïnh Nhân	V¤n ðïnh	5	4
669	15	156	99	Ðào hoa tiên			99	5
670	15	156	112	Ðào Di®p Tiên			99	5
671	15	156	106	Ðào Chi Tiên			99	5
672	15	146	156	VÕn Niên Phøng Hoàng			99	5
673	15	97	71	Ti¬u Minh			99	5
674	15	94	71	Ti¬u Thi			99	5
675	15	86	142	Dß½ng TÑ Nß½ng	Phái Nga Mi Truy«n T¯ng Nhân	V§n chuy¬n	5	2
676	15	91	140	Tri Khách Ð® TØ			5	4
677	15	157	125	Làng xóm Hoa	T¦m Phß½ng võ ðÕo trß·ng lão	Võ ðÕo	5	4
678	15	131	100	Tô Qua	Thanh âm võ ðÕo trß·ng lão	Võ ðÕo	5	4
679	16	96	159	Trß¶ng cänh: Ðµi Hoàng		V§n chuy¬n	99	2
680	16	90	88	Xu¤t Tr¥n TØ	Ngß¶i dÕy khinh công Tinh Túc	Khinh Công	5	4
681	16	142	48	ÐÕi Lý Dßþc Lâu TØ			99	5
682	16	128	78	H°ng Ng÷c			5	4
683	16	136	48	Khiªt Ðan Dßþc Lâu TØ			99	5
