INT	INT	INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
225	30783	-1	0	1418	-1	#{WPKMC_190930_148}	WG专属礼	20250710	55;86;96;100;103;106;111	WG专属礼									
226	30804	-1	0	1436	-1	#{WPKMC_190930_148}	达人专属礼包	20250717	107;108;109;110	达人专属礼包									
227	30803	-1	0	1435	-1	#{WPKMC_190930_148}	盛夏观赏礼	20250717		盛夏观赏礼									
228	30818	-1	0	1438	-1	#{WPKMC_190930_148}	一等奖：碧海澜歌永久	20250723		一等奖：碧海澜歌永久									
229	30854	-1	0	1480	-1	#{WPKMC_190930_148}	观礼礼包	20250925		虹耀石*2	天罡强化精华*5								
230	30777	-1	0	1481	-1	#{WPKMC_190930_148}	超级珍兽笼：安琪儿	20250925		超级珍兽笼：安琪儿									
231	30855	-1	0	1482	-1	#{WPKMC_190930_148}	月照仙台礼盒	20250925		月照仙台礼盒									
232	30856	-1	0	1483	-1	#{WPKMC_190930_148}	幻武：游鲤戏梦	20250925		幻武：游鲤戏梦									
233	30857	-1	0	1484	-1	#{WPKMC_190930_148}	坐骑：天马（30天）	20250925		坐骑：天马（30天）									
234	30858	-1	0	1485	-1	#{WPKMC_190930_148}	坐骑：绝地（30天）	20250925		坐骑：绝地（30天）									
235	30859	-1	0	1486	-1	#{WPKMC_190930_148}	时装：天天向上·文曲（永久）	20250925		时装：天天向上·文曲（永久）									
236	30860	-1	0	1487	-1	#{WPKMC_190930_148}	超级珍兽笼：巧巧	20250925		超级珍兽笼：巧巧									
237	30861	-1	0	1488	-1	#{WPKMC_190930_148}	坐骑：云霄羽翼（30天）	20250925		坐骑：云霄羽翼（30天）									
238	30867	-1	0	1489	-1	#{WPKMC_190930_148}	达人专属礼包	20251017		达人专属礼包									
239	30866	-1	0	1499	-1	#{WPKMC_190930_148}	白羽流星	20251018		羽毛球拍									
