INT	INT	INT	INT	STRING	STRING	INT	STRING	STRING	STRING
129	84	90	0	Ð¢ng Giáp Dûng Sî(87-C¤p 88)	149&178	28	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
130	85	91	0	Ðông B¡c H±(88-C¤p 89)	67&273	22	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
131	85	91	0	H¡c Miêu Chiªn Sî(88-C¤p 89)	255&258	28	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
132	86	92	0	Tuyªt Nhân(89-C¤p 90)	142&277	22	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
133	87	93	0	H¡c Hùng(90-C¤p 91)	60&169	22	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
134	88	94	0	Di®t Yêu ‘i LuÛ(91-C¤p 93)	65&144	13	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
135	88	94	0	Liêu Nha Tuyªt Nhân(91-C¤p 92)	170&63	22	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
136	89	95	0	Th¸ Huyªt NgÕc Ngß(92-C¤p 93)	253&182	35	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
137	89	95	0	Tuyªt S½n Li®p Nhân(92-C¤p 93)	255&253	22	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
138	90	96	0	NgÕc Ngß Bang Dûng Sî(93-C¤p 94)	210&198	35	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
139	91	97	0	Chu Tiên ‘i LuÛ(94-C¤p 96)	147&149	13	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
140	91	97	0	Nam Häi ÐÕo Th¥n(94-C¤p 95)	65&199	35	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
141	92	98	0	NgÕc Ngß Bang Sát Thü(95-C¤p 96)	225&113	35	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
142	93	99	0	Träo TrÕch NgÕc Ngß(96-C¤p 97)	97&44	29	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
143	93	99	0	NgÕc Ngß Bang Ðß¶ng Chü(96-C¤p 97)	142&134	35	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
144	94	100	0	Vînh DÕ Tu La(97-C¤p 98)	161&53	29	#rB±n quái v§t thuµc loÕi Tu La Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, thu¯c tài li®u.		
145	94	100	0	Thí Th¥n ‘i LuÛ(97-C¤p 100)	54&72	13	#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
146	95	100	0	M£c Kiªp Tu La(98-C¤p 99)	161&201	29	#rB±n quái v§t thuµc loÕi Tu La Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, thu¯c tài li®u.		
147	96	100	0	Ách Tu La(99-C¤p 100)	278&230	29	#rB±n quái v§t thuµc loÕi Tu La Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, thu¯c tài li®u.		
148	97	100	0	ÐÕi H¡c Hùng(100-10C¤p 1)	85&254	23	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
149	97	100	0	A T¸ Tu La(100-10C¤p 1)	272&90	29	#rB±n quái v§t thuµc loÕi Tu La Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, thu¯c tài li®u.		
150	98	100	0	Tuyªt S½n Mãng Cái(101-10C¤p 2)	73&187	23	#rB±n quái v§t thuµc loÕi Mãng Cái Quái, Tha Hµi r½i xu¯ng Phòng Cø tài li®u, thu¯c tài li®u.		
151	99	100	0	Tuyªt S½n Lang(102-10C¤p 3)	160&131	23	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
152	100	100	0	Trùng Giáp Mãng Cái(103-10C¤p 4)	73&88	23	#rB±n quái v§t thuµc loÕi Mãng Cái Quái, Tha Hµi r½i xu¯ng Phòng Cø tài li®u, thu¯c tài li®u.		
153	100	100	0	Ba Luân Mãng Cái(104-10C¤p 5)	275&194	23	#rB±n quái v§t thuµc loÕi Mãng Cái Quái, Tha Hµi r½i xu¯ng Phòng Cø tài li®u, thu¯c tài li®u.		
154	51	57	0	M¸ Änh Y¬n Sß(C¤p 51)	69&33	202	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
155	53	59	0	ThÕch Nhân(C¤p 53)	45&87	203	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
156	54	60	0	Thø Nhân(C¤p 54)	69&53	203	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
157	56	62	0	MÕc Huy®t Ðµc Thù(C¤p 56)	22&13	204	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
158	57	63	0	MÕc Huy®t Ðµc Phong(C¤p 57)	54&25	204	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
159	59	65	0	Khôi Ban Ðµc Thù(C¤p 59)	100&33	205	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
160	60	66	0	H¤p Huyªt Biên BÑc(C¤p 60)	95&54	205	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
161	62	68	0	Tôi Ðµc Thù(C¤p 62)	64&17	206	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
162	63	69	0	Cô Lâu Binh(C¤p 63)	61&25	206	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
163	65	71	0	QuÖ H°n(C¤p 65)	47&100	207	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
164	66	72	0	U Linh(C¤p 66)	82&100	207	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
165	68	74	0	Vong Linh Khäi Giáp Võ Sî(C¤p 68)	18&81	208	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
166	69	75	0	TØ Vong Ðích T¥n Phi(C¤p 69)	24&18	208	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
167	71	77	0	Hoä Toan Nghê(C¤p 71)	26&34	209	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
168	72	78	0	Nê Tß½ng Võ Sî(C¤p 72)	17&47	209	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
169	74	80	0	Bác Mã(C¤p 74)	94&116	210	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
170	75	81	0	Dung Nham ThÕch Nhân(C¤p 75)	12&72	210	#r#c54FF00(ð« ngh¸ ba ngß¶i ðã ngoài t± ðµi)#rB±n quái v§t thuµc loÕi con r¯i Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
171	75	81	0	Tuyªt Nguyên Lang(75-C¤p 76)	38&222	229	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u, Quái V§t Nh§t Ký B±n.		
172	77	83	0	Ngân Ngai Tuyªt Nhân(77-C¤p 78)	50&148	229	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u, Quái V§t Nh§t Ký B±n.		
173	79	85	0	Tuyªt Nguyên Mãng Cái(79-C¤p 80)	168&210	229	#rB±n quái v§t thuµc loÕi Mãng Cái Quái, Tha Hµi r½i xu¯ng Phòng Cø tài li®u, thu¯c tài li®u, Quái V§t Nh§t Ký B±n.		
174	90	95	0	B¡c Phß½ng ÐÕo T£c(91-C¤p 92)	212&108	244	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
175	90	95	0	B¡c Phß½ng Cß¶ng ÐÕo(92-C¤p 93)	221&209	244	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
176	90	95	0	Hoang Nguyên HÕt(91-C¤p 92)	223&69	244	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
177	90	95	0	Thiªt Dñc Ngßu(94-C¤p 95)	86&215	244	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
178	90	95	0	Dñc Ngßu(93-C¤p 94)	122&172	244	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
179	90	95	0	Tây Vñc Mã Phï(90-C¤p 91)	38&53	244	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
180	94	100	0	Phª Khß Khüng HÕt(95-C¤p 96)	214&158	245	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
181	94	100	0	Cô Lâu Binh(95-C¤p 96)	181&54	245	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
182	94	100	0	Tây Vñc Kiªp Phï(99-C¤p 100)	62&62	245	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
183	94	100	0	Tây Vñc Thiªt T£c(98-C¤p 99)	28&106	245	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
184	94	100	0	Tây Vñc Tát Mãn(96-C¤p 97)	213&114	245	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
185	94	100	0	Tây Vñc Vu Y(97-C¤p 98)	28&214	245	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
186	100	105	0	Thñc Hü Ði¬u(100-10C¤p 1)	115&38	247	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
187	100	105	0	Sa Tr¥n(101-10C¤p 2)	121&98	247	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
188	100	105	0	Sa MÕc Dã Nhân(102-10C¤p 3)	77&128	247	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
189	100	105	0	Sa MÕc Li®p C¦u(102-10C¤p 3)	142&147	247	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
190	100	105	0	Sa MÕc Chiªn Sî(103-10C¤p 4)	202&46	247	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
191	100	105	0	Sa MÕc Vu Sß(104-10C¤p 5)	80&223	247	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
192	78	84	0	Thám Bí Phi T£c(81-C¤p 83)	69&123	288	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
193	81	87	0	T¥m Thß Phi T£c(84-C¤p 86)	54&60	288	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
194	84	90	0	Sßu Bäo Phi T£c(87-C¤p 90)	160&90	288	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
195	45	51	0	Nghênh Khách Mao T£c(45-C¤p 47)	279&127	282	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
196	47	53	0	H¡c Viên(47-C¤p 48)	266&185	282	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
197	49	55	0	Cñ HÕt(49-C¤p 50)	56&198	282	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
198	50	57	0	C¦m Y Kh¤t Cái(50-C¤p 52)	17&274	282	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
199	50	57	0	Hoa TØu Hoà Thßþng(50-C¤p 52)	150&260	282	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
200	55	60	0	NguÜ Thiên(C¤p 55)	166&295	282	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
201	55	61	0	Yêu Tà Tri Thù(55-C¤p 56)	170&231	282	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
202	56	62	0	Thi«m Th× Quái(56-C¤p 57)	232&232	282	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
203	105	111	0	Tiên Lµc(105-10C¤p 6)	82&31	248	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
204	106	112	0	Linh HÕc(106-10C¤p 7)	201&28	248	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
205	107	113	0	Khai Minh Thú(107-10C¤p 8)	210&85	248	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
206	108	114	0	Ti¬u ÐÕo Ð°ng(108-10C¤p 9)	94&127	248	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
207	109	115	0	Thái Vân Tiên(109-1C¤p 10)	133&195	248	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
208	109	115	0	Linh Kiªm Sî(109-1C¤p 10)	45&201	248	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
209	84	90	0	Diêm H° Hùng(84-C¤p 85)	97&35	235	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
210	85	91	0	Diêm H° NgÕc Ngß(85-C¤p 86)	62&102	235	#rB±n quái v§t thuµc loÕi Thú Hình Quái, Tha Hµi r½i xu¯ng da th¸t, thu¯c tài li®u.		
211	86	92	0	Oa Diêm Mµc Nhân(86-C¤p 87)	150&125	235	#rB±n quái v§t thuµc loÕi Yêu Hình Quái, Tha Hµi r½i xu¯ng v§t ph¦m trang sÑc tài li®u, thu¯c tài li®u.		
212	87	93	0	Oa Diêm Kh± Công(87-C¤p 88)	56&156	235	#rB±n quái v§t thuµc loÕi nhân hình Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, Phòng Cø tài li®u.		
213	88	94	0	Y¬n Sß Giam Công(88-C¤p 89)	66&199	235	#rB±n quái v§t thuµc loÕi Tu La Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, thu¯c tài li®u.		
214	89	94	0	Y¬n Sß Thü V®(C¤p 89)	199&188	235	#rB±n quái v§t thuµc loÕi Tu La Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, thu¯c tài li®u.		
215	90	95	0	C± Lý Xích(C¤p 90)	214&37	235	#rB±n quái v§t thuµc loÕi Tu La Quái, Tha Hµi r½i xu¯ng vû khí tài li®u, thu¯c tài li®u.		
