INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
131	西湖山洞	128	192	shandong_3.scene	shandong_1.path	shandong_1.wCollision	qiongzhou.jpg	416	60000	shandong_3	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
132	苍山山洞	128	192	shandong_4.scene	shandong_1.path	shandong_1.wCollision	qiongzhou.jpg	416	60000	shandong_4	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
133	光明洞	64	64	guangmingdong_1.scene	guangmingdong.path	guangmingdong.wCollision	guangmingdong.jpg	117	60000	guangmingdong	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	光明洞	0.15;0.1
134	逍遥谷底	64	64	gudi_1.scene	gudi.path	gudi.wCollision	gudi.jpg	146	60000	gudiscene	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	逍遥谷底	0.15;0.1
135	灵性峰	64	64	lingxingfeng_1.scene	lingxingfeng.path	lingxingfeng.wCollision	lingxingfeng.jpg	120	60000	lingxingfeng	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	灵性峰	0.15;0.1
136	丐帮酒窖	64	64	jiujiao_1.scene	jiujiao.path	jiujiao.wCollision	jiujiao.jpg	117	60000	jiujiao	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	丐帮酒窖	0.15;0.1
137	桃花阵	64	64	taohuazhen_1.scene	taohuazhen.path	taohuazhen.wCollision	taohuazhen.jpg	147	60000	taohuazhen	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	桃花阵	0.15;0.1
138	塔林	64	64	tongrenxiang_1.scene	tongrenxiang.path	tongrenxiang.wCollision	tongrenxiang.jpg	148	60000	tongrenxiang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	塔林	0.15;0.1
139	五神洞	64	64	wushendong_1.scene	wushendong.path	wushendong.wCollision	wushendong.jpg	416	60000	wushendong	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	五神洞	0.15;0.1
140	折梅峰	64	64	zhemeifeng_1.scene	zhemeifeng.path	zhemeifeng.wCollision	zhemeifeng.jpg	416	60000	zhemeifeng	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	折梅峰	0.15;0.1
141	塔底	64	64	tadi_1.scene	tadi.path	tadi.wCollision	tadi.jpg	416	60000	tadi	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	塔底	0.15;0.1
142	光明洞	64	64	guangmingdong_2.scene	guangmingdong.path	guangmingdong.wCollision	guangmingdong.jpg	117	60000	guangmingdong	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	光明洞	0.15;0.1
143	逍遥谷底	64	64	gudi_2.scene	gudi.path	gudi.wCollision	gudi.jpg	146	60000	gudiscene	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	逍遥谷底	0.15;0.1
144	灵性峰	64	64	lingxingfeng_2.scene	lingxingfeng.path	lingxingfeng.wCollision	lingxingfeng.jpg	120	60000	lingxingfeng	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	灵性峰	0.15;0.1
145	丐帮酒窖	64	64	jiujiao_2.scene	jiujiao.path	jiujiao.wCollision	jiujiao.jpg	117	60000	jiujiao	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	丐帮酒窖	0.15;0.1
146	桃花阵	64	64	taohuazhen_2.scene	taohuazhen.path	taohuazhen.wCollision	taohuazhen.jpg	147	60000	taohuazhen	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	桃花阵	0.15;0.1
147	塔林	64	64	tongrenxiang_2.scene	tongrenxiang.path	tongrenxiang.wCollision	tongrenxiang.jpg	148	60000	tongrenxiang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	塔林	0.15;0.1
148	五神洞	64	64	wushendong_2.scene	wushendong.path	wushendong.wCollision	wushendong.jpg	416	60000	wushendong	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	五神洞	0.15;0.1
149	折梅峰	64	64	zhemeifeng_2.scene	zhemeifeng.path	zhemeifeng.wCollision	zhemeifeng.jpg	416	60000	zhemeifeng	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	折梅峰	0.15;0.1
150	塔底	64	64	tadi_2.scene	tadi.path	tadi.wCollision	tadi.jpg	416	60000	tadi	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	塔底	0.15;0.1
151	市集	64	64	shiji_1.scene	shiji.path	shiji.wCollision	qiongzhou.jpg	140	60000	jishi	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
152	市集	64	64	shiji_2.scene	shiji.path	shiji.wCollision	qiongzhou.jpg	140	60000	jishi	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
153	工地	64	64	gongdi.scene	gongdi.path	gongdi.wCollision	qiongzhou.jpg	122	60000	gongdi	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
154	校场	64	64	jiaochang.scene	jiaochang.path	jiaochang.wCollision	qiongzhou.jpg	141	60000	jiaochang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
155	衙门	64	64	yamen.scene	yamen.path	yamen.wCollision	qiongzhou.jpg	142	60000	yamen	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
156	三春幻境	64	64	huanjing_1.scene	huanjing_1.path	huanjing_1.wCollision	qiongzhou.jpg	121	60000	huanjing_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
157	三夏幻境	64	64	huanjing_2.scene	huanjing_1.path	huanjing_1.wCollision	qiongzhou.jpg	121	60000	huanjing_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
158	三秋幻境	64	64	huanjing_3.scene	huanjing_1.path	huanjing_1.wCollision	qiongzhou.jpg	121	60000	huanjing_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
159	三冬幻境	64	64	huanjing_4.scene	huanjing_1.path	huanjing_1.wCollision	qiongzhou.jpg	121	60000	huanjing_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
160	边关阵地山头	64	64	bianguan_1.scene	bianguan_1.path	bianguan_1.wCollision	qiongzhou.jpg	121	60000	bianguan_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
161	边关阵地山头	64	64	bianguan_2.scene	bianguan_1.path	bianguan_1.wCollision	qiongzhou.jpg	121	60000	bianguan_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
162	边关阵地山头	64	64	bianguan_3.scene	bianguan_1.path	bianguan_1.wCollision	qiongzhou.jpg	121	60000	bianguan_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
163	边关阵地山头	64	64	bianguan_4.scene	bianguan_1.path	bianguan_1.wCollision	qiongzhou.jpg	121	60000	bianguan_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
164	夜西湖	320	320	xihu_1.scene	xihu_1.path	xihu_1.wCollision	xihu.jpg	19	60000	xihu_1	0	0	0	0	15000	10	Sign3	MiniMap_Icon2	XiHu_Normal	MiniMap_Icon2	XiHu_Hover	野外场景#r怪物等级20-26#r怪物种类：#r水鬼探子、花港毒蜂、#r断桥花妖、白堤柳鬼、#r龙井水贼、归风庄庄客。	0.15;0.1
165	藏经阁	64	64	cangjing.scene	cangjing.path	cangjing.wCollision	qiongzhou.jpg	19	5000	shuge	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
166	宝藏洞一层	256	256	baozang_1.scene	baozang_1.path	baozang_1.wCollision	qiongzhou.jpg	120	60000	baozang_1	378	221	418	212	15000	10	Sign13	MiniMap_Icon3	BaoZangDong_Normal	MiniMap_Icon3	BaoZangDong_Normal	宝藏洞#r山洞场景#r怪物等级：15-30#r怪物种类：#r盗墓小贼、沙漠马匪#r护宝铜人、寻宝豪杰　#r洞穴石人、护宝神兽。	0.15;0.1
167	考场	64	64	kaochang.scene	yamen.path	yamen.wCollision	qiongzhou.jpg	121	60000	yamen	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
168	华山绝顶	256	256	huashan_10.scene	huashan_10.path	huashan_10.wCollision	qiongzhou.jpg	140	20000	huashan_10	472	404	473	427	15000	10	Sign14	MiniMap_Icon3	HuaShanZhiDian_Normal	MiniMap_Icon3	HuaShanZhiDian_Normal	华山之巅	0.15;0.1
169	宝藏洞二层	256	256	baozang_2.scene	baozang_2.path	baozang_2.wCollision	qiongzhou.jpg	121	60000	baozang_2	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
170	贼寇营地	128	128	zeiying.scene	muchang.path	muchang.wCollision	qiongzhou.jpg	107	60000	muchang	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
171	藏经阁	64	64	cangjing_1.scene	shuge.path	shuge.wCollision	qiongzhou.jpg	19	60000	shuge	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
172	藏经阁	64	64	cangjing_2.scene	shuge.path	shuge.wCollision	qiongzhou.jpg	19	60000	shuge	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
173	少林寺	192	192	shaolin_1.scene	shaolin.path	shaolin.WCollision	shaolin.jpg	105	60000	shaolinfb	0	0	0	0	15000	10	Sign10	MiniMap_Icon	ShaoLinSi_Normal	MiniMap_Icon	ShaoLinSi_Hover	门派#r少林派总舵	0.15;0.1
174	丐帮总舵	192	192	gaibang_1.scene	gaibang.path	gaibang.wCollision	gaibang.jpg	102	60000	gaibangfb	0	0	0	0	15000	10	Sign10	CommonStaticImage5	GaiBangZongDuo_Normal	CommonStaticImage5	GaiBangZongDuo_Hover	门派#r丐帮总舵	0.15;0.1
175	光明殿	192	192	mingjiao_1.scene	mingjiao.path	mingjiao.wCollision	mingjiao.jpg	106	60000	mingjiaofb	0	0	0	0	15000	10	Sign6	MiniMap_Icon	GuangMingDing_Normal	MiniMap_Icon	GuangMingDing_Hover	门派#r明教总舵	0.15;0.1
176	武当山	144	224	wudang_1.scene	wudang.path	wudang.wCollision	wudang.jpg	102	60000	wudangfb	0	0	0	0	15000	10	Sign6	MiniMap_Icon	WuDangShan_Normal	MiniMap_Icon	WuDangShan_Hover	门派#r武当派总舵	0.15;0.1
177	天龙寺	192	192	tianlong_1.scene	tianlong.path	tianlong.wCollision	tianlong.jpg	105	60000	tianlongfb	0	0	0	0	15000	10	Sign10	CommonStaticImage5	TianLongSi_Normal	CommonStaticImage5	TianLongSi_Hover	门派#r天龙派总舵	0.15;0.1
178	凌波洞	192	192	xiaoyao_1.scene	xiaoyao.path	xiaoyao.wCollision	xiaoyao.jpg	107	60000	xiaoyaofb	0	0	0	0	15000	10	Sign6	MiniMap_Icon	LingBoDong_Normal	MiniMap_Icon	LingBoDong_Hover	门派#r逍遥派总舵	0.15;0.1
179	峨嵋山	192	192	emei_1.scene	emei.path	emei.wCollision	emei.jpg	108	60000	emeifb	0	0	0	0	15000	10	Sign6	MiniMap_Icon	EMeiShan_Normal	MiniMap_Icon	EMeiShan_Hover	门派#r峨嵋派总舵	0.15;0.1
180	星宿海	192	192	xingxiu_1.scene	xingxiu.path	xingxiu.wCollision	xingxiu.jpg	109	60000	xingxiufb	0	0	0	0	15000	10	Sign8	MiniMap_Icon	XingXiuHai_Normal	MiniMap_Icon	XingXiuHai_Hover	门派#r星宿派总舵	0.15;0.1
181	天山	192	192	tianshan_1.scene	tianshan.path	tianshan.wCollision	tianshan.jpg	2037	30000	tianshanfb	0	0	0	0	15000	10	Sign6	MiniMap_Icon2	TianShan_Normal	MiniMap_Icon2	TianShan_Hover	门派#r天山派总舵	0.15;0.1
182	少林寺	192	192	shaolin_2.scene	shaolin.path	shaolin.WCollision	shaolin.jpg	105	60000	shaolinfb	0	0	0	0	15000	10	Sign10	MiniMap_Icon	ShaoLinSi_Normal	MiniMap_Icon	ShaoLinSi_Hover	门派#r少林派总舵	0.15;0.1
183	丐帮总舵	192	192	gaibang_2.scene	gaibang.path	gaibang.wCollision	gaibang.jpg	102	60000	gaibangfb	0	0	0	0	15000	10	Sign10	CommonStaticImage5	GaiBangZongDuo_Normal	CommonStaticImage5	GaiBangZongDuo_Hover	门派#r丐帮总舵	0.15;0.1
184	光明殿	192	192	mingjiao_2.scene	mingjiao.path	mingjiao.wCollision	mingjiao.jpg	106	60000	mingjiaofb	0	0	0	0	15000	10	Sign6	MiniMap_Icon	GuangMingDing_Normal	MiniMap_Icon	GuangMingDing_Hover	门派#r明教总舵	0.15;0.1
185	武当山	144	224	wudang_2.scene	wudang.path	wudang.wCollision	wudang.jpg	102	60000	wudangfb	0	0	0	0	15000	10	Sign6	MiniMap_Icon	WuDangShan_Normal	MiniMap_Icon	WuDangShan_Hover	门派#r武当派总舵	0.15;0.1
186	天龙寺	192	192	tianlong_2.scene	tianlong.path	tianlong.wCollision	tianlong.jpg	105	60000	tianlongfb	0	0	0	0	15000	10	Sign10	CommonStaticImage5	TianLongSi_Normal	CommonStaticImage5	TianLongSi_Hover	门派#r天龙派总舵	0.15;0.1
187	凌波洞	192	192	xiaoyao_2.scene	xiaoyao.path	xiaoyao.wCollision	xiaoyao.jpg	107	60000	xiaoyaofb	0	0	0	0	15000	10	Sign6	MiniMap_Icon	LingBoDong_Normal	MiniMap_Icon	LingBoDong_Hover	门派#r逍遥派总舵	0.15;0.1
188	峨嵋山	192	192	emei_2.scene	emei.path	emei.wCollision	emei.jpg	108	60000	emeifb	0	0	0	0	15000	10	Sign6	MiniMap_Icon	EMeiShan_Normal	MiniMap_Icon	EMeiShan_Hover	门派#r峨嵋派总舵	0.15;0.1
189	星宿海	192	192	xingxiu_2.scene	xingxiu.path	xingxiu.wCollision	xingxiu.jpg	109	60000	xingxiufb	0	0	0	0	15000	10	Sign8	MiniMap_Icon	XingXiuHai_Normal	MiniMap_Icon	XingXiuHai_Hover	门派#r星宿派总舵	0.15;0.1
190	天山	192	192	tianshan_2.scene	tianshan.path	tianshan.wCollision	tianshan.jpg	2037	30000	tianshanfb	0	0	0	0	15000	10	Sign6	MiniMap_Icon2	TianShan_Normal	MiniMap_Icon2	TianShan_Hover	门派#r天山派总舵	0.15;0.1
191	宝藏洞三层	256	256	baozang_3.scene	baozang_3.path	baozang_3.wCollision	qiongzhou.jpg	417	60000	baozang_3	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
192	宝藏洞四层	256	256	baozang_4.scene	baozang_4.path	baozang_4.wCollision	qiongzhou.jpg	144	60000	baozang_4	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
193	宝藏洞五层	256	256	baozang_5.scene	baozang_5.path	baozang_5.wCollision	qiongzhou.jpg	143	60000	baozang_5	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
194	监狱	96	96	prison.scene	prison.path	prison.wCollision	qiongzhou.jpg	416	60000	prison	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
195	比武会场	256	256	dataosha.scene	dataosha.path	dataosha.wCollision	qiongzhou.jpg	121	60000	dataosha	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
196	普通礼堂	64	96	wedding_new_1.scene	wedding_new_1.path	wedding_new_1.wCollision	wedding_new_1.jpg	428	20000	wedding_new_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
197	高级礼堂	64	96	wedding_new_2.scene	wedding_new_2.path	wedding_new_2.wCollision	wedding_new_2.jpg	428	20000	wedding_new_2	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
198	豪华礼堂	96	96	wedding_new_3.scene	wedding_new_3.path	wedding_new_3.wCollision	wedding_new_3.jpg	428	20000	wedding_new_3	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
199	大军草料场	256	256	caoliao.scene	caoliao.path	caoliao.wCollision	qiongzhou.jpg	117	36000	caoliao	654	252	669	235	15000	10	Sign19	MiniMap_Icon3	CaoLiaoChang_Normal	MiniMap_Icon3	CaoLiaoChang_Normal	由雁北进入#r怪物等级45-50#r怪物种类：#r红枫蜘蛛、秦家寨劫#r匪、红枫熊、秦家寨#r护卫、秦家寨教头、#r打草谷辽兵。	0.15;0.1
200	苗人洞	256	256	miaoren.scene	miaoren.path	miaoren.wCollision	qiongzhou.jpg	145	60000	miaoren	745	682	747	669	15000	10	Sign19	MiniMap_Icon3	MiaoRenDong_Normal	MiniMap_Icon3	MiaoRenDong_Normal	由梅岭进入#r怪物等级65-70#r怪物种类：#r红袍蜘蛛、丛林野人、#r山越祭司、山越护法、#r棚民、流寇。	0.15;0.1
201	圣兽山	256	256	petisland_1.scene	petisland_1.path	petisland_1.wCollision	qiongzhou.jpg	144	60000	petisland_1	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
202	燕王古墓一层	128	128	bashu_1.scene	bashu_1.path	bashu_1.wCollision	qiongzhou.jpg	417	60000	bashu_1	610	244	577	229	15000	10	Sign16	MiniMap_Icon3	YanWangGuMu_Normal	MiniMap_Icon3	YanWangGuMu_Normal	燕王古墓#r山洞场景#r怪物等级：50-75#r怪物种类：#r偷猎者、魅影偃师、鬼剑、石人、树人、岩魔、墓穴毒蛛、墓穴毒蜂、毒丝蜘蛛王、灰斑毒蛛、吸血蝙蝠、春三十娘、淬毒蛛、骷髅兵、伏地魔、鬼魂、幽灵、白帝的阴影、亡灵铠甲武士、死亡的嫔妃、冥将、火狻猊、泥浆武士、血饮狂刀、驳马、熔岩石人、赤霄。#r可捕捉珍兽：#r火鬃鼠、玄翼兽、炎火鬃鼠、蚩玄翼兽。	0.15;0.1
203	燕王古墓二层	128	128	bashu_2.scene	bashu_2.path	bashu_2.wCollision	qiongzhou.jpg	119	60000	bashu_2	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
204	燕王古墓三层	128	128	bashu_3.scene	bashu_3.path	bashu_3.wCollision	qiongzhou.jpg	146	60000	bashu_3	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
205	燕王古墓四层	128	128	bashu_4.scene	bashu_4.path	bashu_4.wCollision	qiongzhou.jpg	147	60000	bashu_4	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
206	燕王古墓五层	128	128	bashu_5.scene	bashu_5.path	bashu_5.wCollision	qiongzhou.jpg	148	60000	bashu_5	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
207	燕王古墓六层	128	128	bashu_6.scene	bashu_6.path	bashu_6.wCollision	qiongzhou.jpg	417	60000	bashu_6	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
208	燕王古墓七层	128	128	bashu_7.scene	bashu_7.path	bashu_7.wCollision	qiongzhou.jpg	119	60000	bashu_7	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
209	燕王古墓八层	128	128	bashu_8.scene	bashu_8.path	bashu_8.wCollision	qiongzhou.jpg	146	60000	bashu_8	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
210	燕王古墓九层	128	128	bashu_9.scene	bashu_9.path	bashu_9.wCollision	qiongzhou.jpg	147	60000	bashu_9	0	0	0	0	15000	10	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.15;0.1
211	山洞船坞	256	256	chuanwu.scene	chuanwu.path	chuanwu.wCollision	qiongzhou.jpg	147	60000	chuanwu	812	554	775	549	15000	10	Sign19	MiniMap_Icon3	ShanDongChuanWu_Normal	MiniMap_Icon3	ShanDongChuanWu_Normal	由西湖进入#r怪物等级20-25#r怪物种类：#r花港毒蜂、水鬼探子、#r断桥花妖、龙井水贼、#r流寇、密探。	0.15;0.1
212	剑冢	256	256	jianzhong.scene	jianzhong.path	jianzhong.wCollision	qiongzhou.jpg	144	60000	jianzhong	870	565	871	552	15000	10	Sign19	MiniMap_Icon3	JianZhong_Normal	MiniMap_Icon3	JianZhong_Normal	由龙泉进入#r怪物等级35-40#r怪物种类：#r剑齿豹、剑冢刺客、#r荒野剑客、暗杀者、#r大剑师、剑灵。	0.15;0.1
213	摩崖洞	256	256	moyadong.scene	moyadong.path	moyadong.wCollision	qiongzhou.jpg	417	120000	moyadong	680	295	701	283	15000	10	Sign19	MiniMap_Icon3	MoYaDong_Normal	MiniMap_Icon3	MoYaDong_Normal	由雁南进入#r怪物等级30-35#r怪物种类：#r秦家寨恶霸、秦家寨护卫使、秦家寨头领、秦家寨土匪、秦家寨卫兵。	0.15;0.1
214	野人沟	256	256	yerengou.scene	yerengou.path	yerengou.wCollision	qiongzhou.jpg	144	60000	yerengou	274	625	255	611	15000	10	Sign19	MiniMap_Icon3	YeRenGou_Normal	MiniMap_Icon3	YeRenGou_Normal	由苍山进入#r怪物等级40-45#r怪物种类：#r蓑衣野人、狼族头人、#r狼族勇士、狼族神汉、#r狼族土司、雪狼。	0.15;0.1
215	温泉洞	256	256	wenquandong.scene	wenquandong.path	wenquandong.wCollision	qiongzhou.jpg	147	60000	wenquandong	361	656	372	644	15000	10	Sign19	MiniMap_Icon3	WenQuanDong_Normal	MiniMap_Icon3	WenQuanDong_Normal	由洱海进入#r怪物等级25-30#r怪物种类：#r狼族荆棘使、赤脚野人、#r狼族探子、狼族战士、#r花斑豹、风狼。	0.15;0.1
216	黄龙洞	256	256	huanglongdong.scene	huanglongdong.path	huanglongdong.wCollision	qiongzhou.jpg	147	60000	huanglongdong	786	622	783	609	15000	10	Sign19	MiniMap_Icon3	HuangLongDong_Normal	MiniMap_Icon3	HuangLongDong_Normal	由武夷山进入#r怪物等级50-55#r怪物种类：#r深谷白猿、白花蜘蛛、#r山越战士、山越护法、#r树甲哨兵、山越祭司。	0.15;0.1
217	水晶湖	256	256	shuijinghu.scene	shuijinghu.path	shuijinghu.wCollision	qiongzhou.jpg	147	60000	shuijinghu	660	156	653	144	15000	10	Sign19	MiniMap_Icon3	ShuiJingHu_Normal	MiniMap_Icon3	ShuiJingHu_Normal	由草原进入#r怪物等级60-65#r怪物种类：#r打草谷宋兵、蒙古黑蜂、#r闪电马匪、追风马匪、#r弯刀马匪、草原狼。	0.15;0.1
218	先王坟	256	256	xianwangfen.scene	xianwangfen.path	xianwangfen.wCollision	qiongzhou.jpg	147	60000	xianwangfen	691	109	691	96	15000	10	Sign19	MiniMap_Icon3	XianWangFen_Normal	MiniMap_Icon3	XianWangFen_Normal	由辽西进入#r怪物等级75-80#r怪物种类：#r一品堂刺客、鬼狼#r盗墓马匪、黑毒蜂、#r护墓莽盖、骷髅。	0.15;0.1
219	天坑树洞	256	256	shudong.scene	shudong.path	shudong.wCollision	qiongzhou.jpg	147	60000	shudong	252	694	249	682	15000	10	Sign19	MiniMap_Icon3	TianKengShuDong_Normal	MiniMap_Icon3	TianKengShuDong_Normal	由石林进入#r怪物等级55-60#r怪物种类：#r花岗石狮、花岗石人、#r页岩石人、棕熊、#r狼蛛。	0.15;0.1
220	桃花源	256	256	taohuayuan.scene	taohuayuan.path	taohuayuan.wCollision	qiongzhou.jpg	147	60000	taohuayuan	350	713	366	702	15000	10	Sign19	MiniMap_Icon3	TaoHuaYuan_Normal	MiniMap_Icon3	TaoHuaYuan_Normal	由玉溪进入#r怪物等级70-75#r怪物种类：#r迷人蜂、花斑豹、#r桃根仙、桃枝仙、#r桃花仙、桃实仙。	0.15;0.1
221	海贼洞	256	256	haizei.scene	haizei.path	haizei.wCollision	qiongzhou.jpg	147	60000	haizei	679	752	652	748	15000	10	Sign19	MiniMap_Icon3	HaiZeiDong_Normal	MiniMap_Icon3	HaiZeiDong_Normal	由南海进入#r怪物等级80-84#r怪物种类：#r鳄鱼帮混混、南海鳄鱼、#r鳄鱼帮打手、南海海盗、#r石老人。	0.15;0.1
