INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
132	70501030	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501031	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +656#W; #Gnµi công phòng ngñ +656#W; #GHuyªt Thßþng HÕn +1217#W; #Ggia tång Linh Ðµng kÛ nång Ð¯i Trân Thú chính mình Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
133	70501031	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501032	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +983#W; #Gnµi công phòng ngñ +983#W; #GHuyªt Thßþng HÕn +1825#W; #Ggia tång Linh Ðµng kÛ nång Ð¯i Trân Thú chính mình Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
134	70501032	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501033	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +1311#W; #Gnµi công phòng ngñ +1311#W; #GHuyªt Thßþng HÕn +2434#W; #Ggia tång Linh Ðµng kÛ nång Ð¯i Trân Thú chính mình Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
135	70501033	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501034	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +1638#W; #Gnµi công phòng ngñ +1638#W; #GHuyªt Thßþng HÕn +3042#W; #Ggia tång Linh Ðµng kÛ nång Ð¯i Trân Thú chính mình Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
136	70501035	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501036	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +33#W; #GM®nh Trung +859#W; #GHuyªt Thßþng HÕn +1217#W; #Ggia tång Hß Nhßþc kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
137	70501036	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501037	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +49#W; #GM®nh Trung +1288#W; #GHuyªt Thßþng HÕn +1825#W; #Ggia tång Hß Nhßþc kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
138	70501037	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501038	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +66#W; #GM®nh Trung +1717#W; #GHuyªt Thßþng HÕn +2434#W; #Ggia tång Hß Nhßþc kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
139	70501038	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501039	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +82#W; #GM®nh Trung +2146#W; #GHuyªt Thßþng HÕn +3042#W; #Ggia tång Hß Nhßþc kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
140	70501040	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501041	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +859#W; #Gthân pháp +33#W; #GHuyªt Thßþng HÕn +1217#W; #Ggia tång Hß Nhßþc kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
141	70501041	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501042	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1288#W; #Gthân pháp +49#W; #GHuyªt Thßþng HÕn +1825#W; #Ggia tång Hß Nhßþc kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
142	70501042	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501043	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1717#W; #Gthân pháp +66#W; #GHuyªt Thßþng HÕn +2434#W; #Ggia tång Hß Nhßþc kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
143	70501043	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501044	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2146#W; #Gthân pháp +82#W; #GHuyªt Thßþng HÕn +3042#W; #Ggia tång Hß Nhßþc kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
144	70501045	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501046	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +748#W; #GM®nh Trung +965#W; #Glñc lßþng +37#W; #Ggia tång Mãnh Kích kÛ nång Ðích phóng thích tÖ l®(2Tinh sáo trang hi®u quä)#W.
145	70501046	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501047	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +1122#W; #GM®nh Trung +1447#W; #Glñc lßþng +55#W; #Ggia tång Mãnh Kích kÛ nång Ðích phóng thích tÖ l®(3Tinh sáo trang hi®u quä)#W.
146	70501047	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501048	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +1495#W; #GM®nh Trung +1929#W; #Glñc lßþng +74#W; #Ggia tång Mãnh Kích kÛ nång Ðích phóng thích tÖ l®(4Tinh sáo trang hi®u quä)#W.
147	70501048	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501049	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +1869#W; #GM®nh Trung +2411#W; #Glñc lßþng +92#W; #Ggia tång Mãnh Kích kÛ nång Ðích phóng thích tÖ l®(5Tinh sáo trang hi®u quä)#W.
148	70501050	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501051	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +965#W; #GHuyªt Thßþng HÕn +1373#W; #Glñc lßþng +37#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
149	70501051	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501052	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1447#W; #GHuyªt Thßþng HÕn +2059#W; #Glñc lßþng +55#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
150	70501052	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501053	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1929#W; #GHuyªt Thßþng HÕn +2745#W; #Glñc lßþng +74#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
151	70501053	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501054	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2411#W; #GHuyªt Thßþng HÕn +3431#W; #Glñc lßþng +92#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
152	70501055	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501056	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +965#W; #GHuyªt Thßþng HÕn +1373#W; #Glñc lßþng +37#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
153	70501056	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501057	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1447#W; #GHuyªt Thßþng HÕn +2059#W; #Glñc lßþng +55#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
154	70501057	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501058	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1929#W; #GHuyªt Thßþng HÕn +2745#W; #Glñc lßþng +74#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
155	70501058	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501059	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2411#W; #GHuyªt Thßþng HÕn +3431#W; #Glñc lßþng +92#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
156	70501060	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501061	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #Gn?i công công kích +748#W; #GM®nh Trung +965#W; #GLinh Khí +37#W; #GTh¯ng Kích kÛ nång phóng thích Th¶i thêm vào gia tång nµi công công kích(2Tinh sáo trang hi®u quä)#W.
157	70501061	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501062	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #Gn?i công công kích +1122#W; #GM®nh Trung +1447#W; #GLinh Khí +55#W; #GTh¯ng Kích kÛ nång phóng thích Th¶i thêm vào gia tång nµi công công kích(3Tinh sáo trang hi®u quä)#W.
158	70501062	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501063	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #Gn?i công công kích +1495#W; #GM®nh Trung +1929#W; #GLinh Khí +74#W; #GTh¯ng Kích kÛ nång phóng thích Th¶i thêm vào gia tång nµi công công kích(4Tinh sáo trang hi®u quä)#W.
159	70501063	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501064	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #Gn?i công công kích +1869#W; #GM®nh Trung +2411#W; #GLinh Khí +92#W; #GTh¯ng Kích kÛ nång phóng thích Th¶i thêm vào gia tång nµi công công kích(5Tinh sáo trang hi®u quä)#W.
160	70501065	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501066	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +965#W; #GHuyªt Thßþng HÕn +1373#W; #GLinh Khí +37#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
161	70501066	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501067	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1447#W; #GHuyªt Thßþng HÕn +2059#W; #GLinh Khí +55#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
162	70501067	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501068	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1929#W; #GHuyªt Thßþng HÕn +2745#W; #GLinh Khí +74#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
163	70501068	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501069	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2411#W; #GHuyªt Thßþng HÕn +3431#W; #GLinh Khí +92#W; #Ggia tång Phän Ch¤n kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
164	70501070	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501071	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +965#W; #GHuyªt Thßþng HÕn +1373#W; #GLinh Khí +37#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
165	70501071	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501072	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1447#W; #GHuyªt Thßþng HÕn +2059#W; #GLinh Khí +55#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
166	70501072	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501073	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1929#W; #GHuyªt Thßþng HÕn +2745#W; #GLinh Khí +74#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
167	70501073	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501074	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2411#W; #GHuyªt Thßþng HÕn +3431#W; #GLinh Khí +92#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
168	70501075	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501076	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +738#W; #Gnµi công phòng ngñ +738#W; #GHuyªt Thßþng HÕn +1373#W; #Ggia tång Trung Tâm kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
169	70501076	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501077	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +1107#W; #Gnµi công phòng ngñ +1107#W; #GHuyªt Thßþng HÕn +2059#W; #Ggia tång Trung Tâm kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
170	70501077	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501078	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +1476#W; #Gnµi công phòng ngñ +1476#W; #GHuyªt Thßþng HÕn +2745#W; #Ggia tång Trung Tâm kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
171	70501078	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501079	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công phòng ngñ +1845#W; #Gnµi công phòng ngñ +1845#W; #GHuyªt Thßþng HÕn +3431#W; #Ggia tång Trung Tâm kÛ nång Ð¯i ngß¶i ch½i Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
172	70501080	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501081	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +37#W; #GM®nh Trung +965#W; #GHuyªt Thßþng HÕn +1373#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
173	70501081	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501082	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +55#W; #GM®nh Trung +1447#W; #GHuyªt Thßþng HÕn +2059#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
174	70501082	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501083	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +74#W; #GM®nh Trung +1929#W; #GHuyªt Thßþng HÕn +2745#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
175	70501083	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501084	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GtHân pháp +92#W; #GM®nh Trung +2411#W; #GHuyªt Thßþng HÕn +3431#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
176	70501085	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501086	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +965#W; #Gthân pháp +37#W; #GHuyªt Thßþng HÕn +1373#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
177	70501086	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501087	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1447#W; #Gthân pháp +55#W; #GHuyªt Thßþng HÕn +2059#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
178	70501087	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501088	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1929#W; #Gthân pháp +74#W; #GHuyªt Thßþng HÕn +2745#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
179	70501088	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501089	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2411#W; #Gthân pháp +92#W; #GHuyªt Thßþng HÕn +3431#W; #Ggia tång H¤p Khí kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
180	70501090	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501091	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +832#W; #GM®nh Trung +1071#W; #Glñc lßþng +41#W; #Ggia tång Liên Kích kÛ nång Ðích phóng thích tÖ l®(2Tinh sáo trang hi®u quä)#W.
181	70501091	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501092	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +1248#W; #GM®nh Trung +1606#W; #Glñc lßþng +61#W; #Ggia tång Liên Kích kÛ nång Ðích phóng thích tÖ l®(3Tinh sáo trang hi®u quä)#W.
182	70501092	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501093	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +1663#W; #GM®nh Trung +2141#W; #Glñc lßþng +82#W; #Ggia tång Liên Kích kÛ nång Ðích phóng thích tÖ l®(4Tinh sáo trang hi®u quä)#W.
183	70501093	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501094	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GnGoÕi công công kích +2079#W; #GM®nh Trung +2676#W; #Glñc lßþng +102#W; #Ggia tång Liên Kích kÛ nång Ðích phóng thích tÖ l®(5Tinh sáo trang hi®u quä)#W.
184	70501095	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501096	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1071#W; #GHuyªt Thßþng HÕn +1528#W; #Glñc lßþng +41#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
185	70501096	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501097	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1606#W; #GHuyªt Thßþng HÕn +2292#W; #Glñc lßþng +61#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
186	70501097	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501098	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2141#W; #GHuyªt Thßþng HÕn +3056#W; #Glñc lßþng +82#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
187	70501098	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501099	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2676#W; #GHuyªt Thßþng HÕn +3820#W; #Glñc lßþng +102#W; #Ggia tång Phän Kích kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
188	70501100	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501101	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1071#W; #GHuyªt Thßþng HÕn +1528#W; #Glñc lßþng +41#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(2Tinh sáo trang hi®u quä)#W.
189	70501101	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501102	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +1606#W; #GHuyªt Thßþng HÕn +2292#W; #Glñc lßþng +61#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(3Tinh sáo trang hi®u quä)#W.
190	70501102	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501103	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2141#W; #GHuyªt Thßþng HÕn +3056#W; #Glñc lßþng +82#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(4Tinh sáo trang hi®u quä)#W.
191	70501103	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501104	1	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #GM?nh Trung +2676#W; #GHuyªt Thßþng HÕn +3820#W; #Glñc lßþng +102#W; #Ggia tång Tá Nµ kÛ nång Ð¯i møc tiêu Ðích có hi®u lñc tÖ l®(5Tinh sáo trang hi®u quä)#W.
192	70501105	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501106	0	Thång c¤p H§u tr÷n bµ Ðích sáo trang hi®u quä Tß¾ng tång lên Vi: #Gn?i công công kích +832#W; #GM®nh Trung +1071#W; #GLinh Khí +41#W; #Ggia tång Li®t Hoä Chú, Huy«n Lôi Chú, Huyªt Ðµc Chú, Hàn Bång Chú kÛ nång Ðích phóng thích tÖ l®(2Tinh sáo trang hi®u quä)#W.
