INT	INT	INT	INT	STRING
59	2	2	9	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0052#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0060#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
60	2	2	10	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0060#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
61	2	3	1	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF008#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0012#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
62	2	3	2	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0012#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0016#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
63	2	3	3	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0016#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0021#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
64	2	3	4	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0021#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0026#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
65	2	3	5	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0026#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0032#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
66	2	3	6	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0032#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0038#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
67	2	3	7	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0038#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0045#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
68	2	3	8	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0045#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0052#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
69	2	3	9	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0052#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0060#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
70	2	3	10	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng#cFFFFFFgia tång#c54FF0060#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
71	2	4	1	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF008#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0012#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
72	2	4	2	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0012#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0016#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
73	2	4	3	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0016#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0021#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
74	2	4	4	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0021#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0026#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
75	2	4	5	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0026#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0032#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
76	2	4	6	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0032#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0038#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
77	2	4	7	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0038#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0045#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
78	2	4	8	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0045#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0052#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
79	2	4	9	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0052#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0060#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
80	2	4	10	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Ðµc Kháng#cFFFFFFgia tång#c54FF0060#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
81	3	1	1	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF001%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF002%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
82	3	1	2	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF002%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF003%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
83	3	1	3	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF003%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF004%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
84	3	1	4	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF004%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF005%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
85	3	1	5	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF005%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF006%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
86	3	1	6	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF006%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF007%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
87	3	1	7	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF007%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF008%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
88	3	1	8	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF008%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF009%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
89	3	1	9	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF009%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF0010%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
90	3	1	10	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF0010%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
91	3	2	1	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF001%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF002%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
92	3	2	2	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF002%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF003%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
93	3	2	3	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF003%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF004%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
94	3	2	4	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF004%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF005%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
95	3	2	5	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF005%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF006%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
96	3	2	6	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF006%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF007%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
97	3	2	7	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF007%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF008%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
98	3	2	8	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF008%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF009%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
99	3	2	9	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF009%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF0010%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
100	3	2	10	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF0010%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
101	3	3	1	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF001%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF002%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
102	3	3	2	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF002%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF003%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
103	3	3	3	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF003%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF004%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
104	3	3	4	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF004%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF005%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
105	3	3	5	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF005%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF006%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
106	3	3	6	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF006%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF007%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
107	3	3	7	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF007%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF008%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
108	3	3	8	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF008%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF009%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
109	3	3	9	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF009%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF0010%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao)
110	3	3	10	#cFFFFFFrót vào#cFFF263Thiên H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Huy«n Kháng hÕn cu¯i#cFFFFFFgia tång#c54FF0010%#cFFFFFF, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Thiên H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
