INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT
113	1	ÄĞÖ÷½ÇÍ··¢ĞÇ¿ÕÕ½¼×Éı¼¶.mesh	ÄĞÖ÷½Ç·¢ÊÎĞÇ¿ÕÕ½¼×Éı¼¶.mesh	Thiên Lan Phát	ÄĞÖ÷½ÇÍ··¢ĞÇ¿ÕÕ½¼×Éı¼¶	ÄĞÖ÷½Ç·¢ÊÎĞÇ¿ÕÕ½¼×Éı¼¶	20307210	1	2	PeiFang_5	50000	112
114	0	Å®Ö÷½ÇÍ··¢¼ÎÄê»ªÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎ¼ÎÄê»ªÊ±×°.mesh	Trß¶ng thiên phát	Å®Ö÷½ÇÍ··¢¼ÎÄê»ªÊ±×°	Å®Ö÷½Ç·¢ÊÎ¼ÎÄê»ªÊ±×°	20307211	1	2	PeiFang_5	50000	115
115	1	ÄĞÖ÷½ÇÍ··¢¼ÎÄê»ªÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ¼ÎÄê»ªÊ±×°.mesh	Trß¶ng thiên phát	ÄĞÖ÷½ÇÍ··¢¼ÎÄê»ªÊ±×°	ÄĞÖ÷½Ç·¢ÊÎ¼ÎÄê»ªÊ±×°	20307211	1	2	PeiFang_5	50000	114
116	0	Å®Ö÷½ÇÍ··¢°×É«Ê¥µ®Ê±×°.mesh	Å®Ö÷½Ç·¢ÊÎ°×É«Ê¥µ®Ê±×°.mesh	Bång Thanh Phát	Å®Ö÷½ÇÍ··¢°×É«Ê¥µ®Ê±×°	Å®Ö÷½Ç·¢ÊÎ°×É«Ê¥µ®Ê±×°	20307212	1	2	PeiFang_5	50000	117
117	1	ÄĞÖ÷½ÇÍ··¢°×É«Ê¥µ®Ê±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ°×É«Ê¥µ®Ê±×°.mesh	Bång Thanh Phát	ÄĞÖ÷½ÇÍ··¢°×É«Ê¥µ®Ê±×°	ÄĞÖ÷½Ç·¢ÊÎ°×É«Ê¥µ®Ê±×°	20307212	1	2	PeiFang_5	50000	116
118	0	Å®Ö÷½ÇÍ··¢°×»¢Ê±×°.mesh	Å®Ö÷½Ç·¢ÊÎ°×»¢Ê±×°.mesh	Chúc Cß½ng Phát	Å®Ö÷½ÇÍ··¢°×»¢Ê±×°	Å®Ö÷½Ç·¢ÊÎ°×»¢Ê±×°	20307213	1	2	PeiFang_5	50000	119
119	1	ÄĞÖ÷½ÇÍ··¢°×»¢Ê±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ°×»¢Ê±×°.mesh	Chúc Cß½ng Phát	ÄĞÖ÷½ÇÍ··¢°×»¢Ê±×°	ÄĞÖ÷½Ç·¢ÊÎ°×»¢Ê±×°	20307213	1	2	PeiFang_5	50000	118
120	0	Å®Ö÷½ÇÍ··¢°×»éÉ´Ê±×°.mesh	Å®Ö÷½Ç·¢ÊÎ°×»éÉ´Ê±×°.mesh	Nguy®t Luyªn Phát	Å®Ö÷½ÇÍ··¢°×»éÉ´Ê±×°	Å®Ö÷½Ç·¢ÊÎ°×»éÉ´Ê±×°	20307214	1	2	PeiFang_5	50000	121
121	1	ÄĞÖ÷½ÇÍ··¢°×»éÉ´Ê±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ°×»éÉ´Ê±×°.mesh	Nguy®t Luyªn Phát	ÄĞÖ÷½ÇÍ··¢°×»éÉ´Ê±×°	ÄĞÖ÷½Ç·¢ÊÎ°×»éÉ´Ê±×°	20307214	1	2	PeiFang_5	50000	120
122	0	Å®Ö÷½ÇÍ··¢¿Æ¾ÙÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎ¿Æ¾ÙÊ±×°.mesh	Vån Uyên Phát	Å®Ö÷½ÇÍ··¢¿Æ¾ÙÊ±×°	Å®Ö÷½Ç·¢ÊÎ¿Æ¾ÙÊ±×°	20307215	1	2	PeiFang_5	50000	123
123	1	ÄĞÖ÷½ÇÍ··¢¿Æ¾ÙÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ¿Æ¾ÙÊ±×°.mesh	Vån Uyên Phát	ÄĞÖ÷½ÇÍ··¢¿Æ¾ÙÊ±×°	ÄĞÖ÷½Ç·¢ÊÎ¿Æ¾ÙÊ±×°	20307215	1	2	PeiFang_5	50000	122
124	0	Å®Ö÷½ÇÍ··¢ĞÂ·ÉÁú³ËÔÆÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎĞÂ·ÉÁú³ËÔÆÊ±×°.mesh	Ğan Kh·i Phát	Å®Ö÷½ÇÍ··¢ĞÂ·ÉÁú³ËÔÆÊ±×°	Å®Ö÷½Ç·¢ÊÎĞÂ·ÉÁú³ËÔÆÊ±×°	20307216	1	2	PeiFang_5	50000	125
125	1	ÄĞÖ÷½ÇÍ··¢ĞÂ·ÉÁú³ËÔÆÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎĞÂ·ÉÁú³ËÔÆÊ±×°.mesh	Ğan Kh·i Phát	ÄĞÖ÷½ÇÍ··¢ĞÂ·ÉÁú³ËÔÆÊ±×°	ÄĞÖ÷½Ç·¢ÊÎĞÂ·ÉÁú³ËÔÆÊ±×°	20307216	1	2	PeiFang_5	50000	124
126	0	Å®Ö÷½ÇÍ··¢Õù°ÔÈüÈıÌ××°.mesh	Å®Ö÷½Ç·¢ÊÎÕù°ÔÈüÈıÌ××°.mesh	Chiªu Sß½ng Phát	Å®Ö÷½ÇÍ··¢Õù°ÔÈüÈıÌ××°	Å®Ö÷½Ç·¢ÊÎÕù°ÔÈüÈıÌ××°	20307217	1	2	PeiFang_5	50000	127
127	1	ÄĞÖ÷½ÇÍ··¢Õù°ÔÈüÈıÌ××°.mesh	ÄĞÖ÷½Ç·¢ÊÎÕù°ÔÈüÈıÌ××°.mesh	Chiªu Sß½ng Phát	ÄĞÖ÷½ÇÍ··¢Õù°ÔÈüÈıÌ××°	ÄĞÖ÷½Ç·¢ÊÎÕù°ÔÈüÈıÌ××°	20307217	1	2	PeiFang_5	50000	126
128	0	Å®Ö÷½ÇÍ··¢Õù°ÔÈü¶şÌ××°.mesh	Å®Ö÷½Ç·¢ÊÎÕù°ÔÈü¶şÌ××°.mesh	DÕ Lan Phát	Å®Ö÷½ÇÍ··¢Õù°ÔÈü¶şÌ××°	Å®Ö÷½Ç·¢ÊÎÕù°ÔÈü¶şÌ××°	20307218	1	2	PeiFang_5	50000	129
129	1	ÄĞÖ÷½ÇÍ··¢Õù°ÔÈü¶şÌ××°.mesh	ÄĞÖ÷½Ç·¢ÊÎÕù°ÔÈü¶şÌ××°.mesh	DÕ Lan Phát	ÄĞÖ÷½ÇÍ··¢Õù°ÔÈü¶şÌ××°	ÄĞÖ÷½Ç·¢ÊÎÕù°ÔÈü¶şÌ××°	20307218	1	2	PeiFang_5	50000	128
130	0	Å®Ö÷½ÇÍ··¢Õù°ÔÈüÒ»Ì××°.mesh	Å®Ö÷½Ç·¢ÊÎÕù°ÔÈüÒ»Ì××°.mesh	Viêm Dß½ng Phát	Å®Ö÷½ÇÍ··¢Õù°ÔÈüÒ»Ì××°	Å®Ö÷½Ç·¢ÊÎÕù°ÔÈüÒ»Ì××°	20307219	1	2	PeiFang_5	50000	131
131	1	ÄĞÖ÷½ÇÍ··¢Õù°ÔÈüÒ»Ì××°.mesh	ÄĞÖ÷½Ç·¢ÊÎÕù°ÔÈüÒ»Ì××°.mesh	Viêm Dß½ng Phát	ÄĞÖ÷½ÇÍ··¢Õù°ÔÈüÒ»Ì××°	ÄĞÖ÷½Ç·¢ÊÎÕù°ÔÈüÒ»Ì××°	20307219	1	2	PeiFang_5	50000	130
132	0	Å®Ö÷½ÇÍ··¢ÈıÍÃ¹²¶ú´º½ÚÌ××°.mesh	Å®Ö÷½Ç·¢ÊÎÈıÍÃ¹²¶ú´º½ÚÌ××°.mesh	Lßu Thái Phát	Å®Ö÷½ÇÍ··¢ÈıÍÃ¹²¶ú´º½ÚÌ××°	Å®Ö÷½Ç·¢ÊÎÈıÍÃ¹²¶ú´º½ÚÌ××°	20307220	1	2	PeiFang_5	50000	133
133	1	ÄĞÖ÷½ÇÍ··¢ÈıÍÃ¹²¶ú´º½ÚÌ××°.mesh	ÄĞÖ÷½Ç·¢ÊÎÈıÍÃ¹²¶ú´º½ÚÌ××°.mesh	Lßu Thái Phát	ÄĞÖ÷½ÇÍ··¢ÈıÍÃ¹²¶ú´º½ÚÌ××°	ÄĞÖ÷½Ç·¢ÊÎÈıÍÃ¹²¶ú´º½ÚÌ××°	20307220	1	2	PeiFang_5	50000	132
134	0	Å®Ö÷½ÇÍ··¢ĞåÇòÌ××°.mesh	Å®Ö÷½Ç·¢ÊÎĞåÇòÌ××°.mesh	Mê Ği®p Phát	Å®Ö÷½ÇÍ··¢ĞåÇòÌ××°	Å®Ö÷½Ç·¢ÊÎĞåÇòÌ××°	20307221	1	2	PeiFang_5	50000	135
135	1	ÄĞÖ÷½ÇÍ··¢ĞåÇòÌ××°.mesh	ÄĞÖ÷½Ç·¢ÊÎĞåÇòÌ××°.mesh	Mê Ği®p Phát	ÄĞÖ÷½ÇÍ··¢ĞåÇòÌ××°	ÄĞÖ÷½Ç·¢ÊÎĞåÇòÌ××°	20307221	1	2	PeiFang_5	50000	134
136	0	Å®Ö÷½ÇÍ··¢ÖÜÄêÇìÊ±×°ÌØÊâÉ«.mesh	Å®Ö÷½Ç·¢ÊÎÖÜÄêÇìÊ±×°ÌØÊâÉ«.mesh	Bi¬n mây Gian	Å®Ö÷½ÇÍ··¢ÖÜÄêÇìÊ±×°ÌØÊâÉ«	Å®Ö÷½Ç·¢ÊÎÖÜÄêÇìÊ±×°ÌØÊâÉ«	20307222	1	2	PeiFang_5	50000	137
137	1	ÄĞÖ÷½ÇÍ··¢ÖÜÄêÇìÊ±×°ÌØÊâÉ«.mesh	ÄĞÖ÷½Ç·¢ÊÎÖÜÄêÇìÊ±×°ÌØÊâÉ«.mesh	Bi¬n mây Gian	ÄĞÖ÷½ÇÍ··¢ÖÜÄêÇìÊ±×°ÌØÊâÉ«	ÄĞÖ÷½Ç·¢ÊÎÖÜÄêÇìÊ±×°ÌØÊâÉ«	20307222	1	2	PeiFang_5	50000	136
138	0	W_hair_2023xianlv.mesh	W_hair01_2023xianlv.mesh	Quyªn Læ Phát	W_hair_2023xianlv	W_hair01_2023xianlv	20307223	1	2	PeiFang_5	50000	139
139	1	M_hair_2023xianlv.mesh	M_hair01_2023xianlv.mesh	Quyªn Læ Phát	M_hair_2023xianlv	M_hair01_2023xianlv	20307223	1	2	PeiFang_5	50000	138
140	0	Å®Ö÷½ÇÍ··¢Îè¼§Ê±×°.mesh	Å®Ö÷½Ç·¢ÊÎÎè¼§Ê±×°.mesh	Trß¶ng Vû Phát	Å®Ö÷½ÇÍ··¢Îè¼§Ê±×°	Å®Ö÷½Ç·¢ÊÎÎè¼§Ê±×°	20307224	1	2	PeiFang_5	50000	141
141	1	ÄĞÖ÷½ÇÍ··¢ÇÙÊ¦Ê±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÇÙÊ¦Ê±×°.mesh	Trß¶ng Vû Phát	ÄĞÖ÷½ÇÍ··¢ÇÙÊ¦Ê±×°	ÄĞÖ÷½Ç·¢ÊÎÇÙÊ¦Ê±×°	20307224	1	2	PeiFang_5	50000	140
142	0	W_hair_2023wangyuyan.mesh	W_hair01_2023wangyuyan.mesh	Gió thu Phát	W_hair_2023wangyuyan	W_hair01_2023wangyuyan	20307225	1	2	PeiFang_5	50000	143
143	1	M_hair_2023duanyu.mesh	M_hair01_2023duanyu.mesh	Gió thu Phát	M_hair_2023duanyu	M_hair01_2023duanyu	20307225	1	2	PeiFang_5	50000	142
144	0	Å®Ö÷½ÇÍ··¢ÏÄÈÕÇåÁ¹Ê±×°.mesh	Å®Ö÷½Ç·¢ÊÎÏÄÈÕÇåÁ¹Ê±×°.mesh	Sß½ng tóc bÕc	Å®Ö÷½ÇÍ··¢ÏÄÈÕÇåÁ¹Ê±×°	Å®Ö÷½Ç·¢ÊÎÏÄÈÕÇåÁ¹Ê±×°	20307226	1	2	PeiFang_5	50000	145
145	1	ÄĞÖ÷½ÇÍ··¢ÏÄÈÕÇåÁ¹Ê±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÏÄÈÕÇåÁ¹Ê±×°.mesh	Sß½ng tóc bÕc	ÄĞÖ÷½ÇÍ··¢ÏÄÈÕÇåÁ¹Ê±×°	ÄĞÖ÷½Ç·¢ÊÎÏÄÈÕÇåÁ¹Ê±×°	20307226	1	2	PeiFang_5	50000	144
146	0	Å®Ö÷½ÇÍ··¢½á»éÊ±×°¸ß¼¶.mesh	Å®Ö÷½Ç·¢ÊÎ½á»éÊ±×°¸ß¼¶.mesh	Gia Minh Phát	Å®Ö÷½ÇÍ··¢½á»éÊ±×°¸ß¼¶	Å®Ö÷½Ç·¢ÊÎ½á»éÊ±×°¸ß¼¶	20307227	1	2	PeiFang_5	50000	147
147	1	ÄĞÖ÷½ÇÍ··¢½á»éÊ±×°¸ß¼¶.mesh	ÄĞÖ÷½Ç·¢ÊÎ½á»éÊ±×°¸ß¼¶.mesh	Gia Minh Phát	ÄĞÖ÷½ÇÍ··¢½á»éÊ±×°¸ß¼¶	ÄĞÖ÷½Ç·¢ÊÎ½á»éÊ±×°¸ß¼¶	20307227	1	2	PeiFang_5	50000	146
148	0	W_hair_2023fengqiuhuang.mesh	W_hair01_2023fengqiuhuang.mesh	ThuÏ Vân Phát	M_hair_2023fengqiuhuang	M_hair01_2023fengqiuhuang	20307228	1	2	PeiFang_5	50000	149
149	1	M_hair_2023fengqiuhuang.mesh	M_hair01_2023fengqiuhuang.mesh	ThuÏ Vân Phát	W_hair_2023fengqiuhuang	W_hair01_2023fengqiuhuang	20307228	1	2	PeiFang_5	50000	148
150	0	W_hair_2023xiaolongnv.mesh	W_hair01_2023xiaolongnv.mesh	Hi¬u nhau Phát	W_hair_2023xiaolongnv	W_hair01_2023xiaolongnv	20307229	1	2	PeiFang_5	50000	151
151	1	M_hair_2023yangguo.mesh	M_hair01_2023yangguo.mesh	Hi¬u nhau Phát	M_hair_2023yangguo	M_hair01_2023yangguo	20307229	1	2	PeiFang_5	50000	150
152	0	Å®Ö÷½ÇÍ··¢°µºÚÓ«¹âÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎ°µºÚÓ«¹âÊ±×°.mesh	Linh Nguy®t Phát	Å®Ö÷½ÇÍ··¢°µºÚÓ«¹âÊ±×°	Å®Ö÷½Ç·¢ÊÎ°µºÚÓ«¹âÊ±×°	20307230	1	2	PeiFang_5	50000	153
153	1	ÄĞÖ÷½ÇÍ··¢°µºÚÓ«¹âÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ°µºÚÓ«¹âÊ±×°.mesh	Linh Nguy®t Phát	ÄĞÖ÷½ÇÍ··¢°µºÚÓ«¹âÊ±×°	ÄĞÖ÷½Ç·¢ÊÎ°µºÚÓ«¹âÊ±×°	20307230	1	2	PeiFang_5	50000	152
154	0	W_hair_2023huangrong.mesh	W_hair01_2023huangrong.mesh	H°i Ñc Phát	W_hair_2023huangrong	W_hair01_2023huangrong	20307231	1	2	PeiFang_5	50000	155
155	1	M_hair_2023guojing.mesh	M_hair01_2023guojing.mesh	H°i Ñc Phát	M_hair_2023guojing	M_hair01_2023guojing	20307231	1	2	PeiFang_5	50000	154
156	0	W_hair_2023jianianhua.mesh	W_hair01_2023jianianhua.mesh	Tß½ng Tuı Phát	W_hair_2023jianianhua	W_hair01_2023jianianhua	20307233	1	2	PeiFang_5	50000	157
157	1	M_hair_2023jianianhua.mesh	M_hair01_2023jianianhua.mesh	Tß½ng Tuı Phát	M_hair_2023jianianhua	M_hair01_2023jianianhua	20307233	1	2	PeiFang_5	50000	156
158	0	W_hair_2023jianianhua01.mesh	W_hair01_2023jianianhua01.mesh	M½ mµng Phát	W_hair_2023jianianhua01	W_hair01_2023jianianhua01	20307232	1	2	PeiFang_5	50000	159
159	1	M_hair_2023jianianhua01.mesh	M_hair01_2023jianianhua01.mesh	M½ mµng Phát	M_hair_2023jianianhua01	M_hair01_2023jianianhua01	20307232	1	2	PeiFang_5	50000	158
160	0	Å®Ö÷½ÇÍ··¢Ê¥µ®½ÚÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎÊ¥µ®½ÚÊ±×°.mesh	Linh Lµc Phát	Å®Ö÷½ÇÍ··¢Ê¥µ®½ÚÊ±×°	Å®Ö÷½Ç·¢ÊÎÊ¥µ®½ÚÊ±×°	20307235	1	2	PeiFang_5	50000	161
161	1	ÄĞÖ÷½ÇÍ··¢Ê¥µ®½ÚÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÊ¥µ®½ÚÊ±×°.mesh	Linh Lµc Phát	ÄĞÖ÷½ÇÍ··¢Ê¥µ®½ÚÊ±×°	ÄĞÖ÷½Ç·¢ÊÎÊ¥µ®½ÚÊ±×°	20307235	1	2	PeiFang_5	50000	160
162	0	Å®Ö÷½ÇÍ··¢ÖÜÄêÇì÷è÷ëÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎÖÜÄêÇì÷è÷ëÊ±×°¸ß¼¶.mesh	T¥n Di®t Phát	Å®Ö÷½ÇÍ··¢ÖÜÄêÇì÷è÷ëÊ±×°	Å®Ö÷½Ç·¢ÊÎÖÜÄêÇì÷è÷ëÊ±×°¸ß¼¶	20307234	1	2	PeiFang_5	50000	163
163	1	ÄĞÖ÷½ÇÍ··¢ÖÜÄêÇì÷è÷ëÊ±×°.mesh		T¥n Di®t Phát	ÄĞÖ÷½ÇÍ··¢ÖÜÄêÇì÷è÷ëÊ±×°		20307234	1	2	PeiFang_5	50000	162
164	0	W_hair_2023½õÀğ»¨µÆ.mesh	W_hair01_2023½õÀğ»¨µÆ.mesh	C¦m S¡c Phát	W_hair_2023½õÀğ»¨µÆ	W_hair01_2023½õÀğ»¨µÆ	20307236	1	2	PeiFang_5	50000	165
165	1	M_hair_2023½õÀğ»¨µÆ.mesh	M_hair01_2023½õÀğ»¨µÆ.mesh	C¦m S¡c Phát	M_hair_2023½õÀğ»¨µÆ	M_hair01_2023½õÀğ»¨µÆ	20307236	1	2	PeiFang_5	50000	164
166	0	Å®Ö÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°.mesh	Thính Hi¬u Phát	Å®Ö÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°	Å®Ö÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°	20307237	1	2	PeiFang_5	50000	167
167	1	ÄĞÖ÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°.mesh	Thính Hi¬u Phát	ÄĞÖ÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°	ÄĞÖ÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°	20307237	1	2	PeiFang_5	50000	166
168	0	W_hair_2023ÁúÄêÂíÃæÈ¹01.mesh	W_hair01_2023ÁúÄêÂíÃæÈ¹01.mesh	Hà Quan Phát	W_hair_2023ÁúÄêÂíÃæÈ¹01	W_hair01_2023ÁúÄêÂíÃæÈ¹01	20307239	1	2	PeiFang_5	50000	169
169	1	M_hair_2023ÁúÄêÂíÃæÈ¹01.mesh	M_hair01_2023ÁúÄêÂíÃæÈ¹01.mesh	Hà Quan Phát	M_hair_2023ÁúÄêÂíÃæÈ¹01	M_hair01_2023ÁúÄêÂíÃæÈ¹01	20307239	1	2	PeiFang_5	50000	168
170	0	W_hair_2023ÁúÄêÂíÃæÈ¹.mesh	W_hair01_2023ÁúÄêÂíÃæÈ¹.mesh	Dß ğ¥u bÕc	W_hair_2023ÁúÄêÂíÃæÈ¹	W_hair01_2023ÁúÄêÂíÃæÈ¹	20307240	1	2	PeiFang_5	50000	171
171	1	M_hair_2023ÁúÄêÂíÃæÈ¹.mesh	M_hair01_2023ÁúÄêÂíÃæÈ¹.mesh	Dß ğ¥u bÕc	M_hair_2023ÁúÄêÂíÃæÈ¹	M_hair01_2023ÁúÄêÂíÃæÈ¹	20307240	1	2	PeiFang_5	50000	170
172	0	W_hair_2023jingji.mesh	W_hair01_2023jingji.mesh	U Ngæ Phát	W_hair_2023jingji	W_hair01_2023jingji	20307238	1	2	PeiFang_5	50000	173
173	1	M_hair_2023jingji.mesh	M_hair01_2023jingji.mesh	U Ngæ Phát	M_hair_2023jingji	M_hair01_2023jingji	20307238	1	2	PeiFang_5	50000	172
174	0	W_hair_2023jingji06.mesh	W_hair01_2023jingji06.mesh	Tuyªt Ng÷c Phát	W_hair_2023jingji06	W_hair01_2023jingji06	20307241	1	2	PeiFang_5	50000	175
175	1	M_hair_2023jingji06.mesh	M_hair01_2023jingji06.mesh	Tuyªt Ng÷c Phát	M_hair_2023jingji06	M_hair01_2023jingji06	20307241	1	2	PeiFang_5	50000	174
176	0	Å®Ö÷½ÇÍ··¢°×ÁúÍò×ÏÇ§ºìÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎ°×ÁúÍò×ÏÇ§ºìÊ±×°.mesh	Tàng Vân Phát	Å®Ö÷½ÇÍ··¢°×ÁúÍò×ÏÇ§ºìÊ±×°	Å®Ö÷½Ç·¢ÊÎ°×ÁúÍò×ÏÇ§ºìÊ±×°	20307242	1	2	PeiFang_5	50000	177
177	1	ÄĞÖ÷½ÇÍ··¢°×ÁúÍò×ÏÇ§ºìÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ°×ÁúÍò×ÏÇ§ºìÊ±×°.mesh	Tàng Vân Phát	ÄĞÖ÷½ÇÍ··¢°×ÁúÍò×ÏÇ§ºìÊ±×°	ÄĞÖ÷½Ç·¢ÊÎ°×ÁúÍò×ÏÇ§ºìÊ±×°	20307242	1	2	PeiFang_5	50000	176
178	0	Å®Ö÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°01.mesh	Å®Ö÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°01.mesh	Ngü say mµng ğ©p Phát	Å®Ö÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°01	Å®Ö÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°01	20307244	1	2	PeiFang_5	50000	179
179	1	ÄĞÖ÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°01.mesh	ÄĞÖ÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°01.mesh	Ngü say mµng ğ©p Phát	ÄĞÖ÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°01	ÄĞÖ÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°01	20307244	1	2	PeiFang_5	50000	178
180	0	Å®Ö÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°.mesh	Thª Mô Phát	Å®Ö÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°	Å®Ö÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°	20307243	1	0	PeiFang_5	50000	181
181	1	ÄĞÖ÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°.mesh	Thª Mô Phát	ÄĞÖ÷½ÇÍ··¢°×ĞÇÕù°ÔÈüÊ±×°	ÄĞÖ÷½Ç·¢ÊÎ°×ĞÇÕù°ÔÈüÊ±×°	20307243	1	0	PeiFang_5	50000	180
182	0	Å®Ö÷½ÇÍ··¢ÓãÅ®Ê±×°.mesh	Å®Ö÷½Ç·¢ÊÎÓãÅ®Ê±×°.mesh	H° Quang Phát	Å®Ö÷½ÇÍ··¢ÓãÅ®Ê±×°	Å®Ö÷½Ç·¢ÊÎÓãÅ®Ê±×°	20307245	1	0	PeiFang_5	50000	183
183	1	ÄĞÖ÷½ÇÍ··¢ÓãÄĞÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÓãÄĞÊ±×°.mesh	H° Quang Phát	ÄĞÖ÷½ÇÍ··¢ÓãÄĞÊ±×°	ÄĞÖ÷½Ç·¢ÊÎÓãÄĞÊ±×°	20307245	1	0	PeiFang_5	50000	182
184	0	Å®Ö÷½Ç¹¤³Ì±äÉíÊ±×°Í··¢.mesh		Che m£t Phát	ÄĞÖ÷½Ç¹¤³Ì±äÉíÊ±×°Í··¢		20307246	1	2	PeiFang_5	50000	185
185	1	ÄĞÖ÷½Ç¹¤³Ì±äÉíÊ±×°Í··¢.mesh		Che m£t Phát	ÄĞÖ÷½Ç¹¤³Ì±äÉíÊ±×°Í··¢		20307246	1	2	PeiFang_5	50000	184
186	0	W_hair_2024Ê«¾Æ½­ºş.mesh	W_hair01_2024Ê«¾Æ½­ºş.mesh	Giäi s¥u Phát	W_hair_2024Ê«¾Æ½­ºş	W_hair01_2024Ê«¾Æ½­ºş	20307247	1	2	PeiFang_5	50000	187
187	1	M_hair_2024Ê«¾Æ½­ºş.mesh	M_hair01_2024Ê«¾Æ½­ºş.mesh	Giäi s¥u Phát	M_hair_2024Ê«¾Æ½­ºş	M_hair01_2024Ê«¾Æ½­ºş	20307247	1	2	PeiFang_5	50000	186
188	0	Å®Ö÷½ÇÍ··¢ÖĞ»ªÎåÉ«Ê±×°.mesh	Å®Ö÷½Ç·¢ÊÎÖĞ»ªÎåÉ«Ê±×°.mesh	Minh Chiêu Phát	Å®Ö÷½ÇÍ··¢ÖĞ»ªÎåÉ«Ê±×°	Å®Ö÷½Ç·¢ÊÎÖĞ»ªÎåÉ«Ê±×°	20307248	1	2	PeiFang_5	50000	189
189	1	ÄĞÖ÷½ÇÍ··¢ÖĞ»ªÎåÉ«Ê±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÖĞ»ªÎåÉ«Ê±×°.mesh	Minh Chiêu Phát	ÄĞÖ÷½ÇÍ··¢ÖĞ»ªÎåÉ«Ê±×°	ÄĞÖ÷½Ç·¢ÊÎÖĞ»ªÎåÉ«Ê±×°	20307248	1	2	PeiFang_5	50000	188
190	0	Å®Ö÷½ÇÍ··¢ÒìÓòÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎÒìÓòÊ±×°.mesh	Sóc DÕ Phát	Å®Ö÷½ÇÍ··¢ÒìÓòÊ±×°	Å®Ö÷½Ç·¢ÊÎÒìÓòÊ±×°	20307249	1	2	PeiFang_5	50000	191
191	1	ÄĞÖ÷½ÇÍ··¢ÒìÓòÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÒìÓòÊ±×°.mesh	Sóc DÕ Phát	ÄĞÖ÷½ÇÍ··¢ÒìÓòÊ±×°	ÄĞÖ÷½Ç·¢ÊÎÒìÓòÊ±×°	20307249	1	2	PeiFang_5	50000	190
192	0	Å®Ö÷½ÇÍ··¢°×ÁúÍò×ÏÇ§ºìÊ±×°01.mesh	Å®Ö÷½Ç·¢ÊÎ°×ÁúÍò×ÏÇ§ºìÊ±×°01.mesh	Mßa r½i Phát	Å®Ö÷½ÇÍ··¢°×ÁúÍò×ÏÇ§ºìÊ±×°01	Å®Ö÷½Ç·¢ÊÎ°×ÁúÍò×ÏÇ§ºìÊ±×°01	20307250	1	2	PeiFang_5	50000	193
