INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING
612	0	1312	36	98	0	0	1	Ð¸a Hoä Ðäo Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	Dung nham äo th¸-Ð¸a Hoä Ðäo
613	0	1314	219	61	0	0	0		Dung nham äo th¸-Thanh H° äo th¸
614	0	1315	74	40	0	0	0		Dung nham äo th¸-r×ng r§m äo th¸
615	0	1314	90	63	0	0	0		Tr¥m Nguy®t Ðäo-Thanh H° äo th¸
616	0	1313	228	206	0	0	0		Tr¥m Nguy®t Ðäo-Ph°n Lâm Ðäo
617	0	1312	208	51	0	0	0		Tr¥m Nguy®t Ðäo-Ð¸a Hoä Ðäo
618	0	1316	95	188	0	0	0		Ð¸a Hoä Ðäo-dung nham äo th¸
619	0	1313	140	51	0	0	0		Ð¸a Hoä Ðäo-Ph°n Lâm Ðäo
620	0	1311	170	32	0	0	0		Ð¸a Hoä Ðäo-Tr¥m Nguy®t Ðäo
621	0	1315	161	47	0	0	0		Ph°n Lâm Ðäo-r×ng r§m äo th¸
622	0	1312	47	136	0	0	0		Ph°n Lâm Ðäo-Ð¸a Hoä Ðäo
623	0	1311	78	210	0	0	0		Ph°n Lâm Ðäo-Tr¥m Nguy®t Ðäo
624	998568	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 1-Tr¥m Nguy®t C± Ðáp T¥ng 2
625	998568	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 2-Tr¥m Nguy®t C± Ðáp T¥ng 3
626	998568	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 3-Tr¥m Nguy®t C± Ðáp T¥ng 4
627	998569	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 1-Tr¥m Nguy®t C± Ðáp T¥ng 2
628	998569	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 2-Tr¥m Nguy®t C± Ðáp T¥ng 3
629	998569	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 3-Tr¥m Nguy®t C± Ðáp T¥ng 4
630	998568	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 1-Ð¸a Hoä C± Ðáp T¥ng 2
631	998568	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 2-Ð¸a Hoä C± Ðáp T¥ng 3
632	998568	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 3-Ð¸a Hoä C± Ðáp T¥ng 4
633	998569	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 1-Ð¸a Hoä C± Ðáp T¥ng 2
634	998569	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 2-Ð¸a Hoä C± Ðáp T¥ng 3
635	998569	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 3-Ð¸a Hoä C± Ðáp T¥ng 4
636	998568	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 1-Ph°n Lâm C± Ðáp T¥ng 2
637	998568	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 2-Ph°n Lâm C± Ðáp T¥ng 3
638	998568	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 3-Ph°n Lâm C± Ðáp T¥ng 4
639	998569	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 1-Ph°n Lâm C± Ðáp T¥ng 2
640	998569	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 2-Ph°n Lâm C± Ðáp T¥ng 3
641	998569	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 3-Ph°n Lâm C± Ðáp T¥ng 4
642	998568	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 2-Toä Long C± Ðáp T¥ng 3
643	998568	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 3-Toä Long C± Ðáp T¥ng 4
644	998569	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 2-Toä Long C± Ðáp T¥ng 3
645	998569	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 3-Toä Long C± Ðáp T¥ng 4
646	998570	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 2-Tr¥m Nguy®t C± Ðáp T¥ng 1
647	998570	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 3-Tr¥m Nguy®t C± Ðáp T¥ng 2
648	998570	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 4-Tr¥m Nguy®t C± Ðáp T¥ng 3
649	998571	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 2-Tr¥m Nguy®t C± Ðáp T¥ng 1
650	998571	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 3-Tr¥m Nguy®t C± Ðáp T¥ng 2
651	998571	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 4-Tr¥m Nguy®t C± Ðáp T¥ng 3
652	998570	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 2-Ð¸a Hoä C± Ðáp T¥ng 1
653	998570	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 3-Ð¸a Hoä C± Ðáp T¥ng 2
654	998570	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 4-Ð¸a Hoä C± Ðáp T¥ng 3
655	998571	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 2-Ð¸a Hoä C± Ðáp T¥ng 1
656	998571	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 3-Ð¸a Hoä C± Ðáp T¥ng 2
657	998571	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 4-Ð¸a Hoä C± Ðáp T¥ng 3
658	998570	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 2-Ph°n Lâm C± Ðáp T¥ng 1
659	998570	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 3-Ph°n Lâm C± Ðáp T¥ng 2
660	998570	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 4-Ph°n Lâm C± Ðáp T¥ng 3
661	998571	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 2-Ph°n Lâm C± Ðáp T¥ng 1
662	998571	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 3-Ph°n Lâm C± Ðáp T¥ng 2
663	998571	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 4-Ph°n Lâm C± Ðáp T¥ng 3
664	998570	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 3-Toä Long C± Ðáp T¥ng 2
665	998570	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 4-Toä Long C± Ðáp T¥ng 3
666	998571	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 3-Toä Long C± Ðáp T¥ng 2
667	998571	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 4-Toä Long C± Ðáp T¥ng 3
668	0	0	199	200	0	0	0		Thanh H° äo th¸-LÕc Dß½ng
669	0	0	199	200	0	0	0		R×ng r§m äo th¸-LÕc Dß½ng
670	0	0	199	200	0	0	0		Dung nham äo th¸-LÕc Dß½ng
671	998568	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 1-Toä Long C± Ðáp T¥ng 2
672	998569	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 1-Toä Long C± Ðáp T¥ng 2
673	998570	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 2-Toä Long C± Ðáp T¥ng 1
674	998571	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 2-Toä Long C± Ðáp T¥ng 1
675	810162	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 3-Ð¸a Hoä C± Ðáp T¥ng 4
676	810163	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 3-Ð¸a Hoä C± Ðáp T¥ng 4
677	810160	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 4-Ð¸a Hoä C± Ðáp T¥ng 3
678	810161	0	0	0	0	0	0		Ð¸a Hoä C± Ðáp T¥ng 4-Ð¸a Hoä C± Ðáp T¥ng 3
679	810162	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 3-Ph°n Lâm C± Ðáp T¥ng 4
680	810163	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 3-Ph°n Lâm C± Ðáp T¥ng 4
681	810160	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 4-Ph°n Lâm C± Ðáp T¥ng 3
682	810161	0	0	0	0	0	0		Ph°n Lâm C± Ðáp T¥ng 4-Ph°n Lâm C± Ðáp T¥ng 3
683	810162	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 3-Tr¥m Nguy®t C± Ðáp T¥ng 4
684	810163	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 3-Tr¥m Nguy®t C± Ðáp T¥ng 4
685	810160	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 4-Tr¥m Nguy®t C± Ðáp T¥ng 3
686	810161	0	0	0	0	0	0		Tr¥m Nguy®t C± Ðáp T¥ng 4-Tr¥m Nguy®t C± Ðáp T¥ng 3
687	810162	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 2-Toä Long C± Ðáp T¥ng 3
688	810162	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 3-Toä Long C± Ðáp T¥ng 4
689	810163	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 2-Toä Long C± Ðáp T¥ng 3
690	810163	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 3-Toä Long C± Ðáp T¥ng 4
691	810160	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 3-Toä Long C± Ðáp T¥ng 2
692	810160	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 4-Toä Long C± Ðáp T¥ng 3
693	810161	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 3-Toä Long C± Ðáp T¥ng 2
694	810161	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 4-Toä Long C± Ðáp T¥ng 3
695	810162	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 1-Toä Long C± Ðáp T¥ng 2
696	810163	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 1-Toä Long C± Ðáp T¥ng 2
697	810160	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 2-Toä Long C± Ðáp T¥ng 1
698	810161	0	0	0	0	0	0		Toä Long C± Ðáp T¥ng 2-Toä Long C± Ðáp T¥ng 1
699	0	1320	163	154	0	0	0		Thúy Vân S½n-Thüy Liêm Ðµng
700	0	1321	192	48	0	0	0		Thúy Vân S½n-Vînh Ninh Thành
701	0	1319	83	64	0	0	0		Thüy Liêm Ðµng-Thúy Vân S½n
702	0	1321	59	63	0	0	0		Thüy Liêm Ðµng-Vînh Ninh Thành
703	0	1319	51	206	0	0	0		Vînh Ninh Thành-Thúy Vân S½n
704	0	1320	42	164	0	0	0		Vînh Ninh Thành-Thüy Liêm Ðµng
705	999386	0	0	0	0	0	0		Môn phái sß môn chiªm døng
706	0	7	49	194	10	0	0		Ác Nhân C¯c-Kiªm Các
707	0	1322	57	207	0	0	0		Kiªm Các-Ác Nhân C¯c
708	0	1322	192	155	0	0	0		Ác Nhân C¯c(bän sao)-Ác Nhân C¯c
709	893300	0	0	0	0	0	0		Ác Nhân C¯c(ðánh lén môn phái bän sao)
710	0	1349	222	193	65	0	0		Dung nham äo th¸-Côn Ngô
711	0	1316	132	64	65	0	0		Côn Ngô-dung nham äo th¸
712	0	1349	227	43	0	0	0		Khê Thßþng Liên S½n-Côn Ngô
713	0	1349	118	105	0	0	0		Khai Ngµ trong lúc ðó-Côn Ngô
714	0	1349	118	105	0	0	0		M¶ äo Phù Khâu-Côn Ngô
715	0	1349	118	105	0	0	0		D¸ Hoang C± Tích-Côn Ngô
716	0	1352	387	376	0	0	0		TØ C¤m Thành-TØ C¤m Thành trên l¥u
717	0	1352	383	369	0	0	0		TØ C¤m Thành trên l¥u-TØ C¤m Thành
718	999752	0	0	0	0	0	0		Thú Huy®t PVP-Trß¶ng NgoÕi
719	0	1365	68	148	0	0	2	Nhçm hay không xác nh§n r¶i ði ðình giæa h°?	Ðình giæa h°-Thª ngoÕi nhân Gian
720	820077	0	0	0	0	0	0		Thông Thiên Ðáp Ð¸a Cung-Thông Thiên Ðáp 1T¢ng
721	820081	0	0	0	0	0	0		Thông Thiên Ðáp 1T¢ng-Thông Thiên Ðáp Ð¸a Cung
722	820078	0	0	0	0	0	0		Thông Thiên Ðáp 1T¢ng-Thông Thiên Ðáp 2T¢ng
723	820082	0	0	0	0	0	0		Thông Thiên Ðáp 2T¢ng-Thông Thiên Ðáp 1T¢ng
724	820079	0	0	0	0	0	0		Thông Thiên Ðáp 2T¢ng-Thông Thiên Ðáp 3T¢ng
725	820083	0	0	0	0	0	0		Thông Thiên Ðáp 3T¢ng-Thông Thiên Ðáp 2T¢ng
726	820080	0	0	0	0	0	0		Thông Thiên Ðáp 3T¢ng-Thông Thiên Ðáp Ðáp Ðïnh
727	820084	0	0	0	0	0	0		Thông Thiên Ðáp Ðáp Ðïnh-Thông Thiên Ðáp 3T¢ng
728	999829	0	0	0	0	0	0		Bí Cänh-dã ngoÕi
