INT	INT	INT	STRING	INT	STRING	STRING
120	-1	15	秦皇之魄	80	#Y[秦皇之魄]	#Y[秦皇之魄]#r#G秦皇地宫#r82级Boss#ccc33cc#r掉落：#W#r行囊格箱#r药方图样#r武器装备#r发型图#r打孔材料
121	-1	16	护岛神兽	88	#Y[护岛神兽]	#Y[护岛神兽]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤#r珍兽技能书#r药品#r灵兽丹·咒#r灵兽丹·震#r灵兽丹·虚#r灵兽丹·风#r珍兽幻化丹碎片
122	-1	16	无敌飞天猫	89	#Y[无敌飞天猫]	#Y[无敌飞天猫]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤#r珍兽技能书#r药品#r灵兽丹·咒#r灵兽丹·震#r灵兽丹·虚#r灵兽丹·风#r珍兽幻化丹碎片
123	-1	16	小猪猪	90	#Y[小猪猪]	#Y[小猪猪]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤
124	-1	16	小狗狗	91	#Y[小狗狗]	#Y[小狗狗]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤
125	-1	16	小鹰鹰	92	#Y[小鹰鹰]	#Y[小鹰鹰]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤
126	-1	16	小虎虎	93	#Y[小虎虎]	#Y[小虎虎]#r#G天降奇兽副本#r85级Boss#r等级达到85级，心法满足50级的玩家，于每日13：30--14：00、18：30--19:30以及21：45--22：15可组队到楼兰城，找到千年奇兽雷麟或雏凤，参加活动挑战。#ccc33cc#r掉落：#W#r珍兽蛋：雷麟#r珍兽蛋：雏凤
127	-1	17	镇宝龙王	94	#Y[镇宝龙王]	#Y[镇宝龙王]#r#G楼兰寻宝副本#r75级以上，心法40级。每天的11：30-14：30以及19：30—22：00组队找到楼兰的金久灵[162，75]参加挑战。#ccc33cc#r掉落：#W#r秘银矿石#r珍兽还童卷轴#r药品#r鉴定卷轴#r怪物相册#r奇物#r神亦石#r灵魂碎片
128	-1	18	王阎	95	#Y[王阎]	#Y[王阎]#r#G楼兰连环副本#r75级、45心法可击杀Boss#ccc33cc#r掉落：#W#r药品#r烹饪#r行囊格箱#r配方食谱#r玄昊玉#r黄金之链（任务道具）#r忆魂石
129	-1	18	洪棘妖王	96	#Y[洪棘妖王]	#Y[洪棘妖王]#r#G楼兰连环副本#r75级、45心法可击杀Boss#ccc33cc#r掉落：#W#r药品#r烹饪#r行囊格箱#r配方食谱#r玄昊玉#r玄佛珠（任务道具）#r忆魂石
130	-1	18	火焰妖魔	97	#Y[火焰妖魔]	#Y[火焰妖魔]#r#G楼兰连环副本#r75级、45心法可击杀Boss#ccc33cc#r掉落：#W#r药品#r烹饪#r行囊格箱#r配方食谱#r玄昊玉#r全真行功要诀#r新莽神符#r忆魂石#r回天神石#r金蚕丝
131	-1	19	搬山道人	121	#Y[搬山道人]	#Y[搬山道人]#r#G凤凰陵墓#r由40级以上的凤凰古城争夺战胜利者带队可击杀#ccc33cc#r掉落：#W#r鉴定卷轴#r1级宝石#r低级宝石合成符#r武器装备#r灵魂碎片#r麟木箭#r60级以上搬山道人掉落武魂：御瑶盘#r60级以上搬山道人掉落武魂：琉璃焰#r80级门派坐骑#r80-89级搬山道人掉落神兵符1级#r90-99级搬山道人掉落神兵符2级#r100-119级搬山道人掉落神兵符3级
132	-1	20	天魁星宋姜	101	#Y[天魁星宋姜]	#Y[天魁星宋姜]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉
133	-1	20	天罡星卢君逸	102	#Y[天罡星卢君逸]	#Y[天罡星卢君逸]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉
134	-1	20	天机星吴永	103	#Y[天机星吴永]	#Y[天机星吴永]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉
135	-1	20	天杀星李魁	104	#Y[天杀星李魁]	#Y[天杀星李魁]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉
136	-1	20	天闲星公孙圣	105	#Y[天闲星公孙圣]	#Y[天闲星公孙圣]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉
137	-1	20	天勇星关盛	106	#Y[天勇星关盛]	#Y[天勇星关盛]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉
138	-1	20	天雄星林充	107	#Y[天雄星林充]	#Y[天雄星林充]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉
139	-1	20	天猛星秦冥	108	#Y[天猛星秦冥]	#Y[天猛星秦冥]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉
140	-1	20	天英星花容	109	#Y[天英星花容]	#Y[天英星花容]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉
141	-1	20	天伤星武颂	110	#Y[天伤星武颂]	#Y[天伤星武颂]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉
142	-1	20	天孤星鲁志生	111	#Y[天孤星鲁志生]	#Y[天孤星鲁志生]#r#G杀星#r70级以上组队挑战副本，完成任务后有几率获得武魂延寿丹。#ccc33cc#r掉落：#W#r奇物#r75级珍兽装备#r魂冰珠（1级）#r雕纹蚀刻溶剂#r熔金粉
143	-1	26	工魂影像	59	#Y[工魂影像]	#Y[工魂影像]#r#G摩崖洞#r40级Boss#ccc33cc#r掉落：#W#r宝石#r40-50级门派套装
144	-1	26	企鹅王	42	#Y[企鹅王]	#Y[企鹅王]#r#G银皑雪原#r80级Boss#ccc33cc#r掉落：#W#r行囊格箱#r门派套装#r蒲扇#r宫扇#r鉴定卷轴#r万灵石#r雪落无痕#r新莽神符
145	-1	26	木桶伯	23	#Y[木桶伯]	#Y[木桶伯]#r#G宝藏洞#r30级Boss#ccc33cc#r掉落：#W#r药品#r武器装备#r行囊格箱#r打孔工具#r地煞强化精华#r天龙666财富卡#r新莽神符1级
146	-1	26	护宝神兽	22	#Y[护宝神兽]	#Y[护宝神兽]#r#G宝藏洞#r18~27级Boss#ccc33cc#r掉落：#W#r药品#r行囊格箱#r武器装备#r打孔材料
147	-1	26	夺宝马贼	48	#Y[夺宝马贼]	#Y[夺宝马贼]#r#G挖宝随机放出#r可组队挑战#ccc33cc#r掉落：#W#r行囊格箱#r武器装备#r珍兽技能书#r时装制作图样#r1级宝石
148	-1	22	十三	122	#Y[十三]	#Y[十三]#r#G水月山庄#r80级以上组队挑战副本#ccc33cc#r掉落：#W#r绘金尘#r琉璃金盏·残篇#r灵玑瑶盘·残篇#r沧海游鳞·残篇#r凤舞沙华·残篇#r玄莲道影·残篇#r九幽鸩鼎·残篇
149	-1	22	梵无救	123	#Y[梵无救]	#Y[梵无救]#r#G水月山庄#r80级以上组队挑战副本#ccc33cc#r掉落：#W#r绘金尘#r琉璃金盏·残篇#r灵玑瑶盘·残篇#r沧海游鳞·残篇#r凤舞沙华·残篇#r玄莲道影·残篇#r九幽鸩鼎·残篇
150	-1	22	阿莺	124	#Y[阿莺]	#Y[阿莺]#r#G水月山庄#r80级以上组队挑战副本#ccc33cc#r掉落：#W#r绘金尘#r琉璃金盏·残篇#r灵玑瑶盘·残篇#r沧海游鳞·残篇#r凤舞沙华·残篇#r玄莲道影·残篇#r九幽鸩鼎·残篇
151	-1	22	耶律泓佑	125	#Y[耶律泓佑]	#Y[耶律泓佑]#r#G水月山庄#r80级以上组队挑战副本#ccc33cc#r掉落：#W#r绘金尘#r琉璃金盏·残篇#r灵玑瑶盘·残篇#r沧海游鳞·残篇#r凤舞沙华·残篇#r玄莲道影·残篇#r九幽鸩鼎·残篇
152	-1	25	失控的青龙兽魂	126	#Y[失控的青龙兽魂]	#Y[失控的青龙兽魂]#r#G玄武岛·镜#r100级BOSS#ccc33cc#r掉落#W#r青龙魂玉#r魂尘
153	-1	25	失控的白虎兽魂	127	#Y[失控的白虎兽魂]	#Y[失控的白虎兽魂]#r#G玄武岛·镜#r100级BOSS#ccc33cc#r掉落#W#r白虎魂玉#r魂尘
154	-1	25	失控的朱雀兽魂	128	#Y[失控的朱雀兽魂]	#Y[失控的朱雀兽魂]#r#G玄武岛·镜#r100级BOSS#ccc33cc#r掉落#W#r朱雀魂玉#r魂尘
155	-1	25	失控的玄武兽魂	129	#Y[失控的玄武兽魂]	#Y[失控的玄武兽魂]#r#G玄武岛·镜#r100级BOSS#ccc33cc#r掉落#W#r玄武魂玉#r魂尘
156	-1	25	失控的九尾兽魂	130	#Y[失控的九尾兽魂]	#Y[失控的九尾兽魂]#r#G玄武岛·镜#r100级BOSS#ccc33cc#r掉落#W#r九尾魂玉#r魂尘
157	-1	25	异变的青龙兽魂	145	#Y[异变的青龙兽魂]	#Y[异变的青龙兽魂]#r#G玄武岛·镜#r95级BOSS#ccc33cc#r掉落#W#r青龙魂玉
158	-1	25	异变的白虎兽魂	146	#Y[异变的白虎兽魂]	#Y[异变的白虎兽魂]#r#G玄武岛·镜#r95级BOSS#ccc33cc#r掉落#W#r白虎魂玉
159	-1	25	异变的朱雀兽魂	147	#Y[异变的朱雀兽魂]	#Y[异变的朱雀兽魂]#r#G玄武岛·镜#r95级BOSS#ccc33cc#r掉落#W#r朱雀魂玉
160	-1	25	异变的玄武兽魂	148	#Y[异变的玄武兽魂]	#Y[异变的玄武兽魂]#r#G玄武岛·镜#r95级BOSS#ccc33cc#r掉落#W#r玄武魂玉
161	-1	25	异变的九尾兽魂	149	#Y[异变的九尾兽魂]	#Y[异变的九尾兽魂]#r#G玄武岛·镜#r95级BOSS#ccc33cc#r掉落#W#r九尾魂玉
162	-1	25	异变的锦麟兽魂	131	#Y[异变的锦麟兽魂]	#Y[异变的锦鳞兽魂]#r#G玄武岛·镜#r90级BOSS#ccc33cc#r掉落#W#r锦鳞魂玉
163	-1	25	异变的幻蝶兽魂	132	#Y[异变的幻蝶兽魂]	#Y[异变的幻蝶兽魂]#r#G玄武岛·镜#r90级BOSS#ccc33cc#r掉落#W#r幻蝶魂玉
164	-1	25	异变的霜鹤兽魂	133	#Y[异变的霜鹤兽魂]	#Y[异变的霜鹤兽魂]#r#G玄武岛·镜#r90级BOSS#ccc33cc#r掉落#W#r霜鹤魂玉
165	-1	25	异变的金乌兽魂	134	#Y[异变的金乌兽魂]	#Y[异变的金乌兽魂]#r#G玄武岛·镜#r90级BOSS#ccc33cc#r掉落#W#r金乌魂玉
166	-1	25	异变的鹿蜀兽魂	135	#Y[异变的鹿蜀兽魂]	#Y[异变的鹿蜀兽魂]#r#G玄武岛·镜#r90级BOSS#ccc33cc#r掉落#W#r鹿蜀魂玉
167	-1	25	失控的护岛神兽	144	#Y[失控的护岛神兽]	#Y[失控的护岛神兽]#r#G玄武岛·镜#r85级BOSS#ccc33cc#r掉落#W#r鹿蜀魂玉#r赤熊魂玉#r白驹魂玉#r灵蝉魂玉#r苍狼魂玉#r飞羚魂玉
168	-1	23	云卷舒	136	#Y[云卷舒]	#Y[云卷舒]#r#G青丘试炼#r85级以上挑战副本#ccc33cc#r掉落：#W#r魂神之卷#r升魂丹#r青龙魂玉#r玄武魂玉#r白虎魂玉#r朱雀魂玉#r九尾魂玉#r锦鳞魂玉#r幻蝶魂玉#r霜鹤魂玉#r金乌魂玉#r鹿蜀魂玉#r赤熊魂玉#r白驹魂玉#r灵蝉魂玉#r苍狼魂玉#r飞羚魂玉#r淬魂髓#r淬魂液#r淬魂水
169	-1	23	逸	137	#Y[逸]	#Y[逸]#r#G青丘试炼#r85级以上挑战副本#ccc33cc#r掉落：#W#r魂神之卷#r升魂丹#r青龙魂玉#r玄武魂玉#r白虎魂玉#r朱雀魂玉#r九尾魂玉#r锦鳞魂玉#r幻蝶魂玉#r霜鹤魂玉#r金乌魂玉#r鹿蜀魂玉#r赤熊魂玉#r白驹魂玉#r灵蝉魂玉#r苍狼魂玉#r飞羚魂玉#r淬魂髓#r淬魂液#r淬魂水
170	-1	23	艾虎	138	#Y[艾虎]	#Y[艾虎]#r#G青丘试炼#r85级以上挑战副本#ccc33cc#r掉落：#W#r魂神之卷#r升魂丹#r坐骑：小虎嗷呜（30天）#r青龙魂玉#r玄武魂玉#r白虎魂玉#r朱雀魂玉#r九尾魂玉#r锦鳞魂玉#r幻蝶魂玉#r霜鹤魂玉#r金乌魂玉#r鹿蜀魂玉#r赤熊魂玉#r白驹魂玉#r灵蝉魂玉#r苍狼魂玉#r飞羚魂玉#r淬魂髓#r淬魂液#r淬魂水
171	-1	23	九尾灵狐和云飘飘	139	#Y[九尾灵狐和云飘飘]	#Y[九尾灵狐和云飘飘]#r#G青丘试炼#r85级以上挑战副本#ccc33cc#r掉落：#W#r魂神之卷#r青丘新叶#r升魂丹#r青龙魂玉#r玄武魂玉#r白虎魂玉#r朱雀魂玉#r九尾魂玉#r锦鳞魂玉#r幻蝶魂玉#r霜鹤魂玉#r金乌魂玉#r鹿蜀魂玉#r赤熊魂玉#r白驹魂玉#r灵蝉魂玉#r苍狼魂玉#r飞羚魂玉#r淬魂髓#r淬魂液#r淬魂水
172	-1	24	云卷舒	140	#Y[云卷舒]	#Y[云卷舒]#r#G青丘试炼#r85级以上挑战副本#ccc33cc#r掉落：#W#r魂神之卷#r升魂丹#r青龙魂玉#r玄武魂玉#r白虎魂玉#r朱雀魂玉#r九尾魂玉#r锦鳞魂玉#r幻蝶魂玉#r霜鹤魂玉#r金乌魂玉#r鹿蜀魂玉#r赤熊魂玉#r白驹魂玉#r灵蝉魂玉#r苍狼魂玉#r飞羚魂玉#r淬魂髓#r淬魂液#r淬魂水
173	-1	24	逸	141	#Y[逸]	#Y[逸]#r#G青丘试炼#r85级以上挑战副本#ccc33cc#r掉落：#W#r魂神之卷#r升魂丹#r青龙魂玉#r玄武魂玉#r白虎魂玉#r朱雀魂玉#r九尾魂玉#r锦鳞魂玉#r幻蝶魂玉#r霜鹤魂玉#r金乌魂玉#r鹿蜀魂玉#r赤熊魂玉#r白驹魂玉#r灵蝉魂玉#r苍狼魂玉#r飞羚魂玉#r淬魂髓#r淬魂液#r淬魂水
174	-1	24	艾虎	142	#Y[艾虎]	#Y[艾虎]#r#G青丘试炼#r85级以上挑战副本#ccc33cc#r掉落：#W#r魂神之卷#r升魂丹#r坐骑：小虎嗷呜（30天）#r青龙魂玉#r玄武魂玉#r白虎魂玉#r朱雀魂玉#r九尾魂玉#r锦鳞魂玉#r幻蝶魂玉#r霜鹤魂玉#r金乌魂玉#r鹿蜀魂玉#r赤熊魂玉#r白驹魂玉#r灵蝉魂玉#r苍狼魂玉#r飞羚魂玉#r淬魂髓#r淬魂液#r淬魂水
175	-1	24	九尾灵狐和云飘飘	150	#Y[九尾灵狐和云飘飘]	#Y[九尾灵狐和云飘飘]#r#G青丘试炼#r85级以上挑战副本#ccc33cc#r掉落：#W#r青丘佩#r魂神之卷#r青丘灵叶#r升魂丹#r青龙魂玉#r玄武魂玉#r白虎魂玉#r朱雀魂玉#r九尾魂玉#r锦鳞魂玉#r幻蝶魂玉#r霜鹤魂玉#r金乌魂玉#r鹿蜀魂玉#r赤熊魂玉#r白驹魂玉#r灵蝉魂玉#r苍狼魂玉#r飞羚魂玉#r淬魂髓#r淬魂液#r淬魂水
176	-1	21	天魁星宋姜	151	#Y[天魁星宋姜]	#Y[天魁星宋姜]#r#G新杀星-苍山破煞#r60级以上组队挑战副本。#ccc33cc#r击败通关可获得：#W#r元祐金#r元祐碎金
177	-1	21	天罡星卢君逸	152	#Y[天罡星卢君逸]	#Y[天罡星卢君逸]#r#G新杀星-苍山破煞#r60级以上组队挑战副本。#ccc33cc#r击败通关可获得：#W#r元祐金#r元祐碎金
178	-1	21	天机星吴永	153	#Y[天机星吴永]	#Y[天机星吴永]#r#G新杀星-苍山破煞#r60级以上组队挑战副本。#ccc33cc#r击败通关可获得：#W#r元祐金#r元祐碎金
179	-1	21	天杀星李魁	154	#Y[天杀星李魁]	#Y[天杀星李魁]#r#G新杀星-苍山破煞#r60级以上组队挑战副本。#ccc33cc#r击败通关可获得：#W#r元祐金#r元祐碎金
180	-1	21	天闲星公孙圣	155	#Y[天闲星公孙圣]	#Y[天闲星公孙圣]#r#G新杀星-苍山破煞#r60级以上组队挑战副本。#ccc33cc#r击败通关可获得：#W#r元祐金#r元祐碎金
181	-1	21	天勇星关盛	156	#Y[天勇星关盛]	#Y[天勇星关盛]#r#G新杀星-苍山破煞#r60级以上组队挑战副本。#ccc33cc#r击败通关可获得：#W#r元祐金#r元祐碎金
182	-1	21	天孤星鲁志生	157	#Y[天孤星鲁志生]	#Y[天孤星鲁志生]#r#G新杀星-苍山破煞#r60级以上组队挑战副本。#ccc33cc#r击败通关可获得：#W#r元祐金#r元祐碎金
183	-1	27	赵钱孙	158	#Y[赵钱孙]	#Y[赵钱孙]#r#G雁关·无间度厄#r65级以上组队挑战副本。#ccc33cc#r困难掉落：#W#r破级石#r清欢箭(#G5星#W、#G6星#W)#r慑魂弓(#G5星#W、#G6星#W)#r离忧枪(#G5星#W、#G6星#W)#r诛妄剑(#G5星#W、#G6星#W)#r长恨刀(#G5星#W、#G6星#W)#r怒涛锤(#G5星#W、#G6星#W)#r相思匕(#G5星#W、#G6星#W)#r七情妙诀一式技能书#r#r#ccc33cc#r普通掉落：#W#r破级石#r清欢箭(#G5星#W)#r慑魂弓(#G5星#W)#r离忧枪(#G5星#W)#r诛妄剑(#G5星#W)#r长恨刀(#G5星#W)#r怒涛锤(#G5星#W)#r相思匕(#G5星#W)#r七情通法上卷技能书
184	-1	27	汪剑通	159	#Y[汪剑通]	#Y[汪剑通]#r#G雁关·无间度厄#r65级以上组队挑战副本。#ccc33cc#r困难掉落：#W#r破级石#r清欢箭(#G5星#W、#G6星#W)#r慑魂弓(#G5星#W、#G6星#W)#r离忧枪(#G5星#W、#G6星#W)#r诛妄剑(#G5星#W、#G6星#W)#r长恨刀(#G5星#W、#G6星#W)#r怒涛锤(#G5星#W、#G6星#W)#r相思匕(#G5星#W、#G6星#W)#r七情妙诀一式技能书#r#r#ccc33cc#r普通掉落：#W#r破级石#r清欢箭(#G5星#W)#r慑魂弓(#G5星#W)#r离忧枪(#G5星#W)#r诛妄剑(#G5星#W)#r长恨刀(#G5星#W)#r怒涛锤(#G5星#W)#r相思匕(#G5星#W)#r七情通法上卷技能书
185	-1	27	玄慈	160	#Y[玄慈]	#Y[玄慈]#r#G雁关·无间度厄#r65级以上组队挑战副本。#ccc33cc#r困难掉落：#W#r破级石#r清欢箭(#G5星#W、#G6星#W)#r慑魂弓(#G5星#W、#G6星#W)#r离忧枪(#G5星#W、#G6星#W)#r诛妄剑(#G5星#W、#G6星#W)#r长恨刀(#G5星#W、#G6星#W)#r怒涛锤(#G5星#W、#G6星#W)#r相思匕(#G5星#W、#G6星#W)#r七情妙诀二式技能书#r#r#ccc33cc#r普通掉落：#W#r破级石#r清欢箭(#G5星#W)#r慑魂弓(#G5星#W)#r离忧枪(#G5星#W)#r诛妄剑(#G5星#W)#r长恨刀(#G5星#W)#r怒涛锤(#G5星#W)#r相思匕(#G5星#W)#r七情通法下卷技能书
186	-1	27	带头大哥	161	#Y[带头大哥]	#Y[带头大哥]#r#G雁关·无间度厄#r65级以上组队挑战副本。#ccc33cc#r困难掉落：#W#r破级石#r清欢箭(#G5星#W、#G6星#W)#r慑魂弓(#G5星#W、#G6星#W)#r离忧枪(#G5星#W、#G6星#W)#r诛妄剑(#G5星#W、#G6星#W)#r长恨刀(#G5星#W、#G6星#W)#r怒涛锤(#G5星#W、#G6星#W)#r相思匕(#G5星#W、#G6星#W)#r七情妙诀二式技能书#r#r#ccc33cc#r普通掉落：#W#r破级石#r清欢箭(#G5星#W)#r慑魂弓(#G5星#W)#r离忧枪(#G5星#W)#r诛妄剑(#G5星#W)#r长恨刀(#G5星#W)#r怒涛锤(#G5星#W)#r相思匕(#G5星#W)#r七情通法下卷技能书
187	-1	27	萧峰心魔	162	#Y[萧峰心魔]	#Y[萧峰心魔]#r#G雁关·无间度厄#r65级以上组队挑战副本。#ccc33cc#r困难掉落：#W#r破级石#r清欢箭(#G5星#W、#G6星#W)#r慑魂弓(#G5星#W、#G6星#W)#r离忧枪(#G5星#W、#G6星#W)#r诛妄剑(#G5星#W、#G6星#W)#r长恨刀(#G5星#W、#G6星#W)#r怒涛锤(#G5星#W、#G6星#W)#r相思匕(#G5星#W、#G6星#W)#r六合天缘匣#r七情妙诀三式技能书#r度业念珠#r#r#ccc33cc#r普通掉落：#W#r破级石#r五蕴天缘匣#r七情通法下卷技能书
188	-1	28	白世镜	163	#Y[白世镜]	#Y[白世镜]#r#G往日梦境#r65级以上组队挑战副本。#ccc37cc#r击败通关可获得：#W#r破级石#r七情刃
189	-1	28	单正	164	#Y[单正]	#Y[单正]#r#G往日梦境#r65级以上组队挑战副本。#ccc37cc#r击败通关可获得：#W#r破级石#r七情刃
190	-1	28	谭婆	165	#Y[谭婆]	#Y[谭婆]#r#G往日梦境#r65级以上组队挑战副本。#ccc37cc#r击败通关可获得：#W#r破级石#r七情刃
191	-1	28	玄苦	166	#Y[玄苦]	#Y[玄苦]#r#G往日梦境#r65级以上组队挑战副本。#ccc37cc#r击败通关可获得：#W#r破级石#r七情刃#r扫荡金币
192	-1	29	白世镜	167	#Y[白世镜]	#Y[白世镜]#r#G往日梦境#r65级以上组队挑战副本。#ccc37cc#r击败通关可获得：#W#r破级石#r七情刃
193	-1	29	单正	168	#Y[单正]	#Y[单正]#r#G往日梦境#r65级以上组队挑战副本。#ccc37cc#r击败通关可获得：#W#r破级石#r七情刃
194	-1	29	谭婆	169	#Y[谭婆]	#Y[谭婆]#r#G往日梦境#r65级以上组队挑战副本。#ccc37cc#r击败通关可获得：#W#r破级石#r七情刃
195	-1	29	玄苦	170	#Y[玄苦]	#Y[玄苦]#r#G往日梦境#r65级以上组队挑战副本。#ccc37cc#r击败通关可获得：#W#r破级石#r七情刃#r扫荡金币#r旧梦信物
