INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
156	NhÕn Nam Phi·th¥n uy	39	7	0	2	491	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	Thiên S½n du hi®p X1
157	Ðóng bång Tuyªt Vû	17	7	0	2	501	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	-1	-1	-1	Thiên S½n du hi®p X2
158	Tiêu Thi«u Dçn Phøng	2	7	0	3	493	5	20	2000	30	4000	50	6000	80	8000	130	10000	156	5	-1	-1	-1	-1	-1	Thiên S½n du hi®p X3
159	Sinh tØ Nh¤t Ni®m	19	7	0	3	493	5	20	10	30	20	50	30	80	40	130	50	-1	-1	5	-1	-1	-1	-1	Thiên S½n du hi®p X4
160	M£c Linh Thiên C½	20	7	0	3	493	5	20	20	30	40	50	60	80	80	130	100	157	5	-1	-1	-1	-1	-1	Thiên S½n du hi®p X5
161	H°ng NhÕn khách	49	7	0	4	491	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	492	-1	-1	Thiên S½n du hi®p X6
162	Phøng quay ð¥u	49	7	0	4	493	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	493	-1	-1	Thiên S½n du hi®p X7
163	Cô ¿ng L® Thiên	1	7	0	5	492	5	80	100	120	200	200	300	320	400	520	500	161	5	-1	-1	3	-1	-1	Thiên S½n du hi®p X8
164	Vô Biên LÕc Mµc	24	7	0	5	498	5	80	50	120	100	200	150	320	200	520	250	-1	-1	15	-1	-1	-1	-1	Thiên S½n du hi®p X9
165	Sß½ng Lãnh CØu Châu	1	7	0	5	493	5	80	150	120	300	200	450	320	600	520	750	162	5	-1	-1	3	-1	-1	Thiên S½n du hi®p X10
166	N£c Änh tuy®t sát	-1	7	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Thiên S½n thích khách b¸ ðµng
167	NhÕn Nam Phi·th¥n uy	39	7	1	2	491	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	Thiên S½n thích khách Y1
168	Sát ý T§p	18	7	1	2	501	5	10	2	20	4	30	6	50	8	80	10	-1	-1	-1	-1	35	-1	-1	Thiên S½n thích khách Y2
169	Hàn Mai T¸ch	21	7	1	3	505	5	20	50	30	100	50	150	80	200	130	250	167	5	-1	-1	-1	-1	-1	Thiên S½n thích khách Y3
170	Quy«n sanh sát trong tay	61	7	1	3	495	5	20	8	30	16	50	24	80	32	130	40	-1	-1	5	-1	-1	-1	-1	Thiên S½n thích khách Y4
171	Mµ Tuyªt Tß¾ng Khuynh	2	7	1	3	501	5	20	1000	30	2000	50	3000	80	4000	130	5000	168	5	-1	-1	-1	-1	-1	Thiên S½n thích khách Y5
172	NhÕn Ký Mai Hoa	9	7	1	4	491	5	40	40	70	80	110	120	180	160	290	200	-1	-1	10	2	507	-1	-1	Thiên S½n thích khách Y6
173	Bi NhÕn Minh	23	7	1	4	491	5	40	5	70	10	110	15	180	20	290	25	-1	-1	10	-1	-1	-1	-1	Thiên S½n thích khách Y7
174	Ðêm dài Vô Trú	33	7	1	5	507	5	80	50	120	100	200	150	320	200	520	250	172	5	-1	-1	-1	-1	-1	Thiên S½n thích khách Y8
175	Mai Khai Nh¸ Ðµ	25	7	1	5	507	5	80	50	120	100	200	150	320	200	520	250	172	5	-1	-1	-1	-1	-1	Thiên S½n thích khách Y9
176	Mµt khúc Thành Thß½ng	26	7	1	5	510	5	80	30	120	60	200	90	320	120	520	150	173	5	-1	-1	-1	-1	-1	Thiên S½n thích khách Y10
177	Phi Tinh Di®p DÕ	-1	8	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Tiêu dao Vân Tiên b¸ ðµng
178	LÕc Anh Kiªm·th¥n uy	39	8	0	2	521	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	Tiêu dao Vân Tiên X1
179	Tª Nguy®t Hành Không	62	8	0	2	526	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	35	-1	-1	Tiêu dao Vân Tiên X2
180	Mµt lóng tay Th¤u xuân hàn	73	8	0	3	523	5	20	6	30	12	50	18	80	24	130	30	178	5	-1	-1	-1	-1	-1	Tiêu dao Vân Tiên X3
181	Lång Tiêu Lãm Nguy®t	74	8	0	3	541	5	20	20	30	40	50	60	80	80	130	100	-1	-1	5	-1	-1	-1	-1	Tiêu dao Vân Tiên X4
182	Hoàn Hoa Xuyên Vân	19	8	0	3	535	5	20	5	30	10	50	15	80	20	130	25	179	5	-1	-1	-1	-1	-1	Tiêu dao Vân Tiên X5
183	Th¶i Di nhß thoi ðßa	49	8	0	4	523	5	40	40	70	80	110	120	180	160	290	200	-1	-1	10	100	535	-1	-1	Tiêu dao Vân Tiên X6
184	Hµi Ti¬n Tinh Lam	49	8	0	4	535	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	523	-1	-1	Tiêu dao Vân Tiên X7
185	Sß¾ng ð¥m ðìa	40	8	0	5	535	5	80	50	120	100	200	150	320	200	520	250	183	5	-1	-1	-1	-1	-1	Tiêu dao Vân Tiên X8
186	ÐÕp Lãng TrÕc Tâm	77	8	0	5	535	5	80	10	120	20	200	30	320	40	520	50	-1	-1	15	-1	-1	-1	-1	Tiêu dao Vân Tiên X9
187	Xuyên Lâm Tá Hi®p	20	8	0	5	523	5	80	10	120	20	200	30	320	40	520	50	-1	-1	15	-1	-1	-1	-1	Tiêu dao Vân Tiên X10
188	Khi Yên Kh¯n Vû	-1	8	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Tiêu dao M£c Gia b¸ ðµng
189	LÕc Anh Kiªm·th¥n uy	39	8	1	2	521	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	Tiêu dao M£c Gia Y1
190	C¯t Trùng ThÑc Hàn	72	8	1	2	522	5	10	50	20	100	30	150	50	200	80	250	-1	-1	-1	-1	-1	-1	-1	Tiêu dao M£c Gia Y2
191	Toái Tr¥n Nê	72	8	1	3	544	5	20	100	30	200	50	300	80	400	130	500	189	5	-1	-1	-1	-1	-1	Tiêu dao M£c Gia Y3
192	Võng Tßþng Thúc Mµng	2	8	1	3	544	5	20	2000	30	4000	50	6000	80	8000	130	10000	189	5	-1	-1	-1	-1	-1	Tiêu dao M£c Gia Y4
193	Hoa nªn Thôi DÕ	2	8	1	3	525	5	20	2000	30	4000	50	6000	80	8000	130	10000	190	5	-1	-1	-1	-1	-1	Tiêu dao M£c Gia Y5
194	Tàn Xuân Ðãi Hi¬u	75	8	1	4	545	5	40	150	70	300	110	450	180	600	290	750	-1	-1	10	10	-1	-1	-1	Tiêu dao M£c Gia Y6
195	Oán Thanh Thß½ng	76	8	1	4	545	5	40	60	70	120	110	180	180	240	290	300	-1	-1	10	-1	-1	-1	-1	Tiêu dao M£c Gia Y7
196	Lãng phong tøc th¶i xßa còn lßu lÕi Trøc	78	8	1	5	545	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	-1	-1	-1	Tiêu dao M£c Gia Y8
197	Yên Phi Mµt	72	8	1	5	545	5	80	100	120	200	200	300	320	400	520	500	-1	-1	15	-1	-1	-1	-1	Tiêu dao M£c Gia Y9
198	Che l¤p m£t tr¶i Thôn Thiên	95	8	1	5	540	5	80	42843	120	42844	200	42845	320	42846	520	42847	195	5	-1	-1	100	-1	-1	Tiêu dao M£c Gia Y10
199	Phøc H± Quy«n·Phá Bích	87	0	0	6	281	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	Thiªu Lâm 2La Hán X1
200	Phøc H± Quy«n·th¤u xß½ng	89	0	0	6	281	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	Thiªu Lâm 2La Hán X2
201	Kim cß½ng B¤t Ðµ	3	0	0	7	283	5	24	30	36	60	60	90	96	120	156	150	199	5	-1	-1	44260	-1	-1	Thiªu Lâm 2La Hán X3
202	Quan Chiªu Bàn Nhßþc	20	0	0	7	283	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	Thiªu Lâm 2La Hán X4
203	L­ Tri®u ph§t quang	91	0	0	7	283	5	24	44261	36	44262	60	44263	96	44264	156	44265	200	5	-1	-1	15	-1	-1	Thiªu Lâm 2La Hán X5
204	Thiên cân trøy	3	0	0	8	281	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44266	-1	-1	Thiªu Lâm 2La Hán X6
205	Tiêu Chß¾ng Ph§t Âm	92	0	0	8	281	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44267	-1	-1	Thiªu Lâm 2La Hán X7
206	Gió cu¯n Hành Vân	93	0	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	Thiªu Lâm 2La Hán X8
207	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	93	0	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	Thiªu Lâm 2La Hán X9
208	Câu T¸ch không tiªng ðµng	93	0	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	Thiªu Lâm 2La Hán X10
209	Phøc H± Quy«n·Phá Bích	87	0	1	6	281	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	Thiªu Lâm 2kim cß½ng Y1
210	Phòng thü kiên c¯	94	0	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	Thiªu Lâm 2kim cß½ng Y2
211	ÐoÕn Uª Giäi Nghi®p	95	0	1	7	283	5	24	44288	36	44289	60	44290	96	44291	156	44292	209	5	-1	-1	100	-1	-1	Thiªu Lâm 2kim cß½ng Y3
212	ÐoÕn Tâm t¦y tüy	113	0	1	7	-1	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	Thiªu Lâm 2kim cß½ng Y4
213	Xä Sinh Ngµ Ngã	114	0	1	7	-1	5	24	30	36	60	60	90	96	120	156	150	210	5	-1	-1	-1	-1	-1	Thiªu Lâm 2kim cß½ng Y5
214	Giáng Ma Tr¤n Khu	96	0	1	8	283	5	50	100	90	200	140	300	230	400	372	500	-1	-1	30	-1	44293	-1	-1	Thiªu Lâm 2kim cß½ng Y6
215	Thi«n tâm nh§p ð¸nh	115	0	1	8	-1	5	50	44294	90	44295	140	44296	230	44297	372	44298	-1	-1	30	-1	-1	-1	-1	Thiªu Lâm 2kim cß½ng Y7
216	Gió cu¯n Hành Vân	93	0	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	Thiªu Lâm 2kim cß½ng Y8
217	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	93	0	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	Thiªu Lâm 2kim cß½ng Y9
218	Câu T¸ch không tiªng ðµng	93	0	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	Thiªu Lâm 2kim cß½ng Y10
219	T°i Tâm Chß·ng·Phá Bích	87	1	0	6	311	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	Minh Giáo 2thiên la X1
220	T°i Tâm Chß·ng·th¤u xß½ng	89	1	0	6	311	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	Minh Giáo 2thiên la X2
221	Viêm Long Ho£c Tâm	3	1	0	7	313	5	24	30	36	60	60	90	96	120	156	150	219	5	-1	-1	44299	-1	-1	Minh Giáo 2thiên la X3
222	Huy«n Nguy®t C¥m Sß½ng	20	1	0	7	321	5	24	30	36	60	60	90	96	120	156	150	-1	-1	25	-1	-1	-1	-1	Minh Giáo 2thiên la X4
223	Thánh Hoä Trß¶ng Minh	91	1	0	7	313	5	24	44300	36	44301	60	44302	96	44303	156	44304	220	5	-1	-1	15	-1	-1	Minh Giáo 2thiên la X5
224	Xích Di­m Áp Ðïnh	3	1	0	8	311	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44305	-1	-1	Minh Giáo 2thiên la X6
225	ChÕy tr¶i không khöi n¡ng	95	1	0	8	311	5	50	44306	90	44307	140	44308	230	44309	372	44310	-1	-1	30	-1	5	-1	-1	Minh Giáo 2thiên la X7
226	Gió cu¯n Hành Vân	93	1	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	Minh Giáo 2thiên la X8
227	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	93	1	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	Minh Giáo 2thiên la X9
228	Câu T¸ch không tiªng ðµng	93	1	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	Minh Giáo 2thiên la X10
229	T°i Tâm Chß·ng·Phá Bích	87	1	1	6	311	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	Minh Giáo 2Huyªt L® Y1
230	Phòng thü kiên c¯	94	1	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	Minh Giáo 2Huyªt L® Y2
231	Th¤u C¯t Phong Tâm	96	1	1	7	313	5	24	120	36	240	60	360	96	480	156	600	229	5	-1	-1	44311	-1	-1	Minh Giáo 2Huyªt L® Y3
232	Li®t Hoä ð¯t ngß¶i	97	1	1	7	313	5	24	70	36	140	60	210	96	280	156	350	-1	-1	25	-1	-1	-1	-1	Minh Giáo 2Huyªt L® Y4
233	Ph® trång tròn	95	1	1	7	313	5	24	44312	36	44313	60	44314	96	44315	156	44316	230	5	-1	-1	15	-1	-1	Minh Giáo 2Huyªt L® Y5
234	Thôi Tâm änh lßu ni®m	96	1	1	8	311	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44317	-1	-1	Minh Giáo 2Huyªt L® Y6
235	Siêu phàm nh§p thánh	98	1	1	8	311	5	50	20	90	40	140	60	230	80	372	100	-1	-1	30	-1	44318	-1	-1	Minh Giáo 2Huyªt L® Y7
236	Gió cu¯n Hành Vân	93	1	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	Minh Giáo 2Huyªt L® Y8
237	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	93	1	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	Minh Giáo 2Huyªt L® Y9
238	Câu T¸ch không tiªng ðµng	93	1	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	Minh Giáo 2Huyªt L® Y10
239	Bàn Long Kích·Phá Bích	87	2	0	6	341	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	Cái Bang 2TØu Cu°ng X1
240	Bàn Long Kích·th¤u xß½ng	89	2	0	6	341	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	Cái Bang 2TØu Cu°ng X2
241	Bàn tay cá trong ch§u	52	2	0	7	343	5	24	30	36	60	60	90	96	120	156	150	239	5	-1	-1	44319	-1	-1	Cái Bang 2TØu Cu°ng X3
242	Tuý Lý T¥m Hoan	2	2	0	7	364	5	24	6000	36	12000	60	18000	96	24000	156	30000	-1	-1	25	-1	-1	-1	-1	Cái Bang 2TØu Cu°ng X4
243	Hoa Tuý cä sänh ðß¶ng	20	2	0	7	343	5	24	20	36	40	60	60	96	80	156	100	240	5	-1	-1	-1	-1	-1	Cái Bang 2TØu Cu°ng X5
244	Trß¶ng Ca Hàm TØu	3	2	0	8	341	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44325	-1	-1	Cái Bang 2TØu Cu°ng X6
245	Không Tôn Yêu Nguy®t	99	2	0	8	-1	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44326	-1	-1	Cái Bang 2TØu Cu°ng X7
246	Gió cu¯n Hành Vân	93	2	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	Cái Bang 2TØu Cu°ng X8
247	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	93	2	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	Cái Bang 2TØu Cu°ng X9
248	Câu T¸ch không tiªng ðµng	93	2	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	Cái Bang 2TØu Cu°ng X10
249	Bàn Long Kích·Phá Bích	87	2	1	6	341	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	Cái Bang 2hành hi®p Y1
250	Phòng thü kiên c¯	94	2	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	Cái Bang 2hành hi®p Y2
251	Kinh H°ng Tuy®t MÕch	96	2	1	7	343	5	24	120	36	240	60	360	96	480	156	600	249	5	-1	-1	44327	-1	-1	Cái Bang 2hành hi®p Y3
252	Th¯ng †m Thiên Ðàn	97	2	1	7	343	5	24	70	36	140	60	210	96	280	156	350	-1	-1	25	-1	-1	-1	-1	Cái Bang 2hành hi®p Y4
253	Châu Dao Liêm Nhi­u	95	2	1	7	342	5	24	44328	36	44329	60	44330	96	44331	156	44332	250	5	-1	-1	100	-1	-1	Cái Bang 2hành hi®p Y5
254	ÐoÕn Trßþng Câu Lang	96	2	1	8	341	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44333	-1	-1	Cái Bang 2hành hi®p Y6
255	ToÕ Quan Vân Quy¬n	100	2	1	8	365	5	50	70	90	140	140	210	230	280	372	350	-1	-1	30	-1	-1	-1	-1	Cái Bang 2hành hi®p Y7
256	Gió cu¯n Hành Vân	93	2	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	Cái Bang 2hành hi®p Y8
257	Phong tøc th¶i xßa còn lßu lÕi Hoá Vû	93	2	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	Cái Bang 2hành hi®p Y9
258	Câu T¸ch không tiªng ðµng	93	2	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	Cái Bang 2hành hi®p Y10
259	Bát Quái Chß·ng·Tr® MÕch	88	3	0	6	371	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	Võ Ðang 2B¢ng Hß X1
260	Bát Quái Chß·ng·công tâm	90	3	0	6	371	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	Võ Ðang 2B¢ng Hß X2
261	Cô s½n Bª	3	3	0	7	377	5	24	40	36	80	60	120	96	160	156	200	259	5	-1	-1	44334	-1	-1	Võ Ðang 2B¢ng Hß X3
262	Kiªm chï Lßu Vân	92	3	0	7	377	5	24	40	36	80	60	120	96	160	156	200	-1	-1	25	-1	44394	-1	-1	Võ Ðang 2B¢ng Hß X4
263	M£c Tßþng Giai Quy	91	3	0	7	372	5	24	44335	36	44336	60	44337	96	44338	156	44339	260	5	-1	-1	100	-1	-1	Võ Ðang 2B¢ng Hß X5
264	C¯ Bµ Nan Li	3	3	0	8	371	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44340	-1	-1	Võ Ðang 2B¢ng Hß X6
265	T§t Quang Ti®m †n	49	3	0	8	381	5	50	50	90	100	140	150	230	200	372	250	-1	-1	30	5	373	-1	-1	Võ Ðang 2B¢ng Hß X7
266	Duy Ngã tñ tÕi	93	3	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	Võ Ðang 2B¢ng Hß X8
267	Ngßng chiªu sáng Tuyªt	93	3	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	Võ Ðang 2B¢ng Hß X9
268	Khí ð¸nh th¥n nhàn	93	3	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	Võ Ðang 2B¢ng Hß X10
269	Bát Quái Chß·ng·Tr® MÕch	88	3	1	6	371	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	Võ Ðang 2Trích Tinh Y1
270	Phòng thü kiên c¯	94	3	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	Võ Ðang 2Trích Tinh Y2
271	ÐoÕn MÕch Ti®t Nguyên	96	3	1	7	374	5	24	60	36	120	60	180	96	240	156	300	269	5	-1	-1	44356	-1	-1	Võ Ðang 2Trích Tinh Y3
272	Nhu® không th¬ Ðang	97	3	1	7	395	5	24	70	36	140	60	210	96	280	156	350	-1	-1	25	-1	-1	-1	-1	Võ Ðang 2Trích Tinh Y4
273	Thanh Phong biªn hóa	116	3	1	7	395	5	24	1000	36	2000	60	3000	96	4000	156	5000	270	5	-1	-1	379	-1	-1	Võ Ðang 2Trích Tinh Y5
274	Khoänh kh¡c ngàn nåm	96	3	1	8	371	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44357	-1	-1	Võ Ðang 2Trích Tinh Y6
275	LÕc Nguy®t Phi Tinh	102	3	1	8	379	5	50	1	90	2	140	3	230	4	372	5	-1	-1	30	-1	395	-1	-1	Võ Ðang 2Trích Tinh Y7
276	Duy Ngã tñ tÕi	93	3	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	Võ Ðang 2Trích Tinh Y8
277	Ngßng chiªu sáng Tuyªt	93	3	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	Võ Ðang 2Trích Tinh Y9
278	Khí ð¸nh th¥n nhàn	93	3	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	Võ Ðang 2Trích Tinh Y10
279	Bái Nguy®t·Tr® MÕch	88	4	0	6	401	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	Nga Mi 2T¦m Phß½ng X1
280	Bái Nguy®t·công tâm	103	4	0	6	409	5	12	200	24	400	36	600	60	800	96	1000	-1	-1	20	-1	-1	-1	-1	Nga Mi 2T¦m Phß½ng X2
281	Huyên Phong Nh¤t Tuý	3	4	0	7	403	5	24	70	36	140	60	210	96	280	156	350	279	5	-1	-1	44358	-1	-1	Nga Mi 2T¦m Phß½ng X3
282	Thß¾c ÐÕp Chi	20	4	0	7	415	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	Nga Mi 2T¦m Phß½ng X4
283	Di®u Thü H°i Xuân	104	4	0	7	423	5	24	100	36	110	60	120	96	130	156	150	280	5	-1	-1	-1	-1	-1	Nga Mi 2T¦m Phß½ng X5
284	S½ Ð°ng Các\u0020hÕ Nguy®t	3	4	0	8	401	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44359	-1	-1	Nga Mi 2T¦m Phß½ng X6
285	Linh Nguy®t Tây Tr¥m	33	4	0	8	426	5	50	50	90	100	140	150	230	200	372	250	-1	-1	30	-1	-1	-1	-1	Nga Mi 2T¦m Phß½ng X7
286	Duy Ngã tñ tÕi	93	4	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	Nga Mi 2T¦m Phß½ng X8
287	Ngßng chiªu sáng Tuyªt	93	4	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	Nga Mi 2T¦m Phß½ng X9
288	Khí ð¸nh th¥n nhàn	93	4	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	Nga Mi 2T¦m Phß½ng X10
289	Bái Nguy®t·Tr® MÕch	88	4	1	6	401	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	Nga Mi 2thanh âm Y1
290	Phòng thü kiên c¯	94	4	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	Nga Mi 2thanh âm Y2
291	TÑ Di®n S· Ca	96	4	1	7	403	5	24	150	36	300	60	450	96	600	156	750	289	5	-1	-1	44360	-1	-1	Nga Mi 2thanh âm Y3
292	Nh¤t C¯ Khuynh Thành	97	4	1	7	403	5	24	100	36	200	60	300	96	400	156	500	-1	-1	25	-1	-1	-1	-1	Nga Mi 2thanh âm Y4
293	Nguy®t LÕc Hàn Giang	105	4	1	7	405	5	24	20	36	40	60	60	96	80	156	100	290	5	-1	-1	405	-1	-1	Nga Mi 2thanh âm Y5
294	Khúc Át Hành Vân	96	4	1	8	401	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44361	-1	-1	Nga Mi 2thanh âm Y6
295	Dß âm còn vång vÆng bên tai	34	4	1	8	421	5	50	2000	90	4000	140	6000	230	8000	372	10000	-1	-1	30	-1	-1	-1	-1	Nga Mi 2thanh âm Y7
296	Duy Ngã tñ tÕi	93	4	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	Nga Mi 2thanh âm Y8
297	Ngßng chiªu sáng Tuyªt	93	4	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	Nga Mi 2thanh âm Y9
298	Khí ð¸nh th¥n nhàn	93	4	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	Nga Mi 2thanh âm Y10
299	Lam Sa Thü·Tr® MÕch	88	5	0	6	431	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	Tinh Túc 2Hàn Minh X1
300	Lam Sa Thü·công tâm	90	5	0	6	431	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	Tinh Túc 2Hàn Minh X2
301	Bång U Phong H°n	3	5	0	7	433	5	24	70	36	140	60	210	96	280	156	350	299	5	-1	-1	44362	-1	-1	Tinh Túc 2Hàn Minh X3
302	L¤y mÕng Truy H°n	20	5	0	7	433	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	Tinh Túc 2Hàn Minh X4
303	Phø C¯t Chi Thß	106	5	0	7	441	5	24	100	36	200	60	300	96	400	156	500	300	5	-1	-1	-1	-1	-1	Tinh Túc 2Hàn Minh X5
304	Tri«n Ph÷c Chi Oán	3	5	0	8	431	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44363	-1	-1	Tinh Túc 2Hàn Minh X6
305	Ngñ Thü Minh Tinh	107	5	0	8	-1	5	50	6	90	12	140	18	230	24	372	30	-1	-1	30	-1	-1	-1	-1	Tinh Túc 2Hàn Minh X7
306	Duy Ngã tñ tÕi	93	5	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	Tinh Túc 2Hàn Minh X8
307	Ngßng chiªu sáng Tuyªt	93	5	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	Tinh Túc 2Hàn Minh X9
308	Khí ð¸nh th¥n nhàn	93	5	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	Tinh Túc 2Hàn Minh X10
