INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT
150	1	M_face_2023jianianhua.mesh	Thß Khoái	M_face_2023jianianhua	30008218	1	2	Cloth8_8	50000	51
151	1	ÄÐÖ÷½ÇÁ³ÐÍÊ¥µ®½ÚÊ±×°.mesh	Tß thª oai hùng	ÄÐÖ÷½ÇÁ³ÐÍÊ¥µ®½ÚÊ±×°	30008221	1	2	Cloth8_8	50000	52
152	1	ÄÐÖ÷½ÇÁ³ÐÍÖÜÄêÇì÷è÷ëÊ±×°.mesh	Chß¾c Tâm	ÄÐÖ÷½ÇÁ³ÐÍÖÜÄêÇì÷è÷ëÊ±×°	30008219	1	2	Cloth8_8	50000	53
153	1	ÄÐÖ÷½ÇÁ³ÐÍÖÜÄêÇì÷è÷ëÊ±×°06½ð»Æ.mesh	Hoán Xán	ÄÐÖ÷½ÇÁ³ÐÍÖÜÄêÇì÷è÷ëÊ±×°06½ð»Æ	30008220	1	2	Cloth8_8	50000	54
154	1	M_face_2023½õÀð»¨µÆ.mesh	Trì Mµng	M_face_2023½õÀð»¨µÆ	30008222	1	2	Cloth8_8	50000	55
155	1	ÄÐÖ÷½ÇÁ³ÐÍ°×ÐÇÕù°ÔÈüÊ±×°.mesh	Thiên v¤n	ÄÐÖ÷½ÇÁ³ÐÍ°×ÐÇÕù°ÔÈüÊ±×°	30008223	1	2	Cloth8_8	50000	56
156	1	M_face_2023ÁúÄêÂíÃæÈ¹.mesh	Ng÷c Long	M_face_2023ÁúÄêÂíÃæÈ¹	30008225	1	2	Cloth8_8	50000	57
157	1	M_face_2023jingji.mesh	Thù Nhan	M_face_2023jingji	30008224	1	2	Cloth8_8	50000	58
158	1	M_face_2023jingji06.mesh	Lân Sß½ng	M_face_2023jingji06	30008226	1	2	Cloth8_8	50000	59
159	1	ÄÐÖ÷½ÇÁ³ÐÍ°×ÁúÍò×ÏÇ§ºìÊ±×°.mesh	Lâm Uyên	ÄÐÖ÷½ÇÁ³ÐÍ°×ÁúÍò×ÏÇ§ºìÊ±×°	30008227	1	2	Cloth8_8	50000	60
160	1	M_face_2023xianlv.mesh	Thª mô	M_face_2023xianlv	30008228	1	0	Cloth8_8	50000	61
161	1	ÄÐÖ÷½ÇÁ³ÐÍÓãÄÐÊ±×°.mesh	Häi S¡c	ÄÐÖ÷½ÇÁ³ÐÍÓãÄÐÊ±×°	30008229	1	2	Cloth8_8	50000	62
162	1	ÄÐÖ÷½Ç¹¤³Ì±äÉíÊ±×°Á³.mesh	Che m£t	ÄÐÖ÷½Ç¹¤³Ì±äÉíÊ±×°Á³	30008230	1	2	Cloth8_8	50000	63
163	1	M_face_2024Ê«¾Æ½­ºþ.mesh	Cu°ng Ca	M_face_2024Ê«¾Æ½­ºþ	30008231	1	2	Cloth8_8	50000	64
164	1	ÄÐÖ÷½ÇÁ³ÐÍÖÐ»ªÎåÉ«Ê±×°.mesh	Huy Quang	ÄÐÖ÷½ÇÁ³ÐÍÖÐ»ªÎåÉ«Ê±×°	30008232	1	2	Cloth8_8	50000	65
165	1	ÄÐÖ÷½ÇÁ³ÐÍÒìÓòÊ±×°.mesh	Vãn Tinh	ÄÐÖ÷½ÇÁ³ÐÍÒìÓòÊ±×°	30008233	1	2	Cloth8_8	50000	66
166	1	ÄÐÖ÷½ÇÁ³ÐÍ°×ÁúÍò×ÏÇ§ºìÊ±×°01.mesh	Minh Phong	ÄÐÖ÷½ÇÁ³ÐÍ°×ÁúÍò×ÏÇ§ºìÊ±×°01	30008234	1	2	Cloth8_8	50000	67
167	1	M_face_2024»é·þÖÁ×ð±¦.mesh	Tân Trang	M_face_2024»é·þÖÁ×ð±¦	30008235	1	2	Cloth8_8	50000	68
168	1	M_face_2024ÖÁ×ð±¦Ã«±ÊÃæ¾ß.mesh	QuÖ Mã	M_face_2024ÖÁ×ð±¦Ã«±ÊÃæ¾ß	30008236	1	2	Cloth8_8	50000	69
169	1	M_face_2024ËïÎò¿ÕÐÂ.mesh	Minh Không	M_face_2024ËïÎò¿ÕÐÂ	30008237	1	2	Cloth8_8	50000	70
170	1	M_face_2024ÖÁ×ð±¦.mesh	Duyên Tiên	M_face_2024ÖÁ×ð±¦	30008238	1	2	Cloth8_8	50000	71
171	1	M_face_2024½ðÎÚ.mesh	Thi«u quang	M_face_2024½ðÎÚ	30008240	1	2	Cloth8_8	50000	72
172	1	M_face_2024ÌÆÈý²Ê.mesh	Ánh Thái	M_face_2024ÌÆÈý²Ê	30008239	1	2	Cloth8_8	50000	73
173	1	M_face_2024°µÒ¹.mesh	Mê Phß½ng	M_face_2024°µÒ¹	30008241	1	2	Cloth8_8	50000	74
174	1	M_face_2024¶«±±´ó»¨°À.mesh	Vui m×ng	M_face_2024¶«±±´ó»¨°À	30008242	1	2	Cloth8_8	50000	75
175	1	M_face_2024Ñ©õõ.mesh	Tß C¯	M_face_2024Ñ©õõ	30008243	1	2	Cloth8_8	50000	76
176	1	ÄÐÖ÷½ÇÁ³ÐÍ±ùÑ©2024Ê±×°.mesh	Ho£c Tâm	ÄÐÖ÷½ÇÁ³ÐÍ±ùÑ©2024Ê±×°	30008244	1	2	Cloth8_8	50000	77
177	1	M_face_2024±Ë°¶»¨.mesh	Sa Hoa	M_face_2024±Ë°¶»¨	30008246	1	2	Cloth8_8	50000	78
178	1	M_face_2024ÇàÉß.mesh	DÕ Lân	M_face_2024ÇàÉß	30008248	1	2	Cloth8_8	50000	79
179	1	M_face_2024ÒøÀÇ.mesh	Tình Chung	M_face_2024ÒøÀÇ	30008245	1	2	Cloth8_8	50000	80
180	1	M_face_2025Ð£·þ.mesh	Tu¤n Thái	M_face_2025Ð£·þ	30008249	1	2	Cloth8_8	50000	81
181	1	M_face_2025½ðê±ÓÀ¹Ì.mesh	Thanh Án	M_face_2025½ðê±ÓÀ¹Ì	30008250	1	2	Cloth8_8	50000	82
182	1	M_face_2025ÏÄÈÕÓ¾×°.mesh	Thanh Ðào	M_face_2025ÏÄÈÕÓ¾×°	30008251	1	2	Cloth8_8	50000	83
183	1	M_face_2025ÏÄÈÕÓ¾×°01.mesh	V÷ng Häi	M_face_2025ÏÄÈÕÓ¾×°01	30008252	1	2	Cloth8_8	50000	84
184	1	M_face_2025Ñà³àÏ¼.mesh	Túc Ngµ	M_face_2025Ñà³àÏ¼	30008253	1	2	Cloth8_8	50000	85
185	1	M_face_2025µÛ¿¡.mesh	Hàn Vân	M_face_2025µÛ¿¡	30008254	1	2	Cloth8_8	50000	86
186	1	M_face_2025µÛ¿¡01.mesh	Bång Ð°ng	M_face_2025µÛ¿¡01	30008255	1	2	Cloth8_8	50000	87
187	1	M_face_2025´äÖñÓÆÓÆÖØÖÃ.mesh	Trúc Lµ	M_face_2025´äÖñÓÆÓÆÖØÖÃ	30008257	1	2	Cloth8_8	50000	88
188	1	M_face_2025¼ÎÄê»ªÔÆÁú½ø½×.mesh	Thanh Huy	M_face_2025¼ÎÄê»ªÔÆÁú½ø½×	30008256	1	2	Cloth8_8	50000	89
189	1	M_face_2025»³¾ÉÖÜÄêÇì.mesh	Hoa Niên	M_face_2025»³¾ÉÖÜÄêÇì	30008258	1	2	Cloth8_8	50000	90
190	1	M_face_2025ò¿ÓÈ.mesh	Thß½ng Lê	M_face_2025ò¿ÓÈ	30008261	1	2	Cloth8_8	50000	91
191	1	M_face_2025ò¿ÓÈ01.mesh	Ph¥n Dß½ng	M_face_2025ò¿ÓÈ01	30008262	1	2	Cloth8_8	50000	92
192	1	M_face_2025±±¼«ÐÜÍæÅ¼.mesh	U Tuyªt	M_face_2025±±¼«ÐÜÍæÅ¼	30008260	1	2	Cloth8_8	50000	93
10001	0	Å®Ö÷½ÇÁ³¸ßÄ£01.mesh	Xinh ð©p	Å®Ö÷½ÇÁ³¸ßÄ£01	30008020	1	-1	Cloth8_8	50000	-1
10002	0	Å®Ö÷½ÇÁ³¸ßÄ£02.mesh	Trí tu®	Å®Ö÷½ÇÁ³¸ßÄ£02	30008020	1	-1	Cloth8_8	50000	-1
10003	0	Å®Ö÷½ÇÁ³¸ßÄ£03.mesh	Sáng süa	Å®Ö÷½ÇÁ³¸ßÄ£03	30008020	1	-1	Cloth8_8	50000	-1
10004	0	Å®Ö÷½ÇÁ³¸ßÄ£04.mesh	Cao quý	Å®Ö÷½ÇÁ³¸ßÄ£04	30008020	1	-1	Cloth8_8	50000	-1
10005	0	Å®Ö÷½ÇÁ³¸ßÄ£05.mesh	Thøc næ	Å®Ö÷½ÇÁ³¸ßÄ£05	30008020	1	-1	Cloth8_8	50000	-1
10100	1	ÄÐÖ÷½Ç¸ßÄ£Á³05.mesh	Kiên cß¶ng	ÄÐÖ÷½Ç¸ßÄ£Á³05	30008020	1	-1	Cloth8_8	50000	-1
10101	1	ÄÐÖ÷½Ç¸ßÄ£Á³04.mesh	Dûng cäm	ÄÐÖ÷½Ç¸ßÄ£Á³04	30008020	1	-1	Cloth8_8	50000	-1
10102	1	ÄÐÖ÷½Ç¸ßÄ£Á³03.mesh	Quyªt ðoán	ÄÐÖ÷½Ç¸ßÄ£Á³03	30008020	1	-1	Cloth8_8	50000	-1
10103	1	ÄÐÖ÷½Ç¸ßÄ£Á³02.mesh	Tñ tin	ÄÐÖ÷½Ç¸ßÄ£Á³02	30008020	1	-1	Cloth8_8	50000	-1
10104	1	ÄÐÖ÷½Ç¸ßÄ£Á³06.mesh	U bu°n	ÄÐÖ÷½Ç¸ßÄ£Á³06	30008020	1	-1	Cloth8_8	50000	-1
