INT	INT	INT	STRING	STRING
83	57	4	Huy«n Võ Ğäo bän sao Phi Thiên Miêu ti¬u ğ®	#{_BOSS92}#PğI theo ğÕi ca Vô Ğ¸ch Phi Thiên Miêu, TÕi Huy«n Võ Ğäo Thßşng t× trß¾c Th¸ ğ¤u ğá lung tung, kªt quä hôm nay Khß¾c tiªn vào#W&U#Pğào mµt ngày Ğích b¦y r§p Lı, r½i vào ğß¶ng cùng ğành phäi l¤y ra#W&I#P, lIên thanh xin khoan dung.
84	58	4	Huy«n Võ Ğäo bän sao Phi Thiên Miêu ti¬u ğ®	#{_BOSS93}#PğI theo ğÕi ca Vô Ğ¸ch Phi Thiên Miêu, TÕi Huy«n Võ Ğäo Thßşng t× trß¾c Th¸ ğ¤u ğá lung tung, kªt quä hôm nay Khß¾c tiªn vào#W&U#Pğào mµt ngày Ğích b¦y r§p Lı, r½i vào ğß¶ng cùng ğành phäi l¤y ra#W&I#P, lIên thanh xin khoan dung.
85	59	4	Chß·ng Cñ Yêu Quyªt r½i xu¯ng	#{_BOSS29}#Pmt th¤y không ğ¸ch lÕi, tình thª c¤p bách HÕ t× trong lòng l¤y ra mµt v§t n®n ·#W&U#Ptrên m£t, nguyên lai cûng B±n#W&I#P.
86	60	4	B±ng Tá C¦u Ğ¥u r½i xu¯ng	#W&U#Pğang · Thäo Nguyên ği dÕo, H¯t l÷t vào#{_BOSS11}Ğích t§p kích, nh¤t th¶i Nµ Thung Tâm Kh·i, ğem b¡t l¤y chính là mµt chút hành hung, #{_BOSS11}không ğ¸ch lÕi, xu¤t ra mµt cái#W&I#PquÏ xu¯ng ğ¤t c¥u xin tha thÑ.
87	61	4	Yªn Vß½ng r½i xu¯ng	#W&U#PTÕi#GYên Vß½ng C± MÕc T¥ng 3#PDî mµt cái'Oa Tâm Cß¾c'ğá trúng#{_BOSS33}#PChân Bµ, ĞÕi HoÕch toàn th¡ng, chiªm ğßşc nh¤t ki®n#W&I#P.
88	62	4	Yªn Vß½ng r½i xu¯ng	#W&U#PTÕi#GYên Vß½ng C± MÕc T¥ng 6#Pnh¤t chiêu'Løc MÕch Th¥n Kiªm'ğánh bÕi#{_BOSS37}#P, nH£t lên#{_BOSS37}#Pr¾t xu¯ng Ğích#W&I#Pcß¶i to mà ği.
89	63	4	Yªn Vß½ng r½i xu¯ng	#{_BOSS41}#PT?i#GYên Vß½ng C± MÕc T¥ng 9#PB¸#W&U#PThung phía sau mµt cái Mãnh Quy«n ğä thß½ng, chï phäi giao ra nh¤t ki®n#W&I#Pc¥u xin tha thÑ.
90	64	4	Lâu Lan t¥m bäo	#W&U#PDß Ğµi Hæu ğánh bÕi#{_BOSS94}#PH§u, cån cÑ'Liên d¤u chân cûng không Yêu lßu lÕi'Ğích nguyên t¡c quét tß¾c chiªn trß¶ng, không nghî Cánh TÕi#GLâu Lan Tàng Bäo Ğµng#PĞích góc sáng süa phát hi®n Li­u mµt cái#W&I#P.
91	65	4	Thánh Thú S½n Thi¬m Ği®n C¦u	#{_BOSS115}#Pdn d¡t ti¬u ğ® leo lên Thánh Thú S½n ğïnh, Cß½ng Bà Ğáo mµt nØa lÕi b¸&U#Pmµt tiªng thét dài khiªn cho Ğích tuyªt l· vùi l¤p, chï còn mµt quy¬n#W&I#Ptheo gió bay múa.
92	66	4	Thánh Thú S½n Nghiªt H°n Tích D¸ch	#W&U#PTÕi#GThánh Thú S½n#PDß#{_BOSS117}#PChiªn Ğ¡c k¸ch li®t, b²ng nhiên B¸ mµt kh¯i bay t¾i v§t cÑng TÕp Trung ğïnh ğ¥u, ğang mu¯n tÑc gi§n, không nghî nh£t lên v×a th¤y, ğúng là mµt quy¬n#W&I#P, kHông khöi Vi Nhân H÷a Ğ¡c Phúc Nhi may m¡n.
93	67	4	Thánh Thú S½n H¤p Huyªt Biên BÑc	#W&U#PTÕi#GThánh Thú S½n#PDß#{_BOSS116}#PChiªn Ğ¡c k¸ch li®t, b²ng nhiên B¸ mµt kh¯i bay t¾i v§t cÑng TÕp Trung ğïnh ğ¥u, ğang mu¯n tÑc gi§n, không nghî nh£t lên v×a th¤y, ğúng là mµt quy¬n#W&I#P, kHông khöi Vi Nhân H÷a Ğ¡c Phúc Nhi may m¡n.
94	68	4	Minh Giáo 45Yêu Quyªt	#{_BOSS11}#PğAng ·#GThäo Nguyên#PHß¾ng m÷i ngß¶i khoe ra Thâu t¾i tài bäo, cûng không Tß·ng#W&U#Pmang theo Chúng Huynh Ğ® giªt, #{_BOSS11}cñc kÏ vây cánh B¸ v×a m¾i tiêu di®t, ngã xu¯ng ğ¤t hªt sÑc mµt quy¬n#W&I#PThung trên ngß¶i Ğiªu Xu¤t.
95	69	4	Thiªu Lâm Tinh Túc Thiên S½n 45Yêu Quyªt	#W&U#Pdçn d¡t tinh anh Ğµi Hæu TÕi#GVû Di#Pb¸ thß½ng n£ng#{_BOSS9}#PĞích quân ğµi, #{_BOSS9}#Pm¡t th¤y ğÕi thª ğã m¤t, dâng mµt quy¬n#W&I#Pliên thanh xin khoan dung.
96	70	4	Tiêu dao Nga Mi 45Yêu Quyªt	#W&U#PĞái Chúng Huynh Ğ® Ğïnh Trß¾c s¤m ğánh di®t tr× Li­u#{_BOSS7}#P, #GThß½ng S½n#PĞích ğÕi ğ¸a Hñu tr¸ li®u Li­u bình tînh. Ğ¸a phß½ng dân chúng Dî mµt quy¬n#W&I#PTßşng T£ng làm báo ğáp.
97	71	4	Võ Ğang Thiên Long 45Yêu Quyªt	#{_BOSS5}#PğAng ·#GHuy«n Võ Ğäo#Pbài binh bày tr§n, ğáng tiªc tr§n hình chßa Ti®n l÷t vào#W&U#Pti¬u ğµi Ğích ğánh b¤t ng¶, quân lính tan rã, ğành phäi giao ra mµt quy¬n#W&I#Pxin hàng!
98	72	4	Thiên Long Thiªu Lâm 80Yêu Quyªt	#{_BOSS118}#PT?i#GTàng Kinh Các#PCß¶ng ĞoÕt kinh thß, m¡t th¤y s¨ ğ¡c thü hªt sÑc, B¸#W&U#PThân Cß¾c Nh¤t Các\u0020hÕ, chính mình bän thân b¸ tr÷ng thß½ng không nói, Hoàn Thung áo cà sa Trung Ğiªu ra mµt quy¬n#W&I#P.
99	73	4	Ban S½n ĞÕo Nhân	#{_BOSS121}#PtHß·ng thÑc Trß¾c bäo v§t, ğµt nhiên hàn quang hi®n lên#W&I#Pr½i xu¯ng, #W&U#Ptiªp ğßşc nói'ğa tÕ! '
100	73	4	Ban S½n ĞÕo Nhân	#W&U#Pdçn d¡t Chúng hào ki®t tìm kiªm bäo tàng, Ngçu Ngµ#{_BOSS121}#PğÕi chiªn mµt tråm hi®p, Tha bö lÕi trong tay Ğích#W&I#Pcu¯ng quít ğào t¦u.
101	73	4	Ban S½n ĞÕo Nhân	#{_BOSS121}#PtHß·ng thÑc trong tay Ğích kÏ bäo, ğµt nhiên#W&U#Pbay ra, cß¾p ği Li­u#{_BOSS121}#Ptrong tay Ğích kÏ bäo#W&I#P.
102	74	4	Lâu Lan bän sao Hµ Ğäo Th¥n Thú Trân Thú Hoan Hoá Ğan Toái Phiªn r½i xu¯ng	#{_BOSS88}#Pv»a xong#GHuy«n Võ Ğäo#Ptän bµ, Mµt Tß·ng#W&U#PTÕi ven ğß¶ng mai phøc ğã lâu, #{_BOSS88}#PB¸ qu¥n ¦u v×a thông su¯t H§u chï phäi ngoan ngoãn Ğích giao ra#W&I#P.
103	75	4	B÷n ğÕo chích ºa Bá Linh Thú Tinh Phách r½i xu¯ng	#{_BOSS27}#PT?i môn phái Nµi làm x¢ng làm b§y, #W&U#PVi giæ gìn môn phái tr§t tñ ğem b¸ thß½ng n£ng, Chß·ng Môn Nhân Kiªn Ki Vi môn phái l§p công, Ğ£c cho#W&I#PDî Tß c± vû.
104	76	4	Lâu Lan bän sao Phi Thiên Miêu Trân Thú Hoan Hoá Ğan Toái Phiªn r½i xu¯ng	#{_BOSS89}#PsU¤t lînh Chúng ti¬u ğ® ği ra ngoài Thu Thuª, Khß¾c Mµt Tß·ng các ti¬u ğ® Ğô Trung Li­u#W&U#PĞích Ği®u H± Li S½n Chi Kª, #{_BOSS89}#PKhan ğÕi thª ğã m¤t chï phäi ngoan ngoãn giao ra mµt cái#W&I#P.
105	77	4	Phän t£c biªn äo Ğan mänh nhö r½i xu¯ng	#{_BOSS29}#PğAng mu¯n công hãm thành trì, cûng không Tß·ng B¸#W&U#PThi«n KÜ Sát Thoái, #W&U#PrØa sÕch chiªn trß¶ng là lúc vô tình TÕi l«u l¾n Nµi phát hi®n mµt cái#W&I#P!
106	78	4	Dß Ğµc r½i xu¯ng Võ H°n	#W&U#Pği ngang qua#{_BOSS45}#PĞích doanh ğ¸a, S¤n Ki ngü hªt sÑc thu§n tay Mô ği r°i mµt cái#W&I#P.
107	79	4	H°ng Hùng Vß½ng r½i xu¯ng Võ H°n	#W&U#Pği trß¾c#{_BOSS46}#Psào huy®t, lşi døng Hàm Ngß Tß¾ng#{_BOSS46}#Pdçn d¡t r¶i ği H§u, thoäi mái Thung sào huy®t Nµi mang ği Li­u#W&I#P.
108	80	4	Ban S½n ĞÕo Nhân	#W&U#PğÕi hi®p anh dûng d¸ thß¶ng, dçn d¡t Chúng hào ki®t Bä#{_BOSS121}#Pcó hoa r½i nß¾c chäy, #{_BOSS121}#Pcam bái hÕ phong, Cánh hai tay dâng lên Li­u#W&I#PLai xin khoan dung c¥u hòa.
109	81	4	Lı Thu Thüy	#W&U#Pbay lên mµt cß¾c Tß¾ng#{_BOSS76}#PXuy­n HÕ t÷a kÜ, Thß½ng Lai t÷a kÜ t§p trung nhìn vào, Wow nguyên lai là#W&I#P, nH¤t th¶i trong lòng m×ng rŞ.
110	82	4	Tàng Kinh Các BOSSr½i xu¯ng Ğiêu Vån tß½ng quan	#W&U#PTÕi#GTàng Kinh Các#PNghiên ğ÷c kinh Thß, không nghî#{_BOSS118}#PKhß¾c · trong ğó l¾n tiªng °n ào, #W&U#Pl¤y ğÑc thu phøc ngß¶i, v×a thông su¯t ğÕo lı Thuyªt Ğích#{_BOSS118}#Pğành phäi xu¤t ra mµt cái#W&I#PLai b°i tµi.
111	83	4	Cát Vinh r½i xu¯ng Ğiêu Vån tß½ng quan	#W&U#Pği trß¾c#GDã NgoÕi Phï TrÕi#PXØ thám thính LoÕn Phï Ğích tin tÑc, phát hi®n#{_BOSS47}#PĞích bäo kh¯ Trung Cánh có d¤u#W&I#P, #W&U#Pcån cÑ B¤t lãng phí, không ğ¬ Khí Ğích nguyên t¡c, l£ng l¨ ğem mang ği.
112	84	4	Hoä Di®m Yêu Ma r½i xu¯ng Ğiêu Vån tß½ng quan	#W&U#PTÕi#GDung Nham Chi Ğ¸a#Pkhäo sát ğ¸a lı hoàn cänh, không nghî B¸ ği ngang qua Ğích#{_BOSS97}#Phoäng sş, Ğãi tâm th¥n ±n ğ¸nh lúc sau ğµt nhiên phát hi®n trên m£t ğ¤t lÕi có mµt cái#W&I#P!
113	85	4	Sát Tinh r½i xu¯ng tß½ng quan	#W&U#PTÕi#GSinh TØ Lôi Ğài#PĞÕi Sát tÑ phß½ng, thoäi mái Thung Chúng Sát Tinh n½i ğó cß¾p l¤y Li­u#W&I#P!
114	86	4	Mµ Dung S½n Trang Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS122}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
115	87	4	Ngh¸ch T§p hoÕt ğµng r½i xu¯ng	#W&U#Pkhông chï có ğánh bÕi Li­u#YKhª Ğan Si Khách#Pnhi­u loÕn Xúc Cúc sñ ki®n Ğích âm mßu, Hoàn Thung#YKhª Ğan Si Khách#Ptrên ngß¶i Sßu ği r°i mµt cái#W&I#P!
116	88	4	T¥n Hoàng ğ¸a cung	#PT?n Hoàng Ğ¸a Cung TÑ T¢ng Ğích#{_BOSS123}ğang · phòng trong sØa sang lÕi qu¥n áo, không nghî#W&U#Pmµt ğ¥u ğøng phäi tiªn vào, #{_BOSS123}kinh hãi, Ğu Xu¤t mµt cái#W&I#Pğem TÕp Bào.
117	90	4	Hµ Ğäo Th¥n Thú r½i xu¯ng Lµc Thøc H°n Ng÷c	#W&U#Pthành công chª phøc Li­u#Y#{_BOSS144}#P, nGay tÕi Yêu xoay ngß¶i r¶i ği Th¶i, thª nhßng phát hi®n mµt cái#W&I#Pr½i xu¯ng TÕi tÕi ch²!
118	91	4	MÕn Ğà S½n Trang Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS172}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
119	92	4	Ác Nhân C¯c Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS173}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
120	93	4	Ğánh chªt hi hæu tinh anh r½i xu¯ng hi hæu v§t ph¦m	#W&U#Phào khí tung hoành, TÕi#G&S#PTrung ğÕi tri¬n th¥n uy, Träm LÕc xâm phÕm biên gi¾i Liêu Quân, ğoÕt ğßşc#W&I#Pmµt cái!
121	94	4	Ğ¸a Ngøc Chi Môn r½i xu¯ng	#W&U#Pthiªu hi®p TÕi#G&S#PğÕi tri¬n quy«n cß¾c, ğánh cho#Ym§t thám thü lînh#Phoa r½i nß¾c chäy, thành công thu ğßşc#W&I#Pmµt cái!
122	95	4	Ğánh chªt hi hæu tinh anh r½i xu¯ng hi hæu v§t ph¦m	#W&U#Phào khí tung hoành, TÕi#G&S#PTrung ğÕi tri¬n th¥n uy, Träm LÕc xâm phÕm biên gi¾i Liêu Quân, ğoÕt ğßşc#W&I#Pmµt cái!
